frequency f in Hz; re(r) ; im(r)
99.000000;0.972509;-0.144478
100.000000;0.970771;-0.134902
101.000000;0.964487;-0.138263
102.000000;0.969691;-0.143011
103.000000;0.966007;-0.139392
104.000000;0.960058;-0.146577
105.000000;0.971242;-0.159807
106.000000;0.964855;-0.160585
107.000000;0.964612;-0.152550
108.000000;0.962544;-0.148227
109.000000;0.958456;-0.150783
110.000000;0.964730;-0.151760
111.000000;0.968603;-0.159258
112.000000;0.958727;-0.153131
113.000000;0.954087;-0.157162
114.000000;0.955103;-0.158612
115.000000;0.954347;-0.157430
116.000000;0.958064;-0.156924
117.000000;0.957646;-0.163085
118.000000;0.957634;-0.159851
119.000000;0.957690;-0.157999
120.000000;0.955134;-0.158502
121.000000;0.961086;-0.165509
122.000000;0.959720;-0.164300
123.000000;0.951053;-0.160335
124.000000;0.953848;-0.165609
125.000000;0.955440;-0.168017
126.000000;0.953128;-0.164034
127.000000;0.947128;-0.168025
128.000000;0.942967;-0.169377
129.000000;0.947715;-0.176489
130.000000;0.947510;-0.175619
131.000000;0.940168;-0.181727
132.000000;0.939009;-0.178011
133.000000;0.941062;-0.176743
134.000000;0.946753;-0.177690
135.000000;0.949182;-0.182883
136.000000;0.940639;-0.181900
137.000000;0.938612;-0.182627
138.000000;0.942431;-0.186085
139.000000;0.945541;-0.189798
140.000000;0.943951;-0.185716
141.000000;0.938401;-0.183791
142.000000;0.939230;-0.182466
143.000000;0.936203;-0.185572
144.000000;0.934058;-0.188515
145.000000;0.935483;-0.188301
146.000000;0.935068;-0.186221
147.000000;0.933240;-0.191432
148.000000;0.932952;-0.194261
149.000000;0.932421;-0.190933
150.000000;0.934383;-0.194867
151.000000;0.931840;-0.196816
152.000000;0.934522;-0.196834
153.000000;0.935970;-0.195131
154.000000;0.930767;-0.194385
155.000000;0.930906;-0.196308
156.000000;0.930027;-0.198627
157.000000;0.929774;-0.200229
158.000000;0.929271;-0.201976
159.000000;0.926511;-0.203828
160.000000;0.926112;-0.205917
161.000000;0.925702;-0.203680
162.000000;0.926596;-0.203506
163.000000;0.924138;-0.206395
164.000000;0.923211;-0.208715
165.000000;0.922754;-0.209531
166.000000;0.921272;-0.209803
167.000000;0.923628;-0.211469
168.000000;0.923118;-0.209810
169.000000;0.918479;-0.210697
170.000000;0.915709;-0.214731
171.000000;0.917920;-0.214836
172.000000;0.915983;-0.214958
173.000000;0.913592;-0.216094
174.000000;0.914901;-0.217771
175.000000;0.913365;-0.220488
176.000000;0.914717;-0.222268
177.000000;0.913011;-0.220913
178.000000;0.912249;-0.219785
179.000000;0.910911;-0.222333
180.000000;0.909516;-0.223709
181.000000;0.908756;-0.224338
182.000000;0.909315;-0.223610
183.000000;0.908024;-0.224995
184.000000;0.907554;-0.227011
185.000000;0.906405;-0.226067
186.000000;0.904897;-0.228137
187.000000;0.903701;-0.229141
188.000000;0.904532;-0.230424
189.000000;0.903712;-0.231632
190.000000;0.902649;-0.231272
191.000000;0.901613;-0.233177
192.000000;0.901989;-0.232958
193.000000;0.901406;-0.232793
194.000000;0.897938;-0.235899
195.000000;0.898393;-0.237149
196.000000;0.898080;-0.236681
197.000000;0.897022;-0.237758
198.000000;0.896536;-0.238781
199.000000;0.896524;-0.239149
200.000000;0.897028;-0.238451
201.000000;0.894828;-0.240519
202.000000;0.892772;-0.242428
203.000000;0.891928;-0.243014
204.000000;0.891588;-0.243264
205.000000;0.891135;-0.243232
206.000000;0.889386;-0.244579
207.000000;0.889602;-0.246394
208.000000;0.889325;-0.246712
209.000000;0.887670;-0.248299
210.000000;0.886380;-0.249901
211.000000;0.886467;-0.248748
212.000000;0.885050;-0.248837
213.000000;0.884308;-0.249235
214.000000;0.882900;-0.251663
215.000000;0.882619;-0.251846
216.000000;0.882033;-0.252656
217.000000;0.880380;-0.256246
218.000000;0.880335;-0.254827
219.000000;0.878133;-0.254320
220.000000;0.878497;-0.257007
221.000000;0.878293;-0.257357
222.000000;0.877697;-0.256854
223.000000;0.877224;-0.257548
224.000000;0.875202;-0.259028
225.000000;0.875127;-0.259400
226.000000;0.874320;-0.260929
227.000000;0.871940;-0.262215
228.000000;0.871741;-0.263037
229.000000;0.871373;-0.262669
230.000000;0.870443;-0.262934
231.000000;0.867771;-0.263313
232.000000;0.867447;-0.265985
233.000000;0.869272;-0.266056
234.000000;0.867944;-0.268454
235.000000;0.866399;-0.268146
236.000000;0.865740;-0.268613
237.000000;0.864711;-0.269922
238.000000;0.864351;-0.269759
239.000000;0.861900;-0.272101
240.000000;0.862415;-0.271950
241.000000;0.861285;-0.270891
242.000000;0.858890;-0.272661
243.000000;0.858188;-0.274349
244.000000;0.857966;-0.273483
245.000000;0.858421;-0.275453
246.000000;0.857730;-0.277802
247.000000;0.857115;-0.276895
248.000000;0.855512;-0.277399
249.000000;0.855433;-0.277778
250.000000;0.854806;-0.277800
251.000000;0.853770;-0.277493
252.000000;0.853602;-0.280095
253.000000;0.850498;-0.280083
254.000000;0.849676;-0.280266
255.000000;0.849096;-0.282674
256.000000;0.848345;-0.282575
257.000000;0.847044;-0.283605
258.000000;0.846145;-0.283976
259.000000;0.844816;-0.285105
260.000000;0.844271;-0.285563
261.000000;0.842944;-0.285889
262.000000;0.842919;-0.287059
263.000000;0.842808;-0.287063
264.000000;0.839634;-0.290643
265.000000;0.840029;-0.289495
266.000000;0.840000;-0.290232
267.000000;0.839034;-0.289902
268.000000;0.837843;-0.293714
269.000000;0.836484;-0.293483
270.000000;0.836271;-0.291702
271.000000;0.838558;-0.294267
272.000000;0.837447;-0.294843
273.000000;0.836218;-0.293850
274.000000;0.833110;-0.296473
275.000000;0.832484;-0.297069
276.000000;0.829081;-0.296107
277.000000;0.828098;-0.294824
278.000000;0.824369;-0.297796
279.000000;0.824260;-0.298511
280.000000;0.827534;-0.301667
281.000000;0.825236;-0.299786
282.000000;0.820999;-0.297872
283.000000;0.824192;-0.297956
284.000000;0.825465;-0.298668
285.000000;0.820443;-0.304798
286.000000;0.821819;-0.308549
287.000000;0.817187;-0.308842
288.000000;0.813803;-0.307309
289.000000;0.816903;-0.304485
290.000000;0.810356;-0.307634
291.000000;0.812352;-0.309438
292.000000;0.814351;-0.308543
293.000000;0.812050;-0.306669
294.000000;0.809541;-0.305231
295.000000;0.806510;-0.307190
296.000000;0.806226;-0.311575
297.000000;0.803263;-0.307914
298.000000;0.801238;-0.309831
299.000000;0.799305;-0.317144
300.000000;0.795253;-0.320910
301.000000;0.790581;-0.320559
302.000000;0.792445;-0.321369
303.000000;0.792953;-0.319852
304.000000;0.794442;-0.320775
