Frequency in Hz	Acrylic_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_95 Normalized Surface Impedance continuous Im	
100	2,08533406257629	100	-13,6020221710205	
103,125	2,14483952522278	103,125	-13,8905372619629	
106,25	1,59415090084076	106,25	-12,8246212005615	
109,375	1,72071266174316	109,375	-13,7109785079956	
112,5	1,91471672058105	112,5	-12,1469469070435	
115,625	2,39854645729065	115,625	-11,691333770752	
118,75	2,39017367362976	118,75	-11,7642469406128	
121,875	2,13206458091736	121,875	-11,6368780136108	
125	2,10333943367004	125	-11,5701513290405	
128,125	2,11878490447998	128,125	-11,3090982437134	
131,25	1,45486295223236	131,25	-10,4911804199219	
134,375	1,86222064495087	134,375	-10,7317228317261	
137,5	2,1107234954834	137,5	-10,0668382644653	
140,625	2,17563128471375	140,625	-10,474214553833	
143,75	2,01265239715576	143,75	-9,64144515991211	
146,875	1,79851365089417	146,875	-9,64898872375488	
150	1,44616687297821	150	-9,94998168945313	
153,125	2,02291989326477	153,125	-9,03669548034668	
156,25	1,73565602302551	156,25	-9,11372089385986	
159,375	1,58299005031586	159,375	-9,05959415435791	
162,5	1,54393351078033	162,5	-9,03424263000488	
165,625	1,27660167217255	165,625	-8,75299453735352	
168,75	1,99885284900665	168,75	-8,31863594055176	
171,875	1,79674756526947	171,875	-8,05008029937744	
175	1,76946699619293	175	-8,25708293914795	
178,125	1,85063099861145	178,125	-7,90062284469604	
181,25	1,76491570472717	181,25	-8,00300025939941	
184,375	1,5984560251236	184,375	-7,57191371917725	
187,5	1,62453353404999	187,5	-7,71224355697632	
190,625	1,52185034751892	190,625	-7,69282197952271	
193,75	1,60002672672272	193,75	-7,48756837844849	
196,875	1,57532048225403	196,875	-7,26144361495972	
200	1,69260621070862	200	-7,30509614944458	
203,125	1,54837691783905	203,125	-6,91708660125732	
206,25	1,54804861545563	206,25	-7,11255598068237	
209,375	1,58405470848083	209,375	-6,8539867401123	
212,5	1,42623090744019	212,5	-6,99337291717529	
215,625	1,42111754417419	215,625	-6,83256435394287	
218,75	1,55425560474396	218,75	-6,82649946212769	
221,875	1,24866986274719	221,875	-6,48565816879272	
225	1,40623819828033	225	-6,5635781288147	
228,125	1,4518655538559	228,125	-6,31720161437988	
231,25	1,46465766429901	231,25	-6,19094753265381	
234,375	1,34645283222198	234,375	-6,27434682846069	
237,5	1,39992344379425	237,5	-6,15179109573364	
240,625	1,29691278934479	240,625	-6,07224225997925	
243,75	1,41199064254761	243,75	-5,99850273132324	
246,875	1,50224590301514	246,875	-5,83535146713257	
250	1,31511092185974	250	-5,71229267120361	
253,125	1,39515137672424	253,125	-5,80759286880493	
256,25	1,46421086788177	256,25	-5,63372135162354	
259,375	1,41419804096222	259,375	-5,47106981277466	
262,5	1,24404287338257	262,5	-5,58567476272583	
265,625	1,24462485313416	265,625	-5,50649833679199	
268,75	1,22917449474335	268,75	-5,47528171539307	
271,875	1,26464998722076	271,875	-5,29641103744507	
275	1,42851877212524	275	-5,19406080245972	
278,125	1,43364822864532	278,125	-5,21198606491089	
281,25	1,21324932575226	281,25	-5,06673097610474	
284,375	1,23182547092438	284,375	-5,04746961593628	
287,5	1,33549880981445	287,5	-4,96504926681519	
290,625	1,32280242443085	290,625	-4,85715532302856	
293,75	1,260871052742	293,75	-4,80895137786865	
296,875	1,147625207901	296,875	-4,779625415802	
