Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96 Sound Reflection Factor continuous Im	
100	0,970350801944733	100	-0,136307939887047	
103,125	0,971481561660767	103,125	-0,133354216814041	
106,25	0,972587168216705	106,25	-0,146797105669975	
109,375	0,975266575813293	109,375	-0,13701069355011	
112,5	0,966162919998169	112,5	-0,152092695236206	
115,625	0,958004713058472	115,625	-0,154008477926254	
118,75	0,958680510520935	118,75	-0,153243586421013	
121,875	0,961044490337372	121,875	-0,156691178679466	
125	0,960783839225769	125	-0,157642528414726	
128,125	0,958828806877136	128,125	-0,160827815532684	
131,25	0,962308704853058	131,25	-0,177247479557991	
134,375	0,958422005176544	134,375	-0,170408710837364	
137,5	0,948849439620972	137,5	-0,177787691354752	
140,625	0,951859056949615	140,625	-0,171108394861221	
143,75	0,946265876293182	143,75	-0,185379654169083	
146,875	0,950200855731964	146,875	-0,187550842761993	
150	0,959211468696594	150	-0,185861065983772	
153,125	0,939348161220551	153,125	-0,195550709962845	
156,25	0,945570409297943	156,25	-0,197807669639587	
159,375	0,948129236698151	159,375	-0,200698986649513	
162,5	0,948740363121033	162,5	-0,201640993356705	
165,625	0,951006591320038	165,625	-0,210441648960114	
168,75	0,930076599121094	168,75	-0,209542453289032	
171,875	0,930051028728485	171,875	-0,218397811055183	
175	0,934201180934906	175	-0,214427158236504	
178,125	0,926721751689911	178,125	-0,2208202034235	
181,25	0,93054324388504	181,25	-0,2200758010149	
184,375	0,926807284355164	184,375	-0,233296245336533	
187,5	0,929011583328247	187,5	-0,229370355606079	
190,625	0,931304752826691	190,625	-0,231762275099754	
193,75	0,925728142261505	193,75	-0,235490038990974	
196,875	0,921960234642029	196,875	-0,241831257939339	
200	0,919901967048645	200	-0,238202229142189	
203,125	0,915350914001465	203,125	-0,251977950334549	
206,25	0,919999778270721	206,25	-0,246434107422829	
209,375	0,913104176521301	209,375	-0,252858400344849	
212,5	0,921137630939484	212,5	-0,252541393041611	
215,625	0,917820632457733	215,625	-0,257480651140213	
218,75	0,91394454240799	218,75	-0,254518210887909	
221,875	0,915025234222412	221,875	-0,272960901260376	
225	0,912077069282532	225	-0,266233772039413	
228,125	0,903939783573151	228,125	-0,272980183362961	
231,25	0,899903833866119	231,25	-0,276860058307648	
234,375	0,906620979309082	234,375	-0,277664989233017	
237,5	0,901301443576813	237,5	-0,280331045389175	
240,625	0,90267139673233	240,625	-0,286369949579239	
243,75	0,896338164806366	243,75	-0,285354793071747	
246,875	0,887749314308167	246,875	-0,288058370351791	
250	0,890388667583466	250	-0,299422264099121	
253,125	0,891024708747864	253,125	-0,292953550815582	
256,25	0,882239878177643	256,25	-0,296890109777451	
259,375	0,877835810184479	259,375	-0,305103421211243	
262,5	0,889369785785675	262,5	-0,307400226593018	
265,625	0,886455297470093	265,625	-0,310787320137024	
268,75	0,886036038398743	268,75	-0,312701344490051	
271,875	0,877431452274323	271,875	-0,318807542324066	
275	0,866239964962006	275	-0,315669864416122	
278,125	0,867250740528107	278,125	-0,314806878566742	
281,25	0,870004236698151	281,25	-0,33134052157402	
284,375	0,868515431880951	284,375	-0,331338375806808	
287,5	0,860092103481293	287,5	-0,329764276742935	
290,625	0,85501492023468	290,625	-0,334763765335083	
293,75	0,855034947395325	293,75	-0,341238528490067	
296,875	0,858599841594696	296,875	-0,350935697555542	
300	0,847923576831818	300	-0,352338343858719	
303,125	0,842004835605621	303,125	-0,345475375652313	
306,25	0,826194047927856	306,25	-0,366511464118958	
309,375	0,830473959445953	309,375	-0,358754277229309	
312,5	0,818187355995178	312,5	-0,360519647598267	
315,625	0,81713992357254	315,625	-0,360950231552124	
318,75	0,818351268768311	318,75	-0,357154577970505	
321,875	0,819509029388428	321,875	-0,347708165645599	
325	0,821719408035278	325	-0,346945732831955	
328,125	0,831529319286346	328,125	-0,34669217467308	
331,25	0,834800601005554	331,25	-0,362094819545746	
334,375	0,825912535190582	334,375	-0,359102606773376	
337,5	0,828643798828125	337,5	-0,364579230546951	
340,625	0,829657435417175	340,625	-0,35844749212265	
343,75	0,822222828865051	343,75	-0,367292433977127	
346,875	0,819233059883118	346,875	-0,382709711790085	
350	0,813281238079071	350	-0,380412191152573	
353,125	0,809703648090363	353,125	-0,403935998678207	
356,25	0,819435656070709	356,25	-0,394982010126114	
359,375	0,818768501281738	359,375	-0,393796056509018	
362,5	0,799378395080566	362,5	-0,406716406345367	
365,625	0,809636831283569	365,625	-0,395374298095703	
368,75	0,810241162776947	368,75	-0,39294096827507	
371,875	0,793649315834045	371,875	-0,386991143226624	
375	0,778668344020844	375	-0,413274317979813	
378,125	0,789339363574982	378,125	-0,408383220434189	
381,25	0,817066013813019	381,25	-0,403326213359833	
384,375	0,80122709274292	384,375	-0,409228473901749	
387,5	0,786579728126526	387,5	-0,413035124540329	
390,625	0,772925019264221	390,625	-0,41749706864357	
