Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92 Sound Reflection Factor continuous Im	
100	0,966552257537842	100	-0,144487947225571	
103,125	0,967350006103516	103,125	-0,141212537884712	
106,25	0,968095719814301	106,25	-0,154375985264778	
109,375	0,970557451248169	109,375	-0,14480072259903	
112,5	0,960108578205109	112,5	-0,160417318344116	
115,625	0,951271235942841	115,625	-0,162006363272667	
118,75	0,95152074098587	118,75	-0,161788135766983	
121,875	0,953538775444031	121,875	-0,165479809045792	
125	0,952977001667023	125	-0,165902256965637	
128,125	0,950623035430908	128,125	-0,169546812772751	
131,25	0,953371226787567	131,25	-0,18608146905899	
134,375	0,948723018169403	134,375	-0,178991377353668	
137,5	0,938772857189178	137,5	-0,186170056462288	
140,625	0,941921949386597	140,625	-0,179884031414986	
143,75	0,935180246829987	143,75	-0,193808749318123	
146,875	0,938453018665314	146,875	-0,196070045232773	
150	0,94706404209137	150	-0,194648876786232	
153,125	0,926674902439117	153,125	-0,203795909881592	
156,25	0,932246923446655	156,25	-0,205850765109062	
159,375	0,933858871459961	159,375	-0,209489464759827	
162,5	0,934609055519104	162,5	-0,209325760602951	
165,625	0,935818314552307	165,625	-0,218999207019806	
168,75	0,914376378059387	168,75	-0,217208355665207	
171,875	0,913645267486572	171,875	-0,226291954517365	
175	0,917429685592651	175	-0,222385466098785	
178,125	0,909252226352692	178,125	-0,227978065609932	
181,25	0,912395417690277	181,25	-0,227365538477898	
184,375	0,907662749290466	184,375	-0,240349769592285	
187,5	0,90928703546524	187,5	-0,236508324742317	
190,625	0,911418557167053	190,625	-0,23898920416832	
193,75	0,904619216918945	193,75	-0,241719320416451	
196,875	0,899893283843994	196,875	-0,248508766293526	
200	0,898270308971405	200	-0,244635105133057	
203,125	0,892157316207886	203,125	-0,257653683423996	
206,25	0,896259188652039	206,25	-0,25270003080368	
209,375	0,888691067695618	209,375	-0,258618205785751	
212,5	0,895885586738586	212,5	-0,258530259132385	
215,625	0,891702711582184	215,625	-0,26317510008812	
218,75	0,887197077274323	218,75	-0,259949326515198	
221,875	0,887077212333679	221,875	-0,277777791023254	
225	0,883823275566101	225	-0,271033406257629	
228,125	0,875016450881958	228,125	-0,277410387992859	
231,25	0,870262920856476	231,25	-0,280700743198395	
234,375	0,875928282737732	234,375	-0,281235307455063	
237,5	0,870109975337982	237,5	-0,283371031284332	
240,625	0,870274245738983	240,625	-0,289345413446426	
243,75	0,863649427890778	243,75	-0,287918329238892	
246,875	0,854499757289886	246,875	-0,289800077676773	
250	0,855827212333679	250	-0,300633460283279	
253,125	0,855832278728485	253,125	-0,294286787509918	
256,25	0,846385598182678	256,25	-0,297442555427551	
259,375	0,841139733791351	259,375	-0,304953873157501	
262,5	0,851418077945709	262,5	-0,307229608297348	
265,625	0,847634971141815	265,625	-0,309918791055679	
268,75	0,846338927745819	268,75	-0,311678141355515	
271,875	0,8368319272995	271,875	-0,316833168268204	
275	0,825350701808929	275	-0,312900841236115	
278,125	0,82490348815918	278,125	-0,312352180480957	
281,25	0,826115131378174	281,25	-0,328038305044174	
284,375	0,824141681194305	284,375	-0,327532261610031	
287,5	0,815597295761108	287,5	-0,32577046751976	
290,625	0,810591816902161	290,625	-0,33075624704361	
293,75	0,810175061225891	293,75	-0,335216104984283	
296,875	0,813267052173615	296,875	-0,340929299592972	
300	0,80064594745636	300	-0,34186989068985	
303,125	0,795081377029419	303,125	-0,334592491388321	
306,25	0,778849303722382	306,25	-0,353435128927231	
309,375	0,782429397106171	309,375	-0,346319317817688	
312,5	0,770399808883667	312,5	-0,347261309623718	
315,625	0,768458485603333	315,625	-0,347758293151855	
318,75	0,76903110742569	318,75	-0,344052642583847	
321,875	0,769130408763886	321,875	-0,33451509475708	
325	0,770407319068909	325	-0,333195686340332	
328,125	0,778375446796417	328,125	-0,332726895809174	
331,25	0,77986216545105	331,25	-0,346363008022308	
334,375	0,771252572536469	334,375	-0,342702090740204	
337,5	0,773209691047668	337,5	-0,347050964832306	
340,625	0,773482441902161	340,625	-0,341326475143433	
343,75	0,765301525592804	343,75	-0,348684281110764	
346,875	0,760742545127869	346,875	-0,361423909664154	
350	0,754119098186493	350	-0,35819599032402	
353,125	0,748263895511627	353,125	-0,378766566514969	
356,25	0,758490264415741	356,25	-0,370665848255157	
359,375	0,756417155265808	359,375	-0,369287759065628	
362,5	0,737356185913086	362,5	-0,379249155521393	
365,625	0,746049404144287	365,625	-0,368594288825989	
368,75	0,746475696563721	368,75	-0,365972369909287	
371,875	0,732110857963562	371,875	-0,359066337347031	
375	0,715614259243011	375	-0,380500495433807	
378,125	0,724944055080414	378,125	-0,376190364360809	
