Frequency in Hz	Acrylic_98 Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_98 Sound Reflection Factor continuous Im	
100	0.97329843044281	100	-0.132288873195648	
103.125	0.974002361297607	103.125	-0.130384281277657	
106.25	0.975101113319397	106.25	-0.144104942679405	
109.375	0.97717547416687	109.375	-0.133887603878975	
112.5	0.96780252456665	112.5	-0.148839145898819	
115.625	0.959684610366821	115.625	-0.151119977235794	
118.75	0.960389614105225	118.75	-0.149979263544083	
121.875	0.962544858455658	121.875	-0.153389990329742	
125	0.962435364723206	125	-0.154479831457138	
128.125	0.960268557071686	128.125	-0.157759964466095	
131.25	0.963973999023438	131.25	-0.174037933349609	
134.375	0.960243999958038	134.375	-0.1668641269207	
137.5	0.950669765472412	137.5	-0.174318477511406	
140.625	0.953925728797913	140.625	-0.167867138981819	
143.75	0.948524177074432	143.75	-0.181951954960823	
146.875	0.95237535238266	146.875	-0.183902382850647	
150	0.961501061916351	150	-0.182195603847504	
153.125	0.941911339759827	153.125	-0.192059710621834	
156.25	0.948202311992645	156.25	-0.194022700190544	
159.375	0.950925946235657	159.375	-0.196754544973373	
162.5	0.951708674430847	162.5	-0.197739526629448	
165.625	0.954035878181458	165.625	-0.20653960108757	
168.75	0.933202087879181	168.75	-0.205720812082291	
171.875	0.933397829532623	171.875	-0.214503064751625	
175	0.937692940235138	175	-0.210413038730621	
178.125	0.930407702922821	178.125	-0.21669964492321	
181.25	0.934334754943848	181.25	-0.215862423181534	
184.375	0.930963635444641	184.375	-0.229082614183426	
187.5	0.933307349681854	187.5	-0.22507256269455	
190.625	0.935703933238983	190.625	-0.227359265089035	
193.75	0.93033903837204	193.75	-0.231073766946793	
196.875	0.926848590373993	196.875	-0.237365618348122	
200	0.924911499023438	200	-0.233671858906746	
203.125	0.920775353908539	203.125	-0.247425392270088	
206.25	0.92553573846817	206.25	-0.241665810346603	
209.375	0.918932795524597	209.375	-0.248076468706131	
212.5	0.927182495594025	212.5	-0.247526705265045	
215.625	0.924179136753082	215.625	-0.252371937036514	
218.75	0.920543551445007	218.75	-0.249357685446739	
221.875	0.922124862670898	221.875	-0.267731428146362	
225	0.919328033924103	225	-0.260962784290314	
228.125	0.911517560482025	228.125	-0.267723739147186	
231.25	0.907804310321808	231.25	-0.271550297737122	
234.375	0.914856374263763	234.375	-0.27217498421669	
237.5	0.909853518009186	237.5	-0.274861514568329	
240.625	0.911611914634705	240.625	-0.280832409858704	
243.75	0.905560612678528	243.75	-0.279824823141098	
246.875	0.89730316400528	246.875	-0.282561153173447	
250	0.900443196296692	250	-0.293883323669434	
253.125	0.901321113109589	253.125	-0.287332564592361	
256.25	0.892898678779602	256.25	-0.291318297386169	
259.375	0.888861477375031	259.375	-0.299604564905167	
262.5	0.900826752185822	262.5	-0.30164110660553	
265.625	0.89839506149292	265.625	-0.305031597614288	
268.75	0.898343920707703	268.75	-0.306995511054993	
271.875	0.890160441398621	271.875	-0.313295841217041	
275	0.879237234592438	275	-0.310263335704803	
278.125	0.880813121795654	278.125	-0.309230536222458	
281.25	0.884355187416077	281.25	-0.325892210006714	
284.375	0.883217453956604	284.375	-0.32579517364502	
287.5	0.875207364559174	287.5	-0.324116140604019	
290.625	0.870719254016876	290.625	-0.328204870223999	
293.75	0.870015442371368	293.75	-0.33438503742218	
296.875	0.872704565525055	296.875	-0.345350563526154	
300	0.864349842071533	300	-0.347261726856232	
303.125	0.858619332313538	303.125	-0.340441852807999	
306.25	0.843418478965759	306.25	-0.361992090940475	
309.375	0.84808361530304	309.375	-0.353726983070374	
312.5	0.836121439933777	312.5	-0.355651646852493	
315.625	0.835841000080109	315.625	-0.35563462972641	
318.75	0.838377833366394	318.75	-0.351497739553452	
321.875	0.840087234973907	321.875	-0.343048900365829	
325	0.842382609844208	325	-0.342665284872055	
328.125	0.852598130702972	328.125	-0.342319309711456	
331.25	0.856462419033051	331.25	-0.357797741889954	
334.375	0.847819864749908	334.375	-0.354870349168777	
337.5	0.851073563098907	337.5	-0.36047950387001	
340.625	0.852296233177185	340.625	-0.353930443525314	
343.75	0.845507800579071	343.75	-0.362999528646469	
346.875	0.843608856201172	346.875	-0.37897577881813	
350	0.838043987751007	350	-0.376839995384216	
353.125	0.835647761821747	353.125	-0.401020407676697	
356.25	0.845691919326782	356.25	-0.391710579395294	
359.375	0.845549523830414	359.375	-0.390438795089722	
362.5	0.826947212219238	362.5	-0.404479295015335	
365.625	0.837626934051514	365.625	-0.392401427030563	
368.75	0.838366150856018	368.75	-0.390004098415375	
371.875	0.821393370628357	371.875	-0.384791046380997	
375	0.80792361497879	375	-0.412545800209045	
378.125	0.81913286447525	378.125	-0.406855195760727	
381.25	0.848029792308807	381.25	-0.400345236063004	
384.375	0.832711517810822	384.375	-0.407620042562485	
387.5	0.818375527858734	387.5	-0.41210213303566	
390.625	0.80482941865921	390.625	-0.417294472455978	
393.75	0.809801638126373	393.75	-0.434352785348892	
396.875	0.812698900699615	396.875	-0.433379054069519	
400	0.824568927288055	400	-0.435190081596375	
403.125	0.812444686889648	403.125	-0.432520031929016	
406.25	0.803290903568268	406.25	-0.428019285202026	
409.375	0.816576898097992	409.375	-0.44380509853363	
412.5	0.806932210922241	412.5	-0.443274229764938	
415.625	0.792947173118591	415.625	-0.424623399972916	
418.75	0.776076436042786	418.75	-0.419871777296066	
421.875	0.785061836242676	421.875	-0.424488365650177	
425	0.777141809463501	425	-0.443006813526154	
428.125	0.808807253837585	428.125	-0.442775011062622	
431.25	0.807279706001282	431.25	-0.432539761066437	
434.375	0.775496959686279	434.375	-0.426533967256546	
437.5	0.772487223148346	437.5	-0.432575106620789	
440.625	0.77576357126236	440.625	-0.446389228105545	
443.75	0.766914129257202	443.75	-0.447514832019806	
446.875	0.776312708854675	446.875	-0.452974557876587	
450	0.777064204216003	450	-0.452310919761658	
453.125	0.764239192008972	453.125	-0.461152702569962	
456.25	0.750242292881012	456.25	-0.460787087678909	
459.375	0.754499912261963	459.375	-0.46339225769043	
462.5	0.75229287147522	462.5	-0.472081273794174	
465.625	0.753374457359314	465.625	-0.477539449930191	
468.75	0.758559346199036	468.75	-0.470351427793503	
471.875	0.752532362937927	471.875	-0.471084237098694	
475	0.753117203712463	475	-0.485874146223068	
478.125	0.753043949604034	478.125	-0.485330253839493	
481.25	0.747951686382294	481.25	-0.477495133876801	
484.375	0.745619297027588	484.375	-0.480325222015381	
487.5	0.744613349437714	487.5	-0.481280118227005	
490.625	0.741374492645264	490.625	-0.490332067012787	
493.75	0.739762187004089	493.75	-0.492881447076797	
496.875	0.729247689247131	496.875	-0.492530912160873	
500	0.734032094478607	500	-0.49150225520134	
503.125	0.732533693313599	503.125	-0.493898957967758	
506.25	0.733196437358856	506.25	-0.499127328395844	
509.375	0.730173528194427	509.375	-0.501762926578522	
512.5	0.725699126720428	512.5	-0.501268863677979	
515.625	0.720880627632141	515.625	-0.502329230308533	
518.75	0.72053462266922	518.75	-0.514330804347992	
521.875	0.721217691898346	521.875	-0.516014099121094	
525	0.714315712451935	525	-0.513527035713196	
528.125	0.715159893035889	528.125	-0.512987613677979	
531.25	0.714540421962738	531.25	-0.516418218612671	
534.375	0.714914083480835	534.375	-0.517064154148102	
537.5	0.711900949478149	537.5	-0.517571985721588	
540.625	0.712486565113068	540.625	-0.521567106246948	
543.75	0.706336915493011	543.75	-0.526884496212006	
546.875	0.702070593833923	546.875	-0.524013638496399	
550	0.701161086559296	550	-0.532220244407654	
553.125	0.704782664775848	553.125	-0.530327260494232	
556.25	0.713499069213867	556.25	-0.503498494625092	
559.375	0.715031921863556	559.375	-0.502555727958679	
562.5	0.715094685554504	562.5	-0.510287940502167	
565.625	0.718825876712799	565.625	-0.513154566287994	
568.75	0.708697199821472	568.75	-0.51399028301239	
571.875	0.706658005714417	571.875	-0.514955580234528	
575	0.705150067806244	575	-0.520266652107239	
578.125	0.704813539981842	578.125	-0.522810399532318	
581.25	0.701106727123261	581.25	-0.519255757331848	
584.375	0.695180356502533	584.375	-0.527557373046875	
587.5	0.695539653301239	587.5	-0.527985453605652	
590.625	0.692345499992371	590.625	-0.531086981296539	
593.75	0.687518954277039	593.75	-0.533362090587616	
596.875	0.686409413814545	596.875	-0.5327028632164	
600	0.68731552362442	600	-0.533976018428802	
603.125	0.680736184120178	603.125	-0.538598299026489	
606.25	0.677768528461456	606.25	-0.534766793251038	
609.375	0.669264137744904	609.375	-0.539601683616638	
612.5	0.671716749668121	612.5	-0.53938227891922	
615.625	0.667273044586182	615.625	-0.540539622306824	
618.75	0.666974067687988	618.75	-0.543975651264191	
621.875	0.662135004997253	621.875	-0.545363306999207	
