Frequency in Hz	Acrylic_99 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_99 Sound Absorption Coefficient continuous	
125	0,0606591440737247	100	0,045511387132969	
160	0,0723224356770515	103,125	0,0441461946532105	
200	0,0886707380414009	106,25	0,0370531092919337	
250	0,104917481541634	109,375	0,0357750872256645	
315	0,139526039361954	112,5	0,0500368874966294	
400	0,138218089938164	115,625	0,0648137817749774	
500	0,16792468726635	118,75	0,0633628670468481	
630	0,194318994879723	121,875	0,0579479436767032	
800	0,238950997591019	125	0,0578385756943139	
1000	0,305899143218994	128,125	0,0607880463742051	
1250	0,391146034002304	131,25	0,049238214396939	
1600	0,49609449505806	134,375	0,0586569369009787	
2000	0,598913192749023	137,5	0,073815476338464	
2500	0,669250845909119	140,625	0,0700927216024583	
3150	0,693376421928406	143,75	0,0752410448669824	
4000	0,645548343658447	146,875	0,0668765273126123	
		150	0,0501676056605964	
		153,125	0,0835440642817782	
		156,25	0,0708439351610236	
		159,375	0,0649331520221087	
		162,5	0,0627560022866749	
		165,625	0,0547964170912068	
		168,75	0,0936267600696459	
		171,875	0,0896472035125591	
		175	0,0831141180202187	
		178,125	0,0937314761475626	
		181,25	0,086834602215954	
		184,375	0,0868697339978449	
		187,5	0,0842257692971272	
		190,625	0,078590164181423	
		193,75	0,0865471587569794	
		196,875	0,0899646001089318	
		200	0,0949446460336525	
		203,125	0,0956130682675256	
		206,25	0,0897115413406386	
		209,375	0,098264699822131	
		212,5	0,0833675437597406	
		215,625	0,0861344103161827	
		218,75	0,0938831284025462	
		221,875	0,0813785744734716	
		225	0,0898570495613162	
		228,125	0,100029144564181	
		231,25	0,104396766374996	
		234,375	0,0910452771718021	
		237,5	0,0982012842133709	
		240,625	0,0913878443606854	
		243,75	0,102712180956277	
		246,875	0,115583560109971	
		250	0,102941307387043	
		253,125	0,104925004697765	
		256,25	0,117080763956856	
		259,375	0,118918174781208	
		262,5	0,0961405510540549	
		265,625	0,0979322249483008	
		268,75	0,0964689747717349	
		271,875	0,106603305930438	
		275	0,127354571410525	
		278,125	0,124531321252983	
		281,25	0,107322909904224	
		284,375	0,108896681710551	
		287,5	0,12293669993801	
		290,625	0,125479524762916	
		293,75	0,122753727864198	
		296,875	0,117067486107478	
		300	0,125817471065339	
		303,125	0,140193360282383	
		306,25	0,150199416305603	
		309,375	0,147191081674791	
		312,5	0,165572637375552	
		315,625	0,165723660333317	
		318,75	0,164659389643923	
		321,875	0,167644250333483	
		325	0,16367434805356	
		328,125	0,146168637779326	
		331,25	0,12779927796163	
		334,375	0,143713559484538	
		337,5	0,133190633911061	
		340,625	0,136012912013341	
		343,75	0,140258841429794	
		346,875	0,129850837485284	
		350	0,140057511244138	
		353,125	0,124236929795848	
		356,25	0,114757548501576	
		359,375	0,115060458988841	
		362,5	0,132527122843011	
		365,625	0,125100766558716	
		368,75	0,124680260333465	
		371,875	0,15520251102521	
		375	0,152039810583832	
		378,125	0,13822527948739	
		381,25	0,0957286838546956	
		384,375	0,11235988388869	
		387,5	0,131634847190529	
		390,625	0,148110572869825	
		393,75	0,123080728895761	
		396,875	0,118611225173215	
		400	0,0964791248706067	
		403,125	0,119923183434232	
		406,25	0,139595826578167	
		409,375	0,102105282038402	
		412,5	0,116700377065925	
		415,625	0,15773619107476	
		418,75	0,189081606575953	
		421,875	0,172307507940125	
		425	0,165665315883959	
		428,125	0,113738051212882	
		431,25	0,126559403841648	
		434,375	0,184879404767596	
		437,5	0,182899909176752	
		440,625	0,163119978776005	
		443,75	0,17543119771732	
		446,875	0,153200721623005	
		450	0,152038778774386	
		453,125	0,163289535881416	
		456,25	0,18540985942508	
		459,375	0,175321149411076	
		462,5	0,169161532094671	
		465,625	0,160836430685693	
		468,75	0,159908779318759	
		471,875	0,168530936391171	
		475	0,150582967689815	
		478,125	0,151000568689083	
		481,25	0,166968303905025	
		484,375	0,167028135984651	
		487,5	0,166751866778805	
		490,625	0,161704694966795	
		493,75	0,16086510381579	
		496,875	0,177425649763407	
		500	0,170154488294068	
		503,125	0,168734814005281	
		506,25	0,161295973685588	
		509,375	0,162618600279852	
		512,5	0,169470937395803	
		515,625	0,175395624299287	
		518,75	0,161706714083441	
		521,875	0,158387002781995	
		525	0,172058370669168	
		528,125	0,171214416426359	
		531,25	0,167974659939511	
		534,375	0,166883868936477	
		537,5	0,17131963688693	
		540,625	0,165907518666403	
		543,75	0,169902946323276	
		546,875	0,179889378385863	
		550	0,172928621072662	
		553,125	0,170084750713822	
		556,25	0,186811847538598	
		559,375	0,185724096466768	
		562,5	0,178051302732199	
		565,625	0,170166062640818	
		568,75	0,184365870767676	
		571,875	0,186181194637345	
		575	0,182128413196297	
		578,125	0,179147223857015	
		581,25	0,187149178647345	
		584,375	0,185079052890188	
		587,5	0,182854776157467	
		590,625	0,18229582180185	
		593,75	0,184920570952628	
		596,875	0,18572550467941	
		600	0,181505227483552	
		603,125	0,18392840692861	
		606,25	0,191753861638144	
		609,375	0,195792342147342	
		612,5	0,191393103409124	
		615,625	0,194924762991105	
		618,75	0,189773819524216	
		621,875	0,193689234085639	
		625	0,196733108357075	
		628,125	0,192889383183826	
		631,25	0,191727231331005	
		634,375	0,194685759943722	
		637,5	0,200533997957379	
		640,625	0,198952489419413	
		643,75	0,192912015058414	
		646,875	0,197358863163215	
		650	0,19939066972834	
		653,125	0,195055876712454	
		656,25	0,19325579058541	
		659,375	0,192058632380815	
		662,5	0,198636557603218	
		665,625	0,194487267943352	
		668,75	0,197243175909612	
		671,875	0,200651859504905	
		675	0,202290052713582	
		678,125	0,20684885569929	
		681,25	0,205243434779083	
		684,375	0,204625580827839	
		687,5	0,209810187618699	
		690,625	0,209931664901094	
		693,75	0,212008815270345	
		696,875	0,215668031273525	
		700	0,206576991431203	
		703,125	0,201978069276879	
		706,25	0,210612316553064	
		709,375	0,210938870327254	
		712,5	0,203850198732975	
		715,625	0,20988786962013	
		718,75	0,21685639214131	
		721,875	0,208497889343351	
		725	0,212608457958764	
		728,125	0,216789836232661	
		731,25	0,206624215332265	
		734,375	0,212248007014983	
		737,5	0,213938949456755	
		740,625	0,216565377496107	
		743,75	0,217038928701054	
		746,875	0,213686953815511	
		750	0,222894995061579	
		753,125	0,224758434806914	
		756,25	0,223278007062994	
		759,375	0,217147989137345	
		762,5	0,224242838578499	
		765,625	0,224745702277602	
		768,75	0,236500107420764	
		771,875	0,233394688491299	
		775	0,229890252825109	
		778,125	0,239686947349633	
		781,25	0,235922228890127	
		784,375	0,236918627350174	
		787,5	0,246034639795679	
		790,625	0,239232808303273	
		793,75	0,244233928015319	
		796,875	0,243837935992532	
		800	0,2435497804174	
		803,125	0,237585280442136	
		806,25	0,229157220837149	
		809,375	0,233537012465589	
		812,5	0,241930739566269	
		815,625	0,252292088041614	
		818,75	0,248728194568301	
		821,875	0,246648903991462	
		825	0,246195366328403	
		828,125	0,254291789220271	
		831,25	0,25941774025421	
		834,375	0,253645692805267	
		837,5	0,243305779003809	
		840,625	0,247017199303847	
		843,75	0,252598549031253	
		846,875	0,249933144409216	
		850	0,264617460257857	
		853,125	0,261458346929771	
		856,25	0,255964640637476	
		859,375	0,258723887532187	
		862,5	0,259030385478601	
		865,625	0,260366475288638	
		868,75	0,261564084105392	
		871,875	0,258177715187978	
		875	0,256359734202069	
		878,125	0,270344120635921	
		881,25	0,266907932555865	
		884,375	0,266204078079714	
		887,5	0,270001868382227	
		890,625	0,266301948108862	
		893,75	0,264572460329944	
		896,875	0,267503278883572	
		900	0,26644027153898	
		903,125	0,268097482418663	
		906,25	0,275602851970723	
		909,375	0,274305695234011	
		912,5	0,27508045108994	
		915,625	0,278669026401371	
		918,75	0,28455225041162	
		921,875	0,28037684858512	
		925	0,284774300815376	
		928,125	0,280030894715461	
		931,25	0,275330424127789	
		934,375	0,276978373698155	
		937,5	0,275006878693535	
		940,625	0,2806782756688	
		943,75	0,28382698586235	
		946,875	0,285600459775333	
		950	0,283899672871404	
		953,125	0,286941182400022	
		956,25	0,291639044620643	
		959,375	0,294289489170606	
		962,5	0,29342571560884	
		965,625	0,29527863212604	
		968,75	0,291030802372659	
		971,875	0,293767621224989	
		975	0,298261029280571	
		978,125	0,29450915058343	
		981,25	0,300722310657455	
		984,375	0,296430800414985	
		987,5	0,296053327369124	
		990,625	0,299966685941435	
		993,75	0,293636945368959	
		996,875	0,300664541712565	
		1000	0,303247926628214	
		1003,125	0,302722956903996	
		1006,25	0,308081935836706	
		1009,375	0,306511946848597	
		1012,5	0,303425671528369	
		1015,625	0,314434107223548	
		1018,75	0,312461829496297	
		1021,875	0,310714909649812	
		1025	0,310577765095006	
		1028,125	0,314446810434055	
		1031,25	0,312644290225295	
		1034,375	0,313095740015181	
		1037,5	0,316658268723638	
		1040,625	0,316829726678953	
		1043,75	0,319169027010274	
		1046,875	0,316976712402453	
		1050	0,318810653695714	
		1053,125	0,313714607769967	
		1056,25	0,315334551230078	
		1059,375	0,323125996563397	
		1062,5	0,32175862829155	
		1065,625	0,322974644827095	
		1068,75	0,325845046697682	
		1071,875	0,32460330903645	
		1075	0,327525021378306	
		1078,125	0,327816806042611	
		1081,25	0,330485315015007	
		1084,375	0,331766960749521	
		1087,5	0,33414882323159	
		1090,625	0,335953603885055	
		1093,75	0,336315604613032	
		1096,875	0,335637768271411	
		1100	0,335913565708932	
		1103,125	0,335581249518086	
		1106,25	0,348942804172274	
		1109,375	0,346946888870153	
		1112,5	0,339211504913128	
		1115,625	0,343243610482789	
		1118,75	0,345653692015271	
		1121,875	0,345281634903397	
		1125	0,345041282421963	
		1128,125	0,349245221658907	
		1131,25	0,348231493217399	
		1134,375	0,351245356562207	
		1137,5	0,349045968157389	
		1140,625	0,345604961060846	
		1143,75	0,348640005732493	
		1146,875	0,343904907596687	
		1150	0,344434293876154	
		1153,125	0,348341840205457	
		1156,25	0,354281330612467	
		1159,375	0,354417757197279	
		1162,5	0,356352071689679	
		1165,625	0,360483165311614	
		1168,75	0,351360246098327	
		1171,875	0,350178209959992	
		1175	0,351916656615014	
		1178,125	0,35361362629111	
		1181,25	0,356694321056586	
		1184,375	0,359548533778579	
		1187,5	0,358925676608875	
		1190,625	0,363743133742526	
		1193,75	0,370892770069249	
		1196,875	0,374808769359253	
		1200	0,367853468480285	
		1203,125	0,371558601231246	
		1206,25	0,370256080847864	
		1209,375	0,37446552518544	
		1212,5	0,37389946985187	
		1215,625	0,369207105319828	
