Frequency in Hz	Acrylic_99 Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99 Normalized Surface Impedance continuous Im	
100	2,75513792037964	100	-15,1012668609619	
103,125	2,78426265716553	103,125	-15,425820350647	
106,25	1,92436575889587	106,25	-14,1134490966797	
109,375	2,16434216499329	109,375	-15,2309322357178	
112,5	2,37486720085144	112,5	-13,3588771820068	
115,625	2,91774916648865	115,625	-12,8343648910522	
118,75	2,90583086013794	118,75	-12,968620300293	
121,875	2,56467032432556	121,875	-12,8189640045166	
125	2,52526712417603	125	-12,7363615036011	
128,125	2,54120969772339	128,125	-12,4369430541992	
131,25	1,7185640335083	131,25	-11,4987659454346	
134,375	2,20331072807312	134,375	-11,8317136764526	
137,5	2,47875595092773	137,5	-11,0553159713745	
140,625	2,56737470626831	140,625	-11,5666284561157	
143,75	2,32591772079468	143,75	-10,6108341217041	
146,875	2,05366897583008	146,875	-10,6540403366089	
150	1,61712539196014	150	-11,0493650436401	
153,125	2,2980101108551	153,125	-9,95737838745117	
156,25	1,95350420475006	156,25	-10,078483581543	
159,375	1,76067328453064	159,375	-10,0418796539307	
162,5	1,69497299194336	162,5	-10,0385694503784	
165,625	1,36996126174927	165,625	-9,71529674530029	
168,75	2,22664308547974	168,75	-9,20419788360596	
171,875	1,97675395011902	171,875	-8,90732383728027	
175	1,93155515193939	175	-9,18505096435547	
178,125	2,01983737945557	178,125	-8,77937030792236	
181,25	1,91219162940979	181,25	-8,92207717895508	
184,375	1,69655990600586	184,375	-8,41714191436768	
187,5	1,71653282642365	187,5	-8,61051654815674	
190,625	1,58306837081909	190,625	-8,59657669067383	
193,75	1,66883552074432	193,75	-8,36701011657715	
196,875	1,63633704185486	196,875	-8,11199283599854	
200	1,7721301317215	200	-8,18381309509277	
203,125	1,58759558200836	203,125	-7,72799205780029	
206,25	1,58228421211243	206,25	-7,99260091781616	
209,375	1,62365007400513	209,375	-7,69476318359375	
212,5	1,41741740703583	212,5	-7,88442802429199	
215,625	1,40363824367523	215,625	-7,70753812789917	
218,75	1,55412125587463	218,75	-7,72603511810303	
221,875	1,18369817733765	221,875	-7,30847215652466	
225	1,36669600009918	225	-7,43218851089478	
228,125	1,42452228069305	228,125	-7,14744567871094	
231,25	1,43698668479919	231,25	-7,00854873657227	
234,375	1,27246797084808	234,375	-7,12325286865234	
237,5	1,33374762535095	237,5	-6,99147462844849	
240,625	1,19926857948303	240,625	-6,90323114395142	
243,75	1,34015452861786	243,75	-6,83478975296021	
246,875	1,45283019542694	246,875	-6,65294790267944	
250	1,21378576755524	250	-6,50102615356445	
253,125	1,29606902599335	253,125	-6,64359951019287	
256,25	1,38289356231689	256,25	-6,44729566574097	
259,375	1,32384192943573	259,375	-6,25533866882324	
262,5	1,08885657787323	262,5	-6,39838886260986	
265,625	1,08124256134033	265,625	-6,31120634078979	
268,75	1,05422973632813	268,75	-6,28433227539063	
271,875	1,10345709323883	271,875	-6,08109426498413	
275	1,31010258197784	275	-5,98428106307983	
278,125	1,29364359378815	278,125	-6,02425050735474	
281,25	1,02274858951569	281,25	-5,83327054977417	
284,375	1,03846645355225	284,375	-5,83006572723389	
287,5	1,16443800926208	287,5	-5,76217031478882	
290,625	1,15614378452301	290,625	-5,67505598068237	
293,75	1,10494112968445	293,75	-5,61910629272461	
296,875	1,00760507583618	296,875	-5,51341104507446	
300	1,03209412097931	300	-5,35565280914307	
303,125	1,17783677577972	303,125	-5,37243795394897	
306,25	1,09217143058777	306,25	-4,97078657150269	
309,375	1,12904822826385	309,375	-5,11367511749268	
312,5	1,22389769554138	312,5	-4,96204662322998	
315,625	1,22632789611816	315,625	-4,96415233612061	
318,75	1,25172078609467	318,75	-5,03361415863037	
321,875	1,34030306339264	321,875	-5,14807510375977	
325	1,32146179676056	325	-5,18707227706909	
328,125	1,21589839458466	328,125	-5,32575273513794	
