Frequency in Hz	Acrylic_99_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_98_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_98_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_96_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_96_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_97_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_97_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_95_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_95_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_94_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_94_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_93_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_93_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_92_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_92_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Acrylic_99_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_99_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_98_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_98_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_96_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_96_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_97_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_97_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_95_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_95_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_94_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_94_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_93_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_93_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_92_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Acrylic_92_HF Normalized Surface Impedance continuous Im	
556,25	0,720437228679657	100	2,75513792037964	100	1,93209540843964	556,25	0,818641901016235	556,25	1,14418399333954	100	2,04736423492432	100	1,79595243930817	556,25	0,886727511882782	556,25	1,32618892192841	100	2,08533406257629	100	1,96783375740051	556,25	1,42608106136322	556,25	1,55057454109192	100	2,03456401824951	100	2,04132533073425	556,25	1,83884084224701	556,25	-3,50801277160645	100	-15,1012668609619	100	-14,5266065597534	556,25	-3,2139093875885	556,25	-2,85025072097778	100	-14,0098075866699	100	-13,8770685195923	556,25	-2,89946007728577	556,25	-2,70450568199158	100	-13,6020221710205	100	-13,4808330535889	556,25	-2,55901670455933	556,25	-2,5246684551239	100	-13,2906007766724	100	-13,1379432678223	556,25	-2,34226489067078	
559,375	0,722239196300507	103,125	2,78426265716553	103,125	1,94158697128296	559,375	0,820082664489746	559,375	1,15486371517181	103,125	2,06705045700073	103,125	1,86074817180634	559,375	0,894225180149078	559,375	1,3397421836853	103,125	2,14483952522278	103,125	2,08548378944397	559,375	1,44297802448273	559,375	1,56942641735077	103,125	2,19417452812195	103,125	2,10848426818848	559,375	1,86158859729767	559,375	-3,52899885177612	103,125	-15,425820350647	103,125	-14,7527418136597	559,375	-3,23113822937012	559,375	-2,86120128631592	103,125	-14,3417472839355	103,125	-14,2097673416138	559,375	-2,9124858379364	559,375	-2,71268916130066	103,125	-13,8905372619629	103,125	-13,6855144500732	559,375	-2,56524038314819	559,375	-2,52993178367615	103,125	-13,5737457275391	103,125	-13,4443311691284	559,375	-2,34154415130615	
562,5	0,67876124382019	106,25	1,92436575889587	106,25	1,32850277423859	562,5	0,775307297706604	562,5	1,12413954734802	106,25	1,45845329761505	106,25	1,24308168888092	562,5	0,866424798965454	562,5	1,310662150383	106,25	1,59415090084076	106,25	1,54958295822144	562,5	1,41891074180603	562,5	1,54922378063202	106,25	1,64564299583435	106,25	1,56776583194733	562,5	1,84516131877899	562,5	-3,49703621864319	106,25	-14,1134490966797	106,25	-13,476448059082	562,5	-3,2040913105011	562,5	-2,84279012680054	106,25	-13,1651563644409	106,25	-13,005916595459	562,5	-2,89004015922546	562,5	-2,69701242446899	106,25	-12,8246212005615	106,25	-12,6079301834106	562,5	-2,55347180366516	562,5	-2,52123475074768	106,25	-12,5303382873535	106,25	-12,4247131347656	562,5	-2,33804559707642	
565,625	0,645363092422485	109,375	2,16434216499329	109,375	1,47462856769562	565,625	0,742424249649048	565,625	1,10839748382568	109,375	1,55198502540588	109,375	1,35401165485382	565,625	0,846617639064789	565,625	1,29920065402985	109,375	1,72071266174316	109,375	1,64414978027344	565,625	1,41248846054077	565,625	1,54641008377075	109,375	1,75585961341858	109,375	1,69693064689636	565,625	1,84961497783661	565,625	-3,51299953460693	109,375	-15,2309322357178	109,375	-14,5160388946533	565,625	-3,21824026107788	565,625	-2,85689854621887	109,375	-14,1367120742798	109,375	-13,9465599060059	565,625	-2,90316534042358	565,625	-2,71141052246094	109,375	-13,7109785079956	109,375	-13,5021057128906	565,625	-2,56730318069458	565,625	-2,53622031211853	109,375	-13,4023447036743	109,375	-13,2637147903442	565,625	-2,35159039497375	
568,75	0,689473867416382	112,5	2,37486720085144	112,5	1,77686905860901	568,75	0,7734375	568,75	1,13342487812042	112,5	1,78756630420685	112,5	1,63044989109039	568,75	0,875285267829895	568,75	1,31861925125122	112,5	1,91471672058105	112,5	1,84943175315857	568,75	1,4285614490509	568,75	1,55960607528687	112,5	1,89485728740692	112,5	1,91976928710938	568,75	1,85535204410553	568,75	-3,45559668540955	112,5	-13,3588771820068	112,5	-12,8366222381592	568,75	-3,15754008293152	568,75	-2,80098628997803	112,5	-12,5297069549561	112,5	-12,3422222137451	568,75	-2,85454392433167	568,75	-2,6541051864624	112,5	-12,1469469070435	112,5	-11,9702100753784	568,75	-2,5137197971344	568,75	-2,48321342468262	112,5	-11,915210723877	112,5	-11,7414150238037	568,75	-2,2965841293335	
571,875	0,693817615509033	115,625	2,91774916648865	115,625	2,29608654975891	571,875	0,774924516677856	571,875	1,14126527309418	115,625	2,29604530334473	115,625	2,13551926612854	571,875	0,881457030773163	571,875	1,32646238803864	115,625	2,39854645729065	115,625	2,33013916015625	571,875	1,43765962123871	571,875	1,56977939605713	115,625	2,40627408027649	115,625	2,40515851974487	571,875	1,86653745174408	571,875	-3,44972276687622	115,625	-12,8343648910522	115,625	-12,3551959991455	571,875	-3,1463828086853	571,875	-2,79112958908081	115,625	-12,0875272750854	115,625	-11,9117631912231	571,875	-2,84789443016052	571,875	-2,64280891418457	115,625	-11,691333770752	115,625	-11,5132026672363	571,875	-2,50262689590454	571,875	-2,47256922721863	115,625	-11,4766864776611	115,625	-11,3209800720215	571,875	-2,28301811218262	
575	0,66916161775589	118,75	2,90583086013794	118,75	2,29225635528564	575	0,750891089439392	575	1,12537908554077	118,75	2,28050971031189	118,75	2,1437201499939	575	0,864989995956421	575	1,31081831455231	118,75	2,39017367362976	118,75	2,32309722900391	575	1,42416453361511	575	1,55694460868835	118,75	2,38804912567139	118,75	2,39899611473084	575	1,85639309883118	575	-3,42690634727478	118,75	-12,968620300293	118,75	-12,465672492981	575	-3,12173581123352	575	-2,77652144432068	118,75	-12,1665840148926	118,75	-12,0067205429077	575	-2,83256340026855	575	-2,62998557090759	118,75	-11,7642469406128	118,75	-11,5588293075562	575	-2,49295949935913	575	-2,46441411972046	118,75	-11,5108594894409	118,75	-11,3433485031128	575	-2,27734231948853	
578,125	0,656782388687134	121,875	2,56467032432556	121,875	2,00466060638428	578,125	0,739119589328766	578,125	1,1209009885788	121,875	1,98857235908508	121,875	1,8417466878891	578,125	0,858150362968445	578,125	1,30776119232178	121,875	2,13206458091736	121,875	2,07153987884521	578,125	1,42358303070068	578,125	1,55669212341309	121,875	2,11930418014526	121,875	2,14541363716125	578,125	1,85993194580078	578,125	-3,42481470108032	121,875	-12,8189640045166	121,875	-12,3049745559692	578,125	-3,11376333236694	578,125	-2,77349758148193	121,875	-12,0209608078003	121,875	-11,8264627456665	578,125	-2,82981276512146	578,125	-2,62647366523743	121,875	-11,6368780136108	121,875	-11,4049386978149	578,125	-2,49037218093872	578,125	-2,46234321594238	121,875	-11,3524551391602	121,875	-11,2029390335083	578,125	-2,27475357055664	
581,25	0,697253525257111	125	2,52526712417603	125	1,97245848178864	581,25	0,776572048664093	581,25	1,152672290802	125	1,97214984893799	125	1,82034158706665	581,25	0,888501286506653	581,25	1,33728909492493	125	2,10333943367004	125	2,05522394180298	581,25	1,45128726959229	581,25	1,58415269851685	125	2,09992408752441	125	2,16283464431763	581,25	1,88535237312317	581,25	-3,42769598960876	125	-12,7363615036011	125	-12,2238655090332	581,25	-3,10555076599121	581,25	-2,76136684417725	125	-11,9475612640381	125	-11,7416648864746	581,25	-2,82267761230469	581,25	-2,61012887954712	125	-11,5701513290405	125	-11,3266248703003	581,25	-2,473712682724	581,25	-2,44355344772339	125	-11,2699375152588	125	-11,15882396698	581,25	-2,2503924369812	
584,375	0,662768721580505	128,125	2,54120969772339	128,125	2,00236248970032	584,375	0,743570029735565	584,375	1,12282919883728	128,125	1,98767995834351	128,125	1,84418022632599	584,375	0,860225021839142	584,375	1,30607306957245	128,125	2,11878490447998	128,125	2,06917929649353	584,375	1,42159140110016	584,375	1,5533195734024	128,125	2,10812759399414	128,125	2,16679358482361	584,375	1,85429203510284	584,375	-3,36558532714844	128,125	-12,4369430541992	128,125	-11,921350479126	584,375	-3,04590082168579	584,375	-2,72105932235718	128,125	-11,6708269119263	128,125	-11,4490919113159	584,375	-2,78089451789856	584,375	-2,57441854476929	128,125	-11,3090982437134	128,125	-11,0633316040039	584,375	-2,44334006309509	584,375	-2,41570258140564	128,125	-11,0062942504883	128,125	-10,8738899230957	584,375	-2,22940111160278	
