Frequency in Hz	Acrylic_99_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_99_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_98_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_98_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_96_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_97_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_97_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_95_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_95_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_94_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_94_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_93_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_93_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Acrylic_99_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_99_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_98_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_98_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_96_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_96_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_97_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_97_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_95_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_95_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_94_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_94_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_93_HF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_93_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Acrylic_92_HF Sound Reflection Factor continuous Im	
556,25	0,774606227874756	100	0,968984961509705	100	0,97329843044281	556,25	0,733271896839142	556,25	0,662902653217316	100	0,970350801944733	100	0,97209495306015	556,25	0,684667944908142	556,25	0,634405255317688	100	0,968279778957367	100	0,968848347663879	556,25	0,609780311584473	556,25	0,603929042816162	100	0,967343688011169	100	0,966552257537842	556,25	0,580835103988647	556,25	-0,459583312273026	100	-0,12472689896822	100	-0,132288873195648	556,25	-0,471362709999084	556,25	-0,448101401329041	100	-0,136307939887047	100	-0,138500347733498	556,25	-0,484591752290726	556,25	-0,425052762031555	100	-0,13984189927578	100	-0,141500681638718	556,25	-0,411601573228836	556,25	-0,392048090696335	100	-0,143026068806648	100	-0,144487947225571	556,25	-0,345843702554703	
559,375	0,77662181854248	103,125	0,969999074935913	103,125	0,974002361297607	559,375	0,735317587852478	559,375	0,664087533950806	103,125	0,971481561660767	103,125	0,972767949104309	559,375	0,68614399433136	559,375	0,635357558727264	103,125	0,968991458415985	103,125	0,968645632266998	559,375	0,610637307167053	559,375	0,604779839515686	103,125	0,967146456241608	103,125	0,967350006103516	559,375	0,581379532814026	559,375	-0,457718849182129	103,125	-0,122292928397655	103,125	-0,130384281277657	559,375	-0,469882756471634	559,375	-0,44602045416832	103,125	-0,133354216814041	103,125	-0,135265827178955	559,375	-0,482572644948959	559,375	-0,422765225172043	103,125	-0,136962532997131	103,125	-0,139070883393288	559,375	-0,408848851919174	559,375	-0,389145225286484	103,125	-0,139612168073654	103,125	-0,141212537884712	559,375	-0,342543393373489	
562,5	0,776871740818024	106,25	0,971846103668213	106,25	0,975101113319397	562,5	0,735382616519928	562,5	0,662658929824829	106,25	0,972587168216705	106,25	0,974244892597198	562,5	0,684615671634674	562,5	0,633607268333435	106,25	0,9696946144104	106,25	0,969181954860687	562,5	0,608949542045593	562,5	0,603393077850342	106,25	0,967737793922424	106,25	0,968095719814301	562,5	0,580403029918671	562,5	-0,464799582958221	106,25	-0,135875195264816	106,25	-0,144104942679405	562,5	-0,477584004402161	562,5	-0,451472133398056	106,25	-0,146797105669975	106,25	-0,149334281682968	562,5	-0,488352656364441	562,5	-0,427654772996902	106,25	-0,149819880723953	106,25	-0,152398273348808	562,5	-0,412804156541824	562,5	-0,39225235581398	106,25	-0,152800798416138	106,25	-0,154375985264778	562,5	-0,344808876514435	
565,625	0,781323611736298	109,375	0,973847806453705	109,375	0,97717547416687	565,625	0,739802956581116	565,625	0,665525078773499	109,375	0,975266575813293	109,375	0,97646552324295	565,625	0,688028275966644	565,625	0,636146903038025	109,375	0,972151398658752	109,375	0,972063660621643	565,625	0,611238420009613	565,625	0,605715692043304	109,375	0,97055983543396	109,375	0,970557451248169	565,625	0,582482635974884	565,625	-0,466893881559372	109,375	-0,125878408551216	109,375	-0,133887603878975	565,625	-0,480581372976303	565,625	-0,453216642141342	109,375	-0,13701069355011	109,375	-0,139432206749916	565,625	-0,490467250347137	565,625	-0,429086148738861	109,375	-0,140342429280281	109,375	-0,142654210329056	565,625	-0,413709282875061	565,625	-0,392706573009491	109,375	-0,143173977732658	109,375	-0,14480072259903	565,625	-0,344548225402832	
568,75	0,771622836589813	112,5	0,964446902275085	112,5	0,96780252456665	568,75	0,729558765888214	568,75	0,655816614627838	112,5	0,966162919998169	112,5	0,966964483261108	568,75	0,678479790687561	568,75	0,626639425754547	112,5	0,962642371654511	112,5	0,962360203266144	568,75	0,602419376373291	568,75	0,597480773925781	112,5	0,961492359638214	112,5	0,960108578205109	568,75	0,574695587158203	568,75	-0,467115491628647	112,5	-0,140731364488602	112,5	-0,148839145898819	568,75	-0,481510698795319	568,75	-0,451880365610123	112,5	-0,152092695236206	112,5	-0,155004635453224	568,75	-0,489415436983109	568,75	-0,427382856607437	112,5	-0,155686289072037	112,5	-0,158121526241302	568,75	-0,411521971225739	568,75	-0,390505850315094	112,5	-0,15849706530571	112,5	-0,160417318344116	568,75	-0,342075973749161	
571,875	0,770634710788727	115,625	0,956486284732819	115,625	0,959684610366821	571,875	0,727982640266418	571,875	0,653948664665222	115,625	0,958004713058472	115,625	0,958667457103729	571,875	0,677013695240021	571,875	0,624669313430786	115,625	0,954147219657898	115,625	0,953633308410645	571,875	0,600558042526245	571,875	0,595862925052643	115,625	0,952465176582336	115,625	0,951271235942841	571,875	0,573089182376862	571,875	-0,467138111591339	115,625	-0,142548874020576	115,625	-0,151119977235794	571,875	-0,482201248407364	571,875	-0,451076298952103	115,625	-0,154008477926254	115,625	-0,157021343708038	571,875	-0,488892823457718	571,875	-0,426367253065109	115,625	-0,157737970352173	115,625	-0,160302266478539	571,875	-0,410087674856186	571,875	-0,388849318027496	115,625	-0,160158023238182	115,625	-0,162006363272667	571,875	-0,340007841587067	
575	0,770242810249329	118,75	0,957415878772736	118,75	0,960389614105225	575	0,726655066013336	575	0,652326941490173	118,75	0,958680510520935	118,75	0,959184229373932	575	0,6756991147995	575	0,622929930686951	118,75	0,954764723777771	118,75	0,954053103923798	575	0,599027395248413	575	0,594499528408051	118,75	0,952936828136444	118,75	0,95152074098587	575	0,571924269199371	575	-0,471707701683044	118,75	-0,141393110156059	118,75	-0,149979263544083	575	-0,487357944250107	575	-0,454188048839569	118,75	-0,153243586421013	118,75	-0,155886575579643	575	-0,492551058530808	575	-0,429150491952896	118,75	-0,156970918178558	118,75	-0,159818440675735	575	-0,412351787090302	575	-0,390826255083084	118,75	-0,15989662706852	118,75	-0,161788135766983	575	-0,341295808553696	
578,125	0,771072268486023	121,875	0,95972865819931	121,875	0,962544858455658	578,125	0,726554751396179	578,125	0,652040660381317	121,875	0,961044490337372	121,875	0,961582660675049	578,125	0,675731420516968	578,125	0,622425138950348	121,875	0,956866562366486	121,875	0,95596581697464	578,125	0,598601937294006	578,125	0,594169676303864	121,875	0,954991102218628	121,875	0,953538775444031	578,125	0,571664929389954	578,125	-0,47322753071785	121,875	-0,144820287823677	121,875	-0,153389990329742	578,125	-0,489583164453506	578,125	-0,45502570271492	121,875	-0,156691178679466	121,875	-0,159881070256233	578,125	-0,493834853172302	578,125	-0,429719686508179	121,875	-0,160258039832115	121,875	-0,163503482937813	578,125	-0,412459820508957	578,125	-0,390854060649872	121,875	-0,163806289434433	121,875	-0,165479809045792	578,125	-0,3406922519207	
581,25	0,767972648143768	125	0,959628760814667	125	0,962435364723206	581,25	0,722424805164337	581,25	0,648805439472198	125	0,960783839225769	125	0,961317777633667	581,25	0,672531604766846	581,25	0,619200468063354	125	0,956747591495514	125	0,955601334571838	581,25	0,595766067504883	581,25	0,591399550437927	125	0,954620122909546	125	0,952977001667023	581,25	0,569013476371765	581,25	-0,468591928482056	125	-0,145856454968452	125	-0,154479831457138	581,25	-0,4852175116539	581,25	-0,450499087572098	125	-0,157642528414726	125	-0,161042138934135	581,25	-0,489455670118332	581,25	-0,425251573324203	125	-0,161257460713387	125	-0,16459909081459	581,25	-0,407932013273239	581,25	-0,38636925816536	125	-0,16498102247715	125	-0,165902256965637	581,25	-0,336142241954803	
584,375	0,764011800289154	128,125	0,957645535469055	128,125	0,960268557071686	584,375	0,716896593570709	584,375	0,643538534641266	128,125	0,958828806877136	128,125	0,959126830101013	584,375	0,667633295059204	584,375	0,613904356956482	128,125	0,954676270484924	128,125	0,95343279838562	584,375	0,590740561485291	584,375	0,586676299571991	128,125	0,952474772930145	128,125	0,950623035430908	584,375	0,564802050590515	584,375	-0,477660208940506	128,125	-0,148751497268677	128,125	-0,157759964466095	584,375	-0,494562834501266	584,375	-0,456915140151978	128,125	-0,160827815532684	128,125	-0,164532646536827	584,375	-0,496862858533859	584,375	-0,431023597717285	128,125	-0,164349526166916	128,125	-0,167858734726906	584,375	-0,412935078144073	584,375	-0,391046673059464	128,125	-0,168293282389641	128,125	-0,169546812772751	584,375	-0,339919954538345	
