Frequency in Hz	Acrylic_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_92_LF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Acrylic_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_99_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_92_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_92_HF Sound Absorption Coefficient 1/3-octave	
556,25	0,188768364646144	100	0,045511387132969	100	0,0351898748400067	556,25	0,240129512366062	556,25	0,359765158577437	100	0,0398395174553239	100	0,0358490773039175	556,25	0,296400608076313	556,25	0,416860104614336	100	0,0428784915522841	100	0,0413104771229391	556,25	0,458752148886314	556,25	0,481567993562891	100	0,0437896985290491	100	0,0449000103018151	556,25	0,54302270498408	630	0,19739493727684	125	0,0606591440737247	125	0,0523599795997143	630	0,266410619020462	630	0,416628211736679	125	0,0545715689659119	125	0,0526834651827812	630	0,33502209186554	630	0,483099848031998	125	0,0615730173885822	125	0,0624488778412342	630	0,523721396923065	630	0,545801758766174	125	0,0645929500460625	125	0,0673803761601448	630	0,606761932373047	
559,375	0,18735200640983	103,125	0,0441461946532102	103,125	0,0343193723071163	559,375	0,238518230749259	559,375	0,360053532063875	103,125	0,0384402105625299	103,125	0,0354257227003739	559,375	0,296330089042576	559,375	0,417590343599411	103,125	0,0422968033825367	103,125	0,042384970545802	559,375	0,45996466551903	559,375	0,482807336203305	103,125	0,0451361717161461	103,125	0,0442929346243444	559,375	0,544661835168833	800	0,240246593952179	160	0,0723224356770515	160	0,0648384019732475	800	0,356134235858917	800	0,51174932718277	160	0,0686028599739075	160	0,0664875358343124	800	0,417358845472336	800	0,622285544872284	160	0,0790433883666992	160	0,0818745121359825	800	0,652522683143616	800	0,67641693353653	160	0,084663413465023	160	0,0913494676351547	800	0,722329020500183	
562,5	0,180431618282447	106,25	0,0370531092919337	106,25	0,0284116127901143	562,5	0,231125964709856	562,5	0,357056004327542	106,25	0,032524753625527	106,25	0,0285461933482901	562,5	0,292813104906547	562,5	0,415653201818869	106,25	0,0372464028605236	106,25	0,0374611458723777	562,5	0,458773213096776	562,5	0,482054839289299	106,25	0,0401354807182873	106,25	0,0389587128766253	562,5	0,544239174908055	1000	0,305899143218994	200	0,0886707380414009	200	0,0836628898978233	1000	0,469048231840134	1000	0,700092136859894	200	0,0910055786371231	200	0,0873314589262009	1000	0,553017377853394	1000	0,735056340694427	200	0,105970732867718	200	0,111985385417938	1000	0,754219949245453	1000	0,777897715568542	200	0,115956425666809	200	0,128745138645172	1000	0,803866863250732	
565,625	0,171543484126417	109,375	0,0357750872256645	109,375	0,0272022510532435	565,625	0,221733111465229	565,625	0,351671012556921	109,375	0,0300831690035859	109,375	0,027073751756588	565,625	0,286058943165673	565,625	0,411202222957564	109,375	0,0352256407971762	109,375	0,0347419708758003	565,625	0,455232218721019	565,625	0,478890074137089	109,375	0,0375148388481505	109,375	0,037050974716732	565,625	0,542000479954552	1250	0,391146034002304	250	0,104917481541634	250	0,105320923030376	1250	0,605609238147736	1250	0,842670738697052	250	0,120729140937328	250	0,112497881054878	1250	0,711879193782806	1250	0,884631454944611	250	0,142069309949875	250	0,153133049607277	1250	0,909570336341858	1250	0,886102616786957	250	0,159710541367531	250	0,181919917464256	1250	0,858399868011475	
568,75	0,186401339580431	112,5	0,0500368874966294	112,5	0,0412051813168861	568,75	0,235891475910597	568,75	0,365708667355027	112,5	0,0433969903586898	112,5	0,0409532890702207	568,75	0,30013768116829	568,75	0,424666898894268	112,5	0,0490814894778252	112,5	0,0488604585230447	568,75	0,467740580059124	568,75	0,490521908856132	112,5	0,0504110771671751	112,5	0,0524577734528945	568,75	0,552708990222645	1600	0,49609449505806	315	0,139526039361954	315	0,149146169424057	1600	0,744230210781097	1600	0,948612630367279	315	0,178533956408501	315	0,161980077624321	1600	0,844189763069153	1600	0,960496246814728	315	0,206992745399475	315	0,225863352417946	1600	0,95314610004425	1600	0,937777996063232	315	0,236086770892143	315	0,270140945911407	1600	0,906042277812958	
571,875	0,187904160910883	115,625	0,0648137817749774	115,625	0,056168194187147	571,875	0,237523270645084	571,875	0,368881286631073	115,625	0,0585083160542712	115,625	0,0563010088153869	571,875	0,302636224061404	571,875	0,427999242382238	115,625	0,0647217640509037	115,625	0,0648866479306035	571,875	0,471158107951459	571,875	0,49374358650689	115,625	0,0671594751670361	115,625	0,068836971469364	571,875	0,555963482691183	2000	0,598913192749023	400	0,138218089938164	400	0,167878672480583	2000	0,855993807315826	2000	0,995583176612854	400	0,222218826413155	400	0,190189093351364	2000	0,935148417949677	2000	0,985211968421936	400	0,263468772172928	400	0,290859997272491	2000	0,959966778755188	2000	0,933955907821655	400	0,30609980225563	400	0,355585902929306	2000	0,888707995414734	
575	0,184217856737177	118,75	0,0633628670468479	118,75	0,0551580202018388	575	0,2344546505164	575	0,368182807953352	118,75	0,0574480852388919	118,75	0,0556650277212372	575	0,300824186822569	575	0,427788124531268	118,75	0,0637844016529805	118,75	0,0642407297355605	575	0,47113221917843	575	0,493825127400481	118,75	0,0663444778852684	118,75	0,0684329023838602	575	0,556419793610086	2500	0,669250845909119	500	0,167825117707253	500	0,216836526989937	2500	0,904862463474274	2500	0,985657751560211	500	0,309206187725067	500	0,255341500043869	2500	0,964081943035126	2500	0,963326871395111	500	0,362237542867661	500	0,398546457290649	2500	0,947064399719238	2500	0,927945137023926	500	0,418647676706314	500	0,478277981281281	2500	0,883547484874725	
578,125	0,181503251934791	121,875	0,0579479436767032	121,875	0,0499789493071002	578,125	0,232426476682688	578,125	0,367794620054202	121,875	0,0518413999748418	121,875	0,049796872065598	578,125	0,299514188587987	578,125	0,427927926972381	121,875	0,0587237324956419	121,875	0,0593960173894521	578,125	0,471552638207724	578,125	0,494195464211439	121,875	0,061159522769635	121,875	0,0633802696948811	578,125	0,557127978413823	3150	0,693376421928406	630	0,191243037581444	630	0,260561436414719	3150	0,894884169101715	3150	0,945327699184418	630	0,410611152648926	630	0,329195529222488	3150	0,945358633995056	3150	0,925705671310425	630	0,477198362350464	630	0,517183244228363	3150	0,933305442333221	3150	0,926483869552612	630	0,540312111377716	630	0,599867165088654	3150	0,897278547286987	
581,25	0,19063964922015	125	0,0578385756943139	125	0,0498541200968528	581,25	0,242666358162378	581,25	0,376102042942857	125	0,0520432032833872	125	0,0499335825935024	581,25	0,308134381271406	581,25	0,435751868193972	125	0,058630036831072	125	0,0597332397181403	581,25	0,47865424117371	581,25	0,500965404994513	125	0,0614817309188345	125	0,0643112875751707	581,25	0,563232071778613	4000	0,645548343658447					4000	0,841192781925201	4000	0,921345353126526					4000	0,913995087146759	4000	0,921144843101501					4000	0,948159992694855	4000	0,955370247364044					4000	0,931715488433838	
584,375	0,188126705835369	128,125	0,0607880463742051	128,125	0,0529961174173568	584,375	0,241466864630979	584,375	0,377086708167209	128,125	0,0547817642713262	128,125	0,0530046983771475	584,375	0,307393079424361	584,375	0,437340129483889	128,125	0,0615825005394063	128,125	0,0627893721039881	584,375	0,480510252893343	584,375	0,502893434670183	128,125	0,064469234672888	128,125	0,0675697345518106	584,375	0,565453077622635																																	
