Fiber Type	phi	Airflow_Resistivity	SD_Airflow_Resistivity	Tortuosity	SD_Tortuosity	Viscous_Characteristic_Length	SD_Viscous_Characteristic_Length	Thermal_Characteristic_Length	SD_Thermal_Characteristic_Length	Static_Thermal_Permeability	SD_Static_Thermal_Permeability	Sigma_Noise	SD_Sigma_Noise
Acrylic	0.92	59232.08	2256.955	2.079707	0.000520817	4.796416e-05	9.470724e-07	0.0002182776	4.162451e-05	9.086741e-10	3.383931e-11	0.04030537	0.001964927
Acrylic	0.93	38501.45	411.1098	2.058828	0.02464201	8.191388e-05	3.040817e-06	0.0002181592	4.561456e-05	8.111919e-10	3.476035e-11	0.09776689	0.001298724
Acrylic	0.94	33360.39	517.0156	1.744332	0.08325046	0.0001034266	1.277129e-05	0.0002364811	3.991661e-05	1.074676e-09	4.731923e-11	0.1079708	0.001553584
Acrylic	0.95	25404.28	279.7932	1.483603	0.02826765	0.0001592054	1.556966e-05	0.000267771	3.404523e-05	1.715432e-09	7.84327e-11	0.1243908	0.001709595
Acrylic	0.96	20410.3	197.4585	1.303918	0.0258553	0.0001800212	2.769427e-05	0.0003715766	2.875216e-05	2.056915e-09	7.021934e-11	0.1125028	0.001462921
Acrylic	0.97	13585.88	102.194	1.064942	0.01129894	0.0001901608	1.333956e-05	0.0004440835	3.539611e-05	2.419902e-09	6.389606e-11	0.07864826	0.00102319
Acrylic	0.98	10326.55	88.70704	1.010745	0.008006083	0.0002905831	2.390464e-05	0.0005325927	8.386852e-05	4.120139e-09	1.341514e-10	0.08274791	0.001140953
Acrylic	0.99	6346.836	74.39169	1.000007	2.944537e-05	0.0005949333	1.395705e-05	0.0008269474	0.0001403392	9.968952e-09	8.925965e-11	0.1114581	0.002290537
Silk	0.92	793306.8	325132.7	2.041848	0.07984825	1.024609e-05	7.495313e-08	0.0001008592	7.437395e-06	4.944975e-10	3.545788e-11	0.234855	0.03282018
Silk	0.93	793323.1	134312.8	2.032531	0.05726886	2.708957e-05	1.77849e-05	0.0001083791	9.785766e-06	4.884558e-10	2.615009e-11	0.2092162	0.01320288
Silk	0.94	487844.9	101369.4	2.048215	0.03962809	1.26328e-05	2.055694e-08	0.0001086711	1.406797e-05	5.279224e-10	4.323198e-11	0.1685777	0.0189188
Silk	0.95	342133	114331	2.026713	0.0569521	1.476434e-05	1.081797e-06	0.0001158361	5.592404e-06	4.909698e-10	2.83035e-11	0.2297804	0.03251169
Silk	0.96	169980.1	127109	2.038231	0.002453236	2.694024e-05	1.051835e-05	0.0001464445	2.045939e-05	8.465595e-10	2.808907e-10	0.143786	0.07258362
Silk	0.97	84853.54	49749.67	2.025449	0.005696252	4.059281e-05	1.26822e-05	0.0001510817	3.463914e-05	1.164151e-09	3.998735e-10	0.08980943	0.04539292
Silk	0.98	26264.41	4270.853	1.553794	0.07340834	0.0001199133	1.21265e-05	0.0002470387	2.94969e-05	1.65803e-09	1.061147e-10	0.05944166	0.01265909
Silk	0.99	10902.81	217.9083	1.146363	0.03028836	0.0001675607	2.426731e-05	0.0003493211	1.95915e-05	2.637078e-09	9.581111e-11	0.05860681	0.000767475
Wool	0.92	43345.54	254.4509	2.074726	0.008015977	8.087371e-05	1.912449e-06	0.0002554481	2.952299e-05	1.165044e-09	3.112453e-11	0.05319575	0.0007619943
Wool	0.93	35736.57	237.1947	1.81866	0.02665297	0.0001176959	6.574741e-06	0.000256782	2.4928e-05	1.405446e-09	4.148472e-11	0.064064	0.0009264377
Wool	0.94	29877.36	165.1798	1.712647	0.02507281	0.0001439674	1.133249e-05	0.0003325131	2.123094e-05	1.741096e-09	3.850144e-11	0.05600358	0.0007480685
Wool	0.95	21669.17	151.75	1.50135	0.03272248	0.0001530836	1.591986e-05	0.0003190017	2.466004e-05	1.679926e-09	3.117049e-11	0.0560827	0.0007943897
Wool	0.96	16827.47	124.1884	1.335319	0.02084327	0.000175108	1.597552e-05	0.0003968202	3.226884e-05	2.249222e-09	5.25157e-11	0.05990433	0.0007953758
Wool	0.97	11635.84	100.3996	1.222085	0.01587449	0.0002294813	2.646376e-05	0.0003631607	4.269948e-05	2.601981e-09	6.726064e-11	0.06256935	0.0008688962
Wool	0.98	6006.301	554.3008	1.038237	0.05284279	0.0002205974	7.251267e-05	0.0005683177	0.0001284657	5.20079e-09	3.523061e-10	0.05830276	0.001197852
Wool	0.99	3389.984	54.67549	1.001071	0.001270101	0.0003103663	4.242449e-06	0.0007114674	3.451298e-05	9.996551e-09	1.740053e-11	0.05804387	0.0007426284
