Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Re	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_LF Sound Reflection Factor continuous Re	Frequency in Hz	Air_HF Sound Reflection Factor continuous Re	Frequency in Hz	AED_Ref_40mm_LF Sound Reflection Factor continuous Im	Frequency in Hz	AED_Ref_40mm_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_HF Sound Reflection Factor continuous Im	Frequency in Hz	SpecimenHolder_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_LF Sound Reflection Factor continuous Im	Frequency in Hz	Air_HF Sound Reflection Factor continuous Im	
100	0,958576679229736	556,25	0,800929427146912	556,25	0,882923245429993	100	0,974916815757751	100	0,977307736873627	556,25	0,86066335439682	100	-0,0956842973828316	556,25	0,117080144584179	556,25	-0,441923648118973	100	-0,096841886639595	100	-0,10640511661768	556,25	-0,489805191755295	
103,125	0,951007008552551	559,375	0,796562910079956	559,375	0,876346707344055	103,125	0,968752801418304	103,125	0,970993399620056	559,375	0,853953123092651	103,125	-0,0856770277023315	559,375	0,11508422344923	559,375	-0,442497968673706	103,125	-0,0870104730129242	103,125	-0,0959449708461761	559,375	-0,49016210436821	
106,25	0,952493846416473	562,5	0,796403288841248	562,5	0,875947117805481	106,25	0,972275614738464	106,25	0,973249673843384	562,5	0,853341102600098	106,25	-0,116653732955456	562,5	0,11632364988327	562,5	-0,444145828485489	106,25	-0,120366640388966	106,25	-0,129423424601555	562,5	-0,492093801498413	
109,375	0,962307453155518	565,625	0,798670172691345	565,625	0,87508237361908	109,375	0,984471559524536	109,375	0,985687971115112	565,625	0,852287709712982	109,375	-0,102059826254845	565,625	0,114602260291576	565,625	-0,448532253503799	109,375	-0,103702880442142	109,375	-0,113643497228622	565,625	-0,496670305728912	
112,5	0,950814127922058	568,75	0,79768967628479	568,75	0,872304379940033	112,5	0,972666561603546	112,5	0,973975002765656	568,75	0,84949392080307	112,5	-0,106849409639835	568,75	0,115219406783581	568,75	-0,449159383773804	112,5	-0,108200073242188	112,5	-0,118663720786572	568,75	-0,49735015630722	
115,625	0,94989687204361	571,875	0,798044323921204	571,875	0,871327757835388	115,625	0,971692085266113	115,625	0,972892105579376	571,875	0,848420083522797	115,625	-0,116663038730621	571,875	0,117526389658451	571,875	-0,44932895898819	115,625	-0,11952018737793	115,625	-0,130088120698929	571,875	-0,497485369443893	
118,75	0,953557312488556	575	0,800564765930176	575	0,871908366680145	118,75	0,976815640926361	118,75	0,97798079252243	575	0,848539471626282	118,75	-0,10844574868679	575	0,117968782782555	575	-0,453575879335403	118,75	-0,110382594168186	118,75	-0,121322549879551	575	-0,502201557159424	
121,875	0,940627455711365	578,125	0,798033058643341	578,125	0,868947803974152	121,875	0,965387880802155	121,875	0,966083168983459	578,125	0,845625221729279	121,875	-0,116034016013145	578,125	0,119896300137043	578,125	-0,451501607894897	121,875	-0,118610292673111	121,875	-0,129399180412292	578,125	-0,500189363956451	
125	0,951282799243927	581,25	0,80340701341629	581,25	0,871196687221527	125	0,978335678577423	125	0,978643596172333	581,25	0,847563028335571	125	-0,118322297930717	581,25	0,120197795331478	581,25	-0,457032531499863	125	-0,119510687887669	125	-0,131019935011864	581,25	-0,505978226661682	
128,125	0,949410617351532	584,375	0,806784927845001	584,375	0,870191931724548	128,125	0,978211641311646	128,125	0,978623867034912	584,375	0,846180081367493	128,125	-0,127720102667809	584,375	0,118949919939041	584,375	-0,46220475435257	128,125	-0,13080096244812	128,125	-0,142694398760796	584,375	-0,511258184909821	
131,25	0,949094355106354	587,5	0,807870626449585	587,5	0,870287179946899	131,25	0,978705644607544	131,25	0,979073286056519	587,5	0,84629237651825	131,25	-0,125777706503868	587,5	0,120775461196899	587,5	-0,46271476149559	131,25	-0,128305271267891	131,25	-0,140624418854713	587,5	-0,511820495128632	
134,375	0,956779360771179	590,625	0,807800114154816	590,625	0,866784334182739	134,375	0,988023161888123	134,375	0,988300561904907	590,625	0,842747151851654	134,375	-0,126391381025314	590,625	0,119606643915176	590,625	-0,463944613933563	134,375	-0,127491146326065	134,375	-0,140414491295815	590,625	-0,512809097766876	
137,5	0,932542383670807	593,75	0,80891478061676	593,75	0,865093052387238	137,5	0,964591205120087	137,5	0,964813351631165	593,75	0,840791821479797	137,5	-0,141051188111305	593,75	0,119562700390816	593,75	-0,466620057821274	137,5	-0,14482755959034	137,5	-0,157538875937462	593,75	-0,515306413173676	
140,625	0,930337727069855	596,875	0,810823440551758	596,875	0,865641236305237	140,625	0,963991284370422	140,625	0,963987588882446	596,875	0,841084659099579	140,625	-0,130103692412376	596,875	0,121018938720226	596,875	-0,467315971851349	140,625	-0,133238166570663	140,625	-0,146111324429512	596,875	-0,51628702878952	
143,75	0,926349103450775	600	0,813363611698151	600	0,86328125	143,75	0,96197122335434	143,75	0,961856305599213	600	0,836701989173889	143,75	-0,141184657812119	600	0,117953158915043	600	-0,472950637340546	143,75	-0,143885582685471	143,75	-0,157256111502647	600	-0,518091440200806	
146,875	0,942131578922272	603,125	0,813884615898132	603,125	0,863137125968933	146,875	0,979653596878052	146,875	0,979963898658752	603,125	0,836254179477692	146,875	-0,130393803119659	603,125	0,120164595544338	603,125	-0,472597897052765	146,875	-0,131854444742203	146,875	-0,145626544952393	603,125	-0,521840870380402	
