Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient continuous	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_LF Sound Absorption Coefficient continuous	Frequency in Hz	Air_HF Sound Absorption Coefficient continuous	Frequency in Hz	AED_Ref_40mm_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	AED_Ref_40mm_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	SpecimenHolder_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Air_HF Sound Absorption Coefficient 1/3-octave	
100	0,0719752314833264	556,25	0,344804254463633	556,25	0,0251500381953282	100	0,0401587955166147	100	0,0335475374345741	556,25	0,0193494633107009	125	0,0892725735902786	630	0,312525004148483	630	0,0308351125568151	125	0,0360702537000179	125	0,031852949410677	630	0,0236926265060902	
103,125	0,0882450806146486	559,375	0,352243138191949	559,375	0,0362120287387957	103,125	0,0539472319237385	103,125	0,0479663481618101	559,375	0,0305051923983222	160	0,125166147947311	800	0,319407969713211	800	0,0259839855134487	160	0,0368494093418121	160	0,0331916362047195	800	0,0161601733416319	
106,25	0,0791474330798083	562,5	0,352210657090749	562,5	0,0354511249839613	106,25	0,0401920408035755	106,25	0,0360346209833998	562,5	0,0296526576859019	200	0,19668260216713	1000	0,30556258559227	1000	0,0338402688503265	200	0,0395015887916088	200	0,0363681204617023	1000	0,0220262762159109	
109,375	0,0635481675381961	565,625	0,348992233449114	565,625	0,0330497164326002	109,375	0,0200615128206301	109,375	0,0155043998898921	565,625	0,0269242557814502	250	0,350178331136703	1250	0,347941726446152	1250	0,0502023175358772	250	0,0421569123864174	250	0,0389070734381676	1250	0,0332266539335251	
112,5	0,0845356612928164	568,75	0,350415675269059	568,75	0,0373408678687018	112,5	0,0422124482590522	112,5	0,0372915798491291	568,75	0,0310029536598451	315	0,557201862335205	1600	0,364490032196045	1600	0,0671504735946655	315	0,0566337555646896	315	0,0539084672927856	1600	0,0416902415454388	
115,625	0,0840856340277124	571,875	0,349312812345204	571,875	0,0388914124471244	115,625	0,0415293668907397	115,625	0,0365580624833688	571,875	0,0326916778934265	400	0,526172757148743	2000	0,3645039498806	2000	0,07536531239748	400	0,0412177592515945	400	0,0372133851051331	2000	0,0401013232767582	
118,75	0,0789679602578102	575	0,34517942347723	575	0,0340446758061649	118,75	0,033646920377278	118,75	0,0288343542512901	575	0,0277744100540938	500	0,394701540470123	2500	0,343699991703033	2500	0,0886755660176277	500	0,0255886968225241	500	0,0204280372709036	2500	0,0416612736880779	
121,875	0,101756121878824	578,125	0,348768094407668	578,125	0,0410759895905211	121,875	0,0539578085773735	121,875	0,0499392161575969	578,125	0,0347285745085455	630	0,309057027101517	3150	0,398456782102585	3150	0,125669941306114	630	0,0249380432069302	630	0,0179700180888176	3150	0,0783621147274971	
125	0,0810608890164243	581,25	0,340089634004536	581,25	0,0321376132705613	125	0,0285764982953469	125	0,0250904940169959	581,25	0,0256228820228009			4000	0,340914994478226	4000	0,0835919752717018					4000	0,0466981455683708	
128,125	0,0823071084332903	584,375	0,334949026271132	584,375	0,0291327164287524	128,125	0,0259930345359272	128,125	0,0219336598872104	584,375	0,0225943906705913													
131,25	0,0833998219933317	587,5	0,332758322269878	587,5	0,028495256834594	131,25	0,0256730630755941	131,25	0,0216402343301056	587,5	0,0218289731524273													
134,375	0,0685984829300059	590,625	0,333153195445117	590,625	0,0334402828958074	134,375	0,00755621077643032	134,375	0,00354573536973979	590,625	0,0268040197727748													
