Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Re	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Re	Frequency in Hz	AED_Ref_40mm_LF Normalized Surface Impedance continuous Im	Frequency in Hz	AED_Ref_40mm_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_HF Normalized Surface Impedance continuous Im	Frequency in Hz	SpecimenHolder_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Air_HF Normalized Surface Impedance continuous Im	
100	6,62061882019043	556,25	6,46465444564819	556,25	0,120333127677441	100	4,01286363601685	100	2,8341281414032	556,25	0,0746150463819504	100	-17,6029796600342	556,25	4,39021682739258	556,25	-4,22886419296265	100	-19,353832244873	100	-17,9784107208252	556,25	-3,77755641937256	
103,125	9,05926609039307	559,375	6,44767618179321	559,375	0,171544089913368	103,125	6,31167650222778	103,125	4,77428197860718	559,375	0,116615183651447	103,125	-17,5912570953369	559,375	4,21314573287964	559,375	-4,19241428375244	103,125	-20,3599681854248	103,125	-19,0995712280273	559,375	-3,7475802898407	
106,25	4,98882961273193	562,5	6,40583038330078	562,5	0,166707500815392	106,25	2,63437414169312	106,25	2,06312942504883	562,5	0,112463377416134	106,25	-14,7058610916138	562,5	4,23127222061157	562,5	-4,17715644836426	106,25	-15,7787837982178	106,25	-14,8200397491455	562,5	-3,73271799087524	
109,375	5,36863279342651	565,625	6,50287628173828	565,625	0,152453452348709	109,375	1,82453346252441	109,375	1,18176674842834	565,625	0,100276485085487	109,375	-17,2442970275879	565,625	4,27083587646484	565,625	-4,13802623748779	109,375	-18,862922668457	109,375	-17,3241271972656	565,625	-3,69958829879761	
112,5	6,10981416702271	568,75	6,46463966369629	568,75	0,171248838305473	112,5	3,38936829566956	112,5	2,52680730819702	568,75	0,114821814000607	112,5	-15,4450807571411	568,75	4,25124788284302	568,75	-4,1197772026062	112,5	-17,3754367828369	112,5	-16,0808620452881	568,75	-3,68394875526428	
115,625	5,21604061126709	571,875	6,39784049987793	571,875	0,178031042218208	115,625	2,75276637077332	115,625	2,07036828994751	571,875	0,120870694518089	115,625	-14,4737958908081	571,875	4,30511045455933	571,875	-4,11373472213745	115,625	-15,8447465896606	115,625	-14,7343873977661	571,875	-3,67869806289673	
118,75	5,67404413223267	575	6,42899417877197	575	0,153258726000786	118,75	2,64481735229492	118,75	1,89649724960327	575	0,100943967700005	118,75	-15,5841932296753	575	4,39435577392578	575	-4,08372068405151	118,75	-17,3532543182373	118,75	-15,9592876434326	575	-3,65042757987976	
121,875	5,98953247070313	578,125	6,32218408584595	578,125	0,185840338468552	121,875	3,53441619873047	121,875	2,79075789451599	578,125	0,126736924052238	121,875	-13,6599044799805	578,125	4,34676504135132	578,125	-4,08546304702759	121,875	-15,5387382507324	121,875	-14,4624519348145	578,125	-3,65073776245117	
125	4,9507269859314	581,25	6,40514659881592	581,25	0,142536655068398	125	1,93710780143738	125	1,42379069328308	581,25	0,0917557552456856	125	-14,4528732299805	581,25	4,52753877639771	581,25	-4,05406045913696	125	-16,2024803161621	125	-14,8697719573975	581,25	-3,62382411956787	
128,125	4,36140108108521	584,375	6,50624561309814	584,375	0,126398339867592	128,125	1,47825253009796	128,125	1,05355906486511	584,375	0,0792659148573875	128,125	-13,5356130599976	584,375	4,62110567092896	584,375	-4,01074314117432	128,125	-14,877589225769	128,125	-13,7083368301392	584,375	-3,58720397949219	
131,25	4,52978944778442	587,5	6,46127605438232	587,5	0,123393341898918	131,25	1,51770687103271	131,25	1,07060170173645	587,5	0,0764357075095177	131,25	-13,6630144119263	587,5	4,69027233123779	587,5	-4,00739622116089	131,25	-15,1699695587158	131,25	-13,9141492843628	587,5	-3,58434963226318	
134,375	3,84460186958313	590,625	6,50098943710327	590,625	0,143526002764702	134,375	0,460816562175751	134,375	0,178598523139954	590,625	0,0931660085916519	134,375	-14,1672096252441	590,625	4,66789150238037	590,625	-3,98251080513	134,375	-15,5501308441162	134,375	-14,1453428268433	590,625	-3,56486773490906	
137,5	4,51891613006592	593,75	6,52173757553101	593,75	0,14359849691391	137,5	2,18584561347961	137,5	1,70078587532043	593,75	0,0946359187364578	137,5	-11,5398321151733	593,75	4,70637798309326	593,75	-3,95551061630249	137,5	-13,0306215286255	137,5	-12,0920524597168	593,75	-3,54298901557922	
140,625	5,39696168899536	596,875	6,50204133987427	596,875	0,13653127849102	140,625	2,78063583374023	140,625	2,18054962158203	596,875	0,0891834050416946	140,625	-11,9471855163574	596,875	4,79916286468506	596,875	-3,95299363136292	140,625	-13,9889650344849	140,625	-12,9042749404907	596,875	-3,53855895996094	
143,75	4,80898904800415	600	6,65749168395996	600	0,128162026405334	143,75	2,43386697769165	143,75	1,91346395015717	600	0,106786355376244	143,75	-11,1355066299438	600	4,8394923210144	600	-3,90264630317688	143,75	-12,9923667907715	143,75	-12,0114231109619	600	-3,51147270202637	
146,875	4,68695020675659	603,125	6,58440065383911	603,125	0,130723312497139	146,875	1,28616619110107	146,875	0,854462385177612	603,125	0,0948117300868034	146,875	-12,8142995834351	603,125	4,89683485031128	603,125	-3,90447354316711	146,875	-14,8154640197754	146,875	-13,4786128997803	603,125	-3,48905038833618	
