Frequency in Hz	Ref_Specimen_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Ref_Specimen_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Ref_Specimen_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Ref_Specimen_LF Normalized Surface Impedance continuous Im	
556,25	7,52613210678101	100	5,5263204574585	556,25	2,81952548027039	100	-17,0637016296387	
559,375	7,45393991470337	103,125	5,95639610290527	559,375	2,98385429382324	103,125	-17,6964740753174	
562,5	7,61640739440918	106,25	4,72401237487793	562,5	3,07774972915649	106,25	-16,3086795806885	
565,625	7,67390489578247	109,375	5,48562383651733	565,625	3,28911638259888	109,375	-17,7593517303467	
568,75	7,55682134628296	112,5	5,16725873947144	568,75	3,06276273727417	112,5	-15,1017255783081	
571,875	7,50706052780151	115,625	5,74842929840088	571,875	3,13163280487061	115,625	-14,171760559082	
575	7,61545515060425	118,75	5,86791801452637	575	3,17877411842346	118,75	-14,2823333740234	
578,125	7,63973140716553	121,875	5,59971618652344	578,125	3,30493831634521	121,875	-14,1340360641479	
581,25	7,47414779663086	125	5,62590074539185	581,25	3,30427408218384	125	-13,9962635040283	
584,375	7,66227626800537	128,125	5,56110334396362	584,375	3,22257208824158	128,125	-13,5381097793579	
587,5	7,63543224334717	131,25	4,29097938537598	587,5	3,37104034423828	131,25	-12,6992053985596	
590,625	7,69802522659302	134,375	5,17198276519775	590,625	3,35085248947144	134,375	-12,8343067169189	
593,75	7,73342990875244	137,5	5,23955059051514	593,75	3,26655626296997	137,5	-11,696813583374	
596,875	7,65904808044434	140,625	5,64864635467529	596,875	3,37786054611206	140,625	-12,1634149551392	
600	7,63343238830566	143,75	5,06928873062134	600	3,62842202186584	143,75	-11,0558519363403	
603,125	7,76233625411987	146,875	4,8829174041748	603,125	3,46138834953308	146,875	-11,1342391967773	
606,25	7,58474445343018	150	4,66402387619019	606,25	3,414630651474	150	-11,7333164215088	
609,375	7,7499303817749	153,125	5,02563667297363	609,375	3,22308087348938	153,125	-10,0645399093628	
612,5	7,6606650352478	156,25	4,7782826423645	612,5	3,46888208389282	156,25	-10,2466106414795	
615,625	7,63766193389893	159,375	4,65038585662842	615,625	3,39367628097534	159,375	-10,2071762084961	
618,75	7,76452159881592	162,5	4,69499349594116	618,75	3,4919753074646	162,5	-10,1321668624878	
621,875	7,72546529769897	165,625	4,27728652954102	621,875	3,38783550262451	165,625	-9,84809684753418	
625	7,58340406417847	168,75	4,98159837722778	625	3,42393374443054	168,75	-8,79193878173828	
628,125	7,80134296417236	171,875	4,67213773727417	628,125	3,42314982414246	171,875	-8,49617671966553	
631,25	7,77216005325317	175	4,85907888412476	631,25	3,53315472602844	175	-8,68492317199707	
634,375	7,72560262680054	178,125	4,81994104385376	634,375	3,52488231658936	178,125	-8,12475299835205	
637,5	7,59989309310913	181,25	4,88475036621094	637,5	3,48863554000854	181,25	-8,1989631652832	
640,625	7,74897289276123	184,375	4,49942541122437	640,625	3,45528864860535	184,375	-7,74004793167114	
643,75	7,8094744682312	187,5	4,71697187423706	643,75	3,57211375236511	187,5	-7,77627801895142	
646,875	7,74455308914185	190,625	4,67176866531372	646,875	3,53892040252686	190,625	-7,72687673568726	
650	7,72710990905762	193,75	4,71059083938599	650	3,50780415534973	193,75	-7,34296751022339	
653,125	7,77702045440674	196,875	4,61788129806519	653,125	3,6074013710022	196,875	-7,00907230377197	
656,25	7,77477264404297	200	4,82933521270752	656,25	3,71073579788208	200	-6,87709903717041	
659,375	7,95285701751709	203,125	4,51134061813354	659,375	3,64020395278931	203,125	-6,50026798248291	
662,5	7,75907325744629	206,25	4,7366681098938	662,5	3,56846022605896	206,25	-6,57725143432617	
665,625	7,83175182342529	209,375	4,66898155212402	665,625	3,64001536369324	209,375	-6,22225570678711	
668,75	7,78125047683716	212,5	4,73076581954956	668,75	3,6191782951355	212,5	-6,34331274032593	
671,875	7,72895574569702	215,625	4,69847202301025	671,875	3,60979986190796	215,625	-6,09551239013672	
675	7,72933292388916	218,75	4,89060497283936	675	3,59978342056274	218,75	-5,87230062484741	
678,125	7,67164325714111	221,875	4,48695802688599	678,125	3,49779725074768	221,875	-5,7362847328186	
681,25	7,71611022949219	225	4,76946258544922	681,25	3,49652099609375	225	-5,55746126174927	
684,375	7,68398857116699	228,125	4,70294141769409	684,375	3,58891439437866	228,125	-5,23245573043823	
687,5	7,64186096191406	231,25	4,7012152671814	687,5	3,47746300697327	231,25	-5,02453088760376	
