Frequency in Hz	Ref_Specimen_HF Sound Reflection Factor continuous Re	Frequency in Hz	Ref_Specimen_LF Sound Reflection Factor continuous Re	Frequency in Hz	Ref_Specimen_HF Sound Reflection Factor continuous Im	Frequency in Hz	Ref_Specimen_LF Sound Reflection Factor continuous Im	
556,25	0,788550555706024	100	0,96089243888855	556,25	0,0699246749281883	100	-0,102250479161739	
559,375	0,789631009101868	103,125	0,961519718170166	559,375	0,0742506459355354	103,125	-0,0978904664516449	
562,5	0,794149041175842	106,25	0,961678624153137	562,5	0,0735292136669159	106,25	-0,109184071421623	
565,625	0,798409998416901	109,375	0,963712513446808	565,625	0,0764422714710236	109,375	-0,0993647202849388	
568,75	0,792812287807465	112,5	0,953646600246429	568,75	0,0741591677069664	112,5	-0,113505333662033	
571,875	0,79295814037323	115,625	0,945219337940216	571,875	0,0762165784835815	115,625	-0,115039817988873	
575	0,795674443244934	118,75	0,945308983325958	575	0,0753883272409439	118,75	-0,113733969628811	
578,125	0,798060595989227	121,875	0,945754408836365	578,125	0,0772474408149719	121,875	-0,116173073649406	
581,25	0,795135796070099	125	0,944737613201141	581,25	0,079881489276886	125	-0,116733804345131	
584,375	0,797183871269226	128,125	0,942021429538727	584,375	0,0754524022340775	128,125	-0,119632393121719	
587,5	0,799023151397705	131,25	0,944088995456696	587,5	0,0784559473395348	131,25	-0,134195476770401	
590,625	0,79977810382843	134,375	0,939136147499084	590,625	0,0771340653300285	134,375	-0,126563087105751	
593,75	0,799100279808044	137,5	0,928994119167328	593,75	0,0751423165202141	137,5	-0,133109346032143	
596,875	0,799533665180206	140,625	0,930798470973969	596,875	0,0782011225819588	140,625	-0,126601248979568	
600	0,803118050098419	143,75	0,923689424991608	600	0,0827447175979614	143,75	-0,139007762074471	
603,125	0,802560567855835	146,875	0,925805032253265	603,125	0,0779945552349091	146,875	-0,140424251556396	
606,25	0,7988520860672	150	0,933266997337341	606,25	0,0800077095627785	150	-0,138240784406662	
609,375	0,798735439777374	153,125	0,912420153617859	609,375	0,0741368159651756	153,125	-0,146283447742462	
612,5	0,800996363162994	156,25	0,916487693786621	612,5	0,0797075256705284	156,25	-0,148092120885849	
615,625	0,799418568611145	159,375	0,916975259780884	615,625	0,0788070186972618	159,375	-0,149980574846268	
618,75	0,803068220615387	162,5	0,915688276290894	618,75	0,0784618929028511	162,5	-0,150002002716064	
621,875	0,800813853740692	165,625	0,915451645851135	621,875	0,0773379802703857	165,625	-0,157778114080429	
625	0,798979163169861	168,75	0,894203722476959	625	0,0801875442266464	168,75	-0,155502602458	
628,125	0,802619755268097	171,875	0,891294777393341	628,125	0,0767680779099464	171,875	-0,162827253341675	
631,25	0,803829371929169	175	0,893235146999359	631,25	0,079011470079422	175	-0,158257737755775	
634,375	0,802946925163269	178,125	0,883465230464935	634,375	0,0796035453677177	178,125	-0,162684872746468	
637,5	0,800301432609558	181,25	0,884446561336517	637,5	0,0810097903013229	181,25	-0,160995557904243	
640,625	0,802246332168579	184,375	0,877996623516083	640,625	0,0781001374125481	184,375	-0,171711027622223	
643,75	0,80502861738205	187,5	0,877258002758026	643,75	0,0790580660104752	187,5	-0,166954845190048	
646,875	0,803473651409149	190,625	0,876531004905701	646,875	0,0795341953635216	190,625	-0,168206706643105	
650	0,80270391702652	193,75	0,868009030818939	650	0,0793018564581871	193,75	-0,169720694422722	
653,125	0,805062174797058	196,875	0,860749959945679	653,125	0,0801204666495323	196,875	-0,17373338341713	
656,25	0,806651055812836	200	0,856553971767426	656,25	0,0817647129297256	200	-0,169229030609131	
659,375	0,808299720287323	203,125	0,848231732845306	659,375	0,077944740653038	203,125	-0,179000824689865	
662,5	0,80416864156723	206,25	0,849371194839478	662,5	0,0797819942235947	206,25	-0,172700181603432	
665,625	0,806426405906677	209,375	0,839980900287628	665,625	0,0797815546393394	209,375	-0,175636425614357	
668,75	0,805312812328339	212,5	0,843163073062897	668,75	0,0802400186657906	212,5	-0,173600822687149	
671,875	0,804339051246643	215,625	0,836316287517548	671,875	0,080914244055748	215,625	-0,175088331103325	
675	0,804186582565308	218,75	0,829709827899933	675	0,0807491168379784	218,75	-0,169761031866074	
678,125	0,801636815071106	221,875	0,825843095779419	678,125	0,0800118446350098	221,875	-0,182070553302765	
681,25	0,802347362041473	225	0,820187747478485	681,25	0,0792895704507828	225	-0,173204973340034	
684,375	0,803289234638214	228,125	0,80959141254425	684,375	0,0812965109944344	228,125	-0,174700140953064	
687,5	0,800820291042328	231,25	0,802554488182068	687,5	0,0801494121551514	231,25	-0,174010425806046	
690,625	0,801605105400085	234,375	0,804338037967682	690,625	0,0791343599557877	234,375	-0,17128711938858	
693,75	0,801299870014191	237,5	0,79647696018219	693,75	0,0807858482003212	237,5	-0,169090822339058	
696,875	0,800178945064545	240,625	0,793657600879669	696,875	0,0815434604883194	240,625	-0,169751271605492	
700	0,803639769554138	243,75	0,785518348217011	700	0,0830265283584595	243,75	-0,164324641227722	
703,125	0,804865300655365	246,875	0,775558471679688	703,125	0,0822289884090424	246,875	-0,161470800638199	
706,25	0,802326917648315	250	0,77383154630661	706,25	0,0791323557496071	250	-0,165352746844292	
709,375	0,800717651844025	253,125	0,771412134170532	709,375	0,0811321958899498	253,125	-0,15573638677597	
712,5	0,80401885509491	256,25	0,761913418769836	712,5	0,0793324336409569	256,25	-0,153353363275528	
715,625	0,801449835300446	259,375	0,755897045135498	715,625	0,0809173583984375	259,375	-0,153684929013252	
718,75	0,798241555690765	262,5	0,761165082454681	718,75	0,080900214612484	262,5	-0,150118052959442	
721,875	0,801429748535156	265,625	0,756599307060242	721,875	0,0813756138086319	265,625	-0,14705029129982	
725	0,800050139427185	268,75	0,753828823566437	725	0,081819660961628	268,75	-0,142621830105782	
728,125	0,797886967658997	271,875	0,745790123939514	728,125	0,0828573778271675	271,875	-0,140905663371086	
731,25	0,80262279510498	275	0,736486494541168	731,25	0,0809742882847786	275	-0,133084431290627	
734,375	0,799498736858368	278,125	0,735338926315308	734,375	0,0825312286615372	278,125	-0,128316476941109	
737,5	0,798398852348328	281,25	0,736277401447296	737,5	0,0843485668301582	281,25	-0,131745055317879	
740,625	0,797967433929443	284,375	0,733992874622345	740,625	0,0826530084013939	284,375	-0,125162735581398	
743,75	0,797714054584503	287,5	0,728298902511597	743,75	0,0835561528801918	287,5	-0,118699945509434	
746,875	0,798854529857636	290,625	0,726125359535217	746,875	0,0860661342740059	290,625	-0,116579547524452	
750	0,795678734779358	293,75	0,726148128509521	750	0,0832618474960327	293,75	-0,112959429621696	
753,125	0,795367240905762	296,875	0,729370713233948	753,125	0,0852682515978813	296,875	-0,110285572707653	
756,25	0,795260012149811	300	0,719104588031769	756,25	0,0870110988616943	300	-0,107076361775398	
759,375	0,796495378017426	303,125	0,714119613170624	759,375	0,0858883038163185	303,125	-0,096647135913372	
