Frequency in Hz	Ref_Specimen_HF Sound Absorption Coefficient continuous	Frequency in Hz	Ref_Specimen_LF Sound Absorption Coefficient continuous	Frequency in Hz	Ref_Specimen_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Ref_Specimen_LF Sound Absorption Coefficient 1/3-octave	
556,25	0,373298519935803	100	0,0662305172212202	630	0,351787567138672	125	0,0978167504072189	
559,375	0,370969727063706	103,125	0,065897240653912	800	0,360677659511566	160	0,144533485174179	
562,5	0,363920710321298	106,25	0,06325305533383	1000	0,334890723228455	200	0,235469371080399	
565,625	0,356698053199956	109,375	0,0613848340330693	1250	0,361571878194809	250	0,378182172775269	
568,75	0,365949075880343	112,5	0,0776747482115927	1600	0,349182724952698	315	0,47861310839653	
571,875	0,36540841165944	115,625	0,093326198713508	2000	0,355151802301407	400	0,440382331609726	
575	0,361218755588101	118,75	0,0934555438295517	2500	0,343294352293015	500	0,388807564973831	
578,125	0,35713207961825	121,875	0,0920524342407253	3150	0,396031647920609	630	0,348311275243759	
581,25	0,36137803092159	125	0,0938440207763687	4000	0,359978914260864			
584,375	0,358804791891346	128,125	0,0982837543580735					
587,5	0,355406651546121	131,25	0,0906875664568834					
590,625	0,354405332246575	134,375	0,102005062028633					
593,75	0,355792334696309	137,5	0,119251808871916					
596,875	0,354630478961454	140,625	0,117586335242101					
600	0,348154747721754	143,75	0,127474659277177					
603,125	0,349813370698012	146,875	0,123166032831241					
606,25	0,355434074706606	150	0,109902141843933					
609,375	0,356525446376549	153,125	0,146090632302454					
612,5	0,352051567315732	156,25	0,138119046102915					
615,625	0,354719384157031	159,375	0,136662188773561					
618,75	0,348925195643972	162,5	0,139014370717354					
621,875	0,352715988002008	165,625	0,13705435230969					
625	0,355202273184305	168,75	0,176218591203424					
628,125	0,349908214146529	171,875	0,179080872711042					
631,25	0,34761555929888	175	0,177085470977807					
634,375	0,348939506406468	178,125	0,193022861450349					
637,5	0,352955039367293	181,25	0,191834761237556					
640,625	0,350301191588726	184,375	0,199637257720976					
643,75	0,345678768652403	187,5	0,202544524493524					
646,875	0,348104358379982	190,625	0,203399864283333					
650	0,349377646455472	193,75	0,217755218752331					
653,125	0,345455610660319	196,875	0,228926195201735					
656,25	0,342628565298412	200	0,237676874032535					
659,375	0,340576180282685	203,125	0,248461664634271					
662,5	0,346947617143307	206,25	0,248743237136755					
665,625	0,343311360108419	209,375	0,263583901233014					
668,75	0,345032837872141	212,5	0,258938779452858					
671,875	0,346491581240367	215,625	0,269919094911716					
675	0,346763533730571	218,75	0,282762813939927					
678,125	0,350976510960106	221,875	0,284833453924607					
681,25	0,349951905840192	225	0,29729210739894					
684,375	0,348117240008657	228,125	0,314041649128727					
687,5	0,352262930179477	231,25	0,32562661586158					
690,625	0,351167053171589	234,375	0,323701078111041					
693,75	0,351392167114599	237,5	0,337032712761262					
696,875	0,353064336825178	240,625	0,34129209575304					
700	0,347269706841086	243,75	0,355958301834296					
703,125	0,345430232096708	246,875	0,372436250877726					
706,25	0,350009617334859	250	0,373843215352456					
709,375	0,352268797015458	253,125	0,380669536036538					
712,5	0,347260045530713	256,25	0,39597071932992					
715,625	0,351130545774998	259,375	0,405000561644923					
718,75	0,356265544814928	262,5	0,398092305914419					
721,875	0,351088356869383	265,625	0,40593370793755					
725	0,353225306876264	268,75	0,411401116317106					
728,125	0,356511049293025	271,875	0,423942713952432					
731,25	0,349239857854223	275	0,439876209521088					
734,375	0,353990353505289	278,125	0,442811520813188					
737,5	0,355444598058526	281,25	0,440538824219821					
