Frequency in Hz	Silk_92 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_92 Sound Absorption Coefficient continuous	
125	0,135730355978012	100	0,0905421507232477	
160	0,184238940477371	103,125	0,0926652352250803	
200	0,243242189288139	106,25	0,0927889762628629	
250	0,305690169334412	109,375	0,0922895500925008	
315	0,373441696166992	112,5	0,110179709684421	
400	0,408856004476547	115,625	0,127583910578584	
500	0,441110163927078	118,75	0,128757853500253	
630	0,460101574659348	121,875	0,128162108234237	
800	0,473291575908661	125	0,13175397258287	
1000	0,505027592182159	128,125	0,13730349567502	
1250	0,541590929031372	131,25	0,131031651368988	
1600	0,615381300449371	134,375	0,142709206737218	
2000	0,59334409236908	137,5	0,160256362208788	
2500	0,686248004436493	140,625	0,159565217089538	
3150	0,694683372974396	143,75	0,169220989700753	
4000	0,751381397247314	146,875	0,165699094829817	
		150	0,15341215427739	
		153,125	0,187113546594722	
		156,25	0,179804687136897	
		159,375	0,178020652416572	
		162,5	0,17941712374931	
		165,625	0,17728256982379	
		168,75	0,212249173172853	
		171,875	0,2137333460491	
		175	0,210675069056877	
		178,125	0,223750789488303	
		181,25	0,221072221313429	
		184,375	0,225541888652268	
		187,5	0,226297174074006	
		190,625	0,224572032348978	
		193,75	0,235134673061556	
		196,875	0,242334993466674	
		200	0,24768093139955	
		203,125	0,253359813988931	
		206,25	0,250770661052413	
		209,375	0,260439819022811	
		212,5	0,252179886534513	
		215,625	0,258004801424491	
		218,75	0,266330238946561	
		221,875	0,261162817930929	
		225	0,269843774937108	
		228,125	0,28084983317451	
		231,25	0,287173844307695	
		234,375	0,279751880957026	
		237,5	0,287931529345169	
		240,625	0,285893326029386	
		243,75	0,296689028710771	
		246,875	0,308956339999638	
		250	0,302764759021128	
		253,125	0,306215148335566	
		256,25	0,317774693686376	
		259,375	0,321929148727304	
		262,5	0,307540004100709	
		265,625	0,311149576548286	
		268,75	0,312576233195662	
		271,875	0,322728780687493	
		275	0,339218925942724	
		278,125	0,338997530185982	
		281,25	0,330129056712248	
		284,375	0,333247088592218	
		287,5	0,343800796806203	
		290,625	0,345367040895783	
		293,75	0,343075538264599	
		296,875	0,334927590952937	
		300	0,354445654867272	
		303,125	0,366364533142094	
		306,25	0,378343648785001	
		309,375	0,377522023741074	
		312,5	0,392529732465561	
		315,625	0,39504204862743	
		318,75	0,394239300257599	
		321,875	0,394497164516326	
		325	0,392286143009041	
		328,125	0,381820145595892	
		331,25	0,372137451746761	
		334,375	0,384510715389096	
		337,5	0,377383961497167	
		340,625	0,381452602486833	
		343,75	0,386972031997575	
		346,875	0,382564698010206	
		350	0,391556520731447	
		353,125	0,38507291239105	
		356,25	0,376835601128176	
		359,375	0,379343452190333	
		362,5	0,391942787368711	
		365,625	0,390372931740921	
		368,75	0,391069846101971	
		371,875	0,406416211910811	
		375	0,409749892723742	
		378,125	0,40312982097513	
		381,25	0,381944137496841	
		384,375	0,390382934008377	
		387,5	0,403376108587638	
		390,625	0,412141770658468	
		393,75	0,401369318171695	
		396,875	0,397172421023521	
		400	0,389069011218698	
		403,125	0,402255705838772	
		406,25	0,410262299892247	
		409,375	0,393976809133631	
		412,5	0,40046510994476	
		415,625	0,423027617795244	
		418,75	0,439349070829997	
		421,875	0,435100553389058	
		425	0,424667483375475	
