Frequency in Hz	Silk_93 Sound Reflection Factor continuous Re	Frequency in Hz	Silk_93 Sound Reflection Factor continuous Im	
100	0,940697610378265	100	-0,125544980168343	
103,125	0,93403571844101	103,125	-0,11449784040451	
106,25	0,931545436382294	106,25	-0,144946545362473	
109,375	0,940996706485748	109,375	-0,130760088562965	
112,5	0,929012537002563	112,5	-0,134164348244667	
115,625	0,927448630332947	115,625	-0,143734633922577	
118,75	0,931277096271515	118,75	-0,135344341397285	
121,875	0,916443884372711	121,875	-0,140946358442307	
125	0,926062881946564	125	-0,142944648861885	
128,125	0,923444032669067	128,125	-0,151019841432571	
131,25	0,923011779785156	131,25	-0,148287981748581	
134,375	0,929839849472046	134,375	-0,148386731743813	
137,5	0,904983103275299	137,5	-0,161047220230103	
140,625	0,903258860111237	140,625	-0,149077951908112	
143,75	0,898539662361145	143,75	-0,15853063762188	
146,875	0,913841903209686	146,875	-0,147825479507446	
150	0,899825990200043	150	-0,156893119215965	
153,125	0,898915946483612	153,125	-0,167711615562439	
156,25	0,898545980453491	156,25	-0,161797806620598	
159,375	0,896928250789642	159,375	-0,165412947535515	
162,5	0,897091865539551	162,5	-0,163844421505928	
165,625	0,891427457332611	165,625	-0,161688834428787	
168,75	0,887710750102997	168,75	-0,175959631800652	
171,875	0,882880210876465	171,875	-0,165794134140015	
175	0,875600636005402	175	-0,170897826552391	
178,125	0,881532371044159	178,125	-0,173638880252838	
181,25	0,88019984960556	181,25	-0,169539198279381	
184,375	0,873371601104736	184,375	-0,168600738048553	
187,5	0,864481031894684	187,5	-0,17543850839138	
190,625	0,863887548446655	190,625	-0,17076712846756	
193,75	0,858454585075378	193,75	-0,179591670632362	
196,875	0,860699772834778	196,875	-0,174699321389198	
200	0,86637955904007	200	-0,173531115055084	
203,125	0,868248879909515	203,125	-0,171854555606842	
206,25	0,855599641799927	206,25	-0,186947926878929	
209,375	0,854375839233398	209,375	-0,180151745676994	
212,5	0,861205458641052	212,5	-0,173676297068596	
215,625	0,846161723136902	215,625	-0,185274571180344	
218,75	0,849785983562469	218,75	-0,176394879817963	
221,875	0,844821572303772	221,875	-0,182673677802086	
225	0,839885473251343	225	-0,18030509352684	
228,125	0,836891353130341	228,125	-0,181054159998894	
231,25	0,836351692676544	231,25	-0,180192187428474	
234,375	0,832041323184967	234,375	-0,181496292352676	
237,5	0,837228059768677	237,5	-0,179372206330299	
240,625	0,835203588008881	240,625	-0,190977334976196	
243,75	0,832736611366272	243,75	-0,18452450633049	
246,875	0,823841452598572	246,875	-0,183388903737068	
250	0,821048319339752	250	-0,182803571224213	
253,125	0,823667049407959	253,125	-0,185067549347878	
256,25	0,819417536258698	256,25	-0,188234001398087	
259,375	0,814478516578674	259,375	-0,18282313644886	
262,5	0,816214561462402	262,5	-0,187344744801521	
265,625	0,816724121570587	265,625	-0,19118520617485	
268,75	0,813324570655823	268,75	-0,185541808605194	
271,875	0,808736026287079	271,875	-0,190195381641388	
275	0,811028242111206	275	-0,189764589071274	
278,125	0,804959416389465	278,125	-0,191867217421532	
281,25	0,804129242897034	281,25	-0,18936425447464	
284,375	0,803054332733154	284,375	-0,189422637224197	
287,5	0,81080025434494	287,5	-0,188248217105865	
290,625	0,798554360866547	290,625	-0,200351849198341	
293,75	0,799775242805481	293,75	-0,1966373026371	
296,875	0,794992923736572	296,875	-0,195750936865807	
300	0,792915284633636	300	-0,194192036986351	
303,125	0,78778088092804	303,125	-0,199589788913727	
306,25	0,782350838184357	306,25	-0,198981881141663	
309,375	0,776841342449188	309,375	-0,197406515479088	
312,5	0,767559826374054	312,5	-0,200081765651703	
315,625	0,759037613868713	315,625	-0,18734547495842	
318,75	0,757304251194	318,75	-0,186207264661789	
321,875	0,764218509197235	321,875	-0,176377207040787	
325	0,767026364803314	325	-0,171872079372406	
328,125	0,764058589935303	328,125	-0,167553156614304	
331,25	0,771707475185394	331,25	-0,178255468606949	
334,375	0,772698640823364	334,375	-0,177055165171623	
337,5	0,769995987415314	337,5	-0,172994077205658	
340,625	0,771621823310852	340,625	-0,175282597541809	
343,75	0,767236590385437	343,75	-0,180176317691803	
346,875	0,768028080463409	346,875	-0,180404677987099	
350	0,765799403190613	350	-0,176973432302475	
353,125	0,768380522727966	353,125	-0,176889508962631	
356,25	0,769691944122314	356,25	-0,181821256875992	
359,375	0,765761375427246	359,375	-0,186220914125443	
362,5	0,761608600616455	362,5	-0,182670831680298	
365,625	0,756045281887054	365,625	-0,181653022766113	
368,75	0,761182129383087	368,75	-0,181005671620369	
371,875	0,770074069499969	371,875	-0,184160783886909	
375	0,749544441699982	375	-0,179734602570534	
378,125	0,751461923122406	378,125	-0,185473591089249	
