frequency f in Hz; re(r) ; im(r)
99.000000;0.961071;-0.121083
100.000000;0.970800;-0.122893
101.000000;0.977999;-0.135120
102.000000;0.972640;-0.156163
103.000000;0.979639;-0.143188
104.000000;0.972001;-0.143918
105.000000;0.961517;-0.139395
106.000000;0.962546;-0.152104
107.000000;0.962736;-0.138526
108.000000;0.946416;-0.134261
109.000000;0.947634;-0.141560
110.000000;0.947495;-0.152441
111.000000;0.940155;-0.150526
112.000000;0.933047;-0.146998
113.000000;0.940945;-0.150126
114.000000;0.944743;-0.151801
115.000000;0.949734;-0.153751
116.000000;0.947556;-0.155553
117.000000;0.947433;-0.166569
118.000000;0.940704;-0.162050
119.000000;0.943349;-0.153006
120.000000;0.942175;-0.159389
121.000000;0.942103;-0.162556
122.000000;0.940898;-0.155080
123.000000;0.937373;-0.159201
124.000000;0.935866;-0.158067
125.000000;0.936802;-0.158554
126.000000;0.931629;-0.162117
127.000000;0.934821;-0.169773
128.000000;0.940150;-0.165792
129.000000;0.936757;-0.165279
130.000000;0.930341;-0.171687
131.000000;0.933053;-0.173211
132.000000;0.935775;-0.167977
133.000000;0.933749;-0.170284
134.000000;0.932678;-0.172440
135.000000;0.931440;-0.171000
136.000000;0.928740;-0.170289
137.000000;0.927371;-0.168649
138.000000;0.925911;-0.171483
139.000000;0.925186;-0.173232
140.000000;0.924546;-0.173963
141.000000;0.929012;-0.172693
142.000000;0.926907;-0.176612
143.000000;0.921686;-0.179288
144.000000;0.920207;-0.180038
145.000000;0.919239;-0.179465
146.000000;0.920122;-0.180798
147.000000;0.916304;-0.179900
148.000000;0.913423;-0.182079
149.000000;0.916006;-0.181787
150.000000;0.916102;-0.184777
151.000000;0.915871;-0.186423
152.000000;0.916269;-0.186127
153.000000;0.913613;-0.186350
154.000000;0.910965;-0.188375
155.000000;0.910355;-0.187845
156.000000;0.910376;-0.187659
157.000000;0.911770;-0.188058
158.000000;0.907746;-0.192362
159.000000;0.907828;-0.189346
160.000000;0.906608;-0.193297
161.000000;0.906557;-0.192408
162.000000;0.906675;-0.194424
163.000000;0.905519;-0.192935
164.000000;0.902669;-0.195226
165.000000;0.901299;-0.194399
166.000000;0.900873;-0.195664
167.000000;0.899314;-0.197632
168.000000;0.899942;-0.196205
169.000000;0.898869;-0.198547
170.000000;0.897593;-0.197654
171.000000;0.897460;-0.198647
172.000000;0.896360;-0.200425
173.000000;0.894537;-0.201741
174.000000;0.893135;-0.200267
175.000000;0.891197;-0.200401
176.000000;0.890702;-0.201865
177.000000;0.888715;-0.205313
178.000000;0.890178;-0.203990
179.000000;0.888425;-0.204275
180.000000;0.887061;-0.204752
181.000000;0.885573;-0.205928
182.000000;0.884860;-0.206026
183.000000;0.885022;-0.207672
184.000000;0.882975;-0.206541
185.000000;0.882894;-0.209346
186.000000;0.882706;-0.207158
187.000000;0.879609;-0.208922
188.000000;0.877621;-0.209758
189.000000;0.877794;-0.209960
190.000000;0.876892;-0.212789
191.000000;0.876223;-0.212396
192.000000;0.875584;-0.211750
193.000000;0.874648;-0.212154
194.000000;0.873063;-0.212835
195.000000;0.871761;-0.214427
196.000000;0.871059;-0.214012
197.000000;0.869921;-0.216835
198.000000;0.869373;-0.215855
199.000000;0.869469;-0.214089
200.000000;0.867193;-0.217505
201.000000;0.866931;-0.216906
202.000000;0.864805;-0.218742
203.000000;0.864411;-0.217616
204.000000;0.863646;-0.219155
205.000000;0.862428;-0.218706
206.000000;0.860867;-0.218293
207.000000;0.859596;-0.219771
208.000000;0.859398;-0.220894
209.000000;0.858324;-0.220774
210.000000;0.856724;-0.220655
211.000000;0.855550;-0.221961
212.000000;0.854194;-0.222990
213.000000;0.853372;-0.223824
214.000000;0.853968;-0.223055
215.000000;0.852215;-0.224135
216.000000;0.851387;-0.224027
217.000000;0.850324;-0.224431
218.000000;0.848731;-0.225141
219.000000;0.847536;-0.225598
220.000000;0.845877;-0.226249
221.000000;0.845641;-0.226243
222.000000;0.844877;-0.226850
223.000000;0.844079;-0.227526
224.000000;0.843890;-0.226537
225.000000;0.842297;-0.229613
226.000000;0.842012;-0.228727
227.000000;0.840015;-0.227973
228.000000;0.837689;-0.229699
229.000000;0.836970;-0.229851
230.000000;0.836821;-0.229393
231.000000;0.836500;-0.229322
232.000000;0.834153;-0.230758
233.000000;0.834097;-0.229746
234.000000;0.831528;-0.231258
235.000000;0.830681;-0.232869
236.000000;0.830430;-0.232211
237.000000;0.828766;-0.231893
238.000000;0.827434;-0.232828
239.000000;0.827592;-0.232934
240.000000;0.826633;-0.233498
241.000000;0.825637;-0.233520
242.000000;0.824836;-0.235520
243.000000;0.823223;-0.233863
244.000000;0.823179;-0.232525
245.000000;0.820737;-0.233658
246.000000;0.820705;-0.234144
247.000000;0.818160;-0.235517
248.000000;0.816996;-0.235605
249.000000;0.818115;-0.234645
250.000000;0.816876;-0.235269
251.000000;0.816746;-0.237884
252.000000;0.815323;-0.238311
253.000000;0.815365;-0.237086
254.000000;0.813019;-0.236983
255.000000;0.809924;-0.237834
256.000000;0.809886;-0.239250
257.000000;0.810059;-0.237158
258.000000;0.810651;-0.239779
259.000000;0.807091;-0.239941
260.000000;0.807932;-0.237779
261.000000;0.804736;-0.237355
262.000000;0.804911;-0.238785
263.000000;0.801857;-0.238750
264.000000;0.803899;-0.240542
265.000000;0.803885;-0.240797
266.000000;0.800827;-0.240218
267.000000;0.802126;-0.239845
268.000000;0.801166;-0.237456
269.000000;0.798410;-0.239401
270.000000;0.797020;-0.241339
271.000000;0.796782;-0.243244
272.000000;0.794761;-0.243242
273.000000;0.793673;-0.242571
274.000000;0.793613;-0.239809
275.000000;0.793781;-0.240547
276.000000;0.791918;-0.243192
277.000000;0.789438;-0.243457
278.000000;0.787899;-0.243028
279.000000;0.785866;-0.242541
280.000000;0.786029;-0.243986
281.000000;0.788016;-0.243129
282.000000;0.784794;-0.243114
283.000000;0.781380;-0.244441
284.000000;0.782806;-0.244901
285.000000;0.779649;-0.244890
286.000000;0.777081;-0.245726
287.000000;0.778541;-0.245021
288.000000;0.780050;-0.243599
289.000000;0.780281;-0.245240
290.000000;0.780426;-0.248216
291.000000;0.776541;-0.249689
292.000000;0.774430;-0.248565
293.000000;0.773430;-0.248638
294.000000;0.768252;-0.247936
295.000000;0.763941;-0.250483
296.000000;0.764453;-0.249880
297.000000;0.764237;-0.246417
298.000000;0.759631;-0.244803
299.000000;0.761226;-0.245615
300.000000;0.759606;-0.244824
301.000000;0.756881;-0.243935
302.000000;0.756626;-0.244617
303.000000;0.755346;-0.251817
304.000000;0.751660;-0.252873
305.000000;0.743415;-0.253736
306.000000;0.748866;-0.251968
307.000000;0.747820;-0.247353
308.000000;0.738429;-0.248587
309.000000;0.738588;-0.246910
310.000000;0.739531;-0.245292
311.000000;0.734998;-0.241938
312.000000;0.730420;-0.235624
313.000000;0.732314;-0.228259
314.000000;0.729168;-0.228733
315.000000;0.731524;-0.224669
316.000000;0.731620;-0.222900
317.000000;0.735230;-0.223017
318.000000;0.740914;-0.222980
319.000000;0.744038;-0.223114
320.000000;0.742400;-0.224852
321.000000;0.738092;-0.226922
322.000000;0.735185;-0.228358
323.000000;0.735707;-0.226863
324.000000;0.740881;-0.226843
325.000000;0.746200;-0.232382
326.000000;0.746667;-0.239880
327.000000;0.737162;-0.231639
328.000000;0.734026;-0.229829
329.000000;0.742252;-0.229983
330.000000;0.741447;-0.234917
331.000000;0.740337;-0.237036
332.000000;0.741407;-0.234313
333.000000;0.740011;-0.231477
334.000000;0.739274;-0.225402
335.000000;0.740782;-0.227285
336.000000;0.739108;-0.239219
337.000000;0.730758;-0.232222
338.000000;0.735452;-0.227821
339.000000;0.733677;-0.235768
340.000000;0.730165;-0.237135
341.000000;0.729952;-0.233073
342.000000;0.721693;-0.232663
343.000000;0.728752;-0.236059
344.000000;0.725647;-0.232219
345.000000;0.729328;-0.236831
346.000000;0.738747;-0.236579
347.000000;0.739895;-0.228040
348.000000;0.724910;-0.234582
349.000000;0.721460;-0.237177
350.000000;0.723231;-0.231428
351.000000;0.712995;-0.230015
352.000000;0.723382;-0.240197
353.000000;0.726826;-0.228528
354.000000;0.716888;-0.228192
355.000000;0.717862;-0.232953
356.000000;0.722735;-0.234847
357.000000;0.714638;-0.239939
358.000000;0.724352;-0.237961
359.000000;0.725661;-0.233445
360.000000;0.711636;-0.230438
361.000000;0.707722;-0.232922
362.000000;0.713996;-0.235211
363.000000;0.709239;-0.236371
364.000000;0.711225;-0.235462
365.000000;0.717671;-0.246154
366.000000;0.706487;-0.245255
367.000000;0.718043;-0.240021
368.000000;0.722962;-0.240931
369.000000;0.717007;-0.240261
370.000000;0.711644;-0.228573
371.000000;0.701804;-0.222231
372.000000;0.715708;-0.220976
373.000000;0.701300;-0.204872
374.000000;0.712860;-0.223763
375.000000;0.731400;-0.231494
376.000000;0.727823;-0.242788
377.000000;0.715857;-0.225631
378.000000;0.707332;-0.221576
379.000000;0.715366;-0.233732
380.000000;0.705460;-0.236532
381.000000;0.699166;-0.240265
382.000000;0.686893;-0.233484
383.000000;0.714679;-0.234068
384.000000;0.720185;-0.231885
385.000000;0.703718;-0.238300
386.000000;0.675477;-0.240168
387.000000;0.695769;-0.228420
388.000000;0.693949;-0.220021
389.000000;0.706088;-0.219902
390.000000;0.687766;-0.234697
391.000000;0.699698;-0.235914
392.000000;0.697680;-0.234058
393.000000;0.696210;-0.251292
394.000000;0.706439;-0.235823
395.000000;0.699912;-0.236499
396.000000;0.669256;-0.216672
397.000000;0.696915;-0.224112
398.000000;0.703651;-0.233120
399.000000;0.677955;-0.232121
400.000000;0.682423;-0.233143
401.000000;0.687159;-0.229299
402.000000;0.679990;-0.239078
403.000000;0.681573;-0.238251
404.000000;0.686043;-0.232925
405.000000;0.686945;-0.225240
406.000000;0.696635;-0.206895
407.000000;0.689389;-0.202847
408.000000;0.697622;-0.214117
409.000000;0.696856;-0.234482
410.000000;0.693357;-0.223891
411.000000;0.686088;-0.227774
412.000000;0.674712;-0.215076
413.000000;0.667804;-0.213010
414.000000;0.672976;-0.223117
415.000000;0.679908;-0.200956
416.000000;0.688110;-0.197678
417.000000;0.696525;-0.218854
