frequency f in Hz; re(r) ; im(r)
99.000000;0.969455;-0.136445
100.000000;0.975767;-0.137018
101.000000;0.969789;-0.136522
102.000000;0.959991;-0.139391
103.000000;0.972406;-0.131628
104.000000;0.979748;-0.137130
105.000000;0.974186;-0.144069
106.000000;0.970168;-0.155850
107.000000;0.972779;-0.158300
108.000000;0.978616;-0.151294
109.000000;0.962961;-0.157752
110.000000;0.964829;-0.161725
111.000000;0.955375;-0.164211
112.000000;0.960410;-0.156784
113.000000;0.954544;-0.163057
114.000000;0.955766;-0.160175
115.000000;0.967049;-0.162466
116.000000;0.972142;-0.169138
117.000000;0.970652;-0.159442
118.000000;0.958843;-0.153276
119.000000;0.956754;-0.162233
120.000000;0.956949;-0.163384
121.000000;0.959147;-0.175889
122.000000;0.955188;-0.178449
123.000000;0.953291;-0.162203
124.000000;0.948215;-0.166917
125.000000;0.949347;-0.172109
126.000000;0.952098;-0.175156
127.000000;0.949827;-0.171646
128.000000;0.948424;-0.172790
129.000000;0.953431;-0.179076
130.000000;0.955514;-0.180389
131.000000;0.950663;-0.179016
132.000000;0.951480;-0.181776
133.000000;0.946521;-0.185341
134.000000;0.943179;-0.189292
135.000000;0.943202;-0.191632
136.000000;0.942184;-0.189322
137.000000;0.945555;-0.190633
138.000000;0.944508;-0.190194
139.000000;0.941954;-0.191700
140.000000;0.941876;-0.196045
141.000000;0.937747;-0.189785
142.000000;0.941371;-0.191002
143.000000;0.939198;-0.195595
144.000000;0.939843;-0.191120
145.000000;0.939489;-0.193985
146.000000;0.937745;-0.198590
147.000000;0.934714;-0.198399
148.000000;0.935435;-0.197284
149.000000;0.934990;-0.201724
150.000000;0.934136;-0.202479
151.000000;0.931373;-0.205666
152.000000;0.930760;-0.205478
153.000000;0.931148;-0.207153
154.000000;0.932503;-0.206032
155.000000;0.929324;-0.207013
156.000000;0.928477;-0.208722
157.000000;0.929806;-0.210667
158.000000;0.926502;-0.211086
159.000000;0.925970;-0.211758
160.000000;0.926918;-0.214716
161.000000;0.926511;-0.216242
162.000000;0.924898;-0.217150
163.000000;0.924335;-0.220038
164.000000;0.923895;-0.216481
165.000000;0.921911;-0.218558
166.000000;0.922201;-0.221573
167.000000;0.923349;-0.221621
168.000000;0.917960;-0.224771
169.000000;0.918246;-0.222770
170.000000;0.919731;-0.222253
171.000000;0.917354;-0.225938
172.000000;0.916349;-0.228426
173.000000;0.915069;-0.230493
174.000000;0.914039;-0.228688
175.000000;0.914300;-0.228702
176.000000;0.911901;-0.231899
177.000000;0.911333;-0.233049
178.000000;0.911469;-0.232685
179.000000;0.910261;-0.231721
180.000000;0.909892;-0.235409
181.000000;0.908617;-0.236004
182.000000;0.907640;-0.237046
183.000000;0.907638;-0.237403
184.000000;0.904959;-0.238159
185.000000;0.905428;-0.238304
186.000000;0.906132;-0.240901
187.000000;0.904892;-0.243275
188.000000;0.904755;-0.242130
189.000000;0.903325;-0.242879
190.000000;0.901916;-0.244833
191.000000;0.901431;-0.243728
192.000000;0.900009;-0.245199
193.000000;0.899248;-0.247742
194.000000;0.897449;-0.246831
195.000000;0.895438;-0.249276
196.000000;0.895808;-0.249227
197.000000;0.893625;-0.251693
198.000000;0.893889;-0.252552
199.000000;0.894025;-0.253209
200.000000;0.893076;-0.254051
201.000000;0.891475;-0.255447
202.000000;0.891938;-0.255578
203.000000;0.890726;-0.256221
204.000000;0.888525;-0.258504
205.000000;0.888724;-0.258932
206.000000;0.887572;-0.259182
207.000000;0.887155;-0.258899
208.000000;0.885167;-0.261804
209.000000;0.884344;-0.262189
210.000000;0.884521;-0.262785
211.000000;0.883148;-0.263478
212.000000;0.881350;-0.264995
213.000000;0.880924;-0.265169
214.000000;0.881585;-0.265001
215.000000;0.879660;-0.266605
216.000000;0.877260;-0.270002
217.000000;0.876769;-0.269601
218.000000;0.876062;-0.269441
219.000000;0.876830;-0.271363
220.000000;0.875079;-0.272527
221.000000;0.873124;-0.271985
222.000000;0.873666;-0.272574
223.000000;0.872702;-0.274467
224.000000;0.871467;-0.275254
225.000000;0.871017;-0.276071
