Frequency in Hz	Silk_96 Sound Reflection Factor continuous Re	Frequency in Hz	Silk_96 Sound Reflection Factor continuous Im	
100	0,960885584354401	100	-0,131506457924843	
103,125	0,953659772872925	103,125	-0,121143959462643	
106,25	0,953326880931854	106,25	-0,154418647289276	
109,375	0,964992105960846	109,375	-0,139865353703499	
112,5	0,953253209590912	112,5	-0,144927814602852	
115,625	0,951764285564423	115,625	-0,156691372394562	
118,75	0,956006646156311	118,75	-0,149043723940849	
121,875	0,941929280757904	121,875	-0,157313421368599	
125	0,954177916049957	125	-0,159712731838226	
128,125	0,952008306980133	128,125	-0,170814633369446	
131,25	0,95218700170517	131,25	-0,169008404016495	
134,375	0,960484623908997	134,375	-0,169852167367935	
137,5	0,935077607631683	137,5	-0,185110539197922	
140,625	0,933930635452271	140,625	-0,173965260386467	
143,75	0,930187284946442	143,75	-0,18550480902195	
146,875	0,947443902492523	146,875	-0,175152137875557	
150	0,933642446994781	150	-0,186550721526146	
153,125	0,933213233947754	153,125	-0,200190097093582	
156,25	0,933652937412262	156,25	-0,195218294858932	
159,375	0,932783305644989	159,375	-0,200855895876884	
162,5	0,933935463428497	162,5	-0,200870215892792	
165,625	0,928458631038666	165,625	-0,20055103302002	
168,75	0,92525041103363	168,75	-0,217871487140656	
171,875	0,920297622680664	171,875	-0,208275273442268	
175	0,91334456205368	175	-0,216191634535789	
178,125	0,920403897762299	178,125	-0,220745384693146	
181,25	0,919819474220276	181,25	-0,218147471547127	
184,375	0,913101255893707	184,375	-0,218891590833664	
187,5	0,903820514678955	187,5	-0,228695079684258	
190,625	0,903367102146149	190,625	-0,224500104784966	
193,75	0,897816956043243	193,75	-0,237258687615395	
196,875	0,901101768016815	196,875	-0,232849776744843	
200	0,907720983028412	200	-0,233852863311768	
203,125	0,910894811153412	203,125	-0,233883380889893	
206,25	0,897045612335205	206,25	-0,252492040395737	
209,375	0,895827770233154	209,375	-0,246767312288284	
212,5	0,903576076030731	212,5	-0,241869747638702	
215,625	0,887491762638092	215,625	-0,256359398365021	
218,75	0,891696810722351	218,75	-0,248982176184654	
221,875	0,88612574338913	221,875	-0,258091181516647	
225	0,880900800228119	225	-0,257220298051834	
228,125	0,877670228481293	228,125	-0,260352969169617	
231,25	0,877115786075592	231,25	-0,261648058891296	
234,375	0,872087776660919	234,375	-0,265066981315613	
237,5	0,878485858440399	237,5	-0,265088945627213	
240,625	0,875701129436493	240,625	-0,280791908502579	
243,75	0,873009204864502	243,75	-0,275547474622726	
246,875	0,862468123435974	246,875	-0,275999754667282	
250	0,85977977514267	250	-0,277232110500336	
253,125	0,862408876419067	253,125	-0,281521737575531	
256,25	0,857002437114716	256,25	-0,28805074095726	
259,375	0,851428270339966	259,375	-0,283472806215286	
262,5	0,852846801280975	262,5	-0,291177481412888	
265,625	0,852906763553619	265,625	-0,297948688268662	
268,75	0,849381446838379	268,75	-0,293563932180405	
271,875	0,843231678009033	271,875	-0,300771504640579	
275	0,845482230186462	275	-0,30250883102417	
278,125	0,837270438671112	278,125	-0,306558132171631	
281,25	0,83625590801239	281,25	-0,305911779403687	
284,375	0,83443808555603	284,375	-0,308015584945679	
287,5	0,840877115726471	287,5	-0,308589994907379	
290,625	0,826110541820526	290,625	-0,324770539999008	
293,75	0,827683508396149	293,75	-0,323780655860901	
296,875	0,822046875953674	296,875	-0,324419617652893	
300	0,817998945713043	300	-0,325960546731949	
303,125	0,812255799770355	303,125	-0,333152383565903	
306,25	0,805531203746796	306,25	-0,334477692842484	
309,375	0,79915177822113	309,375	-0,334080308675766	
312,5	0,787288129329681	312,5	-0,338763147592545	
315,625	0,778041958808899	315,625	-0,323799192905426	
318,75	0,774376928806305	318,75	-0,325704663991928	
321,875	0,781871318817139	321,875	-0,318814307451248	
325	0,784120559692383	325	-0,314436018466949	
328,125	0,780885577201843	328,125	-0,310704618692398	
331,25	0,78754198551178	331,25	-0,324891805648804	
334,375	0,787080824375153	334,375	-0,326619535684586	
337,5	0,783899128437042	337,5	-0,323562413454056	
340,625	0,784702122211456	340,625	-0,328778743743896	
343,75	0,77770733833313	343,75	-0,335402756929398	
346,875	0,778059184551239	346,875	-0,33640331029892	
350	0,774783909320831	350	-0,334919601678848	
353,125	0,775158941745758	353,125	-0,336475849151611	
356,25	0,775380730628967	356,25	-0,344866573810577	
359,375	0,767995476722717	359,375	-0,352656096220016	
362,5	0,763299405574799	362,5	-0,350602775812149	
365,625	0,755987823009491	365,625	-0,346645623445511	
368,75	0,761087715625763	368,75	-0,351567059755325	
371,875	0,768792629241943	371,875	-0,359673172235489	
375	0,73976993560791	375	-0,34888881444931	
378,125	0,741320550441742	378,125	-0,3569256067276	
381,25	0,752856373786926	381,25	-0,353554427623749	
384,375	0,734543204307556	384,375	-0,353511124849319	
387,5	0,730273842811584	387,5	-0,366924971342087	
390,625	0,731587529182434	390,625	-0,373163610696793	
393,75	0,742013573646545	393,75	-0,361627787351608	
396,875	0,739973902702332	396,875	-0,360552340745926	
400	0,737001955509186	400	-0,358441144227982	
403,125	0,734386086463928	403,125	-0,358549207448959	
406,25	0,723708271980286	406,25	-0,363107472658157	
409,375	0,70936530828476	409,375	-0,367336511611938	
412,5	0,703327298164368	412,5	-0,375098198652267	
415,625	0,715415120124817	415,625	-0,376775473356247	
418,75	0,703457832336426	418,75	-0,373433887958527	
421,875	0,700849592685699	421,875	-0,382881581783295	
425	0,700101673603058	425	-0,378389030694962	
428,125	0,704075872898102	428,125	-0,365673899650574	
431,25	0,697687029838562	431,25	-0,380652844905853	
434,375	0,696471989154816	434,375	-0,375546216964722	
437,5	0,694918215274811	437,5	-0,374692648649216	
440,625	0,69188117980957	440,625	-0,372210651636124	
443,75	0,685586750507355	443,75	-0,377506166696548	
446,875	0,682270884513855	446,875	-0,374389439821243	
450	0,691230297088623	450	-0,375249862670898	
453,125	0,688917219638824	453,125	-0,375311404466629	
456,25	0,690905332565308	456,25	-0,378545463085175	
459,375	0,681225836277008	459,375	-0,38172259926796	
462,5	0,672831237316132	462,5	-0,387813478708267	
465,625	0,67213761806488	465,625	-0,388867557048798	
468,75	0,670839846134186	468,75	-0,386375993490219	
471,875	0,661019384860992	471,875	-0,395271867513657	
475	0,657607316970825	475	-0,392561078071594	
478,125	0,656455338001251	478,125	-0,38359722495079	
481,25	0,661396086215973	481,25	-0,384234100580215	
484,375	0,651570558547974	484,375	-0,388277620077133	
487,5	0,651142835617065	487,5	-0,383914351463318	
490,625	0,647372305393219	490,625	-0,386296659708023	
493,75	0,641542255878448	493,75	-0,385709434747696	
496,875	0,639549732208252	496,875	-0,385408461093903	
500	0,642000079154968	500	-0,391487061977386	
503,125	0,63844621181488	503,125	-0,391831606626511	
506,25	0,637247681617737	506,25	-0,390480995178223	
509,375	0,635103642940521	509,375	-0,394368916749954	
512,5	0,627575397491455	512,5	-0,394105285406113	
515,625	0,627131402492523	515,625	-0,388894349336624	
518,75	0,625616550445557	518,75	-0,386784344911575	
521,875	0,620707511901855	521,875	-0,394479900598526	
525	0,616682350635529	525	-0,392697662115097	
528,125	0,619781672954559	528,125	-0,39208722114563	
531,25	0,614205777645111	531,25	-0,392654150724411	
534,375	0,611331343650818	534,375	-0,392135739326477	
537,5	0,608391463756561	537,5	-0,392900973558426	
540,625	0,60711807012558	540,625	-0,393250912427902	
543,75	0,604983270168304	543,75	-0,388993442058563	
546,875	0,60161679983139	546,875	-0,396329969167709	
550	0,599376320838928	550	-0,393646776676178	
553,125	0,594860136508942	553,125	-0,393765151500702	
556,25	0,594904482364655	556,25	-0,391935139894485	
559,375	0,58909410238266	559,375	-0,389819890260696	
562,5	0,58779764175415	562,5	-0,389522016048431	
565,625	0,585509479045868	565,625	-0,39076092839241	
568,75	0,582287490367889	568,75	-0,389157980680466	
571,875	0,580183088779449	571,875	-0,388116329908371	
575	0,57867556810379	575	-0,38926300406456	
