Frequency in Hz	Silk_98 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_98 Normalized Surface Impedance continuous Im	
100	2,86223244667053	100	-14,2438306808472	
103,125	4,09215688705444	103,125	-14,6903467178345	
106,25	2,15582203865051	106,25	-12,0758790969849	
109,375	1,81150889396667	109,375	-13,6570749282837	
112,5	2,67101550102234	112,5	-12,7706775665283	
115,625	2,25423765182495	115,625	-11,8526639938354	
118,75	2,18266272544861	118,75	-12,5795021057129	
121,875	2,7034318447113	121,875	-11,4519968032837	
125	1,84461617469788	125	-11,7760906219482	
128,125	1,59662413597107	128,125	-11,0052967071533	
131,25	1,65476143360138	131,25	-11,0984573364258	
134,375	1,06529462337494	134,375	-11,2874526977539	
137,5	1,95022344589233	137,5	-9,77739429473877	
140,625	2,36748123168945	140,625	-10,2538805007935	
143,75	2,14716649055481	143,75	-9,60820484161377	
146,875	1,6152811050415	146,875	-10,6368865966797	
150	1,91315698623657	150	-9,68666458129883	
153,125	1,56183612346649	153,125	-9,12670803070068	
156,25	1,65542566776276	156,25	-9,32541465759277	
159,375	1,5360871553421	159,375	-9,07744598388672	
162,5	1,48241007328033	162,5	-9,11748504638672	
165,625	1,68642044067383	165,625	-8,99873828887939	
168,75	1,3841028213501	168,75	-8,31970596313477	
171,875	1,73115575313568	171,875	-8,52407932281494	
175	1,75875604152679	175	-8,12043476104736	
178,125	1,43218171596527	178,125	-8,13572311401367	
181,25	1,48830306529999	181,25	-8,20107936859131	
184,375	1,65337026119232	184,375	-8,03282928466797	
187,5	1,68430590629578	187,5	-7,57333135604858	
190,625	1,75561547279358	190,625	-7,66823291778564	
193,75	1,63065242767334	193,75	-7,26460361480713	
196,875	1,62243580818176	196,875	-7,42090749740601	
200	1,42983222007751	200	-7,53243398666382	
203,125	1,320716381073	203,125	-7,58834600448608	
206,25	1,32017266750336	206,25	-6,91020488739014	
209,375	1,42894947528839	209,375	-7,00832891464233	
212,5	1,3216906785965	212,5	-7,25825357437134	
215,625	1,41918015480042	215,625	-6,6865758895874	
218,75	1,44414031505585	218,75	-6,89467525482178	
221,875	1,39310383796692	221,875	-6,62588834762573	
225	1,48972642421722	225	-6,54577398300171	
228,125	1,4859539270401	228,125	-6,44155979156494	
231,25	1,45655786991119	231,25	-6,41047811508179	
234,375	1,47799098491669	234,375	-6,27385139465332	
237,5	1,34798526763916	237,5	-6,36940002441406	
240,625	1,16711187362671	240,625	-6,05905294418335	
243,75	1,26404845714569	243,75	-6,10840511322021	
246,875	1,41283428668976	246,875	-5,96408224105835	
250	1,43000519275665	250	-5,89662027359009	
253,125	1,31360805034637	253,125	-5,86506080627441	
256,25	1,29360437393188	256,25	-5,70332670211792	
259,375	1,41534841060638	259,375	-5,686110496521	
262,5	1,2809556722641	262,5	-5,60716390609741	
265,625	1,1839485168457	265,625	-5,51272964477539	
268,75	1,27529060840607	268,75	-5,53073406219482	
271,875	1,24913644790649	271,875	-5,36342763900757	
275	1,18966925144196	275	-5,36602783203125	
278,125	1,23012912273407	278,125	-5,22404003143311	
281,25	1,23825299739838	281,25	-5,21615362167358	
284,375	1,22933375835419	284,375	-5,17138624191284	
287,5	1,16704344749451	287,5	-5,26755285263062	
290,625	1,11635720729828	290,625	-4,89004611968994	
293,75	1,09226334095001	293,75	-4,91806316375732	
296,875	1,12813127040863	296,875	-4,85536003112793	
300	1,13883936405182	300	-4,78284978866577	
303,125	1,1058976650238	303,125	-4,66860723495483	
306,25	1,1368693113327	306,25	-4,58914375305176	
309,375	1,19081389904022	309,375	-4,53200531005859	
312,5	1,22376346588135	312,5	-4,36709451675415	
315,625	1,4395135641098	315,625	-4,37780618667603	
318,75	1,43057537078857	318,75	-4,32062816619873	
321,875	1,45190131664276	321,875	-4,45143985748291	
325	1,48009502887726	325	-4,50900745391846	
328,125	1,5395005941391	328,125	-4,50219249725342	
331,25	1,31636238098145	331,25	-4,47722911834717	
334,375	1,29435741901398	334,375	-4,46076154708862	
337,5	1,342080950737	337,5	-4,44944334030151	
340,625	1,26256513595581	340,625	-4,42081117630005	
343,75	1,24150395393372	343,75	-4,3026909828186	
346,875	1,22058725357056	346,875	-4,29477310180664	
350	1,25017333030701	350	-4,27307367324829	
353,125	1,22766304016113	353,125	-4,26813316345215	
356,25	1,13220953941345	356,25	-4,21034622192383	
359,375	1,09406900405884	359,375	-4,09000587463379	
362,5	1,13369143009186	362,5	-4,06152486801147	
365,625	1,21310651302338	365,625	-4,01416921615601	
368,75	1,12201964855194	368,75	-4,03509998321533	
371,875	0,985872626304626	371,875	-4,04431819915771	
375	1,25420415401459	375	-3,83749842643738	
378,125	1,17227530479431	378,125	-3,81544137001038	
381,25	1,12748193740845	381,25	-3,94929432868958	
384,375	1,22172737121582	384,375	-3,77873134613037	
387,5	1,11672103404999	387,5	-3,67723393440247	
390,625	1,05097806453705	390,625	-3,65124177932739	
393,75	1,08541023731232	393,75	-3,80784177780151	
396,875	1,09538793563843	396,875	-3,79552531242371	
400	1,11898732185364	400	-3,78415679931641	
403,125	1,11867904663086	403,125	-3,75530624389648	
406,25	1,13288402557373	406,25	-3,64598441123962	
409,375	1,15725934505463	409,375	-3,49848175048828	
412,5	1,11509847640991	412,5	-3,41915845870972	
415,625	1,03795874118805	415,625	-3,5049901008606	
418,75	1,11335921287537	418,75	-3,42539739608765	
421,875	1,04632616043091	421,875	-3,36447978019714	
425	1,07536864280701	425	-3,38251280784607	
428,125	1,15096795558929	428,125	-3,47217321395874	
431,25	1,05116379261017	431,25	-3,35568833351135	
434,375	1,08566880226135	434,375	-3,36785435676575	
437,5	1,08934712409973	437,5	-3,36383128166199	
440,625	1,1114616394043	440,625	-3,35040688514709	
443,75	1,09037053585052	443,75	-3,27593493461609	
446,875	1,11917924880981	446,875	-3,26777148246765	
450	1,06813752651215	450	-3,32910442352295	
453,125	1,06731903553009	453,125	-3,31029844284058	
456,25	1,02647054195404	456,25	-3,31026124954224	
459,375	1,03916120529175	459,375	-3,22700619697571	
462,5	1,02126920223236	462,5	-3,14314103126526	
465,625	1,00982701778412	465,625	-3,13595223426819	
468,75	1,02289068698883	468,75	-3,13565897941589	
471,875	0,991416156291962	471,875	-3,04141139984131	
475	1,01327848434448	475	-3,02842545509338	
478,125	1,0688453912735	478,125	-3,04782605171204	
481,25	1,04253900051117	481,25	-3,08143496513367	
484,375	1,03833055496216	484,375	-2,99829411506653	
487,5	1,06112635135651	487,5	-3,01001334190369	
490,625	1,05015099048615	490,625	-2,97680854797363	
493,75	1,06370866298676	493,75	-2,94240975379944	
496,875	1,06245374679565	496,875	-2,93020725250244	
500	1,01121091842651	500	-2,9247989654541	
503,125	1,01501643657684	503,125	-2,89767956733704	
506,25	1,02105033397675	506,25	-2,89496397972107	
509,375	0,99509471654892	509,375	-2,8700807094574	
512,5	1,01075673103333	512,5	-2,82707667350769	
515,625	1,03695785999298	515,625	-2,83666729927063	
518,75	1,04850471019745	518,75	-2,83086657524109	
521,875	1,00538182258606	521,875	-2,7819652557373	
525	1,01765882968903	525	-2,76202726364136	
528,125	1,00707769393921	528,125	-2,78161954879761	
531,25	1,01044571399689	531,25	-2,74325108528137	
534,375	1,01509344577789	534,375	-2,73027181625366	
537,5	1,01116192340851	537,5	-2,71381807327271	
540,625	1,00622272491455	540,625	-2,70260620117188	
543,75	1,0308004617691	543,75	-2,70171332359314	
546,875	0,988261520862579	546,875	-2,66522526741028	
550	1,00375533103943	550	-2,65801191329956	
553,125	1,00816702842712	553,125	-2,63387632369995	
556,25	1,0101957321167	556,25	-2,63939547538757	
559,375	1,02574610710144	559,375	-2,61123323440552	
562,5	1,02297461032867	562,5	-2,60481572151184	
565,625	1,01241588592529	565,625	-2,59123373031616	
568,75	1,01896798610687	568,75	-2,57653164863586	
571,875	1,02258062362671	571,875	-2,56726050376892	
575	1,01133608818054	575	-2,5577130317688	
578,125	1,02639651298523	578,125	-2,54612946510315	
581,25	1,01010704040527	581,25	-2,54150986671448	
584,375	0,999551951885223	584,375	-2,52757549285889	
587,5	0,999864518642426	587,5	-2,52114629745483	
590,625	1,00474834442139	590,625	-2,50601243972778	
593,75	1,00317287445068	593,75	-2,49266171455383	
596,875	1,00196695327759	596,875	-2,49187278747559	
600	0,991713464260101	600	-2,47263598442078	
603,125	0,995669066905975	603,125	-2,47119569778442	
606,25	0,992359578609467	606,25	-2,45602869987488	
609,375	0,989476263523102	609,375	-2,45940780639648	
612,5	0,986165523529053	612,5	-2,44894552230835	
615,625	0,977250277996063	615,625	-2,43488311767578	
618,75	0,976285636425018	618,75	-2,43298053741455	
621,875	0,975475668907166	621,875	-2,43568897247314	
625	0,97648149728775	625	-2,42299938201904	
628,125	0,961792647838593	628,125	-2,40980577468872	
631,25	0,965947151184082	631,25	-2,39509868621826	
634,375	0,959876120090485	634,375	-2,38978695869446	
637,5	0,949480712413788	637,5	-2,39004135131836	
640,625	0,95139479637146	640,625	-2,39541149139404	
643,75	0,931667506694794	643,75	-2,38086247444153	
646,875	0,930532276630402	646,875	-2,37326812744141	
650	0,911011576652527	650	-2,37643885612488	
653,125	0,909657418727875	653,125	-2,36859440803528	
656,25	0,901965856552124	656,25	-2,36190271377563	
659,375	0,880754590034485	659,375	-2,35199356079102	
662,5	0,866190731525421	662,5	-2,36102795600891	
665,625	0,842836678028107	665,625	-2,35638880729675	
668,75	0,829386591911316	668,75	-2,34170937538147	
671,875	0,823212146759033	671,875	-2,33783316612244	
675	0,800597369670868	675	-2,3129448890686	
678,125	0,776120901107788	678,125	-2,29411578178406	
681,25	0,754160284996033	681,25	-2,28952288627625	
684,375	0,732976078987122	684,375	-2,27497863769531	
687,5	0,704210877418518	687,5	-2,27411413192749	
690,625	0,664644956588745	690,625	-2,21159505844116	
693,75	0,661365509033203	693,75	-2,21189856529236	
696,875	0,641950011253357	696,875	-2,18766164779663	
700	0,629052221775055	700	-2,14398097991943	
703,125	0,610619127750397	703,125	-2,10839509963989	
706,25	0,601383864879608	706,25	-2,08902430534363	
709,375	0,603422522544861	709,375	-2,05731630325317	
712,5	0,598296701908112	712,5	-1,98364794254303	
715,625	0,592513024806976	715,625	-1,97755944728851	
718,75	0,588298320770264	718,75	-1,94434404373169	
721,875	0,603351473808289	721,875	-1,91024482250214	
725	0,59814178943634	725	-1,88285994529724	
728,125	0,617061257362366	728,125	-1,84952938556671	
731,25	0,621018469333649	731,25	-1,82948231697083	
734,375	0,635201990604401	734,375	-1,80561828613281	
737,5	0,640132248401642	737,5	-1,787229180336	
740,625	0,661594927310944	740,625	-1,75652968883514	
743,75	0,67945671081543	743,75	-1,73189461231232	
746,875	0,67367035150528	746,875	-1,70978116989136	
750	0,685498178005219	750	-1,6999135017395	
753,125	0,702175855636597	753,125	-1,6919903755188	
756,25	0,717705547809601	756,25	-1,67679035663605	
759,375	0,738860011100769	759,375	-1,66609120368958	
762,5	0,739918351173401	762,5	-1,66103780269623	
765,625	0,752083480358124	765,625	-1,65189158916473	
768,75	0,75594037771225	768,75	-1,63316869735718	
771,875	0,768165647983551	771,875	-1,61843025684357	
775	0,775280892848969	775	-1,6189649105072	
778,125	0,78863126039505	778,125	-1,6109094619751	
781,25	0,791110694408417	781,25	-1,59738564491272	
784,375	0,798000752925873	784,375	-1,58310389518738	
787,5	0,799935519695282	787,5	-1,57012867927551	
790,625	0,806476831436157	790,625	-1,56611144542694	
793,75	0,817213833332062	793,75	-1,56798624992371	
796,875	0,820731520652771	796,875	-1,5666196346283	
800	0,82500559091568	800	-1,55779945850372	
803,125	0,827825486660004	803,125	-1,55926632881165	
806,25	0,830348074436188	806,25	-1,54521346092224	
809,375	0,834425330162048	809,375	-1,51887571811676	
812,5	0,841751575469971	812,5	-1,5345960855484	
815,625	0,846714019775391	815,625	-1,53439497947693	
818,75	0,84823352098465	818,75	-1,51556754112244	
821,875	0,857042491436005	821,875	-1,51494669914246	
825	0,865150630474091	825	-1,52849423885345	
828,125	0,866105973720551	828,125	-1,5164098739624	
831,25	0,903072059154511	831,25	-1,50690901279449	
834,375	0,871336102485657	834,375	-1,48098385334015	
837,5	0,860045790672302	837,5	-1,48225462436676	
840,625	0,860273540019989	840,625	-1,47430908679962	
843,75	0,866248726844788	843,75	-1,4611120223999	
846,875	0,859980404376984	846,875	-1,46547186374664	
850	0,85796183347702	850	-1,4597350358963	
853,125	0,867801249027252	853,125	-1,46088230609894	
856,25	0,882262170314789	856,25	-1,45506143569946	
859,375	0,891216397285461	859,375	-1,43772077560425	
862,5	0,885876893997192	862,5	-1,4306173324585	
