Frequency in Hz	Silk_99 Sound Reflection Factor continuous Re	Frequency in Hz	Silk_99 Sound Reflection Factor continuous Im	
100	0,965836822986603	100	-0,128668457269669	
103,125	0,958930253982544	103,125	-0,118806548416615	
106,25	0,95965451002121	106,25	-0,153056547045708	
109,375	0,971364259719849	109,375	-0,138772994279861	
112,5	0,958936214447021	112,5	-0,143783703446388	
115,625	0,957908511161804	115,625	-0,155773565173149	
118,75	0,962628722190857	118,75	-0,147852018475533	
121,875	0,949326276779175	121,875	-0,156155034899712	
125	0,961223006248474	125	-0,158968314528465	
128,125	0,960382223129272	128,125	-0,170385196805	
131,25	0,961095869541168	131,25	-0,168606549501419	
134,375	0,969810605049133	134,375	-0,169707387685776	
137,5	0,94441819190979	137,5	-0,18562950193882	
140,625	0,943401992321014	140,625	-0,174591779708862	
143,75	0,940230965614319	143,75	-0,186413675546646	
146,875	0,958183825016022	146,875	-0,175983786582947	
150	0,944831252098084	150	-0,187447533011436	
153,125	0,94477516412735	153,125	-0,20162445306778	
156,25	0,945728600025177	156,25	-0,196912929415703	
159,375	0,94549822807312	159,375	-0,20276290178299	
162,5	0,947093546390533	162,5	-0,202869474887848	
165,625	0,941940724849701	165,625	-0,202795088291168	
168,75	0,939454078674316	168,75	-0,22076652944088	
171,875	0,934754610061646	171,875	-0,211191147565842	
175	0,928367018699646	175	-0,219555720686913	
178,125	0,93615198135376	178,125	-0,224287942051888	
181,25	0,936069369316101	181,25	-0,221925467252731	
184,375	0,929798603057861	184,375	-0,222942903637886	
187,5	0,921113789081573	187,5	-0,233452886343002	
190,625	0,921126306056976	190,625	-0,229283049702644	
193,75	0,916303515434265	193,75	-0,242730230093002	
196,875	0,920164883136749	196,875	-0,238209813833237	
200	0,927534162998199	200	-0,239390328526497	
203,125	0,931734025478363	203,125	-0,239602044224739	
206,25	0,918560743331909	206,25	-0,259018093347549	
209,375	0,917670071125031	209,375	-0,25337091088295	
212,5	0,926138341426849	212,5	-0,248446404933929	
215,625	0,910868346691132	215,625	-0,263862252235413	
218,75	0,91553521156311	218,75	-0,256577014923096	
221,875	0,910715699195862	221,875	-0,26623609662056	
225	0,905997395515442	225	-0,26574581861496	
228,125	0,903464674949646	228,125	-0,269385159015656	
231,25	0,903656661510468	231,25	-0,27108371257782	
234,375	0,899247348308563	234,375	-0,275036215782166	
237,5	0,906688034534454	237,5	-0,275249153375626	
240,625	0,90481698513031	240,625	-0,291948646306992	
243,75	0,902697622776031	243,75	-0,286971896886826	
246,875	0,892624855041504	246,875	-0,287975460290909	
250	0,89055323600769	250	-0,289656490087509	
253,125	0,894371271133423	253,125	-0,294495403766632	
256,25	0,889575183391571	256,25	-0,301911622285843	
259,375	0,884488105773926	259,375	-0,29774072766304	
262,5	0,887074112892151	262,5	-0,306041747331619	
265,625	0,888155460357666	265,625	-0,313547492027283	
268,75	0,885228991508484	268,75	-0,309460490942001	
271,875	0,879822552204132	271,875	-0,317612648010254	
275	0,883315861225128	275	-0,319768309593201	
278,125	0,875559747219086	278,125	-0,324621975421906	
281,25	0,875341057777405	281,25	-0,324289917945862	
284,375	0,874261736869812	284,375	-0,326913356781006	
287,5	0,882871925830841	287,5	-0,32509446144104	
290,625	0,866221487522125	290,625	-0,345294058322906	
293,75	0,868643403053284	293,75	-0,345542281866074	
296,875	0,864174067974091	296,875	-0,347253799438477	
300	0,859810471534729	300	-0,350828379392624	
303,125	0,855644106864929	303,125	-0,357638627290726	
306,25	0,850066423416138	306,25	-0,359206348657608	
309,375	0,844772756099701	309,375	-0,358813464641571	
312,5	0,833877682685852	312,5	-0,36484032869339	
315,625	0,825296938419342	315,625	-0,350805282592773	
318,75	0,822887361049652	318,75	-0,355789572000504	
321,875	0,830254733562469	321,875	-0,349077552556992	
325	0,832531034946442	325	-0,343996226787567	
328,125	0,830189824104309	328,125	-0,340318828821182	
331,25	0,838916599750519	331,25	-0,355698972940445	
334,375	0,839493036270142	334,375	-0,358530074357986	
337,5	0,836896240711212	337,5	-0,356121122837067	
340,625	0,838963866233826	340,625	-0,36253222823143	
343,75	0,832434594631195	343,75	-0,370553970336914	
346,875	0,833669126033783	346,875	-0,372198313474655	
350	0,83122307062149	350	-0,371467351913452	
353,125	0,83216792345047	353,125	-0,373625963926315	
356,25	0,834071636199951	356,25	-0,38353443145752	
359,375	0,82764345407486	359,375	-0,393559247255325	
362,5	0,823587596416473	362,5	-0,392587661743164	
365,625	0,815677464008331	365,625	-0,388931334018707	
368,75	0,823343217372894	368,75	-0,395313560962677	
371,875	0,833107829093933	371,875	-0,405295878648758	
375	0,799815535545349	375	-0,395440548658371	
378,125	0,803077757358551	378,125	-0,403838932514191	
381,25	0,818272769451141	381,25	-0,400695592164993	
384,375	0,798741102218628	384,375	-0,402037918567657	
387,5	0,7949378490448	387,5	-0,418492615222931	
390,625	0,797460675239563	390,625	-0,426937133073807	
393,75	0,810635983943939	393,75	-0,413489580154419	
396,875	0,809522151947021	396,875	-0,413608878850937	
400	0,807395696640015	400	-0,412963598966599	
403,125	0,805970072746277	403,125	-0,414364129304886	
406,25	0,795354962348938	406,25	-0,418876886367798	
409,375	0,778570175170898	409,375	-0,425707906484604	
412,5	0,772648811340332	412,5	-0,436262518167496	
415,625	0,78806346654892	415,625	-0,439509898424149	
418,75	0,774694323539734	418,75	-0,436168879270554	
421,875	0,772442102432251	421,875	-0,448500841856003	
425	0,773522436618805	425	-0,443987369537354	
428,125	0,780649900436401	428,125	-0,429391413927078	
431,25	0,773841202259064	431,25	-0,448582917451859	
434,375	0,773954689502716	434,375	-0,443915724754334	
437,5	0,773940920829773	437,5	-0,444656044244766	
440,625	0,77173376083374	440,625	-0,442480653524399	
443,75	0,764788448810577	443,75	-0,450649052858353	
446,875	0,763194262981415	446,875	-0,4477778673172	
450	0,775386393070221	450	-0,450410604476929	
453,125	0,774383842945099	453,125	-0,452396303415298	
456,25	0,778566241264343	456,25	-0,457896381616592	
459,375	0,768256604671478	459,375	-0,462624788284302	
462,5	0,758909285068512	462,5	-0,470465302467346	
465,625	0,759877800941467	465,625	-0,473237276077271	
468,75	0,760063409805298	468,75	-0,472087502479553	
471,875	0,750342190265656	471,875	-0,484511077404022	
475	0,748334944248199	475	-0,483167558908463	
478,125	0,749501645565033	478,125	-0,475061655044556	
481,25	0,757936358451843	481,25	-0,478140085935593	
484,375	0,74699205160141	484,375	-0,48630028963089	
487,5	0,748674213886261	487,5	-0,48349991440773	
490,625	0,745484888553619	490,625	-0,489276945590973	
493,75	0,739185631275177	493,75	-0,49146768450737	
496,875	0,737557590007782	496,875	-0,494889676570892	
500	0,740500509738922	500	-0,505650341510773	
503,125	0,735454797744751	503,125	-0,509270966053009	
506,25	0,734668254852295	506,25	-0,510202646255493	
509,375	0,731283247470856	509,375	-0,517817676067352	
512,5	0,722192168235779	512,5	-0,519692480564117	
515,625	0,721922338008881	515,625	-0,515777349472046	
518,75	0,720441162586212	518,75	-0,515429258346558	
521,875	0,713073134422302	521,875	-0,526827573776245	
525	0,708382844924927	525	-0,526105344295502	
528,125	0,712438941001892	528,125	-0,528402328491211	
531,25	0,704405128955841	531,25	-0,530411541461945	
534,375	0,701699137687683	534,375	-0,53137743473053	
537,5	0,698884904384613	537,5	-0,533561885356903	
540,625	0,696569263935089	540,625	-0,53586882352829	
543,75	0,69524484872818	543,75	-0,53240442276001	
546,875	0,690246045589447	546,875	-0,543456614017487	
550	0,687868118286133	550	-0,541405081748962	
553,125	0,682684004306793	553,125	-0,542673826217651	
556,25	0,683266222476959	556,25	-0,543910980224609	
559,375	0,676746726036072	559,375	-0,542910933494568	
562,5	0,675432324409485	562,5	-0,54435008764267	
565,625	0,673474609851837	565,625	-0,54768180847168	
568,75	0,670687437057495	568,75	-0,547880172729492	
571,875	0,669084548950195	571,875	-0,548415005207062	
575	0,668444395065308	575	-0,552692234516144	
578,125	0,665569245815277	578,125	-0,551648557186127	
581,25	0,665837049484253	581,25	-0,557579636573792	
