Frequency in Hz	Silk_94 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_94 Sound Absorption Coefficient continuous	
125	0,106602340936661	100	0,0828720736890101	
160	0,144394844770432	103,125	0,0992618234029281	
200	0,195538923144341	106,25	0,0911985764010644	
250	0,263388514518738	109,375	0,0767875511522315	
315	0,349556535482407	112,5	0,0986716560704363	
400	0,420714050531387	115,625	0,0986718789421971	
500	0,488788902759552	118,75	0,0937397723909571	
630	0,552340269088745	121,875	0,119701083675304	
800	0,595106780529022	125	0,0990760630374687	
1000	0,640600562095642	128,125	0,100334299207536	
1250	0,753117978572845	131,25	0,101460121920152	
1600	0,702673137187958	134,375	0,0869933325884411	
2000	0,759544312953949	137,5	0,130125788080165	
2500	0,791008949279785	140,625	0,13724940004101	
3150	0,822518825531006	143,75	0,142050378365646	
4000	0,857264816761017	146,875	0,115617894418053	
		150	0,138221397328003	
		153,125	0,136255409821826	
		156,25	0,138359550178373	
		159,375	0,139404744389267	
		162,5	0,138959738876938	
		165,625	0,149722611554301	
		168,75	0,150928692052896	
		171,875	0,164018957513142	
		175	0,174803842503494	
		178,125	0,162457903101761	
		181,25	0,165806364115492	
		184,375	0,178351849361382	
		187,5	0,191739515357562	
		190,625	0,195266811211334	
		193,75	0,201054072041215	
		196,875	0,198579307082587	
		200	0,188454509324074	
		203,125	0,185377359250531	
		206,25	0,201815602194291	
		209,375	0,207114586440804	
		212,5	0,197681891882474	
		215,625	0,219444216151526	
		218,75	0,216630807388277	
		221,875	0,223309136942553	
		225	0,233163416346423	
		228,125	0,238008530046121	
		231,25	0,239572845949176	
		234,375	0,24709886850628	
		237,5	0,23861504051859	
		240,625	0,237119761484766	
		243,75	0,244856303622138	
		246,875	0,261735653209635	
		250	0,266255082545631	
		253,125	0,261551674368841	
		256,25	0,26779509811	
		259,375	0,279127951812783	
		262,5	0,274506350819287	
		265,625	0,272283692713131	
		268,75	0,280647389424502	
		271,875	0,287143652437344	
		275	0,283864895726312	
		278,125	0,294142288022274	
		281,25	0,296893247289197	
		284,375	0,299093415777432	
		287,5	0,287485361440976	
		290,625	0,30313064498259	
		293,75	0,30311566036021	
		296,875	0,311912932858726	
		300	0,316876323399643	
		303,125	0,323347020512044	
		306,25	0,333297144369885	
		309,375	0,343447085017718	
		312,5	0,357777482345987	
		315,625	0,377652708365338	
		318,75	0,381923973840107	
		321,875	0,375685163155743	
		325	0,373641820070026	
		328,125	0,380423470778341	
		331,25	0,364939427390721	
		334,375	0,364779108444499	
		337,5	0,371056570842228	
		340,625	0,368044968136471	
		343,75	0,374098054784154	
		346,875	0,373091961034363	
		350	0,378619875207121	
		353,125	0,376360092572875	
		356,25	0,372649100740403	
		359,375	0,378173718855606	
		362,5	0,386394404624287	
		365,625	0,396271754663001	
		368,75	0,388853327885811	
		371,875	0,374826059562875	
		375	0,412278144964563	
		378,125	0,407159831986945	
		381,25	0,397871072214718	
		384,375	0,41809687520624	
		387,5	0,416111314621033	
		390,625	0,410573906895836	
		393,75	0,406017322339874	
		396,875	0,409244192587493	
		400	0,414587801397937	
		403,125	0,417797546574384	
		406,25	0,427265877854964	
		409,375	0,438760245200321	
		412,5	0,4399729958643	
		415,625	0,426162845977373	
		418,75	0,440240320863986	
		421,875	0,436373409124068	
		425	0,441392883449865	
		428,125	0,446947802829996	
		431,25	0,442830547284817	
		434,375	0,447738894922024	
		437,5	0,450759423729764	
		440,625	0,455311712873676	
		443,75	0,45745289539161	
		446,875	0,463305333123041	
		450	0,452937623258983	
		453,125	0,455975020839512	
		456,25	0,451356593433558	
		459,375	0,457959580391713	
		462,5	0,460559420388441	
		465,625	0,459691108940233	
		468,75	0,462475669944283	
		471,875	0,466594693229649	
		475	0,472121720731783	
		478,125	0,480374412259611	
		481,25	0,473660300048409	
		484,375	0,480495950262998	
		487,5	0,483869407437771	
		490,625	0,485175326487792	
		493,75	0,491135798331582	
		496,875	0,493298031386461	
		500	0,484406348152297	
		503,125	0,486256229265229	
		506,25	0,48804152823714	
		509,375	0,48665688594148	
		512,5	0,494938716921074	
		515,625	0,498594862118863	
		518,75	0,501406394142286	
		521,875	0,49880496810844	
		525	0,503932919049529	
		528,125	0,499896761644412	
		531,25	0,503983123401088	
		534,375	0,506886252632109	
		537,5	0,508806819130737	
		540,625	0,508228513025782	
		543,75	0,513660258943329	
		546,875	0,509927513890929	
		550	0,513855297943112	
		553,125	0,518210645499008	
		556,25	0,517526629394617	
		559,375	0,524699264191448	
		562,5	0,525216677754698	
		565,625	0,525678059269227	
		568,75	0,529295747084359	
		571,875	0,531424162179771	
		575	0,530862191220431	
		578,125	0,535474892603683	
		581,25	0,533050367876894	
		584,375	0,533088582453164	
		587,5	0,534491398020835	
		590,625	0,537363728811147	
		593,75	0,539288790497712	
		596,875	0,539464719708929	
		600	0,540620571628443	
		603,125	0,542387371393991	
		606,25	0,543948526998867	
		609,375	0,543656273471134	
		612,5	0,545295980698936	
		615,625	0,546608793128604	
		618,75	0,547399220542915	
		621,875	0,547460727871513	
		625	0,550353890124381	
		628,125	0,550900067230861	
		631,25	0,554793726558195	
		634,375	0,555798536005652	
		637,5	0,555268744896869	
		640,625	0,556056344357755	
		643,75	0,556260131163149	
		646,875	0,5589370239597	
		650	0,557478205798075	
		653,125	0,560249094915719	
		656,25	0,562122354530324	
		659,375	0,562432070451531	
		662,5	0,561532927989976	
		665,625	0,561429087885203	
		668,75	0,564027325209481	
		671,875	0,565851451380113	
		675	0,567994681735095	
		678,125	0,569517441009703	
		681,25	0,569427781144695	
		684,375	0,569641593267606	
		687,5	0,567907864387395	
		690,625	0,569709463066979	
		693,75	0,570488036190211	
		696,875	0,571075318450718	
		700	0,572784549944679	
		703,125	0,572597303089313	
		706,25	0,573281528710851	
		709,375	0,576078182402551	
		712,5	0,576807487619106	
		715,625	0,575996081733765	
		718,75	0,576141778338885	
		721,875	0,578544258534474	
		725	0,57782855295682	
		728,125	0,580452897549872	
		731,25	0,579743955746502	
		734,375	0,580931444104242	
		737,5	0,580361983071863	
		740,625	0,58371182397665	
		743,75	0,586177925643573	
		746,875	0,583693430064906	
		750	0,584305202457012	
		753,125	0,585120179687451	
		756,25	0,58653224175536	
		759,375	0,589793828177248	
		762,5	0,587944715738686	
		765,625	0,589006890899251	
		768,75	0,588563333904817	
		771,875	0,590561530334295	
		775	0,5902737686517	
		778,125	0,592304022228993	
		781,25	0,592391830220605	
		784,375	0,593958364909266	
		787,5	0,593751111304516	
		790,625	0,593852234642718	
		793,75	0,594749632696049	
		796,875	0,595275565819073	
		800	0,596166526384886	
		803,125	0,595599190514333	
		806,25	0,595247985570429	
		809,375	0,597060169193339	
		812,5	0,597254385240816	
		815,625	0,598389278890948	
		818,75	0,599032805920503	
		821,875	0,601463026024717	
		825	0,602395826329295	
		828,125	0,602688371075393	
		831,25	0,610286590433111	
		834,375	0,604961716378706	
		837,5	0,601908520101197	
		840,625	0,603033647978849	
		843,75	0,604061944223607	
		846,875	0,599637039494271	
		850	0,598670323896353	
		853,125	0,599942129621856	
		856,25	0,605756225886545	
		859,375	0,608437355651672	
		862,5	0,606710704143211	
		865,625	0,605588793240335	
		868,75	0,603173578584444	
		871,875	0,603329105918325	
		875	0,605607795120837	
		878,125	0,605737527414498	
		881,25	0,605984256292822	
		884,375	0,619934535170225	
		887,5	0,624561221892935	
		890,625	0,623825294409268	
		893,75	0,618153748316165	
		896,875	0,620599557370669	
		900	0,621250138590287	
		903,125	0,625002188187479	
		906,25	0,624628613071745	
		909,375	0,620972310578883	
		912,5	0,619334894835512	
		915,625	0,620994292801683	
		918,75	0,623390546076987	
		921,875	0,62743418560202	
		925	0,627389109963337	
		928,125	0,62417236853676	
		931,25	0,62793662463976	
		934,375	0,627703699261462	
		937,5	0,628394786765781	
		940,625	0,628461611972875	
		943,75	0,628409259760577	
		946,875	0,629285849344306	
		950	0,630349537470367	
		953,125	0,631025018568392	
		956,25	0,632709937286966	
		959,375	0,633219691422308	
		962,5	0,632147162542631	
		965,625	0,632993343853986	
		968,75	0,631598818245764	
		971,875	0,634146617447576	
		975	0,635087820304947	
		978,125	0,63547023153893	
		981,25	0,638029685524172	
		984,375	0,636574939796504	
		987,5	0,637192644534179	
		990,625	0,638352043700482	
		993,75	0,636639134110791	
		996,875	0,637488285129376	
		1000	0,63748594876518	
		1003,125	0,638946131517243	
		1006,25	0,639991449970602	
		1009,375	0,640872309287391	
		1012,5	0,641315221651446	
		1015,625	0,640354314489535	
		1018,75	0,641890872285386	
		1021,875	0,642339799083825	
		1025	0,643798732382194	
		1028,125	0,643853866840899	
		1031,25	0,642797217317842	
		1034,375	0,643908746948223	
		1037,5	0,645048547754094	
		1040,625	0,645529179518833	
		1043,75	0,646292242946305	
		1046,875	0,647262377124606	
		1050	0,646940000636474	
		1053,125	0,645878944639316	
		1056,25	0,647615445295098	
		1059,375	0,64755159044878	
		1062,5	0,648050462423356	
		1065,625	0,649252838470664	
		1068,75	0,65127099216762	
		1071,875	0,651681210556443	
		1075	0,651034896487331	
		1078,125	0,650504075596032	
		1081,25	0,654904409094915	
		1084,375	0,65423752592344	
		1087,5	0,654738197950997	
		1090,625	0,655727338503951	
		1093,75	0,656044677348858	
		1096,875	0,658221230799726	
		1100	0,65951419062459	
		1103,125	0,66037597866368	
		1106,25	0,662086182826293	
		1109,375	0,661808934954863	
		1112,5	0,661882267544634	
		1115,625	0,666342217475235	
		1118,75	0,664010110546132	
		1121,875	0,666541822703731	
		1125	0,665958225938647	
		1128,125	0,666200417291624	
		1131,25	0,670023050440361	
		1134,375	0,670878363265416	
		1137,5	0,670577233505966	
		1140,625	0,672765541305632	
		1143,75	0,673956865157847	
		1146,875	0,67646056783145	
		1150	0,679791681645151	
		1153,125	0,682508035757448	
		1156,25	0,681487566971101	
		1159,375	0,682253739874247	
		1162,5	0,684747079353696	
		1165,625	0,689535624257281	
		1168,75	0,690685399858131	
		1171,875	0,694009997679309	
		1175	0,698013149682174	
		1178,125	0,700297098652051	
		1181,25	0,70285182866801	
		1184,375	0,708618268946902	
		1187,5	0,71052308030809	
		1190,625	0,716850005607119	
		1193,75	0,722329176296798	
		1196,875	0,729378432438376	
		1200	0,733873614418452	
		1203,125	0,740358278206484	
		1206,25	0,746620780407526	
		1209,375	0,751690953279932	
		1212,5	0,75988732657876	
		1215,625	0,766209566961239	
		1218,75	0,778480151181821	
		1221,875	0,785379389528735	
		1225	0,791069474337641	
		1228,125	0,804592786359377	
		1231,25	0,811256979350186	
		1234,375	0,82030309783264	
		1237,5	0,832124007804704	
		1240,625	0,838031272366079	
		1243,75	0,847309038408885	
		1246,875	0,853573237831578	
		1250	0,856036205310313	
		1253,125	0,86067832905554	
		1256,25	0,864862178656242	
		1259,375	0,864635550260277	
		1262,5	0,864101866260518	
		1265,625	0,863828668388265	
		1268,75	0,860325061279735	
		1271,875	0,85584212789857	
		1275	0,852101291233323	
		1278,125	0,844628449530297	
		1281,25	0,838926372941333	
		1284,375	0,834374168485491	
		1287,5	0,827743903726829	
		1290,625	0,820001691557473	
		1293,75	0,815776458434624	
		1296,875	0,808300073728525	
		1300	0,801499263538826	
		1303,125	0,794873865842021	
		1306,25	0,790627832519215	
		1309,375	0,783475471883577	
		1312,5	0,777096335222828	
		1315,625	0,772126760812225	
		1318,75	0,768250462586607	
		1321,875	0,764873234374931	
		1325	0,759154102851046	
		1328,125	0,753399911584186	
		1331,25	0,751244037800966	
		1334,375	0,745302306898703	
		1337,5	0,743295294432584	
		1340,625	0,741444143380523	
		1343,75	0,738035022172795	
		1346,875	0,736269349310883	
		1350	0,732848676747847	
		1353,125	0,730203665206441	
		1356,25	0,725551302415628	
		1359,375	0,726081007006387	
		1362,5	0,72458310815697	
		1365,625	0,723010540943107	
		1368,75	0,721917860032961	
		1371,875	0,720702481247177	
		1375	0,718025800528631	
		1378,125	0,717391915735312	
		1381,25	0,715981455255308	
		1384,375	0,713983989523829	
		1387,5	0,714835743422831	
		1390,625	0,714824669888936	
		1393,75	0,71489113679787	
		1396,875	0,714591606694104	
		1400	0,71334551056756	
		1403,125	0,711420796018381	
		1406,25	0,710565859334701	
		1409,375	0,710134272649307	
		1412,5	0,710490935229542	
		1415,625	0,708738253770883	
		1418,75	0,707896313546986	
		1421,875	0,708436960661023	
		1425	0,706959677202741	
		1428,125	0,706091315099813	
		1431,25	0,706395558375554	
		1434,375	0,706386200756972	
		1437,5	0,707457594612658	
		1440,625	0,70464087324335	
		1443,75	0,704007476041308	
		1446,875	0,704869480901807	
		1450	0,704815199784694	
		1453,125	0,704624266988511	
		1456,25	0,703717727400651	
		1459,375	0,703710101160551	
		1462,5	0,704195505776387	
		1465,625	0,7026505644643	
		1468,75	0,702774732304591	
		1471,875	0,702008440110829	
		1475	0,701117398415786	
		1478,125	0,701313097951132	
		1481,25	0,701971940329967	
		1484,375	0,701788575799548	
		1487,5	0,699257662929264	
		1490,625	0,699605935942445	
		1493,75	0,69844402757224	
		1496,875	0,697538970264409	
		1500	0,698199270408922	
		1503,125	0,698594253812453	
		1506,25	0,698694785036812	
		1509,375	0,69741382160336	
		1512,5	0,697537218151004	
		1515,625	0,696553498728637	
		1518,75	0,697518015770791	
		1521,875	0,696833000638171	
		1525	0,695544333178976	
		1528,125	0,697412637183855	
		1531,25	0,696635080022275	
		1534,375	0,697658268697231	
		1537,5	0,696317790866588	
		1540,625	0,696478179570933	
		1543,75	0,695800120446129	
		1546,875	0,696064240161384	
		1550	0,695411519248324	
		1553,125	0,694816709152136	
		1556,25	0,696057156579556	
		1559,375	0,695355269463758	
		1562,5	0,694515583743337	
		1565,625	0,696397599244279	
		1568,75	0,694333980956086	
		1571,875	0,695079265708304	
		1575	0,694532096297078	
		1578,125	0,694374990623454	
		1581,25	0,693204695843541	
		1584,375	0,694382781949485	
		1587,5	0,69328593174318	
		1590,625	0,691920934366442	
		1593,75	0,692450383659233	
		1596,875	0,692960347964517	
		1600	0,692296313064189	
		1603,125	0,691600291012831	
		1606,25	0,69141138703983	
		1609,375	0,694780972195856	
		1612,5	0,696683394972272	
		1615,625	0,694915682007373	
		1618,75	0,692872267011027	
		1621,875	0,693778903015115	
		1625	0,694782675113776	
		1628,125	0,695548576220605	
		1631,25	0,695707542170957	
		1634,375	0,693216063726567	
		1637,5	0,695519997229755	
		1640,625	0,699536331114821	
		1643,75	0,69902408012904	
		1646,875	0,697153341124681	
		1650	0,695933893125443	
		1653,125	0,697622956699094	
		1656,25	0,698219317994787	
		1659,375	0,699478699649695	
		1662,5	0,699082248147611	
		1665,625	0,697816365431551	
		1668,75	0,69809701012869	
		1671,875	0,696964332318804	
		1675	0,697715926235593	
		1678,125	0,697261231421356	
		1681,25	0,696375247139513	
		1684,375	0,699265992844508	
		1687,5	0,698363485130335	
		1690,625	0,699308075403585	
		1693,75	0,701323844263975	
		1696,875	0,700479253273664	
		1700	0,701591048545784	
		1703,125	0,699998581046053	
		1706,25	0,701521129930797	
		1709,375	0,704005392238883	
		1712,5	0,704432264264316	
		1715,625	0,706492477338346	
		1718,75	0,705059191060911	
		1721,875	0,705458791440224	
		1725	0,710307301476953	
		1728,125	0,711274358308988	
		1731,25	0,711610229447547	
		1734,375	0,712146747976549	
		1737,5	0,717034894110587	
		1740,625	0,717773679377519	
		1743,75	0,722984427854358	
		1746,875	0,725109026093958	
		1750	0,724877736251167	
		1753,125	0,728254389102912	
		1756,25	0,730999266373847	
		1759,375	0,730076789152166	
		1762,5	0,733451154007228	
		1765,625	0,734766465804273	
		1768,75	0,737470124711614	
		1771,875	0,738136429898378	
		1775	0,739371109391368	
		1778,125	0,739979571028903	
		1781,25	0,742258994263352	
		1784,375	0,743240710949503	
		1787,5	0,741928819978349	
		1790,625	0,746482251306922	
		1793,75	0,744835673968184	
		1796,875	0,745323369643804	
		1800	0,747562499024222	
		1803,125	0,747345711443808	
		1806,25	0,74830130017512	
		1809,375	0,749189981013073	
		1812,5	0,74847474412586	
		1815,625	0,749936552663008	
		1818,75	0,751032407703506	
		1821,875	0,750036507297133	
		1825	0,749501827081521	
		1828,125	0,749744427573606	
		1831,25	0,750848204625468	
