Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Im	
100	0,945710957050323	556,25	0,734206199645996	100	-0,122835911810398	556,25	-0,0664462000131607	
103,125	0,945192039012909	559,375	0,735164165496826	103,125	-0,118096455931664	559,375	-0,0622972100973129	
106,25	0,943782448768616	562,5	0,738384127616882	106,25	-0,128396853804588	562,5	-0,0641053020954132	
109,375	0,945365786552429	565,625	0,741888582706451	109,375	-0,118296056985855	565,625	-0,0617450624704361	
112,5	0,934067487716675	568,75	0,7352494597435	112,5	-0,131674721837044	568,75	-0,0623832568526268	
115,625	0,924656331539154	571,875	0,734821856021881	115,625	-0,132010459899902	571,875	-0,0604548677802086	
118,75	0,924289524555206	575	0,736335217952728	118,75	-0,130119159817696	575	-0,0612591207027435	
121,875	0,924281060695648	578,125	0,737894356250763	121,875	-0,132447764277458	578,125	-0,0596331655979156	
125	0,922393679618835	581,25	0,734952569007874	125	-0,132045134902	581,25	-0,0560280159115791	
128,125	0,919090211391449	584,375	0,735153615474701	128,125	-0,134051159024239	584,375	-0,0602261312305927	
131,25	0,920411288738251	587,5	0,736443519592285	131,25	-0,147686779499054	587,5	-0,0572289377450943	
134,375	0,915376424789429	590,625	0,736508309841156	134,375	-0,139200419187546	590,625	-0,0580892115831375	
137,5	0,904963374137878	593,75	0,734980165958405	137,5	-0,144169747829437	593,75	-0,0594521872699261	
140,625	0,906474888324738	596,875	0,735031545162201	140,625	-0,136887028813362	596,875	-0,0565135441720486	
143,75	0,899478077888489	600	0,737854838371277	143,75	-0,147370904684067	600	-0,0530562214553356	
146,875	0,901380598545074	603,125	0,736004531383514	146,875	-0,147695407271385	603,125	-0,056707713752985	
150	0,908683657646179	606,25	0,732724606990814	150	-0,144505530595779	606,25	-0,053846575319767	
153,125	0,888906061649323	609,375	0,730467259883881	153,125	-0,150772884488106	609,375	-0,0586833283305168	
156,25	0,892926037311554	612,5	0,732376933097839	156,25	-0,151256218552589	612,5	-0,0539380200207233	
159,375	0,893835306167603	615,625	0,730025827884674	159,375	-0,15178194642067	615,625	-0,0539448596537113	
162,5	0,893274664878845	618,75	0,732286095619202	162,5	-0,150476679205894	618,75	-0,0542861446738243	
165,625	0,893438577651978	621,875	0,729667544364929	165,625	-0,156476512551308	621,875	-0,0544899143278599	
168,75	0,874241888523102	625	0,728004157543182	168,75	-0,153140127658844	625	-0,05124631524086	
171,875	0,872395038604736	628,125	0,73018079996109	171,875	-0,158724829554558	628,125	-0,0537763498723507	
175	0,87515127658844	631,25	0,731080889701843	175	-0,153085514903069	631,25	-0,0513210333883762	
178,125	0,867074549198151	634,375	0,729923963546753	178,125	-0,156303897500038	634,375	-0,0501261912286282	
181,25	0,869131445884705	637,5	0,727505743503571	181,25	-0,153422027826309	637,5	-0,0480992719531059	
184,375	0,864911258220673	640,625	0,728457510471344	184,375	-0,162439674139023	640,625	-0,0503143295645714	
187,5	0,865525603294373	643,75	0,730682849884033	187,5	-0,156742691993713	643,75	-0,0495647490024567	
190,625	0,866492986679077	646,875	0,729296326637268	190,625	-0,15690091252327	646,875	-0,0484029501676559	
193,75	0,860240280628204	650	0,728325426578522	193,75	-0,157645061612129	650	-0,0478294566273689	
196,875	0,855451226234436	653,125	0,730225741863251	196,875	-0,160835936665535	653,125	-0,0470673255622387	
200	0,853231549263	656,25	0,731562554836273	200	-0,15593259036541	656,25	-0,0455619320273399	
