Frequency in Hz	Silk_92_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient 1/3-octave	
100	0,0905421507232477	556,25	0,456526183949503	125	0,135730355978012	630	0,46272212266922	
103,125	0,0926652352250803	559,375	0,455652720710629	160	0,184238940477371	800	0,48132997751236	
106,25	0,0927889762628629	562,5	0,450679400066308	200	0,243242189288139	1000	0,505026996135712	
109,375	0,0922895500925008	565,625	0,445788851921051	250	0,305690169334412	1250	0,541590392589569	
112,5	0,110179709684421	568,75	0,455516578899888	315	0,373441696166992	1600	0,615380704402924	
115,625	0,127583910578584	571,875	0,456382013554223	400	0,408856004476547	2000	0,593343436717987	
118,75	0,128757853500253	575	0,454057727969367	500	0,441085547208786	2500	0,68624746799469	
121,875	0,128162108234237	578,125	0,451955809721322	630	0,457480520009995	3150	0,694682717323303	
125	0,13175397258287	581,25	0,456705615760282			4000	0,751380860805511	
128,125	0,13730349567502	584,375	0,455921986983633					
131,25	0,131031651368988	587,5	0,454375763707432					
134,375	0,142709206737218	590,625	0,454181124283554					
137,5	0,160256362208788	593,75	0,456269564285051					
140,625	0,159565217089538	596,875	0,456534857813491					
143,75	0,169220989700753	600	0,452755241974377					
146,875	0,165699094829817	603,125	0,455081587348911					
150	0,15341215427739	606,25	0,460215192417654					
153,125	0,187113546594722	609,375	0,462973867037531					
156,25	0,179804687136897	612,5	0,460714729068641					
159,375	0,178020652416572	615,625	0,464152235238732					
162,5	0,17941712374931	618,75	0,460810057062277					
165,625	0,17728256982379	621,875	0,464616145179212					
168,75	0,212249173172853	625	0,467383731037371					
171,875	0,2137333460491	628,125	0,463944109578472					
175	0,210675069056877	631,25	0,462886919832586					
178,125	0,223750789488303	634,375	0,464698387971331					
181,25	0,221072221313429	637,5	0,468421880715183					
184,375	0,225541888652268	640,625	0,466818142115524					
187,5	0,226297174074006	643,75	0,463645869061172					
190,625	0,224572032348979	646,875	0,465784034644397					
193,75	0,235134673061556	650	0,467254443604785					
196,875	0,242334993466674	653,125	0,46455505260191					
200	0,24768093139955	656,25	0,462740374728776					
203,125	0,253359813988931	659,375	0,461279646396089					
206,25	0,250770661052413	662,5	0,466473411205871					
209,375	0,260439819022811	665,625	0,463825829815531					
212,5	0,252179886534513	668,75	0,465580621488612					
215,625	0,258004801424491	671,875	0,467210829630834					
218,75	0,266330238946561	675	0,467671106145225					
221,875	0,261162817930929	678,125	0,471016112454589					
225	0,269843774937108	681,25	0,470200018434625					
228,125	0,28084983317451	684,375	0,469203076790968					
231,25	0,287173844307695	687,5	0,47293350552344					
234,375	0,279751880957026	690,625	0,471991404458115					
237,5	0,287931529345169	693,75	0,472165789584112					
240,625	0,285893326029387	696,875	0,473652145641276					
243,75	0,296689028710771	700	0,469021367598426					
246,875	0,308956339999638	703,125	0,46711742043412					
250	0,302764759021128	706,25	0,470775901609733					
253,125	0,306215148335566	709,375	0,472409630505348					
256,25	0,317774693686376	712,5	0,467791778866026					
259,375	0,321929148727304	715,625	0,471044351611203					
262,5	0,307540004100709	718,75	0,47527989548241					
265,625	0,311149576548286	721,875	0,470468663838369					
268,75	0,312576233195662	725	0,471679167057815					
271,875	0,322728780687493	728,125	0,474345223319109					
275	0,339218925942724	731,25	0,467743867643932					
278,125	0,338997530185982	734,375	0,471476941354747					
281,25	0,330129056712248	737,5	0,472566119282183					
284,375	0,333247088592218	740,625	0,47309032810862					
287,5	0,343800796806203	743,75	0,472936154149565					
290,625	0,345367040895783	746,875	0,471019201756924					
293,75	0,343075538264599	750	0,475738752072727					
296,875	0,334927590952937	753,125	0,475939347081496					
300	0,354445654867272	756,25	0,475662785376418					
