Frequency in Hz	Wool_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_99_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Silk_92_HF Sound Absorption Coefficient 1/3-octave	
556,25	0,157265943371429	100	0,0611549183756945	100	0,0506037147157082	556,25	0,238821319273219	556,25	0,368556469021208	100	0,0525654010966857	100	0,0641672634798184	556,25	0,489569219744877	556,25	0,493836289220215	100	0,0594049581445136	100	0,0771864666715495	556,25	0,540012187617331	556,25	0,517562096820428	100	0,0828720736890101	100	0,0993264605787669	556,25	0,470429316749897	556,25	0,460867719774198	630	0,175745412707329	125	0,0660920664668083	125	0,0574868358671665	630	0,287064671516418	630	0,383408844470978	125	0,058619998395443	125	0,0784520134329796	630	0,549568235874176	630	0,563467681407928	125	0,0722563862800598	125	0,097741037607193	630	0,587335646152496	630	0,554142534732819	125	0,106602340936661	125	0,129561081528664	630	0,496755391359329	630	0,480069786310196	
559,375	0,167171902571546	103,125	0,0764406784484539	103,125	0,0663377986502943	559,375	0,249295131282171	559,375	0,377294966410847	103,125	0,0677127270696389	103,125	0,0807001480140078	559,375	0,498251984476206	559,375	0,502511160404346	103,125	0,0758571805206449	103,125	0,0951655179408882	559,375	0,546706114318614	559,375	0,524835763375724	103,125	0,0992618234029281	103,125	0,11446754991449	559,375	0,477158373947252	559,375	0,467550123770224	800	0,207174211740494	160	0,0770701691508293	160	0,0705915540456772	800	0,39660969376564	800	0,552937567234039	160	0,0746066644787788	160	0,103786259889603	800	0,617570817470551	800	0,654602527618408	160	0,0949684605002403	160	0,132284492254257	800	0,651234269142151	800	0,601760745048523	160	0,144394844770432	160	0,172764152288437	800	0,529253482818604	800	0,501142144203186	
562,5	0,16641658198542	106,25	0,0636816799224861	106,25	0,0556369167884531	562,5	0,250228276627302	562,5	0,378098674029756	106,25	0,0553533915676124	106,25	0,0716659206407575	562,5	0,500210160053261	562,5	0,504535247349314	106,25	0,0673227627547383	106,25	0,0839719116998706	562,5	0,547866638366179	562,5	0,526045183324199	106,25	0,0911985764010645	106,25	0,111213594183909	562,5	0,477828798117719	562,5	0,467475104173595	1000	0,257577866315842	200	0,0911096632480621	200	0,0896152183413506	1000	0,51140296459198	1000	0,748291432857513	200	0,098605252802372	200	0,14083456993103	1000	0,771815359592438	1000	0,764499187469482	200	0,128826081752777	200	0,180735647678375	1000	0,695557236671448	1000	0,640600562095642	200	0,195538923144341	200	0,225862100720406	1000	0,560249626636505	1000	0,523853063583374	
565,625	0,163881104026099	109,375	0,0459818367816055	109,375	0,0371934793125868	565,625	0,249252973365092	565,625	0,377875119858869	109,375	0,0372699608852667	109,375	0,0534544644755667	565,625	0,501212316652687	565,625	0,506017660886355	109,375	0,0492279466237098	109,375	0,0687931028869192	565,625	0,548197522181006	565,625	0,52624468674564	109,375	0,0767875511522315	109,375	0,097426959579101	565,625	0,477378723416051	565,625	0,466215483055775	1250	0,327740520238876	250	0,107191406190395	250	0,115876786410809	1250	0,652485609054565	1250	0,866161704063416	250	0,134526699781418	250	0,194642081856728	1250	0,875377714633942	1250	0,897981584072113	250	0,179569914937019	250	0,247578412294388	1250	0,822764456272125	1250	0,753117978572845	250	0,263388514518738	250	0,288881570100784	1250	0,596987962722778	1250	0,568160533905029	
568,75	0,16745239229688	112,5	0,0677938801382154	112,5	0,0597675693139342	568,75	0,252968384438993	568,75	0,382147936364293	112,5	0,0605101050107599	112,5	0,0757601743677897	568,75	0,505685586226186	568,75	0,510965827870113	112,5	0,0703042822624139	112,5	0,0925255000281791	568,75	0,551777460340001	568,75	0,529767959296778	112,5	0,0986716560704363	112,5	0,118935632335176	568,75	0,480539238136857	568,75	0,468768962426485	1600	0,415158212184906	315	0,135929256677628	315	0,160930454730988	1600	0,795622169971466	1600	0,956898212432861	315	0,195251256227493	315	0,274608790874481	1600	0,890713751316071	1600	0,89894038438797	315	0,258679747581482	315	0,336925476789474	1600	0,788838446140289	1600	0,702673137187958	315	0,349556535482407	315	0,360774517059326	1600	0,695424020290375	1600	0,646923780441284	
571,875	0,16923118201209	115,625	0,0675444717593919	115,625	0,058145903595066	571,875	0,254852400857578	571,875	0,384688498345045	115,625	0,0596849793194303	115,625	0,0754635791724417	571,875	0,508616366605464	571,875	0,514332744754625	115,625	0,0695925988831467	115,625	0,0918409689521522	571,875	0,553991928945362	571,875	0,5318744649579	115,625	0,0986718789421971	115,625	0,119179387247542	571,875	0,481666787050826	571,875	0,469661954017899	2000	0,506393015384674	400	0,138566195964813	400	0,189629912376404	2000	0,897599518299103	2000	0,991076767444611	400	0,250544756650925	400	0,351530253887177	2000	0,896878659725189	2000	0,906635940074921	400	0,338927119970322	400	0,417459577322006	2000	0,822966992855072	2000	0,759544312953949	400	0,420714050531387	400	0,409862011671066	2000	0,689569413661957	2000	0,62756609916687	
575	0,165411029761027	118,75	0,0603249253797937	118,75	0,0514856712591929	575	0,250916569120082	575	0,383600578675578	118,75	0,0518529746058557	118,75	0,0693458503210509	575	0,508933163455741	575	0,515207201870563	118,75	0,0638372136551071	118,75	0,0864276200487994	575	0,553795871222246	575	0,531452915697491	118,75	0,0937397723909571	118,75	0,114404855264616	575	0,480470923567701	575	0,467577880344073	2500	0,573002755641937	500	0,146312713623047	500	0,211818143725395	2500	0,937238395214081	2500	0,977628588676453	500	0,327483087778091	500	0,443911105394363	2500	0,879566311836243	2500	0,901478469371796	500	0,441299885511398	500	0,501657724380493	2500	0,84797078371048	2500	0,791008949279785	500	0,48878413438797	500	0,452803909778595	2500	0,730891168117523	2500	0,701597452163696	
578,125	0,172177851867608	121,875	0,0828732364432476	121,875	0,074395182335662	578,125	0,256374352018232	578,125	0,389620572715904	121,875	0,0746476353864833	121,875	0,0927787266964587	578,125	0,514767353324157	578,125	0,521109714736299	121,875	0,0880217182231258	121,875	0,111361784456301	578,125	0,558933590967181	578,125	0,53610666464885	121,875	0,119701083675304	121,875	0,140264758756847	578,125	0,48575902601526	578,125	0,472237990697825	3150	0,60193532705307	630	0,169361263513565	630	0,281294047832489	3150	0,920515358448029	3150	0,942169725894928	630	0,380143314599991	630	0,543214321136475	3150	0,866987824440002	3150	0,902413308620453	630	0,55851286649704	630	0,581494927406311	3150	0,871026992797852	3150	0,822518825531006	630	0,550538003444672	630	0,491764187812805	3150	0,775632381439209	3150	0,733742117881775	
581,25	0,165199893854645	125	0,0588139278597961	125	0,0507793870018241	581,25	0,249027077437927	581,25	0,386444070237575	125	0,0502729286918564	125	0,0707983843114498	581,25	0,513190310302905	581,25	0,520013731523057	125	0,0640362975907151	125	0,0893334461891703	581,25	0,556993210527664	581,25	0,533355836125472	125	0,0990760630374687	125	0,121974409266061	581,25	0,481980293444606	581,25	0,467972071723154	4000	0,547755718231201					4000	0,869332551956177	4000	0,926170825958252					4000	0,891119599342346	4000	0,92432689666748					4000	0,913432419300079	4000	0,857264816761017					4000	0,808566927909851	4000	0,77366828918457	
584,375	0,163219995958319	128,125	0,0571006444815286	128,125	0,0486348678626222	584,375	0,245981431223771	584,375	0,38631830266024	128,125	0,0499495219582664	128,125	0,0709547360137461	584,375	0,514162056203441	584,375	0,521467018632723	128,125	0,0645025375402223	128,125	0,0902551866740239	584,375	0,557473562609992	584,375	0,533225602981818	128,125	0,100334299207536	128,125	0,124444093684654	584,375	0,48121665144212	584,375	0,46695829225118																																			
