Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95 Normalized Surface Impedance continuous Im	
100	2,95719194412231	100	-14,4516935348511	
103,125	4,2996973991394	103,125	-14,8570461273193	
106,25	2,17215180397034	106,25	-12,2258424758911	
109,375	1,81061708927155	109,375	-13,8949766159058	
112,5	2,64266538619995	112,5	-12,897253036499	
115,625	2,23872709274292	115,625	-11,9633617401123	
118,75	2,19217205047607	118,75	-12,6937704086304	
121,875	2,70382523536682	121,875	-11,5589962005615	
125	1,83850920200348	125	-11,8873291015625	
128,125	1,5541023015976	128,125	-11,0870943069458	
131,25	1,57177805900574	131,25	-11,1849632263184	
134,375	1,00571608543396	134,375	-11,3691349029541	
137,5	1,91494107246399	137,5	-9,84028339385986	
140,625	2,32266783714294	140,625	-10,2974586486816	
143,75	2,08508062362671	143,75	-9,65994262695313	
146,875	1,52638149261475	146,875	-10,6658000946045	
150	1,855548620224	150	-9,74107551574707	
153,125	1,49396336078644	153,125	-9,13998889923096	
156,25	1,57016098499298	156,25	-9,34749603271484	
159,375	1,45203137397766	159,375	-9,10406875610352	
162,5	1,38873302936554	162,5	-9,12726879119873	
165,625	1,58379137516022	165,625	-9,00726795196533	
168,75	1,29513609409332	168,75	-8,32778358459473	
171,875	1,64517891407013	171,875	-8,53773498535156	
175	1,66306865215302	175	-8,12736892700195	
178,125	1,3379487991333	178,125	-8,13582229614258	
181,25	1,38661909103394	181,25	-8,20340442657471	
184,375	1,55088496208191	184,375	-8,04044437408447	
187,5	1,58192765712738	187,5	-7,57410907745361	
190,625	1,66681838035583	190,625	-7,6759090423584	
193,75	1,52877473831177	193,75	-7,24701690673828	
196,875	1,52105152606964	196,875	-7,42048740386963	
200	1,31771492958069	200	-7,51850509643555	
203,125	1,20802140235901	203,125	-7,57867193222046	
206,25	1,21398687362671	206,25	-6,89752197265625	
209,375	1,32312798500061	209,375	-7,00171041488647	
212,5	1,20947265625	212,5	-7,24471092224121	
215,625	1,30466020107269	215,625	-6,66366863250732	
218,75	1,32338404655457	218,75	-6,87978315353394	
221,875	1,27415752410889	221,875	-6,60484600067139	
225	1,37332093715668	225	-6,53612279891968	
228,125	1,36688315868378	228,125	-6,42520332336426	
231,25	1,34109997749329	231,25	-6,39221954345703	
234,375	1,36182582378387	234,375	-6,25315237045288	
237,5	1,23040902614594	237,5	-6,34910488128662	
240,625	1,04808020591736	240,625	-6,03604745864868	
243,75	1,14746522903442	243,75	-6,08648014068604	
246,875	1,29562437534332	246,875	-5,93331336975098	
250	1,30592751502991	250	-5,87476873397827	
253,125	1,19040834903717	253,125	-5,84922170639038	
256,25	1,17051076889038	256,25	-5,67682504653931	
259,375	1,29534077644348	259,375	-5,66634368896484	
262,5	1,16087210178375	262,5	-5,57929754257202	
265,625	1,06280875205994	265,625	-5,48894119262695	
268,75	1,14966821670532	268,75	-5,50442600250244	
271,875	1,12686097621918	271,875	-5,33582735061646	
275	1,06389558315277	275	-5,3424391746521	
278,125	1,10741686820984	278,125	-5,19600772857666	
281,25	1,11606407165527	281,25	-5,1921558380127	
284,375	1,10259580612183	284,375	-5,1472430229187	
