Frequency in Hz	Wool_96 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96 Sound Absorption Coefficient continuous	
125	0,0598593316972256	100	0,053514816505946	
160	0,0743906646966934	103,125	0,068629625268709	
200	0,0953002348542213	106,25	0,0577181054547327	
250	0,124939627945423	109,375	0,0394932853572703	
315	0,17547944188118	112,5	0,0611977145095843	
400	0,214772894978523	115,625	0,0603073888576312	
500	0,274757653474808	118,75	0,0534120527233753	
630	0,370851904153824	121,875	0,075527549478652	
800	0,467302054166794	125	0,0522993376346662	
1000	0,624308526515961	128,125	0,051116628203666	
1250	0,771617472171783	131,25	0,0510565266711817	
1600	0,904624164104462	134,375	0,0346326958055286	
2000	0,978936374187469	137,5	0,0765845239475323	
2500	0,986892342567444	140,625	0,0824589100941538	
3150	0,947860658168793	143,75	0,08451007635668	
4000	0,897405624389648	146,875	0,0547028893810758	
		150	0,0754833956481266	
		153,125	0,0697049059919641	
		156,25	0,070308532601964	
		159,375	0,0688967876022187	
		162,5	0,0659278295079113	
		165,625	0,0755018551459687	
		168,75	0,0730285772995958	
		171,875	0,0858792099490346	
		175	0,0943532799189911	
		178,125	0,0780081544350647	
		181,25	0,0793035219696875	
		184,375	0,0905996034913343	
		187,5	0,101996398329115	
		190,625	0,104007595669377	
		193,75	0,106720332744781	
		196,875	0,101953012119857	
		200	0,0880091390897396	
		203,125	0,0805146160818589	
		206,25	0,095356124793962	
		209,375	0,0998997110308422	
		212,5	0,0869138638761124	
		215,625	0,10719040822593	
		218,75	0,102535234704317	
		221,875	0,106495772197492	
		225	0,115451090364336	
		228,125	0,118309910721585	
		231,25	0,117246831670341	
		234,375	0,123207205557087	
		237,5	0,110039735545933	
		240,625	0,104225434364363	
		243,75	0,111088376905175	
		246,875	0,128671826683992	
		250	0,131641286073406	
		253,125	0,122451631709936	
		256,25	0,126684644994088	
		259,375	0,138325796273801	
		262,5	0,129383740534726	
		265,625	0,123156948983655	
		268,75	0,130873357004642	
		271,875	0,135454685806338	
		275	0,128403291472527	
		278,125	0,139207063392817	
		281,25	0,140030142818384	
		284,375	0,140463455455351	
		287,5	0,127189882926726	
		290,625	0,141911671502981	
		293,75	0,138016512348534	
		296,875	0,145100138777828	
		300	0,150174183107803	
		303,125	0,152161575416029	
		306,25	0,161272770162378	
		309,375	0,171858379808989	
		312,5	0,187882771156291	
		315,625	0,212943652311168	
		318,75	0,213835344670133	
		321,875	0,203065208277434	
		325	0,200463870582496	
		328,125	0,208040280308423	
		331,25	0,184543337956112	
		334,375	0,182256069193158	
		337,5	0,188651621168829	
		340,625	0,181118157043104	
		343,75	0,186557001851976	
		346,875	0,183850952941844	
		350	0,188791791679539	
		353,125	0,18587847834794	
		356,25	0,175746465144355	
		359,375	0,179392761089701	
		362,5	0,187075781314914	
		365,625	0,202740924537583	
		368,75	0,186134213199469	
		371,875	0,163096443587054	
		375	0,224182807986203	
		378,125	0,21266578028593	
		381,25	0,191865108578329	
		384,375	0,222150850722768	
		387,5	0,215308752737708	
		390,625	0,204992175947669	
		393,75	0,195727504729669	
		396,875	0,197867284993974	
		400	0,20242720810616	
		403,125	0,204339459924882	
		406,25	0,217490057017579	
		409,375	0,23757170631146	
		412,5	0,238716648515124	
		415,625	0,213241206917597	
		418,75	0,236579951080962	
		421,875	0,229559563786011	
		425	0,232534275774788	
		428,125	0,235057759692984	
		431,25	0,22985602478526	
		434,375	0,234434361011593	
		437,5	0,235165758956794	
		440,625	0,241113461050885	
		443,75	0,245052489714778	
		446,875	0,251099855647648	
		450	0,231914557216422	
		453,125	0,233639636339655	
		456,25	0,224165317761237	
		459,375	0,236619372925517	
		462,5	0,24465095022762	
		465,625	0,242029818506308	
		468,75	0,244992068095635	
		471,875	0,25082299878427	
		475	0,256622732817611	
		478,125	0,265079967783877	
		481,25	0,253970855958727	
		484,375	0,265020592641162	
		487,5	0,267821492162469	
		490,625	0,269758574059616	
		493,75	0,278221166759221	
		496,875	0,279273871556615	
		500	0,2678713987712	
		503,125	0,271806717500347	
		506,25	0,272893398526841	
		509,375	0,270801438941654	
		512,5	0,281432835184379	
		515,625	0,285551239408355	
		518,75	0,288330380100133	
		521,875	0,286338397890629	
		525	0,292833616801094	
		528,125	0,28579475488701	
		531,25	0,293351196367048	
		534,375	0,296419825618656	
		537,5	0,298245890914904	
		540,625	0,299098413986479	
		543,75	0,305190904523468	
		546,875	0,300654599265205	
		550	0,306043665435704	
		553,125	0,312065380820296	
		556,25	0,310880824678831	
		559,375	0,321066196481293	
		562,5	0,322181421673699	
		565,625	0,322757976426645	
		568,75	0,32780328329416	
		571,875	0,330902522981775	
		575	0,330198177037106	
		578,125	0,336753721433201	
		581,25	0,333877401935111	
		584,375	0,334494528432287	
		587,5	0,336066128355446	
		590,625	0,341072722696288	
		593,75	0,343946393143944	
		596,875	0,344264130948889	
		600	0,346774284464897	
		603,125	0,348581319901021	
		606,25	0,352357727279395	
		609,375	0,351604481412741	
		612,5	0,35412660648283	
		615,625	0,356527335315039	
		618,75	0,358241788029064	
		621,875	0,35892062135791	
		625	0,364203939432338	
		628,125	0,365533203376836	
		631,25	0,371850268469169	
		634,375	0,373443079604485	
		637,5	0,373134069561819	
		640,625	0,374675689251032	
		643,75	0,376312554882198	
		646,875	0,380944095488134	
		650	0,378894791414364	
		653,125	0,384024742836109	
		656,25	0,387987717096917	
		659,375	0,390260967291519	
		662,5	0,388468279583644	
		665,625	0,388573718547957	
		668,75	0,39395983968028	
		671,875	0,397210958190575	
		675	0,401719465125005	
		678,125	0,405202114245667	
		681,25	0,40562374274786	
		684,375	0,40665256824218	
		687,5	0,403661010021195	
		690,625	0,409761108931406	
		693,75	0,410690437504627	
		696,875	0,412643472184476	
		700	0,417250246122114	
		703,125	0,417647659718595	
		706,25	0,418256739714021	
		709,375	0,422951226883776	
		712,5	0,427195624297277	
		715,625	0,425630941328645	
		718,75	0,425516594659583	
		721,875	0,430630559824169	
		725	0,42981123421224	
		728,125	0,436246584473004	
		731,25	0,435425354664957	
		734,375	0,437878657712073	
		737,5	0,436829184433067	
		740,625	0,445117619989409	
		743,75	0,450448432670743	
		746,875	0,446080387840051	
		750	0,447035282506026	
		753,125	0,449419191718149	
		756,25	0,452814313513117	
		759,375	0,456159272267702	
		762,5	0,453566626694073	
		765,625	0,457535109806226	
		768,75	0,458673268588077	
		771,875	0,46501517415502	
		775	0,463294472254021	
		778,125	0,46629207801212	
		781,25	0,467399475612602	
		784,375	0,471126958533313	
		787,5	0,47327724200055	
		790,625	0,474196234627244	
		793,75	0,474846272855691	
		796,875	0,473431588109815	
		800	0,476208925871538	
		803,125	0,473651456124225	
		806,25	0,477446869941106	
		809,375	0,485650036565007	
		812,5	0,482018689492675	
		815,625	0,481061568043901	
		818,75	0,486794517616709	
		821,875	0,487801746920759	
		825	0,483461938088842	
		828,125	0,484506255333806	
		831,25	0,500170637467184	
		834,375	0,494811261145015	
		837,5	0,485775313160243	
		840,625	0,483049458313931	
		843,75	0,485461420175239	
		846,875	0,47812149134455	
		850	0,472343815508604	
		853,125	0,470026212891129	
		856,25	0,472817663776007	
		859,375	0,478123930658045	
		862,5	0,474043943998583	
		865,625	0,471669949013228	
		868,75	0,469872377753352	
		871,875	0,47228562151114	
		875	0,48458112652039	
		878,125	0,485710762085501	
		881,25	0,49569478364137	
		884,375	0,497958112590957	
		887,5	0,510204156985428	
		890,625	0,515651977562416	
		893,75	0,514026418289698	
		896,875	0,524207727535729	
		900	0,528897707328857	
		903,125	0,538313497918089	
		906,25	0,543169069806832	
		909,375	0,543021694165503	
		912,5	0,547666212692869	
		915,625	0,55399999022932	
		918,75	0,559237123053524	
		921,875	0,565309776727918	
		925	0,567962401298886	
		928,125	0,566708279034705	
		931,25	0,573907528695218	
		934,375	0,57593338622271	
		937,5	0,579488618709306	
		940,625	0,581488015177562	
		943,75	0,583495116681088	
		946,875	0,586330582878927	
		950	0,589687717493167	
		953,125	0,591740954093992	
		956,25	0,5959159464997	
		959,375	0,599085582701961	
		962,5	0,59927223946307	
		965,625	0,601542952614165	
		968,75	0,600949287244688	
		971,875	0,605820661561531	
		975	0,607943457257585	
		978,125	0,60977947607298	
		981,25	0,613717088612752	
		984,375	0,613425624579717	
		987,5	0,615283226510535	
		990,625	0,61772217795682	
		993,75	0,617671107048449	
		996,875	0,619497242261948	
		1000	0,621321337913193	
		1003,125	0,624577375114375	
		1006,25	0,627036648048722	
		1009,375	0,629628817744178	
		1012,5	0,631824722607038	
		1015,625	0,632677276131054	
