Frequency in Hz	Wool_97 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97 Sound Absorption Coefficient continuous	
125	0,0556213520467281	100	0,0512070820980952	
160	0,0677273571491241	103,125	0,0649320171882295	
200	0,0857779681682587	106,25	0,0534363873914712	
250	0,110892862081528	109,375	0,0359392420797581	
315	0,154953092336655	112,5	0,0587027237466554	
400	0,184158623218536	115,625	0,0572922803642101	
500	0,229638695716858	118,75	0,0498232213924492	
630	0,307541728019714	121,875	0,0724429848414059	
800	0,382654458284378	125	0,0476348392936662	
1000	0,525172173976898	128,125	0,0467016742121191	
1250	0,669040381908417	131,25	0,0462718092018358	
1600	0,807383835315704	134,375	0,0293354394967797	
2000	0,911571145057678	137,5	0,0712293952447313	
2500	0,944188833236694	140,625	0,0767791505693025	
3150	0,919159948825836	143,75	0,0788174206662619	
4000	0,856860995292664	146,875	0,0491005292360114	
		150	0,0695026826295384	
		153,125	0,0634088013234467	
		156,25	0,0639671706047062	
		159,375	0,0622125867787851	
		162,5	0,0590069201634486	
		165,625	0,0686272712901127	
		168,75	0,0656129665738596	
		171,875	0,0779672141740381	
		175	0,0867773906515106	
		178,125	0,0701041185799924	
		181,25	0,0713422476901961	
		184,375	0,0823720144836182	
		187,5	0,0938277340339674	
		190,625	0,0947521026082656	
		193,75	0,097575944904407	
		196,875	0,0926523180723992	
		200	0,0785647466797061	
		203,125	0,0702647966056758	
		206,25	0,0856749980900632	
		209,375	0,0898634012024193	
		212,5	0,0759142974133322	
		215,625	0,0967116042745422	
		218,75	0,0918617590286358	
		221,875	0,0951874386413415	
		225	0,103928201154371	
		228,125	0,106872501517748	
		231,25	0,105320958358793	
		234,375	0,110862474208984	
		237,5	0,0972743197730115	
		240,625	0,0920293146388045	
		243,75	0,0979038191709128	
		246,875	0,1149517196562	
		250	0,118321066375512	
		253,125	0,108121226375226	
		256,25	0,112601423892537	
		259,375	0,123760610364808	
		262,5	0,114323528444477	
		265,625	0,107902182065959	
		268,75	0,115330203605869	
		271,875	0,119637624749073	
		275	0,11206912155835	
		278,125	0,122638124569582	
		281,25	0,123115945384709	
		284,375	0,123384247857487	
		287,5	0,108739467010478	
		290,625	0,124787097812045	
		293,75	0,119954185658373	
		296,875	0,126425128719417	
		300	0,131950791525392	
		303,125	0,132688017364784	
		306,25	0,140668808952435	
		309,375	0,15020878524768	
		312,5	0,165180520316176	
		315,625	0,191184182303375	
		318,75	0,193510217798032	
		321,875	0,184032817516048	
		325	0,182813628034021	
		328,125	0,189186001790893	
		331,25	0,163788113461369	
		334,375	0,160861834314131	
		337,5	0,166951678185383	
		340,625	0,158282635598378	
		343,75	0,162923406804152	
		346,875	0,16025888986852	
		350	0,164780288828522	
		353,125	0,16136037053096	
		356,25	0,15054989347748	
		359,375	0,153205142225539	
		362,5	0,160495534606786	
		365,625	0,177234210008502	
		368,75	0,158687733135811	
		371,875	0,133853672476991	
		375	0,197120085991268	
		378,125	0,18573537778631	
		381,25	0,163865173818254	
		384,375	0,195101840637981	
		387,5	0,185957370577125	
		390,625	0,174875652744831	
		393,75	0,165579952803421	
		396,875	0,167340522022524	
		400	0,171521560037471	
		403,125	0,173048696929418	
		406,25	0,186941523018159	
		409,375	0,206472762815944	
		412,5	0,20849032657529	
		415,625	0,180747062992023	
		418,75	0,204874801704295	
		421,875	0,196468742736526	
		425	0,199149730910057	
		428,125	0,201923404869577	
		431,25	0,19506158137182	
		434,375	0,199515212645304	
		437,5	0,199560772724466	
		440,625	0,205508494358678	
		443,75	0,209993773243974	
		446,875	0,215877908805749	
		450	0,194427499209879	
		453,125	0,195104363139655	
		456,25	0,184107159837317	
		459,375	0,19749775568937	
		462,5	0,205379591584858	
		465,625	0,202572921966113	
		468,75	0,204407350031254	
		471,875	0,210080780391275	
		475	0,216127483916053	
		478,125	0,224675622485848	
		481,25	0,211906866172448	
		484,375	0,223380689600192	
		487,5	0,225605095561713	
		490,625	0,227465953878734	
		493,75	0,235843633019654	
		496,875	0,235976767413986	
		500	0,222924485150425	
		503,125	0,227238955306173	
		506,25	0,227922228900994	
		509,375	0,224944677316365	
		512,5	0,235197673265146	
		515,625	0,239221802878429	
