Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_97 Normalized Surface Impedance continuous Im	
100	2,88479995727539	100	-14,5000743865967	
103,125	4,09960460662842	103,125	-15,0512962341309	
106,25	2,19451141357422	106,25	-12,4123344421387	
109,375	1,84128570556641	109,375	-14,0306901931763	
112,5	2,68562793731689	112,5	-13,0159387588501	
115,625	2,25763940811157	115,625	-12,1247835159302	
118,75	2,20644593238831	118,75	-12,9174566268921	
121,875	2,76585555076599	121,875	-11,7701892852783	
125	1,83853673934937	125	-12,0966358184814	
128,125	1,57644236087799	128,125	-11,3306789398193	
131,25	1,59047496318817	131,25	-11,4358739852905	
134,375	1,02280402183533	134,375	-11,6349277496338	
137,5	1,95598566532135	137,5	-10,0550298690796	
140,625	2,36214518547058	140,625	-10,5715551376343	
143,75	2,12734484672546	143,75	-9,90872859954834	
146,875	1,55798506736755	146,875	-10,9717264175415	
150	1,88225924968719	150	-10,0009937286377	
153,125	1,50249791145325	153,125	-9,40846252441406	
156,25	1,59019792079926	156,25	-9,62960243225098	
159,375	1,46471548080444	159,375	-9,38616180419922	
162,5	1,39191687107086	162,5	-9,41461086273193	
165,625	1,6030547618866	165,625	-9,30911064147949	
168,75	1,29864513874054	168,75	-8,59571170806885	
171,875	1,65713751316071	171,875	-8,82931232452393	
175	1,69123220443726	175	-8,40919399261475	
178,125	1,33854949474335	178,125	-8,42057800292969	
181,25	1,39025664329529	181,25	-8,49913215637207	
184,375	1,56515514850616	184,375	-8,33211803436279	
187,5	1,60505032539368	187,5	-7,85105895996094	
190,625	1,67025804519653	190,625	-7,96117925643921	
193,75	1,54187488555908	193,75	-7,53299713134766	
196,875	1,52320313453674	196,875	-7,706711769104	
200	1,30650341510773	200	-7,82295322418213	
203,125	1,17747461795807	203,125	-7,89235734939575	
206,25	1,20651185512543	206,25	-7,17363357543945	
209,375	1,31536293029785	209,375	-7,29304647445679	
212,5	1,17674684524536	212,5	-7,56741333007813	
215,625	1,29429256916046	215,625	-6,94753646850586	
218,75	1,30993902683258	218,75	-7,19053316116333	
221,875	1,25650537014008	221,875	-6,9072060585022	
225	1,3590075969696	225	-6,83671808242798	
228,125	1,35730600357056	228,125	-6,72636985778809	
231,25	1,3223819732666	231,25	-6,69548225402832	
234,375	1,34296202659607	234,375	-6,55481433868408	
237,5	1,1960072517395	237,5	-6,66020679473877	
240,625	1,01121091842651	240,625	-6,31717681884766	
243,75	1,10558116436005	243,75	-6,3825249671936	
246,875	1,2670156955719	246,875	-6,24093437194824	
250	1,28100883960724	250	-6,17277860641479	
253,125	1,14382660388947	253,125	-6,14169836044312	
256,25	1,13128805160522	256,25	-5,97033929824829	
259,375	1,25942933559418	259,375	-5,96659994125366	
262,5	1,11357295513153	262,5	-5,87324190139771	
265,625	1,00898146629333	265,625	-5,77646541595459	
268,75	1,09787535667419	268,75	-5,80315065383911	
271,875	1,07562410831451	271,875	-5,62623500823975	
275	1,00213658809662	275	-5,63559818267822	
278,125	1,05074620246887	278,125	-5,48323583602905	
281,25	1,05586588382721	281,25	-5,4843578338623	
284,375	1,0411890745163	284,375	-5,43947696685791	
287,5	0,945491790771484	287,5	-5,56732749938965	
290,625	0,943122625350952	290,625	-5,14350938796997	
293,75	0,910618782043457	293,75	-5,16866445541382	
296,875	0,940793812274933	296,875	-5,09895658493042	
300	0,955789089202881	300	-5,01487731933594	
303,125	0,920725464820862	303,125	-4,90580368041992	
306,25	0,954667508602142	306,25	-4,82967948913574	
309,375	1,00770378112793	309,375	-4,77534008026123	
312,5	1,04812586307526	312,5	-4,60288190841675	
315,625	1,27647304534912	315,625	-4,63943290710449	
318,75	1,26303565502167	318,75	-4,58110857009888	
321,875	1,26360261440277	321,875	-4,72660827636719	
325	1,29020631313324	325	-4,79426050186157	
328,125	1,34979140758514	328,125	-4,79764652252197	
331,25	1,10606324672699	331,25	-4,75147867202759	
334,375	1,07511782646179	334,375	-4,73580312728882	
337,5	1,12195181846619	337,5	-4,73055982589722	
340,625	1,03578329086304	340,625	-4,69373226165771	
343,75	1,01388108730316	343,75	-4,56470155715942	
346,875	0,989781498908997	346,875	-4,5547046661377	
350	1,01571846008301	350	-4,53797197341919	
353,125	0,987590610980988	353,125	-4,53112554550171	
356,25	0,883975207805634	356,25	-4,46511030197144	
359,375	0,849505066871643	359,375	-4,33115196228027	
362,5	0,88810122013092	362,5	-4,30918264389038	
365,625	0,980044424533844	365,625	-4,26591777801514	
368,75	0,866644442081451	368,75	-4,28496408462524	
371,875	0,710525393486023	371,875	-4,27866792678833	
375	1,02026402950287	375	-4,07700061798096	
378,125	0,936837196350098	378,125	-4,05270338058472	
381,25	0,863230764865875	381,25	-4,19524765014648	
