Frequency in Hz	Wool_92_HF_1 Sound Absorption Coefficient continuous	Frequency in Hz	Wool_92_LF_1 Sound Absorption Coefficient continuous	Frequency in Hz	Wool_93_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_93_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_94_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_94_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_95_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_95_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_96_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_96_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_97_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_97_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_98_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_98_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient continuous	Frequency in Hz	Wool_92_HF_1 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_92_LF_1 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_93_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_93_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_94_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_94_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_95_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_95_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_96_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_97_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_98_LF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_98_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_HF Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_99_LF Sound Absorption Coefficient 1/3-octave	
556,25	0,47365144031998	100	0,0373516232229983	556,25	0,4227658307954	100	0,0562901616112662	100	0,0543132538321821	556,25	0,405572933406869	556,25	0,349630627788606	100	0,0526868516826463	100	0,053514816505946	556,25	0,31222182480057	556,25	0,259590932603973	100	0,0512070820980952	100	0,0559615038061365	556,25	0,208050816809243	556,25	0,157265943371429	100	0,0611549183756945	630	0,547468423843384	125	0,0668565928936005	630	0,499215215444565	125	0,0632119253277779	125	0,0617440938949585	630	0,482262164354324	630	0,42101389169693	125	0,0568992644548416	125	0,0598593316972256	630	0,373852431774139	630	0,3104048371315	125	0,0556213520467281	125	0,0609607174992561	630	0,238847941160202	630	0,175745412707329	125	0,0660920664668083	
559,375	0,480373188643424	103,125	0,0639640378263316	559,375	0,432173854451244	103,125	0,0721155467425365	103,125	0,0711159150390367	559,375	0,415445469103066	559,375	0,360007442430465	103,125	0,0691218009178134	103,125	0,068629625268709	559,375	0,322898644942531	559,375	0,269873693532107	103,125	0,0649320171882295	103,125	0,0714404878938054	559,375	0,218363502480929	559,375	0,167171902571546	103,125	0,0764406784484539	800	0,671923696994781	160	0,0806645750999451	800	0,63209331035614	160	0,0804410353302956	160	0,0784693881869316	800	0,616410911083221	800	0,522644698619843	160	0,0709086060523987	160	0,0743906646966934	800	0,471086174249649	800	0,38478022813797	160	0,0677273571491241	160	0,0728770792484283	800	0,292291194200516	800	0,207174211740494	160	0,0770701691508293	
562,5	0,480394394257081	106,25	0,0508771705491636	562,5	0,433848941838171	106,25	0,0595880772779832	106,25	0,0578247181198337	562,5	0,417704742556974	562,5	0,361688450135641	106,25	0,0544624988817984	106,25	0,0577181054547327	562,5	0,324334601424523	562,5	0,270507979210023	106,25	0,0534363873914712	106,25	0,0597075108766557	562,5	0,218599171827553	562,5	0,16641658198542	106,25	0,0636816799224861	1000	0,757104933261871	200	0,115920051932335	1000	0,737798511981964	200	0,107510924339294	200	0,104257188737392	1000	0,731959104537964	1000	0,697368264198303	200	0,0924750715494156	200	0,0953002348542213	1000	0,624308109283447	1000	0,525172173976898	200	0,0857779681682587	200	0,0894582942128181	1000	0,381639420986176	1000	0,257577866315842	200	0,0911096632480621	
565,625	0,475912181890237	109,375	0,0553947801666069	565,625	0,434649321995948	109,375	0,0410461819619153	109,375	0,0407137384164231	565,625	0,418806244951586	565,625	0,362082556419321	109,375	0,036037570726154	109,375	0,0394932853572703	565,625	0,324726319269772	565,625	0,269953280970173	109,375	0,0359392420797581	109,375	0,0409832208898891	565,625	0,217200882733737	565,625	0,163881104026099	109,375	0,0459818367816055	1250	0,879155218601227	250	0,162620842456818	1250	0,875569105148315	250	0,148455932736397	250	0,143186494708061	1250	0,87472403049469	1250	0,853245139122009	250	0,124783366918564	250	0,124939627945423	1250	0,771617233753204	1250	0,669040381908417	250	0,110892862081528	250	0,110690653324127	1250	0,487088918685913	1250	0,327740520238876	250	0,107191406190395	
568,75	0,484729247310687	112,5	0,0498184164876867	568,75	0,439773916581142	112,5	0,0642203527421097	112,5	0,0632792064682931	568,75	0,424259968550769	568,75	0,367356264043268	112,5	0,0588540183552619	112,5	0,0611977145095843	568,75	0,330013382051699	568,75	0,274724111973458	112,5	0,0587027237466554	112,5	0,0627363418876019	568,75	0,221462025569768	568,75	0,16745239229688	112,5	0,0677938801382154	1600	0,912288963794708	315	0,243451043963432	1600	0,940524220466614	315	0,215376153588295	315	0,207215204834938	1600	0,956415474414825	1600	0,951695442199707	315	0,180594012141228	315	0,17547944188118	1600	0,904624044895172	1600	0,807383835315704	315	0,154953092336655	315	0,147387623786926	1600	0,604516327381134	1600	0,415158212184906	315	0,135929256677628	
571,875	0,493819425747858	115,625	0,0521300718262065	571,875	0,443169541860626	115,625	0,0627872632149931	115,625	0,0609915547748612	571,875	0,42802754545707	571,875	0,370876958388874	115,625	0,0582958741740632	115,625	0,0603073888576311	571,875	0,33343419475879	571,875	0,277696777024023	115,625	0,0572922803642101	115,625	0,0620641635077093	571,875	0,223834098868886	571,875	0,16923118201209	115,625	0,0675444717593919	2000	0,91474574804306	400	0,312680542469025	2000	0,953050911426544	400	0,280513823032379	400	0,268508046865463	2000	0,977840721607208	2000	0,996034383773804	400	0,229844957590103	400	0,214772894978523	2000	0,978936374187469	2000	0,911571145057678	400	0,184158623218536	400	0,163544207811356	2000	0,718169808387756	2000	0,506393015384674	400	0,138566195964813	
575	0,495917741781495	118,75	0,0627330490359004	575	0,443466772879197	118,75	0,0557372783587654	118,75	0,0540365320455027	575	0,428489958123407	575	0,370532201665539	118,75	0,0511825733341016	118,75	0,0534120527233753	575	0,332556763380249	575	0,275896430588412	118,75	0,0498232213924492	118,75	0,0548143662999169	575	0,220848335499031	575	0,165411029761027	118,75	0,0603249253797937	2500	0,905820965766907	500	0,416877657175064	2500	0,940689861774445	500	0,371974557638168	500	0,355831295251846	2500	0,959913492202759	2500	0,983725309371948	500	0,304287940263748	500	0,274669468402863	2500	0,986892342567444	2500	0,944188833236694	500	0,229523032903671	500	0,188614845275879	2500	0,782962262630463	2500	0,573002755641937	500	0,146312713623047	
578,125	0,497691584847842	121,875	0,0492661934958233	578,125	0,450316519473257	121,875	0,0799085685932872	121,875	0,0783206357373675	578,125	0,435391934961987	578,125	0,377648348208938	121,875	0,0734093240859646	121,875	0,075527549478652	578,125	0,33950395146778	578,125	0,282966910981532	121,875	0,0724429848414059	121,875	0,0777349289522218	578,125	0,227588454217985	578,125	0,172177851867608	121,875	0,0828732364432476	3150	0,892478823661804	630	0,541831016540527	3150	0,912441372871399	630	0,493500858545303	630	0,475478678941727	3150	0,920958042144775	3150	0,938517034053802	630	0,414963781833649	630	0,367850780487061	3150	0,947860598564148	3150	0,919159948825836	630	0,304678618907928	630	0,232792183756828	3150	0,793080270290375	3150	0,60193532705307	630	0,169361263513565	
581,25	0,503958631971724	125	0,0624746032379827	581,25	0,448679441818219	125	0,0560511351440098	125	0,0541665839428856	581,25	0,433677603786349	581,25	0,375058584894693	125	0,0492351027321245	125	0,0522993376346662	581,25	0,336144792467496	581,25	0,27864005075194	125	0,0476348392936662	125	0,0537805145752001	581,25	0,221799908284213	581,25	0,165199893854645	125	0,0588139278597961	4000	0,916215837001801			4000	0,918578803539276					4000	0,91001957654953	4000	0,909199297428131					4000	0,897405385971069	4000	0,856860995292664					4000	0,739943861961365	4000	0,547755718231201			
584,375	0,502982721462096	128,125	0,0824585106665461	584,375	0,450070551006232	128,125	0,0543921102661526	128,125	0,0535681683852572	584,375	0,434943987306479	584,375	0,375950413353343	128,125	0,0480227793343593	128,125	0,051116628203666	584,375	0,33640295615746	584,375	0,278368399981115	128,125	0,0467016742121191	128,125	0,0521859180474665	584,375	0,220259242018099	584,375	0,163219995958319	128,125	0,0571006444815286																																	
