Frequency in Hz	Wool_92_HF_1 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_92_LF_1 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_93_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_93_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_94_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_94_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_95_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_95_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_97_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_97_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_98_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_98_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_99_HF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_99_LF Sound Reflection Factor continuous Re	Frequency in Hz	Wool_92_HF_1 Sound Reflection Factor continuous Im	Frequency in Hz	Wool_92_LF_1 Sound Reflection Factor continuous Im	Frequency in Hz	Wool_93_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_93_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_94_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_94_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_95_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_95_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_96_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_96_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_97_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_97_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_98_LF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_98_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_99_HF Sound Reflection Factor continuous Im	Frequency in Hz	Wool_99_LF Sound Reflection Factor continuous Im	
556,25	0,634416401386261	100	0,97239476442337	556,25	0,658758163452148	100	0,963505566120148	100	0,9638951420784	556,25	0,651875197887421	556,25	0,664340138435364	100	0,964748322963715	100	0,963897526264191	556,25	0,692911803722382	556,25	0,721938192844391	100	0,965521156787872	100	0,963396012783051	556,25	0,75738936662674	556,25	0,800680458545685	100	0,961548268795013	556,25	-0,351943701505661	100	-0,130754768848419	556,25	-0,378512650728226	100	-0,123963296413422	100	-0,128813594579697	556,25	-0,411686569452286	556,25	-0,457188725471497	100	-0,128739401698112	100	-0,131858766078949	556,25	-0,455687791109085	556,25	-0,468203246593475	100	-0,128692895174026	100	-0,126121520996094	556,25	-0,467237174510956	556,25	-0,449048846960068	100	-0,119457080960274	
559,375	0,630607724189758	103,125	0,9579918384552	559,375	0,652271747589111	103,125	0,956470727920532	103,125	0,956332087516785	559,375	0,645060241222382	559,375	0,657287299633026	103,125	0,957401096820831	103,125	0,957250714302063	559,375	0,685709536075592	559,375	0,715058147907257	103,125	0,9596146941185	103,125	0,956542372703552	559,375	0,750691652297974	559,375	0,794410884380341	103,125	0,954750180244446	559,375	-0,349228709936142	103,125	-0,135231703519821	559,375	-0,377316474914551	103,125	-0,114228501915932	103,125	-0,119636915624142	559,375	-0,41042885184288	559,375	-0,456032812595367	103,125	-0,119420699775219	103,125	-0,122643731534481	559,375	-0,454866737127304	559,375	-0,46778005361557	103,125	-0,119195774197578	103,125	-0,11655992269516	559,375	-0,467010259628296	559,375	-0,449154138565063	103,125	-0,109596572816372	
562,5	0,629542708396912	106,25	0,965169727802277	562,5	0,650894820690155	106,25	0,958320915699005	106,25	0,95850020647049	562,5	0,6430783867836	562,5	0,655463933944702	106,25	0,960232198238373	106,25	0,958105206489563	562,5	0,68405669927597	562,5	0,713723838329315	106,25	0,961106777191162	106,25	0,95801717042923	562,5	0,749714434146881	562,5	0,793949067592621	106,25	0,957107841968536	562,5	-0,351114749908447	106,25	-0,132552579045296	562,5	-0,377474516630173	106,25	-0,14843487739563	106,25	-0,153142660856247	562,5	-0,410786420106888	562,5	-0,456813484430313	106,25	-0,153269648551941	106,25	-0,155936777591705	562,5	-0,45577609539032	562,5	-0,469137847423553	106,25	-0,151120260357857	106,25	-0,149985328316689	562,5	-0,468325853347778	562,5	-0,450808525085449	106,25	-0,142347633838654	
565,625	0,630617558956146	109,375	0,962114155292511	565,625	0,648930668830872	109,375	0,97011935710907	109,375	0,969573676586151	565,625	0,640671968460083	565,625	0,653155207633972	109,375	0,972029507160187	109,375	0,96980208158493	565,625	0,681805014610291	565,625	0,711779594421387	109,375	0,972271084785461	109,375	0,969937145709991	565,625	0,748347222805023	565,625	0,793096780776978	109,375	0,968398571014404	565,625	-0,355540841817856	109,375	-0,137628495693207	565,625	-0,379788935184479	109,375	-0,133500158786774	109,375	-0,138611450791359	565,625	-0,413198709487915	565,625	-0,459679991006851	109,375	-0,138279154896736	109,375	-0,141388282179832	565,625	-0,458710789680481	565,625	-0,472669571638107	109,375	-0,136929422616959	109,375	-0,13505057990551	565,625	-0,471991002559662	565,625	-0,455100417137146	109,375	-0,127366855740547	
568,75	0,624127984046936	112,5	0,96454519033432	568,75	0,645391404628754	112,5	0,95741879940033	112,5	0,957062900066376	568,75	0,63700407743454	568,75	0,649486184120178	112,5	0,959437668323517	112,5	0,957764804363251	568,75	0,678200483322144	568,75	0,708330035209656	112,5	0,959719598293304	112,5	0,957885324954987	568,75	0,745334088802338	568,75	0,790361762046814	112,5	0,956404685974121	568,75	-0,354591280221939	112,5	-0,140833929181099	568,75	-0,379072546958923	112,5	-0,138307437300682	112,5	-0,144053310155869	568,75	-0,412269085645676	568,75	-0,459142088890076	112,5	-0,143615454435349	112,5	-0,146590664982796	568,75	-0,458291113376617	568,75	-0,47280490398407	112,5	-0,1422518491745	112,5	-0,140425756573677	568,75	-0,472244709730148	568,75	-0,455934107303619	112,5	-0,132273271679878	
571,875	0,619614005088806	115,625	0,962808430194855	571,875	0,643276929855347	115,625	0,956462144851685	115,625	0,956424474716187	571,875	0,63476574420929	571,875	0,647298157215118	115,625	0,957832217216492	115,625	0,956398367881775	571,875	0,676183521747589	571,875	0,706440210342407	115,625	0,958665311336517	115,625	0,956543147563934	571,875	0,743876576423645	571,875	0,789138197898865	115,625	0,954946219921112	571,875	-0,349655628204346	115,625	-0,144464060664177	571,875	-0,378186792135239	115,625	-0,149642705917358	115,625	-0,155758425593376	571,875	-0,411150723695755	571,875	-0,458397328853607	115,625	-0,155761405825615	115,625	-0,158097341656685	571,875	-0,457538723945618	571,875	-0,472488552331924	115,625	-0,153845757246017	115,625	-0,151528894901276	571,875	-0,47203129529953	571,875	-0,456102728843689	115,625	-0,143294408917427	
575	0,61815744638443	118,75	0,957715272903442	575	0,641772031784058	118,75	0,961384057998657	118,75	0,961308419704437	575	0,633002579212189	575	0,64552229642868	118,75	0,962734758853912	118,75	0,961250483989716	575	0,674780309200287	575	0,705337822437286	118,75	0,963797986507416	118,75	0,961541533470154	575	0,743468642234802	575	0,789078116416931	118,75	0,959935426712036	575	-0,349232912063599	118,75	-0,141592264175415	575	-0,380344420671463	118,75	-0,141433268785477	118,75	-0,147816136479378	575	-0,413301110267639	575	-0,461268663406372	118,75	-0,148186311125755	118,75	-0,150284752249718	575	-0,460559219121933	575	-0,476027458906174	118,75	-0,145842969417572	118,75	-0,143608823418617	575	-0,47582146525383	575	-0,460374474525452	118,75	-0,134903937578201	
578,125	0,616424798965454	121,875	0,962393999099731	578,125	0,638164818286896	121,875	0,947511911392212	121,875	0,94734525680542	578,125	0,629501700401306	578,125	0,641866505146027	121,875	0,94972026348114	121,875	0,948410868644714	578,125	0,671312987804413	578,125	0,701879441738129	121,875	0,950682580471039	121,875	0,94833105802536	578,125	0,740281999111176	578,125	0,785888254642487	121,875	0,946967661380768	578,125	-0,349755495786667	121,875	-0,156625509262085	578,125	-0,377397835254669	121,875	-0,149374052882195	121,875	-0,155615925788879	578,125	-0,410287350416183	578,125	-0,458649128675461	121,875	-0,156914368271828	121,875	-0,158079922199249	578,125	-0,45807746052742	578,125	-0,473707020282745	121,875	-0,154141753911972	121,875	-0,151437297463417	578,125	-0,47370257973671	578,125	-0,458477675914764	121,875	-0,142754957079887	
581,25	0,611925303936005	125	0,955330848693848	581,25	0,637669861316681	125	0,959621846675873	125	0,959559142589569	581,25	0,628858149051666	581,25	0,641175389289856	125	0,961992502212524	125	0,960141777992249	581,25	0,671083986759186	581,25	0,701858818531036	125	0,963228046894073	125	0,960543751716614	581,25	0,74111145734787	581,25	0,787248373031616	125	0,959366202354431	581,25	-0,34869584441185	125	-0,157697081565857	581,25	-0,380391508340836	125	-0,151903882622719	125	-0,158365666866302	581,25	-0,41335192322731	581,25	-0,462423533201218	125	-0,159170776605606	125	-0,160712271928787	581,25	-0,462062209844589	581,25	-0,478282511234283	125	-0,156706497073174	125	-0,15354198217392	581,25	-0,478491306304932	581,25	-0,463724166154861	125	-0,144230872392654	
584,375	0,611579596996307	128,125	0,944910705089569	584,375	0,635143756866455	128,125	0,958535611629486	128,125	0,957874834537506	584,375	0,626250565052032	584,375	0,638335824012756	128,125	0,960538268089294	128,125	0,958773851394653	584,375	0,668665409088135	584,375	0,699481725692749	128,125	0,961836814880371	128,125	0,959465444087982	584,375	0,739437639713287	584,375	0,7856724858284	128,125	0,958455920219421	584,375	-0,350695937871933	128,125	-0,157115399837494	584,375	-0,382781744003296	128,125	-0,163760140538216	128,125	-0,170022442936897	584,375	-0,415771871805191	584,375	-0,465378314256668	128,125	-0,171299234032631	128,125	-0,172151178121567	584,375	-0,465278029441834	584,375	-0,482034146785736	128,125	-0,167834132909775	128,125	-0,165045812726021	584,375	-0,482672452926636	584,375	-0,468506962060928	128,125	-0,155761405825615	
587,5	0,610775768756866	131,25	0,942230224609375	587,5	0,633502185344696	131,25	0,958937048912048	131,25	0,958321630954742	587,5	0,62455940246582	587,5	0,636665284633636	131,25	0,960950076580048	131,25	0,959154307842255	587,5	0,66732394695282	587,5	0,698309540748596	131,25	0,962317585945129	131,25	0,959854066371918	587,5	0,738799273967743	587,5	0,785246610641479	131,25	0,958628237247467	587,5	-0,348586171865463	131,25	-0,161668449640274	587,5	-0,382126420736313	131,25	-0,161836698651314	131,25	-0,168135672807693	587,5	-0,415287643671036	587,5	-0,465301901102066	131,25	-0,169832676649094	131,25	-0,170195415616035	587,5	-0,465274065732956	587,5	-0,482308804988861	131,25	-0,166352361440659	131,25	-0,163204938173294	587,5	-0,483089685440063	587,5	-0,468996912240982	131,25	-0,153762891888618	
590,625	0,607398688793182	134,375	0,947681725025177	590,625	0,629483461380005	134,375	0,967265427112579	134,375	0,967218339443207	590,625	0,620486199855804	590,625	0,632422924041748	134,375	0,969902276992798	134,375	0,967567324638367	590,625	0,663253545761108	590,625	0,694194912910461	134,375	0,970991611480713	134,375	0,968658149242401	590,625	0,735113143920898	590,625	0,781504154205322	134,375	0,967541217803955	590,625	-0,348306268453598	134,375	-0,162700831890106	590,625	-0,381522864103317	134,375	-0,16242079436779	134,375	-0,168871492147446	590,625	-0,414662450551987	590,625	-0,465060621500015	134,375	-0,170605108141899	134,375	-0,170823857188225	590,625	-0,465297728776932	590,625	-0,482629925012589	134,375	-0,166852921247482	134,375	-0,163659155368805	590,625	-0,483823239803314	590,625	-0,470059424638748	134,375	-0,153708174824715	
593,75	0,604360222816467	137,5	0,945018947124481	593,75	0,626300692558289	137,5	0,942172944545746	137,5	0,94204181432724	593,75	0,617168784141541	593,75	0,629000008106232	137,5	0,944650232791901	137,5	0,942636132240295	593,75	0,660106062889099	593,75	0,691168487071991	137,5	0,946177244186401	137,5	0,943906426429749	593,75	0,732677459716797	593,75	0,779066205024719	137,5	0,943350076675415	593,75	-0,347304970026016	137,5	-0,170856714248657	593,75	-0,381843030452728	137,5	-0,178399488329887	137,5	-0,184807315468788	593,75	-0,415082782506943	593,75	-0,465966582298279	137,5	-0,186850175261497	137,5	-0,186688393354416	593,75	-0,466569155454636	593,75	-0,484269857406616	137,5	-0,183082565665245	137,5	-0,179503902792931	593,75	-0,485918432474136	593,75	-0,472473382949829	137,5	-0,169344574213028	
596,875	0,602742910385132	140,625	0,949282586574554	596,875	0,625441133975983	140,625	0,941174983978271	140,625	0,940469563007355	596,875	0,616410493850708	596,875	0,62823885679245	140,625	0,943239986896515	140,625	0,941690802574158	596,875	0,659668624401093	596,875	0,690970420837402	140,625	0,945358455181122	140,625	0,942935883998871	596,875	0,733006179332733	596,875	0,779316425323486	140,625	0,942128658294678	596,875	-0,346603780984879	140,625	-0,168576091527939	596,875	-0,381317585706711	140,625	-0,167082607746124	140,625	-0,173675835132599	596,875	-0,414711803197861	596,875	-0,465951353311539	140,625	-0,175907999277115	140,625	-0,175383791327477	596,875	-0,46674308180809	596,875	-0,48464247584343	140,625	-0,171808883547783	140,625	-0,168408110737801	596,875	-0,486587315797806	596,875	-0,473221898078918	140,625	-0,157999381422997	
600	0,601113259792328	143,75	0,94733589887619	600	0,621223628520966	143,75	0,937819480895996	143,75	0,937158226966858	600	0,612057387828827	600	0,623395025730133	143,75	0,939997792243958	143,75	0,938367009162903	600	0,655220448970795	600	0,686521947383881	143,75	0,942066431045532	143,75	0,940052151679993	600	0,729273676872253	600	0,77553528547287	143,75	0,939392864704132	600	-0,346772700548172	143,75	-0,175168395042419	600	-0,383859753608704	143,75	-0,178571864962578	143,75	-0,185267701745033	600	-0,4173264503479	600	-0,469159781932831	143,75	-0,187877759337425	143,75	-0,186968743801117	600	-0,470379859209061	600	-0,488923072814941	143,75	-0,183557540178299	143,75	-0,179763421416283	600	-0,491622298955917	600	-0,478521525859833	143,75	-0,169305816292763	
603,125	0,598074793815613	146,875	0,939387798309326	603,125	0,620164513587952	146,875	0,955477058887482	146,875	0,955056548118591	603,125	0,611107647418976	603,125	0,622553288936615	146,875	0,957943379878998	146,875	0,956107676029205	603,125	0,654687166213989	603,125	0,686195015907288	146,875	0,959692060947418	146,875	0,957570374011993	603,125	0,729622006416321	603,125	0,77591073513031	146,875	0,957009553909302	603,125	-0,349079072475433	146,875	-0,175577566027641	603,125	-0,382212430238724	146,875	-0,168102696537971	146,875	-0,174855172634125	603,125	-0,415855348110199	603,125	-0,46800434589386	146,875	-0,17755338549614	146,875	-0,176508441567421	603,125	-0,469441115856171	603,125	-0,488055408000946	146,875	-0,172889187932014	146,875	-0,168952569365501	603,125	-0,491101652383804	603,125	-0,478055328130722	146,875	-0,15834940969944	
606,25	0,59822404384613	150	0,948727309703827	606,25	0,616190910339355	150	0,942116498947144	150	0,94180303812027	606,25	0,607025682926178	606,25	0,61812835931778	150	0,944575428962708	150	0,942980885505676	606,25	0,650448977947235	606,25	0,681924104690552	150	0,946786105632782	150	0,944766044616699	606,25	0,725926637649536	606,25	0,772119402885437	150	0,944439589977264	606,25	-0,345366597175598	150	-0,183938905596733	606,25	-0,382960975170136	150	-0,179317325353622	150	-0,186439469456673	606,25	-0,416683912277222	606,25	-0,469270437955856	150	-0,18906868994236	150	-0,187892690300941	606,25	-0,471099466085434	606,25	-0,490166574716568	150	-0,184644028544426	150	-0,180449739098549	606,25	-0,494140714406967	606,25	-0,481192976236343	150	-0,169341400265694	
609,375	0,592574238777161	153,125	0,951810657978058	609,375	0,616199612617493	153,125	0,941930770874023	153,125	0,94128280878067	609,375	0,607100248336792	609,375	0,61830198764801	153,125	0,944429934024811	153,125	0,943132162094116	609,375	0,650933146476746	609,375	0,682753086090088	153,125	0,947194457054138	153,125	0,945102155208588	609,375	0,72742748260498	609,375	0,773822546005249	153,125	0,944989144802094	609,375	-0,348487436771393	153,125	-0,189223930239677	609,375	-0,382519096136093	153,125	-0,193154320120811	153,125	-0,200426131486893	609,375	-0,416430801153183	609,375	-0,469532907009125	153,125	-0,203655645251274	153,125	-0,201982110738754	609,375	-0,47149595618248	609,375	-0,49079155921936	153,125	-0,198529168963432	153,125	-0,194311171770096	609,375	-0,495181947946548	609,375	-0,481992721557617	153,125	-0,182957321405411	
612,5	0,592982351779938	156,25	0,939046800136566	612,5	0,613086819648743	156,25	0,942593455314636	156,25	0,942078828811646	612,5	0,603966295719147	612,5	0,615057706832886	156,25	0,945304930210114	156,25	0,943839848041534	612,5	0,647936403751373	612,5	0,67987197637558	156,25	0,947903454303741	156,25	0,945963263511658	612,5	0,725069582462311	612,5	0,77170741558075	156,25	0,945960521697998	612,5	-0,347290545701981	156,25	-0,188862204551697	612,5	-0,382764250040054	156,25	-0,188296154141426	156,25	-0,195461452007294	612,5	-0,416877210140228	612,5	-0,47044250369072	156,25	-0,198922231793404	156,25	-0,197123751044273	612,5	-0,472751200199127	612,5	-0,492409288883209	156,25	-0,193679809570313	156,25	-0,189234986901283	612,5	-0,497625946998596	612,5	-0,484257638454437	156,25	-0,177682414650917	
