Frequency in Hz	Wool_92_HF_1 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_92_LF_1 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_93_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_93_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_94_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_94_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_95_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_96_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_96_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_97_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_97_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_98_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_98_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_99_HF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_99_LF Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_92_HF_1 Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_92_LF_1 Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_93_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_93_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_94_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_94_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_95_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_95_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_96_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_96_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_97_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_97_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_98_LF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_98_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_99_HF Normalized Surface Impedance continuous Im	Frequency in Hz	Wool_99_LF Normalized Surface Impedance continuous Im	
556,25	1,83931076526642	100	2,09148979187012	556,25	1,62778913974762	100	3,37092185020447	100	3,0348527431488	556,25	1,39527142047882	556,25	1,08685898780823	100	2,95719194412231	100	2,86326742172241	556,25	1,0340029001236	556,25	0,875421106815338	100	2,88479995727539	100	3,24480533599854	556,25	0,750623941421509	556,25	0,651546955108643	100	3,88321447372437	556,25	-2,73337626457214	100	-14,6431264877319	556,25	-2,91479921340942	100	-14,847020149231	100	-14,3953914642334	556,25	-2,83260774612427	556,25	-2,84242630004883	100	-14,4516935348511	100	-14,1099948883057	556,25	-3,01825451850891	556,25	-3,15785312652588	100	-14,5000743865967	100	-14,6257600784302	556,25	-3,37147831916809	556,25	-3,72078537940979	100	-15,1705694198608	
559,375	1,85894787311554	103,125	3,18986034393311	559,375	1,64148235321045	103,125	4,82605934143066	103,125	4,38449144363403	559,375	1,41099655628204	559,375	1,10629260540009	103,125	4,2996973991394	103,125	4,06839036941528	559,375	1,05632126331329	559,375	0,899548888206482	103,125	4,09960460662842	103,125	4,61657476425171	559,375	0,779164910316467	559,375	0,68511301279068	103,125	5,43715238571167	559,375	-2,70288991928101	103,125	-13,4878997802734	559,375	-2,86624622344971	103,125	-15,2886190414429	103,125	-14,7518901824951	559,375	-2,78791666030884	559,375	-2,80275177955627	103,125	-14,8570461273193	103,125	-14,5407333374023	559,375	-2,97607588768005	559,375	-3,11842918395996	103,125	-15,0512962341309	103,125	-15,0644998550415	559,375	-3,33277320861816	559,375	-3,68149590492249	103,125	-15,5909986495972	
562,5	1,8439816236496	106,25	2,70863389968872	562,5	1,64112031459808	106,25	2,50685453414917	106,25	2,29691886901855	562,5	1,41050457954407	562,5	1,10478472709656	106,25	2,17215180397034	106,25	2,21384334564209	562,5	1,05456817150116	562,5	0,89559018611908	106,25	2,19451141357422	106,25	2,46133732795715	562,5	0,775251388549805	562,5	0,677356660366058	106,25	2,88118720054626	562,5	-2,69548988342285	106,25	-14,1138505935669	562,5	-2,85574555397034	106,25	-12,4892320632935	106,25	-12,1662931442261	562,5	-2,77428531646729	562,5	-2,79069209098816	106,25	-12,2258424758911	106,25	-11,9622631072998	562,5	-2,96389603614807	562,5	-3,10641694068909	106,25	-12,4123344421387	106,25	-12,3657646179199	562,5	-3,32179021835327	562,5	-3,6698043346405	106,25	-12,8806324005127	
565,625	1,8105663061142	109,375	2,71850347518921	565,625	1,62492227554321	109,375	2,1932065486908	109,375	2,02164721488953	565,625	1,39672005176544	565,625	1,09190273284912	109,375	1,81061708927155	109,375	1,88939929008484	565,625	1,04191279411316	565,625	0,88079696893692	109,375	1,84128570556641	109,375	2,14096212387085	565,625	0,759165942668915	565,625	0,655720293521881	109,375	2,6701078414917	565,625	-2,7052481174469	109,375	-13,5082588195801	565,625	-2,83965706825256	109,375	-14,2665367126465	109,375	-13,7655467987061	565,625	-2,75603795051575	565,625	-2,77243828773499	109,375	-13,8949766159058	109,375	-13,5283212661743	565,625	-2,94362735748291	565,625	-3,08442950248718	109,375	-14,0306901931763	109,375	-14,1100749969482	565,625	-3,29942941665649	565,625	-3,64189100265503	109,375	-14,7920703887939	
568,75	1,81536519527435	112,5	2,36204290390015	568,75	1,63215792179108	112,5	3,06656575202942	112,5	2,8005907535553	568,75	1,40608298778534	568,75	1,1009521484375	112,5	2,64266538619995	112,5	2,62959980964661	568,75	1,05238664150238	568,75	0,890181481838226	112,5	2,68562793731689	112,5	2,91891407966614	568,75	0,769313216209412	568,75	0,664957761764526	112,5	3,49511170387268	568,75	-2,65596795082092	112,5	-13,3547315597534	568,75	-2,8137469291687	112,5	-13,2085494995117	112,5	-12,7509307861328	568,75	-2,73268556594849	568,75	-2,75206136703491	112,5	-12,897253036499	112,5	-12,5976867675781	568,75	-2,92290830612183	568,75	-3,06403493881226	112,5	-13,0159387588501	112,5	-13,0670909881592	568,75	-3,28096055984497	568,75	-3,62105202674866	112,5	-13,638689994812	
571,875	1,84983956813812	115,625	2,34260058403015	571,875	1,63968884944916	115,625	2,58506274223328	115,625	2,33152484893799	571,875	1,41524314880371	571,875	1,10866177082062	115,625	2,23872709274292	115,625	2,24225449562073	571,875	1,06122040748596	571,875	0,897467195987701	115,625	2,25763940811157	115,625	2,4976019859314	571,875	0,776089489459991	571,875	0,670242726802826	115,625	2,993577003479	571,875	-2,61960864067078	115,625	-12,9837369918823	571,875	-2,79851675033569	115,625	-12,3221111297607	115,625	-11,9083576202393	571,875	-2,7188823223114	571,875	-2,74057269096375	115,625	-11,9633617401123	115,625	-11,7562532424927	571,875	-2,91241526603699	571,875	-3,05399990081787	115,625	-12,1247835159302	115,625	-12,195728302002	571,875	-3,2733039855957	571,875	-3,61280369758606	115,625	-12,7016410827637	
575	1,85204708576202	118,75	2,87287044525146	575	1,62448501586914	118,75	2,59308791160584	118,75	2,31453061103821	575	1,40256321430206	575	1,09487819671631	118,75	2,19217205047607	118,75	2,21746063232422	575	1,0461620092392	575	0,880254685878754	118,75	2,20644593238831	118,75	2,4800021648407	575	0,755775034427643	575	0,645046591758728	118,75	3,04606056213379	575	-2,60847997665405	118,75	-12,9684829711914	575	-2,78651666641235	118,75	-13,1599140167236	118,75	-12,6627283096313	575	-2,70569181442261	575	-2,72598695755005	118,75	-12,6937704086304	118,75	-12,4784774780273	575	-2,89766812324524	575	-3,03755593299866	118,75	-12,9174566268921	118,75	-12,9947757720947	575	-3,25665974617004	575	-3,5906069278717	118,75	-13,6237411499023	
578,125	1,84700393676758	121,875	1,89881467819214	578,125	1,64737606048584	121,875	3,18772220611572	121,875	2,90196394920349	578,125	1,42468976974487	578,125	1,11526167392731	121,875	2,70382523536682	121,875	2,73148775100708	578,125	1,06805872917175	578,125	0,903256356716156	121,875	2,76585555076599	121,875	3,03617262840271	578,125	0,77981960773468	578,125	0,672449886798859	121,875	3,57344603538513	578,125	-2,59598445892334	121,875	-12,0733032226563	578,125	-2,7612407207489	121,875	-11,9176950454712	121,875	-11,5318727493286	578,125	-2,68508505821228	578,125	-2,7089421749115	121,875	-11,5589962005615	121,875	-11,4340629577637	578,125	-2,88216733932495	578,125	-3,02423238754272	121,875	-11,7701892852783	121,875	-11,829683303833	578,125	-3,24623250961304	578,125	-3,58121871948242	121,875	-12,3110227584839	
581,25	1,8514906167984	125	2,32561421394348	581,25	1,62576305866241	125	2,26880049705505	125	2,02756071090698	581,25	1,40527892112732	581,25	1,09477198123932	125	1,83850920200348	125	1,90754365921021	581,25	1,04494297504425	581,25	0,877213180065155	125	1,83853673934937	125	2,13992762565613	581,25	0,749381721019745	581,25	0,634643793106079	125	2,6193482875824	581,25	-2,56214308738709	125	-11,7405319213867	581,25	-2,75665163993835	125	-12,2973279953003	125	-11,8558702468872	581,25	-2,67883205413818	581,25	-2,69956922531128	125	-11,8873291015625	125	-11,7235012054443	581,25	-2,87274193763733	581,25	-3,01145339012146	125	-12,0966358184814	125	-12,2188749313354	581,25	-3,2332980632782	581,25	-3,5629518032074	125	-12,8469867706299	
584,375	1,83665502071381	128,125	2,97468519210815	584,375	1,60945296287537	128,125	1,90604186058044	128,125	1,74590611457825	584,375	1,39157629013062	584,375	1,08225178718567	128,125	1,5541023015976	128,125	1,63126254081726	584,375	1,03106880187988	584,375	0,86270797252655	128,125	1,57644236087799	128,125	1,80679333209991	584,375	0,732085525989532	584,375	0,614914953708649	128,125	2,19723296165466	584,375	-2,5611515045166	128,125	-11,3358554840088	584,375	-2,7376561164856	128,125	-11,4771690368652	128,125	-11,082820892334	584,375	-2,66047263145447	584,375	-2,67937731742859	128,125	-11,0870943069458	128,125	-10,9875707626343	584,375	-2,85213685035706	584,375	-2,98780131340027	128,125	-11,3306789398193	128,125	-11,4285106658936	584,375	-3,20856046676636	584,375	-3,53010606765747	128,125	-11,9873971939087	
