candidate,family,split,rmse,mae,max_abs_error,r2,bias,prediction_min,prediction_max,curve_mean_rmse,curve_median_rmse,curve_p95_rmse,worst_curve_rmse,worst_curve_id
zero_correction,control,train,0.07532414906474862,0.05618556938639531,0.318530008924901,0.8464927240598425,-0.0002729388245529215,0.00985972867749481,1.0717607455256186,0.06441339003741159,0.05538833136552791,0.15033202688033895,0.20909980338750342,584
zero_correction,control,validation,0.06997865488067417,0.0539982673677811,0.2549097475756308,0.864516586956995,0.002986810480004279,0.0726826636225841,1.0714975592363623,0.06226378248239593,0.05367115272322798,0.12723338150020871,0.16927367878579033,953
sigma_g1450,sigma_local,train,0.06730292021717425,0.047957721333935735,0.38270854956989575,0.8774457678476035,-0.00027293882455295886,-0.15524817646286676,1.0717607455256186,0.05648233446420251,0.04414666337539115,0.13643487972849216,0.1976796451089942,459
sigma_g1450,sigma_local,validation,0.06070438686630681,0.045178082587202045,0.25490977820882027,0.8980481520630924,0.0038262117811802125,-0.12387423994811221,1.0714975592363623,0.053426915194023664,0.04484260489922813,0.11276141147278874,0.15602209104049478,953
sigma_g1750,sigma_local,train,0.06618472336146368,0.04572509940593576,0.4922714099118321,0.8814842654561664,-0.00027293882455296564,-0.16578428024301695,1.0717607455256186,0.05423394861283563,0.04091698351013362,0.1382998592398895,0.22477713440662717,459
sigma_g1750,sigma_local,validation,0.05896287916355611,0.04260776528891053,0.2645297050157895,0.9038139008576772,0.003967300129091914,-0.12191121181723975,1.0714975592363623,0.0507731909447865,0.041364588517727174,0.12007625663282956,0.1461640382156165,953
sigma_g1450_g1750,sigma_local,train,0.06548664311350966,0.044993449014697026,0.4644529669063309,0.8839711589677668,-0.0002729388245529681,-0.15694493591379982,1.0717607455256186,0.05383237522381106,0.040755761793111675,0.1356559702670297,0.21990923687115435,459
sigma_g1450_g1750,sigma_local,validation,0.05827042132450645,0.04192822274494327,0.25491340645055804,0.9060598466817278,0.004024606818604749,-0.12635986030478719,1.0714975592363623,0.05035769438909436,0.04157169704182148,0.1139614280345123,0.14763676434034217,953
sigma_bandpass_1250_2100,sigma_local,train,0.06543610592416865,0.04459010415044171,0.45143105057138627,0.8841501728442461,-0.000272938824552977,-0.12572862567152793,1.0717607473875497,0.05342336495260489,0.04043398916973373,0.13749717025218933,0.22277115157067834,459
sigma_bandpass_1250_2100,sigma_local,validation,0.057866178751853875,0.04137204260757297,0.256782096455998,0.9073587179350459,0.004224891158045062,-0.09545821683410048,1.071497561091846,0.04962566680108908,0.04021557814802944,0.11614221838530636,0.14791024357921928,953
diagnostic_sigma_bandpass_1250_2100_plus_lambda,optional_material_diagnostic,train,0.06488887505451886,0.04482834114299891,0.41748420317985274,0.886079734921573,-0.00027293882455298234,-0.14489621239736006,1.0717607472540385,0.0534575240518751,0.041242298570450704,0.13649134643083716,0.20983417984456887,459
diagnostic_sigma_bandpass_1250_2100_plus_lambda,optional_material_diagnostic,validation,0.05741085229297516,0.041664009776946495,0.2568703163495235,0.9088108984947932,0.003388251609940663,-0.12312707369632143,1.071497560768586,0.049769224630916736,0.04098316238573606,0.11317926928616755,0.14765011026796615,953
diagnostic_sigma_bandpass_1250_2100_plus_alpha,optional_material_diagnostic,train,0.06531211858714671,0.04474781039748586,0.4459868881617518,0.8845887778957043,-0.0002729388245529768,-0.1400587245259392,1.0717607473880606,0.05352738308948135,0.04082553125809079,0.1372923753486189,0.2207109113900366,459
diagnostic_sigma_bandpass_1250_2100_plus_alpha,optional_material_diagnostic,validation,0.05804889755823545,0.041923312319486566,0.2567915873494362,0.9067727442365391,0.004211775208039034,-0.08651640367369114,1.0714975610071746,0.049979909996009236,0.04069792203333935,0.11597515271728373,0.14787873933512918,953
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,optional_material_diagnostic,train,0.0647977576747235,0.044936534725386716,0.4139299907093282,0.886399445446301,-0.00027293882455298185,-0.15795512905187614,1.0717607472583295,0.05355067865893576,0.04139158670674355,0.13623063298200508,0.2085056075222715,459
diagnostic_sigma_bandpass_1250_2100_plus_lambda_alpha,optional_material_diagnostic,validation,0.05758193888622114,0.04211590104390703,0.2568758934351301,0.908266594474331,0.003401174428344474,-0.11467490094775341,1.071497560705444,0.050072881441842264,0.041369346684093075,0.11276385597751948,0.1476361325407513,953
