candidate,lower_hz,upper_hz,control_rmse,candidate_rmse,relative_change,maximum_allowed_relative_worsening,passed
sigma_g1450,700.0,1000.0,0.04544491052184621,0.04427858085926694,-0.025664692683652568,0.1,True
sigma_g1450,1300.0,1650.0,0.08807740122553251,0.02806808522838459,-0.6813247798205017,0.1,True
sigma_g1450,1650.0,2000.0,0.09383708894027783,0.053064755063207195,-0.43450126530480915,0.1,True
sigma_g1750,700.0,1000.0,0.04544491052184621,0.045364417927597385,-0.0017712125147684166,0.1,True
sigma_g1750,1300.0,1650.0,0.08807740122553251,0.03563509738589605,-0.5954115710720369,0.1,True
sigma_g1750,1650.0,2000.0,0.09383708894027783,0.03585669179728946,-0.6178835873722566,0.1,True
sigma_g1450_g1750,700.0,1000.0,0.04544491052184621,0.04482408013339468,-0.0136611642826997,0.1,True
sigma_g1450_g1750,1300.0,1650.0,0.08807740122553251,0.025525119128252786,-0.710196727275221,0.1,True
sigma_g1450_g1750,1650.0,2000.0,0.09383708894027783,0.036019697331647754,-0.6161464753603736,0.1,True
sigma_bandpass_1250_2100,700.0,1000.0,0.04544491052184621,0.04401181126958349,-0.03153486794904792,0.1,True
sigma_bandpass_1250_2100,1300.0,1650.0,0.08807740122553251,0.024696914168867545,-0.7195998766399998,0.1,True
sigma_bandpass_1250_2100,1650.0,2000.0,0.09383708894027783,0.03615955121047637,-0.6146560851489122,0.1,True
