candidate_index,candidate_source,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2,bias,prediction_min,prediction_max
1,pysr_hall_of_fame,1,0.03696064,0.0,0.36907718,0.369077180000000,ok,0.1901182750645762,0.13544778043614816,0.6147629007547939,-6.1680064267211065e-06,-0.00047216624329386096,0.36907718,0.36907718
2,pysr_hall_of_fame,3,0.03532423,0.02264221595081552,log10_sigma * 0.07920996,log10_sigma*0.07920996,ok,0.18597585092227412,0.13307077547834367,0.6480102206007046,0.04309668950758172,0.0028290147382971456,0.33398875799307265,0.3941152187522789
3,pysr_hall_of_fame,4,0.03019273,0.15696796381499595,0.67941874 / sqrt(log10_f),0.67941874/sqrt(log10_f),ok,0.1712633447993531,0.12330303194971921,0.5054157716886054,0.1885088434808614,0.00698152739994598,0.35347076764775875,0.4804215983192198
4,pysr_hall_of_fame,5,0.024105465,0.22516258864911856,1.988815 / (log10_f / 0.59801865),1.988815/((log10_f/0.59801865)),ok,0.15238135419045085,0.10889734962090981,0.4955158140015545,0.3575806618284373,-0.0027421968627036725,0.3219148995251374,0.594674230699875
5,pysr_hall_of_fame,6,0.013668243,0.5673634654268359,(4.2494707 / sqrt(log10_f)) - 1.988815,-1.988815 + 4.2494707/sqrt(log10_f),ok,0.11231225600223471,0.08294613499186701,0.5043212647403207,0.6510129995836869,-0.003326398375753643,0.22199194716436366,1.0160145484235448
6,pysr_hall_of_fame,9,0.013007579,0.016514308421745998,-1.979368 / (((log10_k0_prime / log10_k0_prime__sobol_mod) - 0.74292195) * log10_k0_prime__sobol_mod),-1.979368*1/(log10_k0_prime__sobol_mod*(log10_k0_prime/log10_k0_prime__sobol_mod - 1*0.74292195)),ok,0.11146994963129697,0.08943801765900072,0.3844939001820491,0.6562279548052898,-0.0029293100271696776,0.22117046215700287,0.9617109976096838
7,pysr_hall_of_fame,11,0.010498695,0.10714061192898847,sqrt(sqrt(0.049150743 / ((log10_k0_prime / log10_k0_prime__sobol_mod) - (log10_lambda__sobol_mod + 0.9381989)))),0.470849942625736*(1/(log10_k0_prime/log10_k0_prime__sobol_mod - log10_lambda__sobol_mod - 0.9381989))**(1/4),ok,0.0987237403849233,0.07418117542117691,0.4038352826324401,0.7303514118668338,-9.221159134829497e-05,0.2712373311585636,0.9432705420233233
8,pysr_hall_of_fame,14,0.009572158,0.03079742911265361,log(sqrt(sqrt((log10_sigma * -6.653663) / (log10_lambda__sobol_mod + ((-0.86546284 - log10_k0_prime__sobol_mod) + log10_k0_prime))))),log(1.60607270044248*(-log10_sigma/(log10_k0_prime - log10_k0_prime__sobol_mod + log10_lambda__sobol_mod - 0.86546284))**(1/4)),ok,0.09403080507427172,0.07229668184635499,0.39592265024418694,0.7553781439301491,-0.004903544821148652,0.2308435405073551,0.9109668471357943
9,pysr_hall_of_fame,16,0.008636447,0.05143370249997942,log(sqrt(sqrt((log10_sigma * -1.4403732) / (((-0.8501877 - log10_k0_prime__sobol_mod) + (log10_lambda__sobol_mod + log10_k0_prime)) / log10_sigma)))),log(1.09551608382817*(-log10_sigma**2/(log10_k0_prime - log10_k0_prime__sobol_mod + log10_lambda__sobol_mod - 0.8501877))**(1/4)),ok,0.08910781880661436,0.0689051778733537,0.3735093272094179,0.7803219958123444,-2.5114849429258753e-05,0.21733232107328562,0.9339861696907574
10,pysr_hall_of_fame,18,0.008634712,0.00010045648967955564,log(sqrt(sqrt((log10_sigma * -1.5163333) / ((((log10_lambda__sobol_mod + -0.83136743) - log10_k0_prime__sobol_mod) + log10_k0_prime) / log10_sigma)))) + -0.012453683,log(1.10968232368492*(-log10_sigma**2/(log10_k0_prime - log10_k0_prime__sobol_mod + log10_lambda__sobol_mod - 0.83136743))**(1/4)) - 0.012453683,ok,0.0891104768281881,0.0688855214189925,0.3743996506884335,0.7803088899459679,0.001278448586531036,0.21813509161474157,0.9399751151779769
