complexity,loss,equation,score,sympy_format,lambda_format
1,0.03696064,0.36907718,0.0,0.369077180000000,PySRFunction(X=>0.369077180000000)
3,0.03532423,log10_sigma * 0.07920996,0.02264221595081552,log10_sigma*0.07920996,PySRFunction(X=>log10_sigma*0.07920996)
4,0.03019273,0.67941874 / sqrt(log10_f),0.15696796381499595,0.67941874/sqrt(log10_f),PySRFunction(X=>0.67941874/sqrt(log10_f))
5,0.024105465,1.988815 / (log10_f / 0.59801865),0.22516258864911856,1.988815/((log10_f/0.59801865)),PySRFunction(X=>1.988815/((log10_f/0.59801865)))
6,0.013668243,(4.2494707 / sqrt(log10_f)) - 1.988815,0.5673634654268359,-1.988815 + 4.2494707/sqrt(log10_f),PySRFunction(X=>-1.988815 + 4.2494707/sqrt(log10_f))
9,0.013007579,-1.979368 / (((log10_k0_prime / log10_k0_prime__sobol_mod) - 0.74292195) * log10_k0_prime__sobol_mod),0.016514308421745998,-1.979368*1/(log10_k0_prime__sobol_mod*(log10_k0_prime/log10_k0_prime__sobol_mod - 1*0.74292195)),PySRFunction(X=>-1.979368*1/(log10_k0_prime__sobol_mod*(log10_k0_prime/log10_k0_prime__sobol_mod - 1*0.74292195)))
11,0.010498695,sqrt(sqrt(0.049150743 / ((log10_k0_prime / log10_k0_prime__sobol_mod) - (log10_lambda__sobol_mod + 0.9381989)))),0.10714061192898847,0.470849942625736*(1/(log10_k0_prime/log10_k0_prime__sobol_mod - log10_lambda__sobol_mod - 0.9381989))**(1/4),PySRFunction(X=>0.470849942625736*(1/(log10_k0_prime/log10_k0_prime__sobol_mod - log10_lambda__sobol_mod - 0.9381989))**(1/4))
14,0.009572158,log(sqrt(sqrt((log10_sigma * -6.653663) / (log10_lambda__sobol_mod + ((-0.86546284 - log10_k0_prime__sobol_mod) + log10_k0_prime))))),0.03079742911265361,log(1.60607270044248*(-log10_sigma/(log10_k0_prime - log10_k0_prime__sobol_mod + log10_lambda__sobol_mod - 0.86546284))**(1/4)),PySRFunction(X=>log(1.60607270044248*(-log10_sigma/(log10_k0_prime - log10_k0_prime__sobol_mod + log10_lambda__sobol_mod - 0.86546284))**(1/4)))
16,0.008636447,log(sqrt(sqrt((log10_sigma * -1.4403732) / (((-0.8501877 - log10_k0_prime__sobol_mod) + (log10_lambda__sobol_mod + log10_k0_prime)) / log10_sigma)))),0.05143370249997942,log(1.09551608382817*(-log10_sigma**2/(log10_k0_prime - log10_k0_prime__sobol_mod + log10_lambda__sobol_mod - 0.8501877))**(1/4)),PySRFunction(X=>log(1.09551608382817*(-log10_sigma**2/(log10_k0_prime - log10_k0_prime__sobol_mod + log10_lambda__sobol_mod - 0.8501877))**(1/4)))
18,0.008634712,log(sqrt(sqrt((log10_sigma * -1.5163333) / ((((log10_lambda__sobol_mod + -0.83136743) - log10_k0_prime__sobol_mod) + log10_k0_prime) / log10_sigma)))) + -0.012453683,0.00010045648967955564,log(1.10968232368492*(-log10_sigma**2/(log10_k0_prime - log10_k0_prime__sobol_mod + log10_lambda__sobol_mod - 0.83136743))**(1/4)) - 0.012453683,PySRFunction(X=>log(1.10968232368492*(-log10_sigma**2/(log10_k0_prime - log10_k0_prime__sobol_mod + log10_lambda__sobol_mod - 0.83136743))**(1/4)) - 0.012453683)
