complexity,loss,equation,score,sympy_format,lambda_format
1,0.005673653,0.00028161774,0.0,0.000281617740000000,PySRFunction(X=>0.000281617740000000)
3,0.0042818855,0.09128941 * z_sigma__f3_mid,0.14071986419845148,0.09128941*z_sigma__f3_mid,PySRFunction(X=>0.09128941*z_sigma__f3_mid)
5,0.004281858,(z_sigma__f3_mid - -0.0006916713) * 0.091352284,3.21121247964899e-06,(z_sigma__f3_mid - 1*(-0.0006916713))*0.091352284,PySRFunction(X=>(z_sigma__f3_mid - 1*(-0.0006916713))*0.091352284)
7,0.0042108023,(z_sigma__f3_mid * 0.09128941) - (z_lambda__f3_mid * 0.02147795),0.008366913967220235,-0.02147795*z_lambda__f3_mid + z_sigma__f3_mid*0.09128941,PySRFunction(X=>-0.02147795*z_lambda__f3_mid + z_sigma__f3_mid*0.09128941)
11,0.0041570007,(z_sigma__f3_mid - (-0.15703025 * ((z_lambda__f3_mid * z_sigma__f3_mid) - z_lambda__f3_mid))) * 0.0936595,0.003214842737056761,(z_sigma__f3_mid - (-1)*0.15703025*(z_lambda__f3_mid*z_sigma__f3_mid - z_lambda__f3_mid))*0.0936595,PySRFunction(X=>(z_sigma__f3_mid - (-1)*0.15703025*(z_lambda__f3_mid*z_sigma__f3_mid - z_lambda__f3_mid))*0.0936595)
13,0.0041561904,(z_sigma__f3_mid - ((((z_lambda__f3_mid * 1.135783) * z_sigma__f3_mid) - z_lambda__f3_mid) * -0.14897436)) * 0.0936595,9.747159578304246e-05,(z_sigma__f3_mid - (-0.14897436)*(z_lambda__f3_mid*1.135783*z_sigma__f3_mid - z_lambda__f3_mid))*0.0936595,PySRFunction(X=>(z_sigma__f3_mid - (-0.14897436)*(z_lambda__f3_mid*1.135783*z_sigma__f3_mid - z_lambda__f3_mid))*0.0936595)
14,0.004138299,(z_sigma__f3_mid - (sqrt(3.0854983) * (-0.15703025 * ((z_lambda__f3_mid * z_sigma__f3_mid) - z_lambda__f3_mid)))) * 0.0936595,0.00431405162760804,0.0258343662859956*z_lambda__f3_mid*z_sigma__f3_mid - 0.0258343662859956*z_lambda__f3_mid + 0.0936595*z_sigma__f3_mid,PySRFunction(X=>0.0258343662859956*z_lambda__f3_mid*z_sigma__f3_mid - 0.0258343662859956*z_lambda__f3_mid + 0.0936595*z_sigma__f3_mid)
15,0.0041371966,(z_sigma__f3_mid - (1.3493323 * ((((z_lambda__f3_mid * 1.3493323) * z_sigma__f3_mid) - z_lambda__f3_mid) * -0.14897436))) * 0.0936595,0.000266425132658054,(z_sigma__f3_mid - (-0.14897436)*1.3493323*(z_lambda__f3_mid*1.3493323*z_sigma__f3_mid - z_lambda__f3_mid))*0.0936595,PySRFunction(X=>(z_sigma__f3_mid - (-0.14897436)*1.3493323*(z_lambda__f3_mid*1.3493323*z_sigma__f3_mid - z_lambda__f3_mid))*0.0936595)
17,0.0041356045,(z_sigma__f3_mid + (z_sigma__f3_mid + ((((z_sigma__f3_mid + -0.8778952) * -0.7854523) * (z_lambda__f3_mid * 0.84394157)) * -0.8293706))) * 0.04624587,0.00019244993327058866,((z_sigma__f3_mid - 0.8778952)*(-0.7854523)*z_lambda__f3_mid*0.84394157*(-0.8293706) + z_sigma__f3_mid + z_sigma__f3_mid)*0.04624587,PySRFunction(X=>((z_sigma__f3_mid - 0.8778952)*(-0.7854523)*z_lambda__f3_mid*0.84394157*(-0.8293706) + z_sigma__f3_mid + z_sigma__f3_mid)*0.04624587)
18,0.004101879,((z_sigma__f3_mid - (z_sigma__f3_mid * (((z_lambda__f3_mid + -0.065894745) / sqrt(z_lambda__f3_mid * z_lambda__f3_mid)) * -0.18948324))) - -4.6993067e-5) * 0.09269809,0.008188347433607562,0.0175647344350116*z_sigma__f3_mid*(z_lambda__f3_mid - 0.065894745)/sqrt(z_lambda__f3_mid**2) + 0.09269809*z_sigma__f3_mid + 4.35616755414203e-6,PySRFunction(X=>0.0175647344350116*z_sigma__f3_mid*(z_lambda__f3_mid - 0.065894745)/sqrt(z_lambda__f3_mid**2) + 0.09269809*z_sigma__f3_mid + 4.35616755414203e-6)
