candidate_index,candidate_source,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2,bias,prediction_min,prediction_max
0,explicit_zero_residual_f1_fallback,0,,,0.0,0.0,ok,0.06997865488067417,0.0539982673677811,0.2549097475756308,0.864516586956995,0.002986810480004279,0.0726826636225841,1.0714975592363623
1,explicit_saved_f3c_branch_a_fallback,17,,,(z_sigma__f3_mid - (z_sigma__f3_mid * (((z_sigma__f3_mid - 6.570291) * 0.0052170097) / (-0.0046468284 - (z_sigma__f3_mid * z_sigma__f3_mid))))) * 0.103564985,(-0.0052170097*z_sigma__f3_mid*(z_sigma__f3_mid - 1*6.570291)/(-z_sigma__f3_mid*z_sigma__f3_mid - 0.0046468284) + z_sigma__f3_mid)*0.103564985,ok,0.056030291013130555,0.0403853440870244,0.25412282499657063,0.9131438240926381,0.003273632649059922,-0.12054092090479952,1.0714975457976574
2,pysr_hall_of_fame,1,0.005673654,0.0,0.00030034705,0.000300347050000000,ok,0.06999211746112631,0.05402155025676757,0.25460940052563075,0.8644644530084752,0.0032871575300042768,0.0729830106725841,1.0717979062863623
3,pysr_hall_of_fame,3,0.0042818845,0.14072006909608956,z_sigma__f3_mid * 0.091268376,z_sigma__f3_mid*0.091268376,ok,0.05786371512582988,0.04136675981030747,0.2567839345113093,0.9073666060873257,0.0042261065622840625,-0.09565503450652253,1.0714975610936674
4,pysr_hall_of_fame,7,0.0042114863,0.004144397664132571,(z_sigma__f3_mid - (z_lambda__f3_mid * 0.24352877)) * 0.09332477,(-0.24352877*z_lambda__f3_mid + z_sigma__f3_mid)*0.09332477,ok,0.057400327319138265,0.0417296786979011,0.2569021433268883,0.9088443303249742,0.0033197556254036223,-0.1283582123042062,1.0714975607590373
5,pysr_hall_of_fame,11,0.004136248,0.0045066322616113385,(z_sigma__f3_mid - (((z_sigma__f3_mid * -0.27317205) - -0.23407854) * z_lambda__f3_mid)) * 0.09484392,(-z_lambda__f3_mid*(z_sigma__f3_mid*(-0.27317205) - 1*(-0.23407854)) + z_sigma__f3_mid)*0.09484392,ok,0.05689328706785748,0.04095242032187716,0.25693335795084327,0.9104476471577181,0.0032498301664148,-0.20168747291796946,1.071497560798671
6,pysr_hall_of_fame,13,0.0041361647,1.0069613669442002e-05,(z_sigma__f3_mid * 0.09306983) - (((z_sigma__f3_mid - 0.74916774) * -0.04120933) * (z_lambda__f3_mid * 0.6597219)),-(-0.04120933)*0.6597219*z_lambda__f3_mid*(z_sigma__f3_mid - 1*0.74916774) + z_sigma__f3_mid*0.09306983,ok,0.05690740406607341,0.040979383815565276,0.2568908851372257,0.9104032001828471,0.0032955794044626043,-0.1989974532724917,1.0714975607929407
7,pysr_hall_of_fame,15,0.004135877,3.477980534317517e-05,((z_sigma__f3_mid * 0.09323461) - (((z_sigma__f3_mid - 0.8983218) * -0.073376805) * (z_lambda__f3_mid * 0.3375317))) + 0.0005005164,-(-0.073376805)*0.3375317*z_lambda__f3_mid*(z_sigma__f3_mid - 1*0.8983218) + z_sigma__f3_mid*0.09323461 + 0.0005005164,ok,0.056927747091660603,0.041053380505545044,0.25639987598028313,0.9103391313397351,0.003731472969281356,-0.1945946498948159,1.0719980771651296
8,pysr_hall_of_fame,19,0.0041357167,9.689789285682648e-06,(z_sigma__f3_mid - (z_lambda__f3_mid * ((((((-0.3404877 - z_sigma__f3_mid) * -0.33735892) - z_sigma__f3_mid) * 0.4141484) - -0.3319729) + -0.13473377))) * 0.09314649,(-z_lambda__f3_mid*((-z_sigma__f3_mid + (-z_sigma__f3_mid - 0.3404877)*(-0.33735892))*0.4141484 - 0.13473377 - 1*(-0.3319729)) + z_sigma__f3_mid)*0.09314649,ok,0.05690341438128437,0.04100093597965689,0.25690049138254223,0.9104157627119124,0.003203519687594304,-0.197757611088775,1.0714975607541504
9,pysr_hall_of_fame,21,0.0041356576,7.1451246017153365e-06,(z_sigma__f3_mid - (z_lambda__f3_mid * (((0.09314649 - ((z_sigma__f3_mid * 0.6435436) - z_sigma__f3_mid)) * 0.4141484) + (0.19723913 - (z_sigma__f3_mid * 0.4141484))))) * 0.09314649,(-z_lambda__f3_mid*(-0.4141484*z_sigma__f3_mid + (0.09314649 - (-z_sigma__f3_mid + z_sigma__f3_mid*0.6435436))*0.4141484 + 0.19723913) + z_sigma__f3_mid)*0.09314649,ok,0.0568968148470678,0.040974170514442444,0.2568976396236038,0.9104365410768596,0.0032411535888130366,-0.1947099592182865,1.07149756076803
10,pysr_hall_of_fame,24,0.0041356278,2.4018838314079604e-06,(z_sigma__f3_mid - (z_lambda__f3_mid * (((0.09314649 - ((z_sigma__f3_mid * 0.6435436) - z_sigma__f3_mid)) * sqrt(0.13289389)) + ((-0.13473377 - (z_sigma__f3_mid * 0.4141484)) - -0.3319729)))) * 0.09314649,-0.09314649*z_lambda__f3_mid*(0.231195323615429 - 0.284203594416249*z_sigma__f3_mid) + 0.09314649*z_sigma__f3_mid,ok,0.056902899168058726,0.040983757365368766,0.2568963139153611,0.9104173849265165,0.0032517134141984106,-0.19866675326364797,1.071497560775159
