branch,result_origin,seed,lower_hz,upper_hz,row_count,rmse,mae,bias
a,saved_F3-C,42,100.0,700.0,2400,0.07292826157456035,0.05771140129744831,-0.014650416882659284
a,saved_F3-C,42,700.0,1000.0,1200,0.04400988983553049,0.03466116389063753,0.027804806668652145
a,saved_F3-C,42,1000.0,1300.0,1200,0.0383999183340061,0.02583649965230189,0.022439161287360607
a,saved_F3-C,42,1300.0,1650.0,1350,0.02464446850790688,0.015616108565423071,0.007332138237810324
a,saved_F3-C,42,1650.0,2000.0,1350,0.036096531752300307,0.020019803373858162,0.00015854266678775328
a,saved_F3-C,42,2000.0,3000.0,3900,0.052607819731861696,0.037832890043462915,0.004887650988190346
a,saved_F3-C,42,3000.0,4000.0,4050,0.06646855574054762,0.050462494446741696,6.009711646627898e-05
a,saved_F3-C,42,4000.0,4950.0,3750,0.06561916288118592,0.04875550637476762,0.007108181652859132
a,saved_F3-C,42,1300.0,2000.0,2700,0.030905577430150356,0.017817955969640618,0.0037453404522990383
a,saved_F3-C,123,100.0,700.0,2400,0.07293887242977098,0.05772474045745065,-0.014649329419568709
a,saved_F3-C,123,700.0,1000.0,1200,0.04397493209120091,0.03480825960565617,0.02784523872265518
a,saved_F3-C,123,1000.0,1300.0,1200,0.03764286100901118,0.025734080360806887,0.022817473414682654
a,saved_F3-C,123,1300.0,1650.0,1350,0.02511607909684046,0.01603969754281091,0.008742641053902942
a,saved_F3-C,123,1650.0,2000.0,1350,0.03641251627066621,0.019390835816611603,0.0015187670743075307
a,saved_F3-C,123,2000.0,3000.0,3900,0.0523224648688453,0.03729731950465936,0.005149369649309334
a,saved_F3-C,123,3000.0,4000.0,4050,0.06662438875104011,0.05056210561662617,7.739873925712654e-05
a,saved_F3-C,123,4000.0,4950.0,3750,0.06564575880356341,0.048775389062679704,0.007110811230315645
a,saved_F3-C,123,1300.0,2000.0,2700,0.03127849716946355,0.017715266679711256,0.0051307040641052366
a,saved_F3-C,456,100.0,700.0,2400,0.07201276134105074,0.05651088818404346,-0.014762580917032479
a,saved_F3-C,456,700.0,1000.0,1200,0.04552502057079296,0.03221529120955306,0.02516745177701268
a,saved_F3-C,456,1000.0,1300.0,1200,0.04080645459375868,0.027507351345573975,0.021679421569747368
a,saved_F3-C,456,1300.0,1650.0,1350,0.026078501923696793,0.017775387808226906,0.007779969570077995
a,saved_F3-C,456,1650.0,2000.0,1350,0.03627153727753544,0.020211739444544463,0.0005867974656151542
a,saved_F3-C,456,2000.0,3000.0,3900,0.05407183414772691,0.03964556022446081,0.0033173531208911915
a,saved_F3-C,456,3000.0,4000.0,4050,0.05930101108226055,0.045887007258550785,-0.0019354833303465567
a,saved_F3-C,456,4000.0,4950.0,3750,0.0632581013061393,0.04703003138646467,0.0068462900973222844
a,saved_F3-C,456,1300.0,2000.0,2700,0.03158886416967141,0.018993563626385688,0.004183383517846575
e1,new_F3-E1,42,100.0,700.0,2400,0.07293172051905908,0.05771575182608127,-0.014650062446801086
e1,new_F3-E1,42,700.0,1000.0,1200,0.04399543871072527,0.03470770602322748,0.0278169734485934
e1,new_F3-E1,42,1000.0,1300.0,1200,0.03799351436921125,0.025715160984765475,0.022525581203817282
e1,new_F3-E1,42,1300.0,1650.0,1350,0.02470522903806444,0.01573659158743147,0.008018316302604071
e1,new_F3-E1,42,1650.0,2000.0,1350,0.03612785235365317,0.01946069136703393,0.0007945282920211141
e1,new_F3-E1,42,2000.0,3000.0,3900,0.05243691281042683,0.037549250826265916,0.004950233403405602
e1,new_F3-E1,42,3000.0,4000.0,4050,0.06651948804294121,0.0504950660534777,6.56514938114083e-05
e1,new_F3-E1,42,4000.0,4950.0,3750,0.06562783414059828,0.04876198882494633,0.007109038923349368
e1,new_F3-E1,42,1300.0,2000.0,2700,0.03094810218341817,0.0175986414772327,0.004406422297312592
e1,new_F3-E1,123,100.0,700.0,2400,0.0546698192801432,0.039703810711931894,-0.018698870381958308
e1,new_F3-E1,123,700.0,1000.0,1200,0.04838040470394125,0.03384792817362783,0.023939241433531235
e1,new_F3-E1,123,1000.0,1300.0,1200,0.04519648333341825,0.03167599737853486,0.019399738797509083
e1,new_F3-E1,123,1300.0,1650.0,1350,0.028830130051933685,0.021028839965195247,0.005300840497375836
e1,new_F3-E1,123,1650.0,2000.0,1350,0.03863369355330937,0.024248437701365796,-0.0019023486444530392
e1,new_F3-E1,123,2000.0,3000.0,3900,0.05704177260276154,0.043568500274714955,0.001584422107698544
e1,new_F3-E1,123,3000.0,4000.0,4050,0.056750045465142424,0.04465314702793292,-0.003909797542142833
e1,new_F3-E1,123,4000.0,4950.0,3750,0.05811161260695021,0.04312427351350085,0.003067271390850009
e1,new_F3-E1,123,1300.0,2000.0,2700,0.034086204514307744,0.02263863883328052,0.0016992459264613983
e1,new_F3-E1,456,100.0,700.0,2400,0.07201276134105074,0.05651088818404346,-0.014762580917032479
e1,new_F3-E1,456,700.0,1000.0,1200,0.04552502057079296,0.03221529120955306,0.02516745177701268
e1,new_F3-E1,456,1000.0,1300.0,1200,0.04080645459375868,0.027507351345573975,0.021679421569747368
e1,new_F3-E1,456,1300.0,1650.0,1350,0.026078501923696793,0.017775387808226906,0.007779969570077995
e1,new_F3-E1,456,1650.0,2000.0,1350,0.03627153727753544,0.020211739444544463,0.0005867974656151542
e1,new_F3-E1,456,2000.0,3000.0,3900,0.05407183414772691,0.03964556022446081,0.0033173531208911915
e1,new_F3-E1,456,3000.0,4000.0,4050,0.05930101108226055,0.045887007258550785,-0.0019354833303465567
