model,lower_hz,upper_hz,row_count,rmse,mae,bias
formal_Re_F1,100.0,700.0,2400,0.0728056266670498,0.05755686783925331,-0.014663104499207285
formal_Re_F1,700.0,1000.0,1200,0.04544491052184621,0.03418260514755525,0.027356761283747824
formal_Re_F1,1000.0,1300.0,1200,0.06651851844199297,0.05081275153805298,0.02004850869810642
formal_Re_F1,1300.0,1650.0,1350,0.08807740122553251,0.07432354595860732,0.0026373388185151505
formal_Re_F1,1650.0,2000.0,1350,0.09383708894027783,0.07937062877759993,-0.004470664775111991
formal_Re_F1,2000.0,3000.0,3900,0.06827285179699469,0.05315994656697831,0.0031160677742184473
formal_Re_F1,3000.0,4000.0,4050,0.06474804083095217,0.049346312584718346,-0.00013985196458844257
formal_Re_F1,4000.0,4950.0,3750,0.06531065827411411,0.048525954440334605,0.0070774971238644095
formal_Re_F1,1300.0,2000.0,2700,0.09100282376780693,0.07684708736810363,-0.0009166629782984219
formal_Re_F3_candidate,100.0,700.0,2400,0.05230941385799926,0.037960597565155296,-0.01954528415311546
formal_Re_F3_candidate,700.0,1000.0,1200,0.046770068356858235,0.03262781631190847,0.023976353214515828
formal_Re_F3_candidate,1000.0,1300.0,1200,0.0392427630983512,0.02773845365759944,0.022938375833289393
formal_Re_F3_candidate,1300.0,1650.0,1350,0.028336036800518695,0.019819326894056247,0.011048131677453525
formal_Re_F3_candidate,1650.0,2000.0,1350,0.038180804943488904,0.020993749308642402,0.0038198581242730465
formal_Re_F3_candidate,2000.0,3000.0,3900,0.053571581276788176,0.038206224016010905,0.004046618628788928
formal_Re_F3_candidate,3000.0,4000.0,4050,0.057192511893921605,0.045240967830236796,-0.004393816160857554
formal_Re_F3_candidate,4000.0,4950.0,3750,0.05855169506725835,0.043855143370710704,0.0022530884804731347
formal_Re_F3_candidate,1300.0,2000.0,2700,0.03362071420785924,0.020406538101349323,0.007433994900863284
