candidate_index,candidate_source,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2,bias,prediction_min,prediction_max
0,explicit_zero_residual_fallback,0,,,0.0,0.0,ok,0.06997865488067417,0.0539982673677811,0.2549097475756308,0.864516586956995,0.002986810480004279,0.0726826636225841,1.0714975592363623
1,pysr_hall_of_fame,1,0.005673653,0.0,0.0002631839,0.000263183900000000,ok,0.06999038195020155,0.05401860769916316,0.25464656367563077,0.8644711743512421,0.003249994380004293,0.07294584752258411,1.0717607431363623
2,pysr_hall_of_fame,3,0.004281884,0.14072003935496408,z_sigma__f3_mid * 0.091197625,z_sigma__f3_mid*0.091197625,ok,0.05786566073902774,0.04137093077156223,0.2567824816466293,0.9073603765604666,0.004225145863288855,-0.09549946277650274,1.0714975610922277
3,pysr_hall_of_fame,5,0.0042818547,3.4214028505909104e-06,(z_sigma__f3_mid * 0.09131265) + 6.69572e-5,z_sigma__f3_mid*0.09131265 + 6.69572e-5,ok,0.05786743381768367,0.041375877830107995,0.25671788647345317,0.9073546992778281,0.004293664940886679,-0.09568542975065615,1.0715645182945683
4,pysr_hall_of_fame,7,0.0042799846,0.00021842269683097957,(z_sigma__f3_mid * -2.906929) / (z_sigma__f3_mid + -31.378103),z_sigma__f3_mid*(-2.906929)/(z_sigma__f3_mid - 31.378103),ok,0.05790974833003957,0.04143007874629499,0.2568108967682231,0.907219159345749,0.0046882635598988805,-0.08533515499649445,1.0714975611216198
5,pysr_hall_of_fame,9,0.0042789257,0.00012371902126402477,(z_sigma__f3_mid * -4.196377) / (-44.352028 - (z_sigma__f3_mid * z_sigma__f3_mid)),z_sigma__f3_mid*(-4.196377)/(-z_sigma__f3_mid*z_sigma__f3_mid - 44.352028),ok,0.05784999480377146,0.041313796341665626,0.2568526431969135,0.9074105303087001,0.004342225967410324,-0.08256375143229609,1.0714975611617756
6,pysr_hall_of_fame,10,0.0036658393,0.15464466019991352,z_sigma__f3_mid * ((-0.02866452 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - -0.12705992),z_sigma__f3_mid*(0.12705992 - 0.02866452/sqrt(z_sigma__f3_mid**2)),ok,0.05297974877761462,0.03878510336819436,0.25930987171035275,0.9223440499404463,0.0008901693518094121,-0.14569120312096134,1.0428330418220229
7,pysr_hall_of_fame,12,0.0036416755,0.003306717637028261,(z_sigma__f3_mid * ((-0.029275147 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - -0.1258218)) - -0.0048447847,z_sigma__f3_mid*(0.1258218 - 0.029275147/sqrt(z_sigma__f3_mid**2)) + 0.0048447847,ok,0.05336660135829801,0.039247169953261205,0.2521689916752641,0.9212058382660591,0.005636725191578287,-0.13751333562002394,1.0470671994968273
8,pysr_hall_of_fame,14,0.0036413895,3.926918133335121e-05,((((0.13614485 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.580563) * z_sigma__f3_mid) / -4.555435) + 0.0053555346,-0.219518004317919*z_sigma__f3_mid*(-0.580563 + 0.13614485/sqrt(z_sigma__f3_mid**2)) + 0.0053555346,ok,0.053401705698839376,0.0392952115658344,0.25325975007977497,0.921102143192611,0.006088022871095392,-0.13995855038458332,1.0469668506596772
9,pysr_hall_of_fame,16,0.0036401155,0.00017496383137826713,z_sigma__f3_mid * (((0.08323676 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.37151352) / ((z_sigma__f3_mid * 0.25585827) + -2.8118165)),z_sigma__f3_mid*(-0.37151352 + 0.08323676/sqrt(z_sigma__f3_mid**2))/(0.25585827*z_sigma__f3_mid - 2.8118165),ok,0.053086354056341455,0.03913931507799949,0.24972891429079602,0.9220312185895742,0.0020863356520832285,-0.11239001691363999,1.0418950753637992
