complexity,loss,equation,score,sympy_format,lambda_format
1,0.005673653,0.0002631839,0.0,0.000263183900000000,PySRFunction(X=>0.000263183900000000)
3,0.004281884,z_sigma__f3_mid * 0.091197625,0.14072003935496408,z_sigma__f3_mid*0.091197625,PySRFunction(X=>z_sigma__f3_mid*0.091197625)
5,0.0042818547,(z_sigma__f3_mid * 0.09131265) + 6.69572e-5,3.4214028505909104e-06,z_sigma__f3_mid*0.09131265 + 6.69572e-5,PySRFunction(X=>z_sigma__f3_mid*0.09131265 + 6.69572e-5)
7,0.0042799846,(z_sigma__f3_mid * -2.906929) / (z_sigma__f3_mid + -31.378103),0.00021842269683097957,z_sigma__f3_mid*(-2.906929)/(z_sigma__f3_mid - 31.378103),PySRFunction(X=>z_sigma__f3_mid*(-2.906929)/(z_sigma__f3_mid - 31.378103))
9,0.0042789257,(z_sigma__f3_mid * -4.196377) / (-44.352028 - (z_sigma__f3_mid * z_sigma__f3_mid)),0.00012371902126402477,z_sigma__f3_mid*(-4.196377)/(-z_sigma__f3_mid*z_sigma__f3_mid - 44.352028),PySRFunction(X=>z_sigma__f3_mid*(-4.196377)/(-z_sigma__f3_mid*z_sigma__f3_mid - 44.352028))
10,0.0036658393,z_sigma__f3_mid * ((-0.02866452 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - -0.12705992),0.15464466019991352,z_sigma__f3_mid*(0.12705992 - 0.02866452/sqrt(z_sigma__f3_mid**2)),PySRFunction(X=>z_sigma__f3_mid*(0.12705992 - 0.02866452/sqrt(z_sigma__f3_mid**2)))
12,0.0036416755,(z_sigma__f3_mid * ((-0.029275147 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - -0.1258218)) - -0.0048447847,0.003306717637028261,z_sigma__f3_mid*(0.1258218 - 0.029275147/sqrt(z_sigma__f3_mid**2)) + 0.0048447847,PySRFunction(X=>z_sigma__f3_mid*(0.1258218 - 0.029275147/sqrt(z_sigma__f3_mid**2)) + 0.0048447847)
14,0.0036413895,((((0.13614485 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.580563) * z_sigma__f3_mid) / -4.555435) + 0.0053555346,3.926918133335121e-05,-0.219518004317919*z_sigma__f3_mid*(-0.580563 + 0.13614485/sqrt(z_sigma__f3_mid**2)) + 0.0053555346,PySRFunction(X=>-0.219518004317919*z_sigma__f3_mid*(-0.580563 + 0.13614485/sqrt(z_sigma__f3_mid**2)) + 0.0053555346)
16,0.0036401155,z_sigma__f3_mid * (((0.08323676 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.37151352) / ((z_sigma__f3_mid * 0.25585827) + -2.8118165)),0.00017496383137826713,z_sigma__f3_mid*(-0.37151352 + 0.08323676/sqrt(z_sigma__f3_mid**2))/(0.25585827*z_sigma__f3_mid - 2.8118165),PySRFunction(X=>z_sigma__f3_mid*(-0.37151352 + 0.08323676/sqrt(z_sigma__f3_mid**2))/(0.25585827*z_sigma__f3_mid - 2.8118165))
17,0.0035268208,(z_sigma__f3_mid / sqrt(sqrt(z_sigma__f3_mid * z_sigma__f3_mid))) * ((-0.04788096 / sqrt(sqrt(z_sigma__f3_mid * z_sigma__f3_mid))) - -0.14268242),0.03161857000349668,z_sigma__f3_mid*(0.14268242 - 0.04788096/(z_sigma__f3_mid**2)**(1/4))/(z_sigma__f3_mid**2)**(1/4),PySRFunction(X=>z_sigma__f3_mid*(0.14268242 - 0.04788096/(z_sigma__f3_mid**2)**(1/4))/(z_sigma__f3_mid**2)**(1/4))
19,0.0035040413,(z_sigma__f3_mid * ((0.052617513 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) + -0.3566766)) / ((sqrt(z_sigma__f3_mid * z_sigma__f3_mid) * -1.6001033) + -1.4250554),0.0032399411883041423,z_sigma__f3_mid*(-0.3566766 + 0.052617513/sqrt(z_sigma__f3_mid**2))/(-1.6001033*sqrt(z_sigma__f3_mid**2) - 1.4250554),PySRFunction(X=>z_sigma__f3_mid*(-0.3566766 + 0.052617513/sqrt(z_sigma__f3_mid**2))/(-1.6001033*sqrt(z_sigma__f3_mid**2) - 1.4250554))
21,0.0034930855,((z_sigma__f3_mid * ((0.046520136 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.31753007)) / ((sqrt(z_sigma__f3_mid * z_sigma__f3_mid) * -1.4187653) + -1.2265295)) + 0.0024237665,0.0015657582413790233,z_sigma__f3_mid*(-0.31753007 + 0.046520136/sqrt(z_sigma__f3_mid**2))/(-1.4187653*sqrt(z_sigma__f3_mid**2) - 1.2265295) + 0.0024237665,PySRFunction(X=>z_sigma__f3_mid*(-0.31753007 + 0.046520136/sqrt(z_sigma__f3_mid**2))/(-1.4187653*sqrt(z_sigma__f3_mid**2) - 1.2265295) + 0.0024237665)
23,0.0034776933,(((((0.047465317 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.31094784) * z_sigma__f3_mid) + -0.027308322) / ((sqrt(z_sigma__f3_mid * z_sigma__f3_mid) * -1.4044532) + -1.2273693)) - 0.014993926,0.0022081069357837387,(z_sigma__f3_mid*(-0.31094784 + 0.047465317/sqrt(z_sigma__f3_mid**2)) - 0.027308322)/(-1.4044532*sqrt(z_sigma__f3_mid**2) - 1.2273693) - 0.014993926,PySRFunction(X=>(z_sigma__f3_mid*(-0.31094784 + 0.047465317/sqrt(z_sigma__f3_mid**2)) - 0.027308322)/(-1.4044532*sqrt(z_sigma__f3_mid**2) - 1.2273693) - 0.014993926)
