Complexity,Loss,Equation
1,0.005673653,"0.0002631839"
3,0.004281884,"z_sigma__f3_mid * 0.091197625"
5,0.0042818547,"(z_sigma__f3_mid * 0.09131265) + 6.69572e-5"
7,0.0042799846,"(z_sigma__f3_mid * -2.906929) / (z_sigma__f3_mid + -31.378103)"
9,0.0042789257,"(z_sigma__f3_mid * -4.196377) / (-44.352028 - (z_sigma__f3_mid * z_sigma__f3_mid))"
10,0.0036658393,"z_sigma__f3_mid * ((-0.02866452 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - -0.12705992)"
12,0.0036416755,"(z_sigma__f3_mid * ((-0.029275147 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - -0.1258218)) - -0.0048447847"
14,0.0036413895,"((((0.13614485 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.580563) * z_sigma__f3_mid) / -4.555435) + 0.0053555346"
16,0.0036401155,"z_sigma__f3_mid * (((0.08323676 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.37151352) / ((z_sigma__f3_mid * 0.25585827) + -2.8118165))"
17,0.0035268208,"(z_sigma__f3_mid / sqrt(sqrt(z_sigma__f3_mid * z_sigma__f3_mid))) * ((-0.04788096 / sqrt(sqrt(z_sigma__f3_mid * z_sigma__f3_mid))) - -0.14268242)"
19,0.0035040413,"(z_sigma__f3_mid * ((0.052617513 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) + -0.3566766)) / ((sqrt(z_sigma__f3_mid * z_sigma__f3_mid) * -1.6001033) + -1.4250554)"
21,0.0034930855,"((z_sigma__f3_mid * ((0.046520136 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.31753007)) / ((sqrt(z_sigma__f3_mid * z_sigma__f3_mid) * -1.4187653) + -1.2265295)) + 0.0024237665"
23,0.0034776933,"(((((0.047465317 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.31094784) * z_sigma__f3_mid) + -0.027308322) / ((sqrt(z_sigma__f3_mid * z_sigma__f3_mid) * -1.4044532) + -1.2273693)) - 0.014993926"
