candidate_index,candidate_source,complexity,validation_rmse,equation,expression_for_eval,observed_train_validation_eval_ok,parse_status,continuous_domain,all_real_continuous_and_finite,value_at_zero,left_limit_at_zero,right_limit_at_zero,continuous_at_zero,zero_terminal_gives_exact_zero_residual,safety_eligible,eligible_for_safety_first_selection,selected_by_safety_first_policy
0,explicit_zero_residual_fallback,0,0.0699786548806741,0.0,0.0,True,ok,Reals,True,0.0,0.0,0.0,True,False,False,False,False
1,pysr_hall_of_fame,1,0.0699903819502015,0.0002631839,0.000263183900000000,True,ok,Reals,True,0.000263183900000000,0.000263183900000000,0.000263183900000000,True,False,False,False,False
2,pysr_hall_of_fame,3,0.0578656607390277,z_sigma__f3_mid * 0.091197625,z_sigma__f3_mid*0.091197625,True,ok,Reals,True,0,0,0,True,True,True,True,False
3,pysr_hall_of_fame,5,0.0578674338176836,(z_sigma__f3_mid * 0.09131265) + 6.69572e-5,z_sigma__f3_mid*0.09131265 + 6.69572e-5,True,ok,Reals,True,6.69572000000000e-5,167393/2500000000,167393/2500000000,True,False,False,False,False
4,pysr_hall_of_fame,7,0.0579097483300395,(z_sigma__f3_mid * -2.906929) / (z_sigma__f3_mid + -31.378103),z_sigma__f3_mid*(-2.906929)/(z_sigma__f3_mid - 31.378103),True,ok,"Union(Interval.open(-oo, 31.3781030000000), Interval.open(31.3781030000000, oo))",False,0,0,0,True,True,False,False,False
5,pysr_hall_of_fame,9,0.0578499948037714,(z_sigma__f3_mid * -4.196377) / (-44.352028 - (z_sigma__f3_mid * z_sigma__f3_mid)),z_sigma__f3_mid*(-4.196377)/(-z_sigma__f3_mid*z_sigma__f3_mid - 44.352028),True,ok,Reals,True,0,0,0,True,True,True,True,True
6,pysr_hall_of_fame,10,0.0529797487776146,z_sigma__f3_mid * ((-0.02866452 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - -0.12705992),z_sigma__f3_mid*(0.12705992 - 0.02866452/sqrt(z_sigma__f3_mid**2)),True,ok,"Union(Interval.open(-oo, 0), Interval.open(0, oo))",False,nan,716613/25000000,-716613/25000000,False,False,False,False,False
7,pysr_hall_of_fame,12,0.053366601358298,(z_sigma__f3_mid * ((-0.029275147 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - -0.1258218)) - -0.0048447847,z_sigma__f3_mid*(0.1258218 - 0.029275147/sqrt(z_sigma__f3_mid**2)) + 0.0048447847,True,ok,"Union(Interval.open(-oo, 0), Interval.open(0, oo))",False,nan,341199317/10000000000,-244303623/10000000000,False,False,False,False,False
8,pysr_hall_of_fame,14,0.0534017056988393,((((0.13614485 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.580563) * z_sigma__f3_mid) / -4.555435) + 0.0053555346,-0.219518004317919*z_sigma__f3_mid*(-0.580563 + 0.13614485/sqrt(z_sigma__f3_mid**2)) + 0.0053555346,True,ok,"Union(Interval.open(-oo, 0), Interval.open(0, oo))",False,nan,704835607403248691343/20000000000000000000000,-490614223403248691343/20000000000000000000000,False,False,False,False,False
9,pysr_hall_of_fame,16,0.0530863540563414,z_sigma__f3_mid * (((0.08323676 / sqrt(z_sigma__f3_mid * z_sigma__f3_mid)) - 0.37151352) / ((z_sigma__f3_mid * 0.25585827) + -2.8118165)),z_sigma__f3_mid*(-0.37151352 + 0.08323676/sqrt(z_sigma__f3_mid**2))/(0.25585827*z_sigma__f3_mid - 2.8118165),True,ok,"Union(Interval.open(-oo, 0), Interval.open(0, 10.9897424851657), Interval.open(10.9897424851657, oo))",False,nan,4161838/140590825,-4161838/140590825,False,False,False,False,False
