"target","category","folder","selected_candidate","complexity","validation_rmse","validation_mae","validation_r2","test_rmse","test_mae","test_r2","test_rows_accessed","split_hash"
"im","formal_test","eval\im_formal\20260816_f2_im_f2_formal_v","14","23","0.06675302749823202","0.050469632784510186","0.66688806380266","0.06303179171217158","0.048076400687495885","0.6672655222882877","True","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i1_c600_t10_v","9","18","0.08597782031272304","0.06562357114214888","0.4473869689949663",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i1_c600_t16_v","9","23","0.08377828931451783","0.06433755139811836","0.475299791936465",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i1_c600_t22_v","12","22","0.09411018355945994","0.06917015794521755","0.33790318142633424",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i1_c750_t10_v","7","17","0.07970591614142429","0.05959079943327827","0.5250702489761168",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i1_c750_t16_v","9","22","0.08160144185004686","0.06218951730847292","0.5022125706211922",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i1_c750_t22_v","10","23","0.08557247369700943","0.06534429271242294","0.45258532810843444",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i1_c900_t10_v","10","21","0.06306685139172807","0.048188303625582116","0.7026619020879316",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i1_c900_t16_v","10","23","0.0824913507888573","0.059909224998639085","0.4912960727258311",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i1_c900_t22_v","5","9","0.08779114442599774","0.0677371439768256","0.4238312746379891",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i2_l0_v","10","21","0.06306685139172807","0.048188303625582116","0.7026619020879316",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i2_l1_v","8","10","0.08125825321899185","0.0635998817382805","0.5063908239682164",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"im","validation_screen","eval\im_screen\20260816_f2_im_i2_l2_v","7","13","0.08849568830871517","0.06831096055223787","0.4145463970240276",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"re","validation_screen","eval\re_screen\20260816_f2_r1_c1500_t12_v","11","19","0.09884278199097005","0.07357795223540928","0.7297007324317201",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"re","validation_screen","eval\re_screen\20260816_f2_r1_c1500_t18_v","5","9","0.09713563824774801","0.06468699712458291","0.7389569443977851",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"re","validation_screen","eval\re_screen\20260816_f2_r1_c1500_t24_v","5","18","0.09624156864417753","0.07083974083373673","0.7437402878077352",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"re","validation_screen","eval\re_screen\20260816_f2_r1_c1800_t12_v","11","22","0.08446774869613588","0.06232108431548575","0.8026047097379125",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"re","validation_screen","eval\re_screen\20260816_f2_r1_c1800_t18_v","10","19","0.0951210054074263","0.06528181777346173","0.7496729322710426",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"re","validation_screen","eval\re_screen\20260816_f2_r1_c1800_t24_v","7","16","0.09618259856079281","0.06461963513934746","0.7440542275559602",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"re","validation_screen","eval\re_screen\20260816_f2_r1_c2100_t12_v","7","15","0.09578216868239425","0.06386608512103675","0.7461809114889403",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"re","validation_screen","eval\re_screen\20260816_f2_r1_c2100_t18_v","12","22","0.08889897612040636","0.06785428011636987","0.7813505112137422",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
"re","validation_screen","eval\re_screen\20260816_f2_r1_c2100_t24_v","9","16","0.09662706133811556","0.0657310768369498","0.7416832953696872",,,,"False","cdd4e1c726bf5f980a911bc50ce3fd37d7e9023df3adee6f7de81e12a365d5f0"
