complexity,loss,equation,score,sympy_format,lambda_format
1,0.014305179,-0.20809913,0.0,-0.208099130000000,PySRFunction(X=>-0.208099130000000)
3,0.014304641,-0.2080053 - lambda_var,1.8804732083698667e-05,-lambda_var - 0.2080053,PySRFunction(X=>-lambda_var - 0.2080053)
4,0.01233334,-1.574118 / log(f),0.14827786555041383,-1.574118/log(f),PySRFunction(X=>-1.574118/log(f))
5,0.010358939,(f / sigma) + -0.26708558,0.17445634605716784,f/sigma - 0.26708558,PySRFunction(X=>f/sigma - 0.26708558)
7,0.010170158,((f * 1.2717403) / sigma) + -0.28311455,0.009196036314840627,f*1.2717403/sigma - 0.28311455,PySRFunction(X=>f*1.2717403/sigma - 0.28311455)
9,0.009712473,-0.30512083 - (f / ((sigma * -0.5123006) - f)),0.02302340503126912,-f/(-f + sigma*(-0.5123006)) - 0.30512083,PySRFunction(X=>-f/(-f + sigma*(-0.5123006)) - 0.30512083)
11,0.009688942,-0.30505553 - (f / ((-0.5122887 * sigma) - (f * 1.0603014))),0.0012128502760276388,-f/(-1.0603014*f - 0.5122887*sigma) - 0.30505553,PySRFunction(X=>-f/(-1.0603014*f - 0.5122887*sigma) - 0.30505553)
13,0.009171554,((sigma * 1.2789401e-6) - (f / ((sigma * -0.364705) - f))) + -0.40647435,0.027439248827759548,-f/(-f + sigma*(-0.364705)) + sigma*1.2789401e-6 - 0.40647435,PySRFunction(X=>-f/(-f + sigma*(-0.364705)) + sigma*1.2789401e-6 - 0.40647435)
15,0.009171121,(-0.40647435 - ((f / ((sigma * -0.364705) - f)) + lambda_var)) + (sigma * 1.2805109e-6),2.3606153414358332e-05,sigma*1.2805109e-6 - (f/(-f + sigma*(-0.364705)) + lambda_var) - 0.40647435,PySRFunction(X=>sigma*1.2805109e-6 - (f/(-f + sigma*(-0.364705)) + lambda_var) - 0.40647435)
17,0.009170699,((-0.40647435 - (lambda_var + (f / ((sigma * -0.364705) - f)))) + (sigma * 1.2805109e-6)) - lambda_var,2.3007531426898508e-05,-lambda_var + sigma*1.2805109e-6 - (f/(-f + sigma*(-0.364705)) + lambda_var) - 0.40647435,PySRFunction(X=>-lambda_var + sigma*1.2805109e-6 - (f/(-f + sigma*(-0.364705)) + lambda_var) - 0.40647435)
21,0.008886856,(sigma * 9.857865e-7) + (-0.4015962 - ((f / ((sigma * -0.35781506) - f)) + (((sigma * -0.0002471701) - -1.2873037) / f))),0.007860044752008933,sigma*9.857865e-7 - (f/(-f + sigma*(-0.35781506)) + (sigma*(-0.0002471701) - 1*(-1.2873037))/f) - 0.4015962,PySRFunction(X=>sigma*9.857865e-7 - (f/(-f + sigma*(-0.35781506)) + (sigma*(-0.0002471701) - 1*(-1.2873037))/f) - 0.4015962)
24,0.008689448,-1.3306592 - ((f + sigma) / (((f + (f * (3.05494 / ((sigma / (sqrt(f) - f)) + 1.5223249)))) * alpha_infinity) - sigma)),0.007487971736976255,-(f + sigma)/(alpha_infinity*(f + 3.05494*f/(sigma/(sqrt(f) - f) + 1.5223249)) - sigma) - 1.3306592,PySRFunction(X=>-(f + sigma)/(alpha_infinity*(f + 3.05494*f/(sigma/(sqrt(f) - f) + 1.5223249)) - sigma) - 1.3306592)
