complexity,loss,equation,score,sympy_format,lambda_format
1,0.014305177,-0.20810585,0.0,-0.208105850000000,PySRFunction(X=>-0.208105850000000)
3,0.01233334,-0.6836324 / log10_f,0.07415766760253308,-0.6836324/log10_f,PySRFunction(X=>-0.6836324/log10_f)
5,0.010647079,(log10_f - log10_sigma) * 0.14834973,0.0735102911405354,(log10_f - log10_sigma)*0.14834973,PySRFunction(X=>(log10_f - log10_sigma)*0.14834973)
7,0.010403495,((log10_f - log10_sigma) * 0.7042159) / log10_sigma,0.011571887425271184,(log10_f - log10_sigma)*0.7042159/log10_sigma,PySRFunction(X=>(log10_f - log10_sigma)*0.7042159/log10_sigma)
8,0.01007667,((-14.249955 / log10_f) * log(log10_f)) - -4.92393,0.031918956464472625,4.92393 - 14.249955*log(log10_f)/log10_f,PySRFunction(X=>4.92393 - 14.249955*log(log10_f)/log10_f)
10,0.009734318,(log(log10_f) * (log10_f + (0.5228918 - log10_sigma))) / log10_sigma,0.01728263552375331,(log10_f - log10_sigma + 0.5228918)*log(log10_f)/log10_sigma,PySRFunction(X=>(log10_f - log10_sigma + 0.5228918)*log(log10_f)/log10_sigma)
11,0.009687361,(log10_f * (((log10_f / 0.8905333) - log10_sigma) * 0.3154891)) / log10_sigma,0.004835533683487412,log10_f*(log10_f/0.8905333 - log10_sigma)*0.3154891/log10_sigma,PySRFunction(X=>log10_f*(log10_f/0.8905333 - log10_sigma)*0.3154891/log10_sigma)
12,0.009470334,((log10_f / 0.8889064) - log10_sigma) * (log(log10_f * 0.8717397) / log10_sigma),0.022657870342005424,(1.12497783793659*log10_f - log10_sigma)*log(0.8717397*log10_f)/log10_sigma,PySRFunction(X=>(1.12497783793659*log10_f - log10_sigma)*log(0.8717397*log10_f)/log10_sigma)
13,0.008964401,((log(log(log10_f)) * ((log10_f / 0.59717804) - log10_sigma)) - 0.869135) / log10_f,0.054902886415771485,((1.67454248652546*log10_f - log10_sigma)*log(log(log10_f)) - 0.869135)/log10_f,PySRFunction(X=>((1.67454248652546*log10_f - log10_sigma)*log(log(log10_f)) - 0.869135)/log10_f)
15,0.0083156545,((((log10_f / (log10_sigma / 7.865478)) - log10_sigma) * log(log(log10_f))) - 0.87226945) / log10_f,0.03756073335775443,((7.865478*log10_f/log10_sigma - log10_sigma)*log(log(log10_f)) - 0.87226945)/log10_f,PySRFunction(X=>((7.865478*log10_f/log10_sigma - log10_sigma)*log(log(log10_f)) - 0.87226945)/log10_f)
17,0.008066805,((((log10_f / (log10_sigma / 7.6644154)) - log10_sigma) * log(log(log10_f))) - 0.6755552) * (1.3480737 / log10_f),0.015191164804160296,1.3480737*((7.6644154*log10_f/log10_sigma - log10_sigma)*log(log(log10_f)) - 0.6755552)/log10_f,PySRFunction(X=>1.3480737*((7.6644154*log10_f/log10_sigma - log10_sigma)*log(log(log10_f)) - 0.6755552)/log10_f)
19,0.008066686,((((((log10_f / (log10_sigma / 7.674177)) - log10_sigma) * log(log(log10_f))) - 0.66962034) * 1.345076) / log10_f) - 0.0034115445,7.37596097471672e-06,-0.0034115445 + (1.345076*(7.674177*log10_f/log10_sigma - log10_sigma)*log(log(log10_f)) - 0.90069024844584)/log10_f,PySRFunction(X=>-0.0034115445 + (1.345076*(7.674177*log10_f/log10_sigma - log10_sigma)*log(log(log10_f)) - 0.90069024844584)/log10_f)
20,0.007817636,(((((log10_f / (log10_sigma / 7.734693)) - log10_sigma) * log(log(log10_f))) - 0.68158245) / (log10_f + log(alpha_infinity))) * 1.5265633,0.03136053412133262,1.5265633*((7.734693*log10_f/log10_sigma - log10_sigma)*log(log(log10_f)) - 0.68158245)/(log10_f + log(alpha_infinity)),PySRFunction(X=>1.5265633*((7.734693*log10_f/log10_sigma - log10_sigma)*log(log(log10_f)) - 0.68158245)/(log10_f + log(alpha_infinity)))
