complexity,loss,equation,score,sympy_format,lambda_format
1,0.014305177,-0.20810585,0.0,-0.208105850000000,PySRFunction(X=>-0.208105850000000)
3,0.01233334,-0.6836322 / log10_f,0.07415766760253308,-0.6836322/log10_f,PySRFunction(X=>-0.6836322/log10_f)
5,0.010647079,(log10_f - log10_sigma) / 6.7408257,0.0735102911405354,(log10_f - log10_sigma)/6.7408257,PySRFunction(X=>(log10_f - log10_sigma)/6.7408257)
7,0.010396936,((log10_f * 0.7330879) / log10_sigma) + -0.7238194,0.011887217440182552,log10_f*0.7330879/log10_sigma - 0.7238194,PySRFunction(X=>log10_f*0.7330879/log10_sigma - 0.7238194)
8,0.0095465565,log(log10_f) * ((log10_f / log10_sigma) + -0.8875327),0.08533063380179151,(log10_f/log10_sigma - 0.8875327)*log(log10_f),PySRFunction(X=>(log10_f/log10_sigma - 0.8875327)*log(log10_f))
10,0.009409846,log(log10_f) * (((log10_f - 0.97044504) / log10_sigma) + -0.6801278),0.007211962829227524,(-0.6801278 + (log10_f - 0.97044504)/log10_sigma)*log(log10_f),PySRFunction(X=>(-0.6801278 + (log10_f - 0.97044504)/log10_sigma)*log(log10_f))
12,0.009263827,log((log10_f - 1.1021905) * 1.7427113) * ((log10_f / log10_sigma) + -0.8733058),0.007819670838622055,(log10_f/log10_sigma - 0.8733058)*log(1.7427113*log10_f - 1.92079983910265),PySRFunction(X=>(log10_f/log10_sigma - 0.8733058)*log(1.7427113*log10_f - 1.92079983910265))
13,0.009093091,((log10_f * (log10_f - log10_sigma)) / ((log10_sigma * log10_sigma) * 0.417854)) - -0.27370653,0.018602351825654166,log10_f*(log10_f - log10_sigma)/((log10_sigma*log10_sigma*0.417854)) - 1*(-0.27370653),PySRFunction(X=>log10_f*(log10_f - log10_sigma)/((log10_sigma*log10_sigma*0.417854)) - 1*(-0.27370653))
15,0.0088889785,((((log10_f - log10_sigma) * log10_f) / ((log10_sigma * log10_sigma) * log10_sigma)) * 12.503183) - -0.32796407,0.011351377927540814,(log10_f - log10_sigma)*log10_f*12.503183/(log10_sigma*log10_sigma*log10_sigma) - 1*(-0.32796407),PySRFunction(X=>(log10_f - log10_sigma)*log10_f*12.503183/(log10_sigma*log10_sigma*log10_sigma) - 1*(-0.32796407))
16,0.008875182,((log10_f - log10_sigma) * (log10_f / ((log10_sigma * log10_sigma) * sqrt(log10_sigma * 0.031367276)))) - -0.31685603,0.0015532963433802192,5.64626942068248*log10_f*(log10_f - log10_sigma)/log10_sigma**(5/2) + 0.31685603,PySRFunction(X=>5.64626942068248*log10_f*(log10_f - log10_sigma)/log10_sigma**(5/2) + 0.31685603)
17,0.008597588,(((log10_f - log10_sigma) * log10_f) / (((log10_sigma * 0.07005452) * (log10_sigma * log10_sigma)) + alpha_infinity)) - -0.29634506,0.031777143387979774,log10_f*(log10_f - log10_sigma)/(alpha_infinity + log10_sigma*0.07005452*log10_sigma*log10_sigma) - 1*(-0.29634506),PySRFunction(X=>log10_f*(log10_f - log10_sigma)/(alpha_infinity + log10_sigma*0.07005452*log10_sigma*log10_sigma) - 1*(-0.29634506))
18,0.008580926,(((log10_f * (log10_f - log10_sigma)) / (log10_sigma * (log10_sigma * (log10_sigma + sqrt(alpha_infinity))))) * 15.859485) - -0.33021092,0.0019398657212184468,15.859485*log10_f*(log10_f - log10_sigma)/(log10_sigma**2*(sqrt(alpha_infinity) + log10_sigma)) + 0.33021092,PySRFunction(X=>15.859485*log10_f*(log10_f - log10_sigma)/(log10_sigma**2*(sqrt(alpha_infinity) + log10_sigma)) + 0.33021092)
19,0.00855122,((log10_f * ((log10_f - log10_sigma) / (((alpha_infinity * 0.59250593) + log10_sigma) * (log10_sigma * log10_sigma)))) * 14.76336) - -0.32205442,0.003467870256378118,log10_f*(log10_f - log10_sigma)*14.76336/(log10_sigma*log10_sigma*(alpha_infinity*0.59250593 + log10_sigma)) - 1*(-0.32205442),PySRFunction(X=>log10_f*(log10_f - log10_sigma)*14.76336/(log10_sigma*log10_sigma*(alpha_infinity*0.59250593 + log10_sigma)) - 1*(-0.32205442))
22,0.008410851,(((log10_f - log10_sigma) * log10_f) / (((log10_sigma * 0.054356858) * (log10_sigma + sqrt(alpha_infinity * (log10_sigma / log10_f)))) * log10_sigma)) - -0.39025185,0.005517101633886377,18.3969426636102*log10_f*(log10_f - log10_sigma)/(log10_sigma**2*(log10_sigma + sqrt(alpha_infinity*log10_sigma/log10_f))) + 0.39025185,PySRFunction(X=>18.3969426636102*log10_f*(log10_f - log10_sigma)/(log10_sigma**2*(log10_sigma + sqrt(alpha_infinity*log10_sigma/log10_f))) + 0.39025185)
