complexity,loss,equation,score,sympy_format,lambda_format
1,0.014305177,-0.20810585,0.0,-0.208105850000000,PySRFunction(X=>-0.208105850000000)
3,0.01233334,-0.6836328 / log10_f,0.07415766760253308,-0.6836328/log10_f,PySRFunction(X=>-0.6836328/log10_f)
5,0.010283869,(log10_k0_prime__f2_low * 0.02330373) - 0.17192604,0.09086480671407415,log10_k0_prime__f2_low*0.02330373 - 1*0.17192604,PySRFunction(X=>log10_k0_prime__f2_low*0.02330373 - 1*0.17192604)
6,0.009817128,log(log10_f - log10_k0_prime__f2_low) / -7.039684,0.04644793585647949,-0.142051830735584*log(log10_f - log10_k0_prime__f2_low),PySRFunction(X=>-0.142051830735584*log(log10_f - log10_k0_prime__f2_low))
7,0.007815299,(log10_sigma + (log10_k0_prime__f2_low / log10_lambda_prime__f2_mod)) / -32.45994,0.22804539233344948,(log10_k0_prime__f2_low/log10_lambda_prime__f2_mod + log10_sigma)/(-32.45994),PySRFunction(X=>(log10_k0_prime__f2_low/log10_lambda_prime__f2_mod + log10_sigma)/(-32.45994))
9,0.007615627,(log10_sigma + ((log10_k0_prime__f2_low + 0.3123054) / log10_lambda_prime__f2_mod)) / -30.171612,0.012940451224529744,(log10_sigma + (log10_k0_prime__f2_low + 0.3123054)/log10_lambda_prime__f2_mod)/(-30.171612),PySRFunction(X=>(log10_sigma + (log10_k0_prime__f2_low + 0.3123054)/log10_lambda_prime__f2_mod)/(-30.171612))
10,0.007171225,(((log(alpha_infinity) + log10_k0_prime__f2_low) / log10_lambda_prime__f2_mod) + log10_sigma) / -29.418411,0.060125829664088526,-0.0339923186197922*log10_sigma - 0.0339923186197922*(log10_k0_prime__f2_low + log(alpha_infinity))/log10_lambda_prime__f2_mod,PySRFunction(X=>-0.0339923186197922*log10_sigma - 0.0339923186197922*(log10_k0_prime__f2_low + log(alpha_infinity))/log10_lambda_prime__f2_mod)
12,0.006935493,log((log10_k0_prime__f2_low / log10_lambda_prime__f2_mod) + (log10_sigma + (log10_sigma + -6.888424))) * -0.15499094,0.01671217543228194,-0.15499094*log(log10_k0_prime__f2_low/log10_lambda_prime__f2_mod + 2*log10_sigma - 6.888424),PySRFunction(X=>-0.15499094*log(log10_k0_prime__f2_low/log10_lambda_prime__f2_mod + 2*log10_sigma - 6.888424))
14,0.0062892954,log(((log10_k0_prime__f2_low + 0.37608325) / log10_lambda_prime__f2_mod) + (log10_sigma + (log10_sigma + -6.6795053))) / -5.917589,0.04890154728043893,-0.168987741460247*log(2*log10_sigma - 6.6795053 + (log10_k0_prime__f2_low + 0.37608325)/log10_lambda_prime__f2_mod),PySRFunction(X=>-0.168987741460247*log(2*log10_sigma - 6.6795053 + (log10_k0_prime__f2_low + 0.37608325)/log10_lambda_prime__f2_mod))
15,0.005652844,log(log10_sigma + (log10_sigma + (((log10_k0_prime__f2_low + log(alpha_infinity)) / log10_lambda_prime__f2_mod) + -6.5885816))) / -6.0480833,0.10669026401420742,-0.165341638069039*log(2*log10_sigma - 6.5885816 + (log10_k0_prime__f2_low + log(alpha_infinity))/log10_lambda_prime__f2_mod),PySRFunction(X=>-0.165341638069039*log(2*log10_sigma - 6.5885816 + (log10_k0_prime__f2_low + log(alpha_infinity))/log10_lambda_prime__f2_mod))
