complexity,loss,equation,score,sympy_format,lambda_format
1,0.014305179,-0.20809895,0.0,-0.208098950000000,PySRFunction(X=>-0.208098950000000)
3,0.01233334,-0.68366975 / log10_f,0.07415773750729061,-0.68366975/log10_f,PySRFunction(X=>-0.68366975/log10_f)
5,0.010255087,-0.1625435 - (log10_k0_prime__f2_low * -0.025666231),0.09226614468082361,-(-0.025666231)*log10_k0_prime__f2_low - 0.1625435,PySRFunction(X=>-(-0.025666231)*log10_k0_prime__f2_low - 0.1625435)
9,0.009551543,(-2.5553505 / (alpha_infinity + (log10_k0_prime + log10_k0_prime__f2_low))) + -0.5234279,0.01776779075818288,-0.5234279 - 2.5553505/(alpha_infinity + log10_k0_prime + log10_k0_prime__f2_low),PySRFunction(X=>-0.5234279 - 2.5553505/(alpha_infinity + log10_k0_prime + log10_k0_prime__f2_low))
11,0.00832585,(6.1232095 / (((log10_sigma - log10_k0_prime__f2_low) * 5.4831076) + log10_k0_prime)) + -0.4725609,0.06866878968279289,-0.4725609 + 6.1232095/(log10_k0_prime + (-log10_k0_prime__f2_low + log10_sigma)*5.4831076),PySRFunction(X=>-0.4725609 + 6.1232095/(log10_k0_prime + (-log10_k0_prime__f2_low + log10_sigma)*5.4831076))
13,0.008252789,((6.0098577 / (log10_k0_prime + ((log10_sigma - log10_k0_prime__f2_low) * 5.744718))) - 3.0043757) + 2.549982,0.00440696446675302,-1*3.0043757 + 2.549982 + 6.0098577/(log10_k0_prime + (-log10_k0_prime__f2_low + log10_sigma)*5.744718),PySRFunction(X=>-1*3.0043757 + 2.549982 + 6.0098577/(log10_k0_prime + (-log10_k0_prime__f2_low + log10_sigma)*5.744718))
15,0.008036034,(2.5597782 / ((((log10_k0_prime + 2.034741) + (log10_sigma * 3.1254845)) - log10_k0_prime__f2_low) - alpha_infinity)) + -0.53530127,0.013307762959312183,-0.53530127 + 2.5597782/(-alpha_infinity + log10_k0_prime - log10_k0_prime__f2_low + log10_sigma*3.1254845 + 2.034741),PySRFunction(X=>-0.53530127 + 2.5597782/(-alpha_infinity + log10_k0_prime - log10_k0_prime__f2_low + log10_sigma*3.1254845 + 2.034741))
19,0.0078853415,(6.3716803 / ((((log10_sigma - log10_k0_prime__f2_low) * ((log10_lambda_prime + 5.6536245) + log10_sigma)) + (log10_k0_prime - 1.2018223)) - 0.0022226758)) + -0.4369478,0.004732537086208024,-0.4369478 + 6.3716803/(log10_k0_prime + (-log10_k0_prime__f2_low + log10_sigma)*(log10_lambda_prime + log10_sigma + 5.6536245) - 1*1.2018223 - 1*0.0022226758),PySRFunction(X=>-0.4369478 + 6.3716803/(log10_k0_prime + (-log10_k0_prime__f2_low + log10_sigma)*(log10_lambda_prime + log10_sigma + 5.6536245) - 1*1.2018223 - 1*0.0022226758))
21,0.0076355254,((4.5913987 / ((((log10_sigma - log10_k0_prime__f2_low) * (log10_sigma + -0.25628784)) + (log10_lambda_prime + 7.529074)) + (log10_k0_prime - alpha_infinity))) - -0.43805638) + -0.8880802,0.016096889293660533,-0.8880802 - 1*(-0.43805638) + 4.5913987/(-alpha_infinity + log10_k0_prime + log10_lambda_prime + (-log10_k0_prime__f2_low + log10_sigma)*(log10_sigma - 0.25628784) + 7.529074),PySRFunction(X=>-0.8880802 - 1*(-0.43805638) + 4.5913987/(-alpha_infinity + log10_k0_prime + log10_lambda_prime + (-log10_k0_prime__f2_low + log10_sigma)*(log10_sigma - 0.25628784) + 7.529074))
23,0.007402649,-0.56890166 + ((6.1232095 / ((((-1.8775848 - log10_k0_prime__f2_high) + log(log(log10_sigma))) + (log10_k0_prime - alpha_infinity)) + ((log10_sigma - log10_k0_prime__f2_low) * 5.4831076))) - -0.09634074),0.015486920923101066,-0.47256092 + 6.1232095/(-alpha_infinity + log10_k0_prime - log10_k0_prime__f2_high - 5.4831076*log10_k0_prime__f2_low + 5.4831076*log10_sigma + log(log(log10_sigma)) - 1.8775848),PySRFunction(X=>-0.47256092 + 6.1232095/(-alpha_infinity + log10_k0_prime - log10_k0_prime__f2_high - 5.4831076*log10_k0_prime__f2_low + 5.4831076*log10_sigma + log(log(log10_sigma)) - 1.8775848))
