complexity,loss,equation,score,sympy_format,lambda_format
1,0.014305177,-0.20810585,0.0,-0.208105850000000,PySRFunction(X=>-0.208105850000000)
3,0.01233334,-0.6836327 / log10_f,0.07415766760253308,-0.6836327/log10_f,PySRFunction(X=>-0.6836327/log10_f)
5,0.010647079,(log10_f - log10_sigma) / 6.740881,0.0735102911405354,(log10_f - log10_sigma)/6.740881,PySRFunction(X=>(log10_f - log10_sigma)/6.740881)
7,0.008300537,((log10_k0_prime__sobol_mod / log10_lambda_prime__sobol_mod) * -0.04314359) + -0.118915744,0.12448268536529115,log10_k0_prime__sobol_mod*(-0.04314359)/log10_lambda_prime__sobol_mod - 0.118915744,PySRFunction(X=>log10_k0_prime__sobol_mod*(-0.04314359)/log10_lambda_prime__sobol_mod - 0.118915744)
9,0.007950572,log10_f * (((log10_k0_prime__sobol_mod * -0.01790791) / log10_lambda_prime__sobol_mod) + -0.029454162),0.021538167870667802,log10_f*(log10_k0_prime__sobol_mod*(-0.01790791)/log10_lambda_prime__sobol_mod - 0.029454162),PySRFunction(X=>log10_f*(log10_k0_prime__sobol_mod*(-0.01790791)/log10_lambda_prime__sobol_mod - 0.029454162))
11,0.0072779553,((2.904159 - ((log10_k0_prime__sobol_mod * 0.20817168) / log10_lambda_prime__sobol_mod)) / log10_sigma) - 0.7368082,0.04419695919480522,-1*0.7368082 + (2.904159 - 0.20817168*log10_k0_prime__sobol_mod/log10_lambda_prime__sobol_mod)/log10_sigma,PySRFunction(X=>-1*0.7368082 + (2.904159 - 0.20817168*log10_k0_prime__sobol_mod/log10_lambda_prime__sobol_mod)/log10_sigma)
13,0.007256768,(((-0.76949525 - ((log10_k0_prime__sobol_mod / log10_lambda_prime__sobol_mod) * -0.05600843)) / log10_sigma) - -0.19524546) * log10_lambda_prime,0.0014577033610922137,log10_lambda_prime*(-1*(-0.19524546) + (-(-0.05600843)*log10_k0_prime__sobol_mod/log10_lambda_prime__sobol_mod - 0.76949525)/log10_sigma),PySRFunction(X=>log10_lambda_prime*(-1*(-0.19524546) + (-(-0.05600843)*log10_k0_prime__sobol_mod/log10_lambda_prime__sobol_mod - 0.76949525)/log10_sigma))
14,0.006594908,log(log10_lambda_prime__sobol_mod / (alpha_infinity - (log10_f * ((2.6459403 - log10_sigma) * log10_k0_prime__sobol_mod)))) * 0.10572489,0.09563671454184178,0.10572489*log(log10_lambda_prime__sobol_mod/(alpha_infinity - log10_f*log10_k0_prime__sobol_mod*(2.6459403 - log10_sigma))),PySRFunction(X=>0.10572489*log(log10_lambda_prime__sobol_mod/(alpha_infinity - log10_f*log10_k0_prime__sobol_mod*(2.6459403 - log10_sigma))))
16,0.0063735377,log(log10_lambda_prime__sobol_mod / (alpha_infinity - ((log10_k0_prime__sobol_mod * (2.6456723 - log10_sigma)) * log10_f))) * (0.5013096 / log10_sigma),0.017071575884628338,0.5013096*log(log10_lambda_prime__sobol_mod/(alpha_infinity - log10_f*log10_k0_prime__sobol_mod*(2.6456723 - log10_sigma)))/log10_sigma,PySRFunction(X=>0.5013096*log(log10_lambda_prime__sobol_mod/(alpha_infinity - log10_f*log10_k0_prime__sobol_mod*(2.6456723 - log10_sigma)))/log10_sigma)
18,0.0063278265,(log(log10_lambda_prime__sobol_mod / (alpha_infinity - ((log10_f * log10_k0_prime__sobol_mod) * (4.1607366 - (log10_sigma / 0.7342149))))) / log10_sigma) * 0.47556844,0.003598936038343609,0.47556844*log(log10_lambda_prime__sobol_mod/(alpha_infinity - log10_f*log10_k0_prime__sobol_mod*(4.1607366 - 1.36199905504506*log10_sigma)))/log10_sigma,PySRFunction(X=>0.47556844*log(log10_lambda_prime__sobol_mod/(alpha_infinity - log10_f*log10_k0_prime__sobol_mod*(4.1607366 - 1.36199905504506*log10_sigma)))/log10_sigma)
19,0.0060340473,((-0.3120343 / log10_f) - -0.22568353) * log(log10_lambda_prime__sobol_mod / (sqrt(alpha_infinity) - ((log10_k0_prime__sobol_mod * log10_f) * (3.131699 - log10_sigma)))),0.047538832644967305,(0.22568353 - 0.3120343/log10_f)*log(log10_lambda_prime__sobol_mod/(sqrt(alpha_infinity) - log10_f*log10_k0_prime__sobol_mod*(3.131699 - log10_sigma))),PySRFunction(X=>(0.22568353 - 0.3120343/log10_f)*log(log10_lambda_prime__sobol_mod/(sqrt(alpha_infinity) - log10_f*log10_k0_prime__sobol_mod*(3.131699 - log10_sigma))))
21,0.0059482567,log((log10_lambda_prime__sobol_mod + -0.08062075) / (sqrt(alpha_infinity) - ((3.0781538 - log10_sigma) * (log10_f * log10_k0_prime__sobol_mod)))) * ((-0.331181 / log10_f) - -0.23855278),0.007159897294248265,(0.23855278 - 0.331181/log10_f)*log((log10_lambda_prime__sobol_mod - 0.08062075)/(sqrt(alpha_infinity) - log10_f*log10_k0_prime__sobol_mod*(3.0781538 - log10_sigma))),PySRFunction(X=>(0.23855278 - 0.331181/log10_f)*log((log10_lambda_prime__sobol_mod - 0.08062075)/(sqrt(alpha_infinity) - log10_f*log10_k0_prime__sobol_mod*(3.0781538 - log10_sigma))))
