complexity,loss,equation,score,sympy_format,lambda_format
1,0.03696064,0.36905777,0.0,0.369057770000000,PySRFunction(X=>0.369057770000000)
3,0.03696022,lambda_prime + 0.368868,5.681752079274834e-06,lambda_prime + 0.368868,PySRFunction(X=>lambda_prime + 0.368868)
4,0.015222535,sqrt(187.9046 / f),0.8870653034106553,13.7078298793062*sqrt(1/f),PySRFunction(X=>13.7078298793062*sqrt(1/f))
5,0.014380561,sqrt(sqrt(sigma) / f),0.05689953167674776,sqrt(sqrt(sigma)/f),PySRFunction(X=>sqrt(sqrt(sigma)/f))
6,0.012841904,(10.771729 / sqrt(f)) - -0.09811471,0.11316379017651271,0.09811471 + 10.771729/sqrt(f),PySRFunction(X=>0.09811471 + 10.771729/sqrt(f))
7,0.011703845,(log(sigma) / sqrt(f)) - -0.09746602,0.09279615357828708,0.09746602 + log(sigma)/sqrt(f),PySRFunction(X=>0.09746602 + log(sigma)/sqrt(f))
9,0.010807587,sqrt(sqrt(sigma / f) / 16.308931) + -0.19492994,0.03983451640098335,0.247620874113287*(sigma/f)**(1/4) - 0.19492994,PySRFunction(X=>0.247620874113287*(sigma/f)**(1/4) - 0.19492994)
11,0.0107127335,sqrt(sqrt((sigma / f) / (f / 0.28325844))) + 0.09415249,0.0044076534200210805,0.729534298532979*(sigma/f**2)**(1/4) + 0.09415249,PySRFunction(X=>0.729534298532979*(sigma/f**2)**(1/4) + 0.09415249)
12,0.010019814,sqrt(sqrt(sigma / (f + (sigma / f))) / sqrt(f)),0.06686854804233376,sqrt(sqrt(sigma/(f + sigma/f))/sqrt(f)),PySRFunction(X=>sqrt(sqrt(sigma/(f + sigma/f))/sqrt(f)))
14,0.010009569,sqrt((sqrt(sigma / (f + (sigma / f))) / sqrt(f)) + lambda_prime),0.0005114985765397559,sqrt(lambda_prime + sqrt(sigma/(f + sigma/f))/sqrt(f)),PySRFunction(X=>sqrt(lambda_prime + sqrt(sigma/(f + sigma/f))/sqrt(f)))
15,0.00993782,(sqrt(sqrt(sigma / (f + (sigma / f)))) / sqrt(sqrt(f))) - -0.009054911,0.0071938547372328646,0.009054911 + (sigma/(f + sigma/f))**(1/4)/f**(1/4),PySRFunction(X=>0.009054911 + (sigma/(f + sigma/f))**(1/4)/f**(1/4))
16,0.009860763,((sigma * -0.0011921113) / f) + sqrt((((sigma * h) / f) + 0.082822956) * 0.1664396),0.007784131732116836,sqrt(0.0137850196674576 + 0.1664396*h*sigma/f) - 0.0011921113*sigma/f,PySRFunction(X=>sqrt(0.0137850196674576 + 0.1664396*h*sigma/f) - 0.0011921113*sigma/f)
18,0.009751695,(sqrt((((h * sigma) / f) + 0.13086312) * 0.20013237) + (sigma * (-0.0014440266 / f))) + -0.044707518,0.005561216466817631,sqrt(0.0261899463511944 + 0.20013237*h*sigma/f) - 0.044707518 - 0.0014440266*sigma/f,PySRFunction(X=>sqrt(0.0261899463511944 + 0.20013237*h*sigma/f) - 0.044707518 - 0.0014440266*sigma/f)
