complexity,loss,equation,score,sympy_format,lambda_format
1,0.03696064,0.36904925,0.0,0.369049250000000,PySRFunction(X=>0.369049250000000)
3,0.023842005,1.241495 / log10_f,0.21920231081557054,1.241495/log10_f,PySRFunction(X=>1.241495/log10_f)
4,0.011914512,log(log10_sigma / log10_f),0.6936917880749559,log(log10_sigma/log10_f),PySRFunction(X=>log(log10_sigma/log10_f))
6,0.011551728,log(log10_f / log10_sigma) / -0.9526156,0.015461058383943658,-1.04974136472256*log(log10_f/log10_sigma),PySRFunction(X=>-1.04974136472256*log(log10_f/log10_sigma))
7,0.01018804,(log10_sigma * (0.7868552 / log10_f)) + -0.768887,0.1256205528697198,-0.768887 + log10_sigma*0.7868552/log10_f,PySRFunction(X=>-0.768887 + log10_sigma*0.7868552/log10_f)
8,0.010093274,((log10_sigma / log(log10_f)) * 0.29435906) + -0.812104,0.009345221880950378,0.29435906*log10_sigma/log(log10_f) - 0.812104,PySRFunction(X=>0.29435906*log10_sigma/log(log10_f) - 0.812104)
9,0.010015777,((log10_sigma + (6.337609 / log10_f)) + -5.4832587) / log10_f,0.007707711683333574,(log10_sigma - 5.4832587 + 6.337609/log10_f)/log10_f,PySRFunction(X=>(log10_sigma - 5.4832587 + 6.337609/log10_f)/log10_f)
11,0.009834882,((log10_sigma + -5.895902) + (8.32013 / log10_f)) / (log10_f + 0.53917545),0.009113047965145588,(log10_sigma - 5.895902 + 8.32013/log10_f)/(log10_f + 0.53917545),PySRFunction(X=>(log10_sigma - 5.895902 + 8.32013/log10_f)/(log10_f + 0.53917545))
12,0.009814175,((4.3944497 - log10_f) * log((log10_sigma * 0.608886) / log10_f)) + 0.47453985,0.002107684624826259,(4.3944497 - log10_f)*log(0.608886*log10_sigma/log10_f) + 0.47453985,PySRFunction(X=>(4.3944497 - log10_f)*log(0.608886*log10_sigma/log10_f) + 0.47453985)
13,0.008160688,sqrt((log((log10_sigma * 0.6496766) / log10_f) * (4.130904 - log10_f)) + 0.17265895),0.18449929003047014,sqrt((4.130904 - log10_f)*log(0.6496766*log10_sigma/log10_f) + 0.17265895),PySRFunction(X=>sqrt((4.130904 - log10_f)*log(0.6496766*log10_sigma/log10_f) + 0.17265895))
15,0.0074428557,sqrt((((3.7272298 - log10_f) * log(log10_sigma * (0.6722807 / log10_f))) / 0.61832166) + 0.112290025),0.04603693665063989,sqrt(1.61728120603118*(3.7272298 - log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025),PySRFunction(X=>sqrt(1.61728120603118*(3.7272298 - log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025))
17,0.007330079,sqrt(((log(log10_sigma * (0.6722807 / log10_f)) * (3.7272298 - log10_f)) / 0.61832166) + 0.112290025) + 0.011006915,0.0076341561896739905,sqrt(1.61728120603118*(3.7272298 - log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025) + 0.011006915,PySRFunction(X=>sqrt(1.61728120603118*(3.7272298 - log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025) + 0.011006915)
19,0.007252334,(alpha_infinity * 0.008812732) + sqrt((log(log10_sigma * (0.6722807 / log10_f)) * ((3.7272298 - log10_f) / 0.61832166)) + 0.112290025),0.00533147268714298,0.008812732*alpha_infinity + sqrt((6.02797870609935 - 1.61728120603118*log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025),PySRFunction(X=>0.008812732*alpha_infinity + sqrt((6.02797870609935 - 1.61728120603118*log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025))
21,0.0072058556,sqrt((((3.7272298 - log10_f) / 0.61832166) * log((log10_sigma * 0.6722807) / log10_f)) + 0.112290025) + (alpha_infinity * (alpha_infinity * 0.0077708694)),0.0032146874118885653,0.0077708694*alpha_infinity**2 + sqrt((6.02797870609935 - 1.61728120603118*log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025),PySRFunction(X=>0.0077708694*alpha_infinity**2 + sqrt((6.02797870609935 - 1.61728120603118*log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025))
22,0.007144462,((log10_f * log(alpha_infinity)) * 0.009713109) + sqrt((log((log10_sigma * 0.6722807) / log10_f) * ((3.7272298 - log10_f) / 0.61832166)) + 0.112290025),0.008556462132550874,0.009713109*log10_f*log(alpha_infinity) + sqrt((6.02797870609935 - 1.61728120603118*log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025),PySRFunction(X=>0.009713109*log10_f*log(alpha_infinity) + sqrt((6.02797870609935 - 1.61728120603118*log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025))
24,0.00714247,sqrt((((3.7272298 - log10_f) / 0.61832166) * log((0.6722807 * log10_sigma) / log10_f)) + 0.112290025) + ((-0.47587842 + log10_sigma) * (log(alpha_infinity) * 0.009713109)),0.00013942811605099044,0.009713109*(log10_sigma - 0.47587842)*log(alpha_infinity) + sqrt((6.02797870609935 - 1.61728120603118*log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025),PySRFunction(X=>0.009713109*(log10_sigma - 0.47587842)*log(alpha_infinity) + sqrt((6.02797870609935 - 1.61728120603118*log10_f)*log(0.6722807*log10_sigma/log10_f) + 0.112290025))
