complexity,loss,equation,score,sympy_format,lambda_format
1,0.03696064,0.36906704,0.0,0.369067040000000,PySRFunction(X=>0.369067040000000)
3,0.023842005,1.2414488 / log10_f,0.21920231081557054,1.2414488/log10_f,PySRFunction(X=>1.2414488/log10_f)
4,0.011914512,log(log10_sigma / log10_f),0.6936917880749559,log(log10_sigma/log10_f),PySRFunction(X=>log(log10_sigma/log10_f))
6,0.0115517285,log(log10_sigma / log10_f) * 1.0497355,0.015461036742160351,1.0497355*log(log10_sigma/log10_f),PySRFunction(X=>1.0497355*log(log10_sigma/log10_f))
7,0.01018804,(log10_sigma * (0.7868552 / log10_f)) + -0.768887,0.12562059615328652,-0.768887 + log10_sigma*0.7868552/log10_f,PySRFunction(X=>-0.768887 + log10_sigma*0.7868552/log10_f)
9,0.010108745,(3.6613111 / log10_f) + ((log10_sigma * 0.263942) + -1.997801),0.003906796245199505,log10_sigma*0.263942 - 1.997801 + 3.6613111/log10_f,PySRFunction(X=>log10_sigma*0.263942 - 1.997801 + 3.6613111/log10_f)
10,0.009764769,(((log10_sigma / log10_f) + -1.6469684) / sqrt(alpha_infinity)) + 0.53315634,0.034619982671917744,0.53315634 + (-1.6469684 + log10_sigma/log10_f)/sqrt(alpha_infinity),PySRFunction(X=>0.53315634 + (-1.6469684 + log10_sigma/log10_f)/sqrt(alpha_infinity))
12,0.0093449885,((0.05057766 / log(log10_sigma / log10_f)) + (log10_sigma / log10_f)) + -1.2348515,0.021970348916345292,-1.2348515 + 0.05057766/log(log10_sigma/log10_f) + log10_sigma/log10_f,PySRFunction(X=>-1.2348515 + 0.05057766/log(log10_sigma/log10_f) + log10_sigma/log10_f)
14,0.00915965,(((log10_sigma * (2.468354 / log10_f)) + -2.4044192) / log(log10_sigma / log10_f)) - 2.8109097,0.010016120976560577,(-2.4044192 + 2.468354*log10_sigma/log10_f)/log(log10_sigma/log10_f) - 2.8109097,PySRFunction(X=>(-2.4044192 + 2.468354*log10_sigma/log10_f)/log(log10_sigma/log10_f) - 2.8109097)
16,0.00885853,(0.07345139 / log(log10_sigma / log10_f)) + ((log10_sigma * ((1.0539082 / log10_f) - -0.12875867)) + -1.9879375),0.01671356585928136,log10_sigma*(0.12875867 + 1.0539082/log10_f) - 1.9879375 + 0.07345139/log(log10_sigma/log10_f),PySRFunction(X=>log10_sigma*(0.12875867 + 1.0539082/log10_f) - 1.9879375 + 0.07345139/log(log10_sigma/log10_f))
17,0.007530331,sqrt((0.34428775 / log((log10_sigma + 0.80707777) / log10_f)) + ((log10_sigma * (1.4797771 / log10_f)) + -2.677291)),0.16244183828146397,sqrt(-2.677291 + 0.34428775/log((log10_sigma + 0.80707777)/log10_f) + 1.4797771*log10_sigma/log10_f),PySRFunction(X=>sqrt(-2.677291 + 0.34428775/log((log10_sigma + 0.80707777)/log10_f) + 1.4797771*log10_sigma/log10_f))
19,0.007041054,sqrt((((0.35363054 / log((log10_sigma + 1.3080873) / log10_f)) + ((log10_sigma / log10_f) * 0.903285)) + -1.8299509) / 0.49621263),0.03359056173814294,sqrt(-3.68783620038047 + 0.712659288821407/log((log10_sigma + 1.3080873)/log10_f) + 1.820358744194*log10_sigma/log10_f),PySRFunction(X=>sqrt(-3.68783620038047 + 0.712659288821407/log((log10_sigma + 1.3080873)/log10_f) + 1.820358744194*log10_sigma/log10_f))
21,0.0070380103,sqrt(((((0.903285 * log10_sigma) / log10_f) + (0.35363054 / log((log10_sigma + 1.3080873) / log10_f))) + -1.8299509) / (0.5414001 / 1.097948)),0.00021618624523344205,sqrt(-3.71110188334505 + 0.717155287063892/log((log10_sigma + 1.3080873)/log10_f) + 1.83184295529314*log10_sigma/log10_f),PySRFunction(X=>sqrt(-3.71110188334505 + 0.717155287063892/log((log10_sigma + 1.3080873)/log10_f) + 1.83184295529314*log10_sigma/log10_f))
23,0.00693596,sqrt((((0.35363054 / log((log10_sigma + 1.3080873) / log10_f)) + (log10_sigma * (0.903285 / log10_f))) + -1.8299509) / (0.5414001 / sqrt(sqrt(alpha_infinity)))),0.007303014966671392,1.35906689621822*sqrt(alpha_infinity**(1/4)*(-1.8299509 + 0.35363054/log((log10_sigma + 1.3080873)/log10_f) + 0.903285*log10_sigma/log10_f)),PySRFunction(X=>1.35906689621822*sqrt(alpha_infinity**(1/4)*(-1.8299509 + 0.35363054/log((log10_sigma + 1.3080873)/log10_f) + 0.903285*log10_sigma/log10_f)))
24,0.0068697603,sqrt((((0.35363054 / log((1.3080873 + log10_sigma) / log10_f)) + ((log10_sigma * (0.903285 / log10_f)) + -1.8299509)) / (0.5414001 / sqrt(1.3080873))) + -0.0064795953),0.009590257653059524,sqrt(-3.87228038222595 + 0.747050218567639/log((log10_sigma + 1.3080873)/log10_f) + 1.90820412931211*log10_sigma/log10_f),PySRFunction(X=>sqrt(-3.87228038222595 + 0.747050218567639/log((log10_sigma + 1.3080873)/log10_f) + 1.90820412931211*log10_sigma/log10_f))
