complexity,loss,equation,score,sympy_format,lambda_format
1,0.03696064,0.3690577,0.0,0.369057700000000,PySRFunction(X=>0.369057700000000)
3,0.023842005,1.2414922 / log10_f,0.21920231081557054,1.2414922/log10_f,PySRFunction(X=>1.2414922/log10_f)
5,0.015665691,0.27536643 / sqrt(sqrt(alpha_infinity__f2_onset)),0.20998795325140077,0.27536643/alpha_infinity__f2_onset**(1/4),PySRFunction(X=>0.27536643/alpha_infinity__f2_onset**(1/4))
6,0.014851845,log(0.85125023 / log(sqrt(log10_f))),0.05334893455143614,log(0.85125023/log(sqrt(log10_f))),PySRFunction(X=>log(0.85125023/log(sqrt(log10_f))))
8,0.012939883,(0.68387204 / sqrt(sqrt(sqrt(alpha_infinity__f2_onset)))) + -0.36915696,0.06890492632734452,-0.36915696 + 0.68387204/alpha_infinity__f2_onset**(1/8),PySRFunction(X=>-0.36915696 + 0.68387204/alpha_infinity__f2_onset**(1/8))
11,0.011951372,log(((log(log10_sigma) + -0.8892424) + -0.8892424) - (-5.5539274 / log10_f)),0.02648938793272367,log(log(log10_sigma) - 1.7784848 + 5.5539274/log10_f),PySRFunction(X=>log(log(log10_sigma) - 1.7784848 + 5.5539274/log10_f))
13,0.011917985,log(-1.0112834 + ((log(log10_sigma) + (-1.0838115 - -0.26933873)) - (-5.600861 / log10_f))),0.0013987398895406863,log(log(log10_sigma) - 1.82575617 + 5.600861/log10_f),PySRFunction(X=>log(log(log10_sigma) - 1.82575617 + 5.600861/log10_f))
14,0.011826035,log(sqrt((log(log10_sigma) + (-0.8841134 - (-5.658883 / log10_f))) + -0.956651)) * 2.0107656,0.007745146748715104,2.0107656*log(sqrt(log(log10_sigma) - 1.8407644 + 5.658883/log10_f)),PySRFunction(X=>2.0107656*log(sqrt(log(log10_sigma) - 1.8407644 + 5.658883/log10_f)))
15,0.010725219,log(((log(log10_sigma) + -1.0836027) + (-1.0110774 - (alpha_infinity__f2_high / log10_k0_prime))) - (-6.053216 / log10_f)),0.09770557278882042,log(-alpha_infinity__f2_high/log10_k0_prime + log(log10_sigma) - 2.0946801 + 6.053216/log10_f),PySRFunction(X=>log(-alpha_infinity__f2_high/log10_k0_prime + log(log10_sigma) - 2.0946801 + 6.053216/log10_f))
19,0.009902544,log((log(log10_sigma) + -1.7834119) + (((-1.3093708 - (alpha_infinity__f2_high * (alpha_infinity__f2_high / log10_k0_prime))) / log10_sigma) - (-6.324471 / log10_f))),0.019951547589891747,log(log(log10_sigma) - 1.7834119 + (-alpha_infinity__f2_high**2/log10_k0_prime - 1.3093708)/log10_sigma + 6.324471/log10_f),PySRFunction(X=>log(log(log10_sigma) - 1.7834119 + (-alpha_infinity__f2_high**2/log10_k0_prime - 1.3093708)/log10_sigma + 6.324471/log10_f))
