complexity,loss,equation,score,sympy_format,lambda_format
1,0.036960647,0.36899045,0.0,0.368990450000000,PySRFunction(X=>0.368990450000000)
4,0.03123245,sqrt(0.54604065 / log10_f),0.05613204453515238,0.738945633994816*sqrt(1/log10_f),PySRFunction(X=>0.738945633994816*sqrt(1/log10_f))
5,0.022683654,(log10_sigma - log10_f) / log10_sigma,0.31981304143240247,(-log10_f + log10_sigma)/log10_sigma,PySRFunction(X=>(-log10_f + log10_sigma)/log10_sigma)
8,0.016999694,0.66484994 / sqrt((log10_lambda__sobol_mod / -0.47988242) - -0.8193125),0.09614974436648237,0.66484994/sqrt(0.8193125 - 2.08384378823463*log10_lambda__sobol_mod),PySRFunction(X=>0.66484994/sqrt(0.8193125 - 2.08384378823463*log10_lambda__sobol_mod))
9,0.011795327,0.8376512 / sqrt(sqrt((log10_lambda__sobol_mod / -0.03215827) - -0.6987771)),0.36549190780716817,0.8376512/(0.6987771 - 31.0962001376318*log10_lambda__sobol_mod)**(1/4),PySRFunction(X=>0.8376512/(0.6987771 - 31.0962001376318*log10_lambda__sobol_mod)**(1/4))
11,0.011785804,sqrt(sqrt(2.1065505 / ((log10_lambda__sobol_mod / (-0.026171464 / log10_sigma__sobol_mod)) - log10_lambda_prime))),0.0004038398547419214,1.20473899749376*(1/(-38.2095552621741*log10_lambda__sobol_mod*log10_sigma__sobol_mod - log10_lambda_prime))**(1/4),PySRFunction(X=>1.20473899749376*(1/(-38.2095552621741*log10_lambda__sobol_mod*log10_sigma__sobol_mod - log10_lambda_prime))**(1/4))
15,0.011630497,sqrt(sqrt(0.7573867 / ((log10_lambda__sobol_mod / (-0.12233322 / (log10_sigma__sobol_mod - -2.7046313))) - (log10_sigma / log10_lambda)))),0.0033162641130622525,0.932887810882473*(1/(log10_lambda__sobol_mod*(-8.17439449398945*log10_sigma__sobol_mod - 22.1087232069915) - log10_sigma/log10_lambda))**(1/4),PySRFunction(X=>0.932887810882473*(1/(log10_lambda__sobol_mod*(-8.17439449398945*log10_sigma__sobol_mod - 22.1087232069915) - log10_sigma/log10_lambda))**(1/4))
17,0.010412628,0.6787674 / sqrt(sqrt(((log10_lambda__sobol_mod / -0.23554093) / sqrt(log((-0.9614218 - log10_sigma) * -0.19679332))) - -0.45199227)),0.055305699795371255,0.6787674/(-4.24554662325567*log10_lambda__sobol_mod/sqrt(log(0.19679332*log10_sigma + 0.189201387942376)) + 0.45199227)**(1/4),PySRFunction(X=>0.6787674/(-4.24554662325567*log10_lambda__sobol_mod/sqrt(log(0.19679332*log10_sigma + 0.189201387942376)) + 0.45199227)**(1/4))
19,0.00930892,sqrt(0.78112227 / sqrt(((log10_lambda__sobol_mod / -0.3143056) / log(sqrt(((2.574461 - log10_sigma) * -0.30925763) - -0.5085904))) - -0.68910706)),0.05602311003553457,0.883811218530292/(-3.18161687224154*log10_lambda__sobol_mod/log(sqrt(0.30925763*log10_sigma - 0.28758130738743)) + 0.68910706)**(1/4),PySRFunction(X=>0.883811218530292/(-3.18161687224154*log10_lambda__sobol_mod/log(sqrt(0.30925763*log10_sigma - 0.28758130738743)) + 0.68910706)**(1/4))
23,0.009049401,sqrt(sqrt(0.76458836 / (((log10_lambda__sobol_mod / -0.27551606) / log(sqrt(((1.2808262 - log10_sigma) * -0.2979477) - -0.1490444))) - ((log10_lambda_prime / log10_lambda) / -0.8574676)))),0.007068628146870657,0.935097553005676*(1/(-3.62955248416372*log10_lambda__sobol_mod/log(sqrt(0.2979477*log10_sigma - 0.23257482038974)) + 1.16622482295541*log10_lambda_prime/log10_lambda))**(1/4),PySRFunction(X=>0.935097553005676*(1/(-3.62955248416372*log10_lambda__sobol_mod/log(sqrt(0.2979477*log10_sigma - 0.23257482038974)) + 1.16622482295541*log10_lambda_prime/log10_lambda))**(1/4))
