complexity,loss,equation,score,sympy_format,lambda_format
1,0.03696064,0.36905771,0.0,0.369057710000000,PySRFunction(X=>0.369057710000000)
3,0.023842005,1.2414927 / log10_f,0.21920231081557054,1.2414927/log10_f,PySRFunction(X=>1.2414927/log10_f)
4,0.011914512,log(log10_sigma / log10_f),0.6936917880749559,log(log10_sigma/log10_f),PySRFunction(X=>log(log10_sigma/log10_f))
6,0.011551728,log(log10_sigma / log10_f) * 1.0497415,0.015461058383943658,1.0497415*log(log10_sigma/log10_f),PySRFunction(X=>1.0497415*log(log10_sigma/log10_f))
7,0.01018804,(log10_sigma * (0.7868556 / log10_f)) - 0.76888746,0.1256205528697198,-1*0.76888746 + log10_sigma*0.7868556/log10_f,PySRFunction(X=>-1*0.76888746 + log10_sigma*0.7868556/log10_f)
9,0.008699287,(log10_sigma / log10_f) + (-1.1626489 - (alpha_infinity__sobol_mod * -0.09272714)),0.0789867075090199,-(-0.09272714)*alpha_infinity__sobol_mod - 1.1626489 + log10_sigma/log10_f,PySRFunction(X=>-(-0.09272714)*alpha_infinity__sobol_mod - 1.1626489 + log10_sigma/log10_f)
10,0.0076780613,(((log10_sigma + alpha_infinity__sobol_mod) - sqrt(alpha_infinity__sobol_mod)) / log10_f) - 1.0957044,0.12487398788243902,-1.0957044 + (-sqrt(alpha_infinity__sobol_mod) + alpha_infinity__sobol_mod + log10_sigma)/log10_f,PySRFunction(X=>-1.0957044 + (-sqrt(alpha_infinity__sobol_mod) + alpha_infinity__sobol_mod + log10_sigma)/log10_f)
12,0.007047753,((((log10_sigma + alpha_infinity__sobol_mod) * 0.8257256) - sqrt(alpha_infinity__sobol_mod)) / log10_f) - 0.7976884,0.04282911888993663,-0.7976884 + (-sqrt(alpha_infinity__sobol_mod) + 0.8257256*alpha_infinity__sobol_mod + 0.8257256*log10_sigma)/log10_f,PySRFunction(X=>-0.7976884 + (-sqrt(alpha_infinity__sobol_mod) + 0.8257256*alpha_infinity__sobol_mod + 0.8257256*log10_sigma)/log10_f)
14,0.006722284,((alpha_infinity__sobol_mod * 0.5153545) + ((log10_sigma + -2.7696652) / log10_f)) - (sqrt(alpha_infinity__sobol_mod) * 0.8221685),0.02364043243791515,-0.8221685*sqrt(alpha_infinity__sobol_mod) + 0.5153545*alpha_infinity__sobol_mod + (log10_sigma - 2.7696652)/log10_f,PySRFunction(X=>-0.8221685*sqrt(alpha_infinity__sobol_mod) + 0.5153545*alpha_infinity__sobol_mod + (log10_sigma - 2.7696652)/log10_f)
15,0.0062377015,(((log10_sigma + -2.594014) / log10_f) + (alpha_infinity__sobol_mod * 0.24527517)) - (sqrt(sqrt(alpha_infinity__sobol_mod)) * 0.5883753),0.07481621257591976,-0.5883753*alpha_infinity__sobol_mod**(1/4) + 0.24527517*alpha_infinity__sobol_mod + (log10_sigma - 2.594014)/log10_f,PySRFunction(X=>-0.5883753*alpha_infinity__sobol_mod**(1/4) + 0.24527517*alpha_infinity__sobol_mod + (log10_sigma - 2.594014)/log10_f)
