split,segment_id,segment_name,selected_branch,n_rows,rmse,mae,max_abs_error,r2_within_segment
validation,1,low_100_700,all,2400,0.0191283473793988,0.0142109212538549,0.0917273817213488,0.9625089845834284
validation,2,midlow_700_1000,all,1200,0.0159343368284017,0.0109878194949327,0.1328748143207312,0.97150533721078
validation,3,midhigh_1000_1300,all,1200,0.0221442983949415,0.0163230813364319,0.1297551890898779,0.9192812763050776
validation,4,highlow_1300_1650,sobol_subset,1350,0.0316682578912853,0.022781099972175,0.1408472345934612,0.7392054870166838
validation,5,high_1650_2000,all,1350,0.0259880685621812,0.0182412848459059,0.1291085244273736,0.8862498040999118
validation,6,upperlow_2000_3000,all,3900,0.0316375110536457,0.0226449024891003,0.1993557069822749,0.9191388224010104
validation,7,uppermid_3000_4000,all,4050,0.0376941836906809,0.0245849514773739,0.2051383214420949,0.8038439815960516
validation,8,upperhigh_4000_4950,sobol_subset,3750,0.0329951361487715,0.0221368408169003,0.178154972805856,0.4938646316539526
test,1,low_100_700,all,2400,0.0183438326974019,0.0134878835931675,0.0858727724879367,0.9636746635489188
test,2,midlow_700_1000,all,1200,0.0201331492422016,0.0120116198522954,0.1945275636951374,0.949913417191589
test,3,midhigh_1000_1300,all,1200,0.0233850269683229,0.0162942904839223,0.1389617606808769,0.9089736169357312
test,4,highlow_1300_1650,sobol_subset,1350,0.0300654466790735,0.0206531245667196,0.1666753214765702,0.8230585508776963
test,5,high_1650_2000,all,1350,0.0242224545458721,0.017304182411574,0.1254116834427011,0.9207336030235632
test,6,upperlow_2000_3000,all,3900,0.0366212116041022,0.0240238927124609,0.2868630232163012,0.871539430946646
test,7,uppermid_3000_4000,all,4050,0.0328233462618889,0.0215455897207,0.1719043922069124,0.8192661958897014
test,8,upperhigh_4000_4950,sobol_subset,3750,0.0347271179246441,0.0230826924943792,0.1754398599718493,0.4441106161844133
