split,segment_id,segment_name,n_rows_f0,rmse_f0,mae_f0,max_abs_error_f0,r2_f0,true_min_f0,true_max_f0,prediction_min_f0,prediction_max_f0,f0_source_branch,n_rows_f1,rmse_f1,mae_f1,max_abs_error_f1,r2_f1,true_min_f1,true_max_f1,prediction_min_f1,prediction_max_f1,num_curves_shape_f0,first_difference_rmse_shape_f0,second_difference_rmse_shape_f0,mean_trough_frequency_error_hz_shape_f0,mean_peak_frequency_error_hz_shape_f0,mean_prediction_range_shape_f0,flat_prediction_curve_fraction_shape_f0,num_curves_shape_f1,first_difference_rmse_shape_f1,second_difference_rmse_shape_f1,mean_trough_frequency_error_hz_shape_f1,mean_peak_frequency_error_hz_shape_f1,mean_prediction_range_shape_f1,flat_prediction_curve_fraction_shape_f1,rmse_relative_delta_f1_minus_f0,first_difference_relative_delta,second_difference_relative_delta,validation_rmse_winner,n_rows_selected,rmse_selected,mae_selected,max_abs_error_selected,prediction_min_selected,prediction_max_selected,f1_uses_local_frequency,f1_uses_any_frequency
validation,1,low_100_700,2400,0.0191283473793988,0.0142109212538549,0.0917273817213488,0.9625089845834284,-0.6020956252452706,-0.1268340114189922,-0.5650327226162539,-0.0799520811767921,all,2400,0.0203684967411438,0.015969969624811,0.0634692980659554,0.9574900828465562,-0.6020956252452706,-0.1268340114189922,-0.6187116296027878,-0.1160958070684751,150,0.0077750930959442,0.0048460662431343,69.75853018372705,0.0,0.2761308923911698,0.0,150,0.004249738196742,0.0013627177101835,45.82677165354332,0.0,0.2404380738859574,0.0,0.06483306357561432,-0.45341642289031453,-0.7187991988111717,f0,2400,0.0191283473793988,0.0142109212538549,0.0917273817213488,-0.5650327226162539,-0.0799520811767921,True,True
test,1,low_100_700,2400,0.0183438326974019,0.0134878835931675,0.0858727724879367,0.9636746635489188,-0.6354087919706148,-0.1268346597279658,-0.5761368530058402,-0.076225037345828,all,2400,0.0206522173638508,0.0158471863381482,0.0773828137855734,0.953957079984692,-0.6354087919706148,-0.1268346597279658,-0.6436286949266858,-0.1161724178511599,150,0.0077146244478301,0.0047654615331191,70.2677165354331,0.0,0.2726634237174363,0.0,150,0.0040359354642875,0.0013218596555305,43.280839895013145,0.0,0.2387832821259169,0.0,0.12583982336340452,-0.4768461521905073,-0.7226166560481471,f0,2400,0.0183438326974019,0.0134878835931675,0.0858727724879367,-0.5761368530058402,-0.076225037345828,True,True
validation,2,midlow_700_1000,1200,0.0159343368284017,0.0109878194949327,0.1328748143207312,0.97150533721078,-0.6045116854711113,-0.2376285807355872,-0.6152079399882533,-0.2209753197505691,all,1200,0.015279793253856,0.0104127723734315,0.1283504963656203,0.9737982383764334,-0.6045116854711113,-0.2376285807355872,-0.6119763876195714,-0.2165847499923258,150,0.0045072792912175,0.0012912149678646,15.020997375328085,7.128608923884515,0.0343066001353896,0.0,150,0.0037300215695182,0.0007575817712403,15.020997375328085,7.128608923884515,0.0311101924603659,0.0,-0.04107755356213041,-0.1724449876478252,-0.41327990296365436,f1,1200,0.015279793253856,0.0104127723734315,0.1283504963656203,-0.6119763876195714,-0.2165847499923258,True,True
test,2,midlow_700_1000,1200,0.0201331492422016,0.0120116198522954,0.1945275636951374,0.949913417191589,-0.6430793623150733,-0.2384821175961244,-0.6163292689456501,-0.2240564129459454,all,1200,0.0193559799403583,0.0112349349434009,0.189104247015755,0.9537056166452452,-0.6430793623150733,-0.2384821175961244,-0.6069488921696533,-0.2181497051050271,150,0.0049529617385234,0.0012827711826337,16.039370078740156,8.910761154855646,0.0339967931244177,0.0,150,0.0042350288883686,0.0007707714875086,15.784776902887137,8.910761154855646,0.0308877789485035,0.0,-0.038601477220178454,-0.14495021121823434,-0.39913563857421286,f1,1200,0.0193559799403583,0.0112349349434009,0.189104247015755,-0.6069488921696533,-0.2181497051050271,True,True
validation,3,midhigh_1000_1300,1200,0.0221442983949415,0.0163230813364319,0.1297551890898779,0.9192812763050776,-0.5640983638338812,-0.1072827180105454,-0.5379390996721627,-0.1227080780427483,all,1200,0.0296127698770069,0.0188667535830585,0.2419583810463504,0.8556527548465855,-0.5640983638338812,-0.1072827180105454,-0.5687967047987742,-0.1855395670847096,150,0.004428902031983,0.0005401716032289,0.0,0.0,0.0393839881554231,0.0,150,0.0055631575740177,0.0005521929807353,0.0,0.0,0.0592840387455489,0.0,0.33726385676646464,0.2561031004623165,0.02225473800277857,f0,1200,0.0221442983949415,0.0163230813364319,0.1297551890898779,-0.5379390996721627,-0.1227080780427483,True,True
test,3,midhigh_1000_1300,1200,0.0233850269683229,0.0162942904839223,0.1389617606808769,0.9089736169357312,-0.6232806310869826,-0.0313522467566466,-0.5721177234141117,0.01021031829407,all,1200,0.0380365624687771,0.0214109713552529,0.3164141760032784,0.7591791648986063,-0.6232806310869826,-0.0313522467566466,-0.5941593670061893,-0.1881967505303276,150,0.0044724743645483,0.000972074294099,0.0,0.0,0.0426349791456441,0.0,150,0.0059357004641899,0.0005596738619725,0.0,0.0,0.0584248037774003,0.0,0.62653489860418,0.3271625459141966,-0.424247852895593,f0,1200,0.0233850269683229,0.0162942904839223,0.1389617606808769,-0.5721177234141117,0.01021031829407,True,True
validation,4,highlow_1300_1650,1350,0.0316682578912853,0.022781099972175,0.1408472345934612,0.7392054870166838,-0.5013626275974356,0.0357318216425272,-0.4844146123096654,-0.0598810654357887,sobol_subset,1350,0.0359380736076316,0.0214608941108902,0.1965256952452677,0.6641389111988796,-0.5013626275974356,0.0357318216425272,-0.4831834209878045,-0.0895008706479764,150,0.0046989859580413,0.0003470935209411,0.0,0.0,0.0507267975753209,0.0,150,0.0031040180145306,0.0007698920192062,0.7637795275590542,0.0,0.0752832016238004,0.0,0.134829510704512,-0.3394281144384475,1.2181111797152984,f0,1350,0.0316682578912853,0.022781099972175,0.1408472345934612,-0.4844146123096654,-0.0598810654357887,True,True
test,4,highlow_1300_1650,1350,0.0300654466790735,0.0206531245667196,0.1666753214765702,0.8230585508776963,-0.5307881178179602,0.0730318119086057,-0.4727354611092947,-0.0260794123984481,sobol_subset,1350,0.0373619706961293,0.0212070264454427,0.2470590243781852,0.7267540021331168,-0.5307881178179602,0.0730318119086057,-0.5265248454210261,-0.0432104298300186,150,0.0044058679874405,0.0004052472126755,0.0,0.0,0.0504190500976606,0.0,150,0.0032423420820921,0.0008302909480246,1.2729658792650904,0.0,0.0717737372976974,0.0,0.24268802971533468,-0.2640855124722715,1.048850484480573,f0,1350,0.0300654466790735,0.0206531245667196,0.1666753214765702,-0.4727354611092947,-0.0260794123984481,True,True
validation,5,high_1650_2000,1350,0.0259880685621812,0.0182412848459059,0.1291085244273736,0.8862498040999118,-0.4000333660521299,0.0860661012271382,-0.3030934865029422,0.1488465446503105,all,1350,0.0254179728870546,0.0177330534391491,0.108982477688063,0.8911857007080023,-0.4000333660521299,0.0860661012271382,-0.3438599848097446,0.1401733314024437,150,0.0068328666336254,0.0003144683741354,109.98425196850393,111.76640419947502,0.0330208853342379,0.0,150,0.0086684977440914,0.0063831378805252,4.073490813648292,6.364829396325455,0.0590047801497197,0.0,-0.021936823575886066,0.2686472909382758,19.29818705322916,f1,1350,0.0254179728870546,0.0177330534391491,0.108982477688063,-0.3438599848097446,0.1401733314024437,True,True
test,5,high_1650_2000,1350,0.0242224545458721,0.017304182411574,0.1254116834427011,0.9207336030235632,-0.3699685375974214,0.1570326753333034,-0.3083050664152119,0.2074513664922617,all,1350,0.0242028120641602,0.0168173120210161,0.1507125282521468,0.9208621083699626,-0.3699685375974214,0.1570326753333034,-0.3651914162457612,0.2056719533663572,150,0.0066300648361582,0.0003620392110474,103.87401574803148,103.61942257217844,0.0304638199566407,0.0,150,0.0096508529935503,0.0071835539924403,6.110236220472439,7.892388451443566,0.064536469944507,0.0,-0.000810920366253601,0.45561970086894366,18.84192256871257,f1,1350,0.0242028120641602,0.0168173120210161,0.1507125282521468,-0.3651914162457612,0.2056719533663572,True,True
