split,segment_id,segment_name,n_rows,rmse,mae,max_abs_error,r2,true_min,true_max,prediction_min,prediction_max
validation,1,low_100_700,2400,0.01912834737939889,0.014210921253854914,0.09172738172134881,0.9625089845834283,-0.6020956252452706,-0.1268340114189922,-0.5650327226162539,-0.07995208117679212
validation,2,midlow_700_1000,1200,0.015279793253856045,0.010412772373431547,0.12835049636562035,0.9737982383764334,-0.6045116854711113,-0.23762858073558726,-0.6119763876195714,-0.2165847499923258
validation,3,midhigh_1000_1300,1200,0.022144298394941548,0.01632308133643197,0.12975518908987793,0.9192812763050776,-0.5640983638338812,-0.10728271801054544,-0.5379390996721627,-0.1227080780427483
validation,4,highlow_1300_1650,1350,0.031668257891285315,0.022781099972175065,0.14084723459346124,0.7392054870166838,-0.5013626275974356,0.03573182164252723,-0.4844146123096654,-0.059881065435788756
validation,5,high_1650_2000,1350,0.025988068562181246,0.01824128484590594,0.12910852442737364,0.8862498040999118,-0.40003336605212997,0.08606610122713822,-0.3030934865029422,0.1488465446503105
validation,6,upperlow_2000_3000,3900,0.03163751105364571,0.022644902489100352,0.19935570698227495,0.9191388224010105,-0.27962789330036236,0.23750064445405558,-0.32008098201651175,0.2048541016778201
validation,7,uppermid_3000_4000,4050,0.026131321118536624,0.018803045179727283,0.15198293004325633,0.9057295270203067,-0.27139550862246464,0.19211874147932115,-0.31286842557624944,0.19239162035067153
validation,8,upperhigh_4000_4950,3750,0.03299513614877155,0.022136840816900365,0.17815497280585607,0.49386463165395267,-0.3076094856388623,0.052376708258041464,-0.2755090049502143,-0.08508069416749425
test,1,low_100_700,2400,0.018343832697401904,0.01348788359316751,0.08587277248793679,0.9636746635489188,-0.6354087919706148,-0.1268346597279658,-0.5761368530058402,-0.076225037345828
test,2,midlow_700_1000,1200,0.019355979940358342,0.011234934943400941,0.18910424701575507,0.9537056166452452,-0.6430793623150733,-0.2384821175961244,-0.6069488921696533,-0.21814970510502713
test,3,midhigh_1000_1300,1200,0.023385026968322935,0.016294290483922332,0.1389617606808769,0.9089736169357312,-0.6232806310869826,-0.03135224675664663,-0.5721177234141117,0.010210318294070042
test,4,highlow_1300_1650,1350,0.030065446679073578,0.02065312456671963,0.16667532147657022,0.8230585508776963,-0.5307881178179602,0.07303181190860572,-0.4727354611092947,-0.026079412398448118
test,5,high_1650_2000,1350,0.024222454545872164,0.01730418241157408,0.1254116834427011,0.9207336030235633,-0.3699685375974214,0.15703267533330345,-0.3083050664152119,0.2074513664922617
test,6,upperlow_2000_3000,3900,0.03662121160410225,0.0240238927124609,0.28686302321630125,0.871539430946646,-0.27114694403820977,0.20213411538375756,-0.3210584900287711,0.21744408501056053
test,7,uppermid_3000_4000,4050,0.03031442395469618,0.021663971334260616,0.17744769314266784,0.8458397800349591,-0.2727396759169952,0.1595886492523255,-0.32253101958122843,0.1796614525146891
test,8,upperhigh_4000_4950,3750,0.03472711792464418,0.02308269249437922,0.1754398599718493,0.4441106161844133,-0.2861631624842617,0.0310027594643804,-0.3002436005208863,-0.0038244648458170796
