split,segment_id,segment_name,num_curves,first_difference_rmse,second_difference_rmse,mean_trough_frequency_error_hz,mean_peak_frequency_error_hz,mean_prediction_range,flat_prediction_curve_fraction
validation,1,low_100_700,150,0.007775093095944236,0.004846066243134396,69.75853018372705,0.0,0.27613089239116984,0.0
validation,2,midlow_700_1000,150,0.0037300215695182447,0.0007575817712403758,15.020997375328083,7.128608923884515,0.03111019246036599,0.0
validation,3,midhigh_1000_1300,150,0.004428902031983017,0.0005401716032289431,0.0,0.0,0.039383988155423114,0.0
validation,4,highlow_1300_1650,150,0.0046989859580413955,0.00034709352094119034,0.0,0.0,0.05072679757532097,0.0
validation,5,high_1650_2000,150,0.006832866633625403,0.00031446837413547817,109.98425196850391,111.76640419947502,0.03302088533423795,0.0
validation,6,upperlow_2000_3000,150,0.003580558129431594,0.00034833718717895045,188.90813648293965,292.7821522309711,0.04464350435018431,0.0
validation,7,uppermid_3000_4000,150,0.002141234451747518,0.00017206093933447964,280.8162729658793,309.83989501312345,0.06733876646604127,0.0
validation,8,upperhigh_4000_4950,150,0.0030047656858580357,0.00025326392718531414,552.7217847769027,568.2519685039368,0.0027178890700539893,0.0
test,1,low_100_700,150,0.007714624447830141,0.0047654615331191984,70.2677165354331,0.0,0.27266342371743635,0.0
test,2,midlow_700_1000,150,0.0042350288883686695,0.0007707714875086768,15.784776902887137,8.910761154855646,0.03088777894850354,0.0
test,3,midhigh_1000_1300,150,0.004472474364548345,0.0009720742940990066,0.0,0.0,0.04263497914564412,0.0
test,4,highlow_1300_1650,150,0.004405867987440535,0.000405247212675512,0.0,0.0,0.050419050097660664,0.0
test,5,high_1650_2000,150,0.006630064836158206,0.00036203921104746773,103.87401574803147,103.61942257217844,0.030463819956640718,0.0
test,6,upperlow_2000_3000,150,0.003666504765843034,0.0003060733460973618,248.22834645669292,320.0236220472441,0.043854501477224236,0.0
test,7,uppermid_3000_4000,150,0.0022809126593113264,0.00017684045918818598,334.0262467191602,354.39370078740166,0.06420404536979023,0.0
test,8,upperhigh_4000_4950,150,0.0028947454309360614,0.0002136110880419196,578.4356955380576,579.1994750656168,0.002772231480211766,0.0
